B73_Cluster	B73_Genes	PH207_Cluster	PH207_Genes
NA	Zm00001d031338	Cluster_0125	Zm00008a003154,Zm00008a003163,Zm00008a003168,Zm00008a003175,Zm00008a003183,Zm00008a003192,Zm00008a003198
NA	Zm00001d031402	Cluster_0127	Zm00008a003161,Zm00008a003167,Zm00008a003174,Zm00008a003181,Zm00008a003190,Zm00008a003195
NA	Zm00001d031402	Cluster_0127	Zm00008a003161,Zm00008a003167,Zm00008a003174,Zm00008a003181,Zm00008a003190,Zm00008a003195
NA	Zm00001d031402	Cluster_0127	Zm00008a003161,Zm00008a003167,Zm00008a003174,Zm00008a003181,Zm00008a003190,Zm00008a003195
NA	Zm00001d031402	Cluster_0127	Zm00008a003161,Zm00008a003167,Zm00008a003174,Zm00008a003181,Zm00008a003190,Zm00008a003195
NA	Zm00001d031402	Cluster_0127	Zm00008a003161,Zm00008a003167,Zm00008a003174,Zm00008a003181,Zm00008a003190,Zm00008a003195
NA	Zm00001d031399	Cluster_0130	Zm00008a003173,Zm00008a003180,Zm00008a003194
NA	Zm00001d031399	Cluster_0130	Zm00008a003173,Zm00008a003180,Zm00008a003194
NA	Zm00001d031399	Cluster_0130	Zm00008a003173,Zm00008a003180,Zm00008a003194
NA	Zm00001d031431	Cluster_0131	Zm00008a003220,Zm00008a003221,Zm00008a003222
NA	Zm00001d031434	Cluster_0131	Zm00008a003220,Zm00008a003221,Zm00008a003222
NA	Zm00001d031545	Cluster_0133	Zm00008a003303,Zm00008a003304,Zm00008a003305
NA	Zm00001d031546	Cluster_0133	Zm00008a003303,Zm00008a003304,Zm00008a003305
NA	Zm00001d031580	Cluster_0135	Zm00008a003336,Zm00008a003337
NA	Zm00001d031625	Cluster_0136	Zm00008a003366,Zm00008a003367
NA	Zm00001d031627	Cluster_0136	Zm00008a003366,Zm00008a003367
NA	Zm00001d031979	Cluster_0142	Zm00008a003592,Zm00008a003602
NA	Zm00001d031979	Cluster_0142	Zm00008a003592,Zm00008a003602
NA	Zm00001d031995	Cluster_0142	Zm00008a003592,Zm00008a003602
NA	Zm00001d031995	Cluster_0142	Zm00008a003592,Zm00008a003602
NA	Zm00001d032206	Cluster_0148	Zm00008a003748,Zm00008a003753,Zm00008a003773
NA	Zm00001d032467	Cluster_0151	Zm00008a003986,Zm00008a003987,Zm00008a003994
NA	Zm00001d032468	Cluster_0151	Zm00008a003986,Zm00008a003987,Zm00008a003994
NA	Zm00001d032531	Cluster_0154	Zm00008a004045,Zm00008a004046
NA	Zm00001d032531	Cluster_0154	Zm00008a004045,Zm00008a004046
NA	Zm00001d032547	Cluster_0155	Zm00008a004058,Zm00008a004063
NA	Zm00001d032555	Cluster_0155	Zm00008a004058,Zm00008a004063
NA	Zm00001d032693	Cluster_0160	Zm00008a004167,Zm00008a004168,Zm00008a004169
NA	Zm00001d032745	Cluster_0163	Zm00008a004216,Zm00008a004217
NA	Zm00001d032746	Cluster_0163	Zm00008a004216,Zm00008a004217
NA	Zm00001d032747	Cluster_0163	Zm00008a004216,Zm00008a004217
NA	Zm00001d032902	Cluster_0169	Zm00008a004325,Zm00008a004326
NA	Zm00001d032903	Cluster_0169	Zm00008a004325,Zm00008a004326
NA	Zm00001d033126	Cluster_0175	Zm00008a004506,Zm00008a004510
NA	Zm00001d033139	Cluster_0177	Zm00008a004517,Zm00008a004527
NA	Zm00001d033152	Cluster_0177	Zm00008a004517,Zm00008a004527
NA	Zm00001d033219	Cluster_0181	Zm00008a004581,Zm00008a004582
NA	Zm00001d033315	Cluster_0185	Zm00008a004660,Zm00008a004664
NA	Zm00001d033324	Cluster_0185	Zm00008a004660,Zm00008a004664
NA	Zm00001d033324	Cluster_0185	Zm00008a004660,Zm00008a004664
NA	Zm00001d033402	Cluster_0187	Zm00008a004725,Zm00008a004726
NA	Zm00001d033402	Cluster_0187	Zm00008a004725,Zm00008a004726
NA	Zm00001d033444	Cluster_0189	Zm00008a004745,Zm00008a004746,Zm00008a004748,Zm00008a004750,Zm00008a004751,Zm00008a004754,Zm00008a004757
NA	Zm00001d033616	Cluster_0199	Zm00008a004906,Zm00008a004907
NA	Zm00001d033616	Cluster_0199	Zm00008a004906,Zm00008a004907
NA	Zm00001d033882	Cluster_0205	Zm00008a005080,Zm00008a005081
NA	Zm00001d033883	Cluster_0205	Zm00008a005080,Zm00008a005081
NA	Zm00001d034027	Cluster_0209	Zm00008a005193,Zm00008a005194
NA	Zm00001d034034	Cluster_0210	Zm00008a005201,Zm00008a005210
NA	Zm00001d034042	Cluster_0210	Zm00008a005201,Zm00008a005210
NA	Zm00001d034103	Cluster_0214	Zm00008a005253,Zm00008a005254,Zm00008a005257,Zm00008a005259,Zm00008a005272
NA	Zm00001d034118	Cluster_0214	Zm00008a005253,Zm00008a005254,Zm00008a005257,Zm00008a005259,Zm00008a005272
NA	Zm00001d034167	Cluster_0217	Zm00008a005301,Zm00008a005303,Zm00008a005304
NA	Zm00001d034165	Cluster_0218	Zm00008a005302,Zm00008a005305
NA	Zm00001d034167	Cluster_0218	Zm00008a005302,Zm00008a005305
NA	Zm00001d034414	Cluster_0221	Zm00008a005453,Zm00008a005454,Zm00008a005455
NA	Zm00001d034559	Cluster_0228	Zm00008a005561,Zm00008a005562,Zm00008a005568
NA	Zm00001d034669	Cluster_0230	Zm00008a005645,Zm00008a005655
NA	Zm00001d001856	Cluster_0238	Zm00008a005957,Zm00008a005960
NA	Zm00001d002026	Cluster_0243	Zm00008a006084,Zm00008a006085,Zm00008a006086,Zm00008a006090
NA	Zm00001d002302	Cluster_0252	Zm00008a006280,Zm00008a006282
NA	Zm00001d002304	Cluster_0252	Zm00008a006280,Zm00008a006282
NA	Zm00001d002409	Cluster_0255	Zm00008a006362,Zm00008a006363,Zm00008a006364
NA	Zm00001d002457	Cluster_0257	Zm00008a006406,Zm00008a006419
NA	Zm00001d002707	Cluster_0264	Zm00008a006576,Zm00008a006581
NA	Zm00001d002843	Cluster_0269	Zm00008a006695,Zm00008a006696
NA	Zm00001d002843	Cluster_0269	Zm00008a006695,Zm00008a006696
NA	Zm00001d003522	Cluster_0290	Zm00008a007252,Zm00008a007258
NA	Zm00001d003531	Cluster_0290	Zm00008a007252,Zm00008a007258
NA	Zm00001d003725	Cluster_0298	Zm00008a007402,Zm00008a007408
NA	Zm00001d003730	Cluster_0298	Zm00008a007402,Zm00008a007408
NA	Zm00001d003724	Cluster_0299	Zm00008a007404,Zm00008a007406
NA	Zm00001d003729	Cluster_0299	Zm00008a007404,Zm00008a007406
NA	Zm00001d003780	Cluster_0301	Zm00008a007444,Zm00008a007445
NA	Zm00001d003781	Cluster_0301	Zm00008a007444,Zm00008a007445
NA	Zm00001d003800	Cluster_0302	Zm00008a007460,Zm00008a007463
NA	Zm00001d003800	Cluster_0302	Zm00008a007460,Zm00008a007463
NA	Zm00001d003871	Cluster_0304	Zm00008a007535,Zm00008a007545
NA	Zm00001d003884	Cluster_0304	Zm00008a007535,Zm00008a007545
NA	Zm00001d004018	Cluster_0308	Zm00008a007641,Zm00008a007642
NA	Zm00001d004072	Cluster_0310	Zm00008a007682,Zm00008a007684
NA	Zm00001d004074	Cluster_0310	Zm00008a007682,Zm00008a007684
NA	Zm00001d004127	Cluster_0311	Zm00008a007717,Zm00008a007719,Zm00008a007720
NA	Zm00001d004127	Cluster_0311	Zm00008a007717,Zm00008a007719,Zm00008a007720
NA	Zm00001d004162	Cluster_0312	Zm00008a007746,Zm00008a007747
NA	Zm00001d004342	Cluster_0316	Zm00008a007853,Zm00008a007854
NA	Zm00001d004388	Cluster_0319	Zm00008a007885,Zm00008a007886
NA	Zm00001d004573	Cluster_0324	Zm00008a008035,Zm00008a008040
NA	Zm00001d004586	Cluster_0324	Zm00008a008035,Zm00008a008040
NA	Zm00001d005056	Cluster_0335	Zm00008a008405,Zm00008a008407
NA	Zm00001d005057	Cluster_0335	Zm00008a008405,Zm00008a008407
NA	Zm00001d005057	Cluster_0335	Zm00008a008405,Zm00008a008407
NA	Zm00001d005191	Cluster_0336	Zm00008a008493,Zm00008a008494
NA	Zm00001d005192	Cluster_0336	Zm00008a008493,Zm00008a008494
NA	Zm00001d005289	Cluster_0337	Zm00008a008559,Zm00008a008560
NA	Zm00001d005302	Cluster_0338	Zm00008a008570,Zm00008a008571
NA	Zm00001d005303	Cluster_0338	Zm00008a008570,Zm00008a008571
NA	Zm00001d005376	Cluster_0341	Zm00008a008621,Zm00008a008630
NA	Zm00001d005593	Cluster_0345	Zm00008a008772,Zm00008a008773
NA	Zm00001d005670	Cluster_0346	Zm00008a008808,Zm00008a008809
NA	Zm00001d005670	Cluster_0346	Zm00008a008808,Zm00008a008809
NA	Zm00001d005923	Cluster_0359	Zm00008a009054,Zm00008a009055
NA	Zm00001d005924	Cluster_0359	Zm00008a009054,Zm00008a009055
NA	Zm00001d005931	Cluster_0360	Zm00008a009061,Zm00008a009062
NA	Zm00001d006150	Cluster_0363	Zm00008a009221,Zm00008a009222
NA	Zm00001d006257	Cluster_0365	Zm00008a009298,Zm00008a009299,Zm00008a009300
NA	Zm00001d006261	Cluster_0365	Zm00008a009298,Zm00008a009299,Zm00008a009300
NA	Zm00001d006262	Cluster_0365	Zm00008a009298,Zm00008a009299,Zm00008a009300
NA	Zm00001d006514	Cluster_0372	Zm00008a009499,Zm00008a009500
NA	Zm00001d006592	Cluster_0376	Zm00008a009557,Zm00008a009561
NA	Zm00001d006593	Cluster_0376	Zm00008a009557,Zm00008a009561
NA	Zm00001d006593	Cluster_0377	Zm00008a009558,Zm00008a009562
NA	Zm00001d006649	Cluster_0378	Zm00008a009605,Zm00008a009606
NA	Zm00001d006734	Cluster_0381	Zm00008a009672,Zm00008a009673,Zm00008a009674,Zm00008a009675,Zm00008a009677,Zm00008a009680
NA	Zm00001d006737	Cluster_0382	Zm00008a009676,Zm00008a009678
NA	Zm00001d007124	Cluster_0386	Zm00008a009919,Zm00008a009921
NA	Zm00001d007421	Cluster_0395	Zm00008a010150,Zm00008a010153
NA	Zm00001d007486	Cluster_0399	Zm00008a010195,Zm00008a010198
NA	Zm00001d007486	Cluster_0399	Zm00008a010195,Zm00008a010198
NA	Zm00001d007530	Cluster_0401	Zm00008a010238,Zm00008a010240,Zm00008a010246,Zm00008a010252
NA	Zm00001d007530	Cluster_0401	Zm00008a010238,Zm00008a010240,Zm00008a010246,Zm00008a010252
NA	Zm00001d007554	Cluster_0401	Zm00008a010238,Zm00008a010240,Zm00008a010246,Zm00008a010252
NA	Zm00001d007554	Cluster_0401	Zm00008a010238,Zm00008a010240,Zm00008a010246,Zm00008a010252
NA	Zm00001d007654	Cluster_0406	Zm00008a010315,Zm00008a010320,Zm00008a010326,Zm00008a010336
NA	Zm00001d007654	Cluster_0406	Zm00008a010315,Zm00008a010320,Zm00008a010326,Zm00008a010336
NA	Zm00001d007666	Cluster_0406	Zm00008a010315,Zm00008a010320,Zm00008a010326,Zm00008a010336
NA	Zm00001d007669	Cluster_0406	Zm00008a010315,Zm00008a010320,Zm00008a010326,Zm00008a010336
NA	Zm00001d007669	Cluster_0406	Zm00008a010315,Zm00008a010320,Zm00008a010326,Zm00008a010336
NA	Zm00001d007654	Cluster_0407	Zm00008a010319,Zm00008a010321,Zm00008a010322,Zm00008a010324,Zm00008a010327,Zm00008a010328,Zm00008a010329,Zm00008a010331,Zm00008a010332,Zm00008a010335,Zm00008a010337
NA	Zm00001d007666	Cluster_0407	Zm00008a010319,Zm00008a010321,Zm00008a010322,Zm00008a010324,Zm00008a010327,Zm00008a010328,Zm00008a010329,Zm00008a010331,Zm00008a010332,Zm00008a010335,Zm00008a010337
NA	Zm00001d007669	Cluster_0407	Zm00008a010319,Zm00008a010321,Zm00008a010322,Zm00008a010324,Zm00008a010327,Zm00008a010328,Zm00008a010329,Zm00008a010331,Zm00008a010332,Zm00008a010335,Zm00008a010337
NA	Zm00001d007669	Cluster_0407	Zm00008a010319,Zm00008a010321,Zm00008a010322,Zm00008a010324,Zm00008a010327,Zm00008a010328,Zm00008a010329,Zm00008a010331,Zm00008a010332,Zm00008a010335,Zm00008a010337
NA	Zm00001d007714	Cluster_0411	Zm00008a010365,Zm00008a010366
NA	Zm00001d007733	Cluster_0414	Zm00008a010381,Zm00008a010386,Zm00008a010395
NA	Zm00001d007750	Cluster_0415	Zm00008a010387,Zm00008a010389,Zm00008a010391,Zm00008a010394,Zm00008a010396,Zm00008a010399,Zm00008a010400
NA	Zm00001d007807	Cluster_0419	Zm00008a010445,Zm00008a010446
NA	Zm00001d007807	Cluster_0419	Zm00008a010445,Zm00008a010446
NA	Zm00001d007894	Cluster_0422	Zm00008a010471,Zm00008a010473,Zm00008a010474
NA	Zm00001d007894	Cluster_0422	Zm00008a010471,Zm00008a010473,Zm00008a010474
NA	Zm00001d007896	Cluster_0422	Zm00008a010471,Zm00008a010473,Zm00008a010474
NA	Zm00001d007900	Cluster_0423	Zm00008a010479,Zm00008a010482
NA	Zm00001d007900	Cluster_0423	Zm00008a010479,Zm00008a010482
NA	Zm00001d007857	Cluster_0426	Zm00008a010518,Zm00008a010519
NA	Zm00001d007858	Cluster_0426	Zm00008a010518,Zm00008a010519
NA	Zm00001d039368	Cluster_0428	Zm00008a010710,Zm00008a010720
NA	Zm00001d039374	Cluster_0429	Zm00008a010726,Zm00008a010727
NA	Zm00001d039424	Cluster_0430	Zm00008a010771,Zm00008a010772
NA	Zm00001d039538	Cluster_0433	Zm00008a010876,Zm00008a010877
NA	Zm00001d039663	Cluster_0435	Zm00008a010969,Zm00008a010970
NA	Zm00001d039664	Cluster_0435	Zm00008a010969,Zm00008a010970
NA	Zm00001d039935	Cluster_0444	Zm00008a011165,Zm00008a011166,Zm00008a011167,Zm00008a011168,Zm00008a011169,Zm00008a011170
NA	Zm00001d040677	Cluster_0465	Zm00008a011739,Zm00008a011753
NA	Zm00001d041358	Cluster_0477	Zm00008a012172,Zm00008a012177
NA	Zm00001d041362	Cluster_0477	Zm00008a012172,Zm00008a012177
NA	Zm00001d041455	Cluster_0480	Zm00008a012231,Zm00008a012234
NA	Zm00001d041455	Cluster_0480	Zm00008a012231,Zm00008a012234
NA	Zm00001d041456	Cluster_0481	Zm00008a012232,Zm00008a012235
NA	Zm00001d041456	Cluster_0481	Zm00008a012232,Zm00008a012235
NA	Zm00001d041457	Cluster_0482	Zm00008a012233,Zm00008a012236
NA	Zm00001d041712	Cluster_0486	Zm00008a012441,Zm00008a012442
NA	Zm00001d041843	Cluster_0488	Zm00008a012533,Zm00008a012535
NA	Zm00001d042041	Cluster_0494	Zm00008a012683,Zm00008a012684
NA	Zm00001d042042	Cluster_0494	Zm00008a012683,Zm00008a012684
NA	Zm00001d042136	Cluster_0499	Zm00008a012765,Zm00008a012767
NA	Zm00001d042136	Cluster_0499	Zm00008a012765,Zm00008a012767
NA	Zm00001d042156	Cluster_0502	Zm00008a012784,Zm00008a012787,Zm00008a012790
NA	Zm00001d042165	Cluster_0502	Zm00008a012784,Zm00008a012787,Zm00008a012790
NA	Zm00001d042174	Cluster_0503	Zm00008a012795,Zm00008a012796
NA	Zm00001d042177	Cluster_0503	Zm00008a012795,Zm00008a012796
NA	Zm00001d042179	Cluster_0503	Zm00008a012795,Zm00008a012796
NA	Zm00001d042381	Cluster_0510	Zm00008a012956,Zm00008a012964
NA	Zm00001d042388	Cluster_0510	Zm00008a012956,Zm00008a012964
NA	Zm00001d042752	Cluster_0516	Zm00008a013239,Zm00008a013240,Zm00008a013241
NA	Zm00001d042772	Cluster_0517	Zm00008a013257,Zm00008a013259,Zm00008a013260
NA	Zm00001d043075	Cluster_0523	Zm00008a013496,Zm00008a013511,Zm00008a013513
NA	Zm00001d043091	Cluster_0523	Zm00008a013496,Zm00008a013511,Zm00008a013513
NA	Zm00001d043094	Cluster_0524	Zm00008a013517,Zm00008a013530
NA	Zm00001d043107	Cluster_0524	Zm00008a013517,Zm00008a013530
NA	Zm00001d043366	Cluster_0530	Zm00008a013742,Zm00008a013756
NA	Zm00001d043379	Cluster_0530	Zm00008a013742,Zm00008a013756
NA	Zm00001d043380	Cluster_0530	Zm00008a013742,Zm00008a013756
NA	Zm00001d043380	Cluster_0530	Zm00008a013742,Zm00008a013756
NA	Zm00001d043479	Cluster_0533	Zm00008a013840,Zm00008a013841
NA	Zm00001d043709	Cluster_0537	Zm00008a014028,Zm00008a014029
NA	Zm00001d043710	Cluster_0537	Zm00008a014028,Zm00008a014029
NA	Zm00001d043715	Cluster_0539	Zm00008a014032,Zm00008a014034
NA	Zm00001d043770	Cluster_0542	Zm00008a014070,Zm00008a014072
NA	Zm00001d043771	Cluster_0542	Zm00008a014070,Zm00008a014072
NA	Zm00001d043800	Cluster_0543	Zm00008a014101,Zm00008a014102,Zm00008a014103
NA	Zm00001d043971	Cluster_0546	Zm00008a014230,Zm00008a014231
NA	Zm00001d043972	Cluster_0546	Zm00008a014230,Zm00008a014231
NA	Zm00001d044164	Cluster_0554	Zm00008a014380,Zm00008a014381
NA	Zm00001d044164	Cluster_0554	Zm00008a014380,Zm00008a014381
NA	Zm00001d044176	Cluster_0555	Zm00008a014391,Zm00008a014392
NA	Zm00001d044177	Cluster_0555	Zm00008a014391,Zm00008a014392
NA	Zm00001d044284	Cluster_0556	Zm00008a014468,Zm00008a014469
NA	Zm00001d044331	Cluster_0559	Zm00008a014518,Zm00008a014535
NA	Zm00001d044353	Cluster_0559	Zm00008a014518,Zm00008a014535
NA	Zm00001d044356	Cluster_0561	Zm00008a014527,Zm00008a014537,Zm00008a014538
NA	Zm00001d044356	Cluster_0561	Zm00008a014527,Zm00008a014537,Zm00008a014538
NA	Zm00001d044387	Cluster_0564	Zm00008a014562,Zm00008a014563
NA	Zm00001d044387	Cluster_0564	Zm00008a014562,Zm00008a014563
NA	Zm00001d044667	Cluster_0573	Zm00008a014828,Zm00008a014829
NA	Zm00001d044669	Cluster_0573	Zm00008a014828,Zm00008a014829
NA	Zm00001d048613	Cluster_0576	Zm00008a014856,Zm00008a014862
NA	Zm00001d048617	Cluster_0577	Zm00008a014868,Zm00008a014869,Zm00008a014870
NA	Zm00001d048618	Cluster_0577	Zm00008a014868,Zm00008a014869,Zm00008a014870
NA	Zm00001d048618	Cluster_0577	Zm00008a014868,Zm00008a014869,Zm00008a014870
NA	Zm00001d048626	Cluster_0578	Zm00008a014878,Zm00008a014891
NA	Zm00001d048645	Cluster_0578	Zm00008a014878,Zm00008a014891
NA	Zm00001d048658	Cluster_0580	Zm00008a014899,Zm00008a014901
NA	Zm00001d048671	Cluster_0581	Zm00008a014913,Zm00008a014914
NA	Zm00001d048672	Cluster_0581	Zm00008a014913,Zm00008a014914
NA	Zm00001d048773	Cluster_0587	Zm00008a014985,Zm00008a014987,Zm00008a014988
NA	Zm00001d048965	Cluster_0593	Zm00008a015123,Zm00008a015126
NA	Zm00001d048973	Cluster_0594	Zm00008a015130,Zm00008a015131,Zm00008a015133
NA	Zm00001d048980	Cluster_0595	Zm00008a015139,Zm00008a015140
NA	Zm00001d049015	Cluster_0597	Zm00008a015163,Zm00008a015164
NA	Zm00001d049016	Cluster_0597	Zm00008a015163,Zm00008a015164
NA	Zm00001d049077	Cluster_0599	Zm00008a015200,Zm00008a015201
NA	Zm00001d049077	Cluster_0599	Zm00008a015200,Zm00008a015201
NA	Zm00001d049078	Cluster_0599	Zm00008a015200,Zm00008a015201
NA	Zm00001d049276	Cluster_0605	Zm00008a015373,Zm00008a015374
NA	Zm00001d049277	Cluster_0605	Zm00008a015373,Zm00008a015374
NA	Zm00001d049522	Cluster_0611	Zm00008a015536,Zm00008a015537
NA	Zm00001d049522	Cluster_0611	Zm00008a015536,Zm00008a015537
NA	Zm00001d049573	Cluster_0614	Zm00008a015578,Zm00008a015589
NA	Zm00001d049595	Cluster_0614	Zm00008a015578,Zm00008a015589
NA	Zm00001d049640	Cluster_0615	Zm00008a015627,Zm00008a015629
NA	Zm00001d049678	Cluster_0617	Zm00008a015668,Zm00008a015673
NA	Zm00001d049687	Cluster_0617	Zm00008a015668,Zm00008a015673
NA	Zm00001d049713	Cluster_0618	Zm00008a015689,Zm00008a015700,Zm00008a015715,Zm00008a015722
NA	Zm00001d049727	Cluster_0618	Zm00008a015689,Zm00008a015700,Zm00008a015715,Zm00008a015722
NA	Zm00001d049741	Cluster_0618	Zm00008a015689,Zm00008a015700,Zm00008a015715,Zm00008a015722
NA	Zm00001d049750	Cluster_0618	Zm00008a015689,Zm00008a015700,Zm00008a015715,Zm00008a015722
NA	Zm00001d049811	Cluster_0620	Zm00008a015769,Zm00008a015775
NA	Zm00001d049818	Cluster_0620	Zm00008a015769,Zm00008a015775
NA	Zm00001d050248	Cluster_0627	Zm00008a016106,Zm00008a016120
NA	Zm00001d050320	Cluster_0629	Zm00008a016157,Zm00008a016158
NA	Zm00001d050323	Cluster_0629	Zm00008a016157,Zm00008a016158
NA	Zm00001d050470	Cluster_0631	Zm00008a016266,Zm00008a016268
NA	Zm00001d050557	Cluster_0634	Zm00008a016389,Zm00008a016390
NA	Zm00001d050678	Cluster_0635	Zm00008a016436,Zm00008a016441
NA	Zm00001d051164	Cluster_0641	Zm00008a016750,Zm00008a016751,Zm00008a016754
NA	Zm00001d051323	Cluster_0646	Zm00008a016854,Zm00008a016859
NA	Zm00001d051689	Cluster_0651	Zm00008a017155,Zm00008a017156
NA	Zm00001d051689	Cluster_0651	Zm00008a017155,Zm00008a017156
NA	Zm00001d051887	Cluster_0654	Zm00008a017331,Zm00008a017341
NA	Zm00001d051900	Cluster_0654	Zm00008a017331,Zm00008a017341
NA	Zm00001d052095	Cluster_0656	Zm00008a017484,Zm00008a017485
NA	Zm00001d052351	Cluster_0661	Zm00008a017677,Zm00008a017678,Zm00008a017679
NA	Zm00001d052430	Cluster_0663	Zm00008a017731,Zm00008a017744
NA	Zm00001d052431	Cluster_0664	Zm00008a017733,Zm00008a017745
NA	Zm00001d052431	Cluster_0664	Zm00008a017733,Zm00008a017745
NA	Zm00001d052492	Cluster_0667	Zm00008a017778,Zm00008a017779,Zm00008a017786
NA	Zm00001d052558	Cluster_0668	Zm00008a017822,Zm00008a017823
NA	Zm00001d052717	Cluster_0672	Zm00008a017926,Zm00008a017932
NA	Zm00001d052725	Cluster_0672	Zm00008a017926,Zm00008a017932
NA	Zm00001d052734	Cluster_0673	Zm00008a017940,Zm00008a017942
NA	Zm00001d052735	Cluster_0673	Zm00008a017940,Zm00008a017942
NA	Zm00001d053094	Cluster_0679	Zm00008a018211,Zm00008a018213
NA	Zm00001d053099	Cluster_0679	Zm00008a018211,Zm00008a018213
NA	Zm00001d053239	Cluster_0682	Zm00008a018333,Zm00008a018334
NA	Zm00001d053393	Cluster_0687	Zm00008a018439,Zm00008a018440
NA	Zm00001d053395	Cluster_0687	Zm00008a018439,Zm00008a018440
NA	Zm00001d053870	Cluster_0696	Zm00008a018767,Zm00008a018768
NA	Zm00001d053993	Cluster_0698	Zm00008a018862,Zm00008a018863
NA	Zm00001d054037	Cluster_0699	Zm00008a018880,Zm00008a018898
NA	Zm00001d054067	Cluster_0703	Zm00008a018919,Zm00008a018920
NA	Zm00001d054069	Cluster_0703	Zm00008a018919,Zm00008a018920
NA	Zm00001d012908	Cluster_0706	Zm00008a019068,Zm00008a019070
NA	Zm00001d012910	Cluster_0706	Zm00008a019068,Zm00008a019070
NA	Zm00001d012963	Cluster_0707	Zm00008a019104,Zm00008a019106
NA	Zm00001d012994	Cluster_0709	Zm00008a019131,Zm00008a019136
NA	Zm00001d013126	Cluster_0712	Zm00008a019267,Zm00008a019276
NA	Zm00001d013138	Cluster_0712	Zm00008a019267,Zm00008a019276
