ClusterID	Genes	Intervals	
Cluster_0042	Zm00001d025847,Zm00001d025846	0
Cluster_0043	Zm00001d025881,Zm00001d025875	2
Cluster_0044	Zm00001d025884,Zm00001d025878,Zm00001d025877	0,1
Cluster_0045	Zm00001d025887,Zm00001d025888,Zm00001d025889	0,0
Cluster_0046	Zm00001d025900,Zm00001d025901	0
Cluster_0047	Zm00001d025921,Zm00001d025920,Zm00001d025923,Zm00001d025922,Zm00001d025924	0,0,0,0
Cluster_0048	Zm00001d026026,Zm00001d026029,Zm00001d026028	0,0
Cluster_0049	Zm00001d026127,Zm00001d026128	0
Cluster_0050	Zm00001d026133,Zm00001d026134	0
Cluster_0051	Zm00001d026163,Zm00001d026162,Zm00001d026160	1,0
Cluster_0052	Zm00001d026170,Zm00001d026169,Zm00001d026171	0,0
Cluster_0053	Zm00001d026177,Zm00001d026178	0
Cluster_0054	Zm00001d026184,Zm00001d026191,Zm00001d026182	0,6
Cluster_0055	Zm00001d026204,Zm00001d026203,Zm00001d026197	3,0
Cluster_0056	Zm00001d026221,Zm00001d026220	0
Cluster_0057	Zm00001d026226,Zm00001d026225	0
Cluster_0058	Zm00001d026235,Zm00001d026236	0
Cluster_0059	Zm00001d026251,Zm00001d026250	0
Cluster_0060	Zm00001d026319,Zm00001d026313	2
Cluster_0061	Zm00001d026339,Zm00001d026341	0
Cluster_0062	Zm00001d026354,Zm00001d026353	0
Cluster_0063	Zm00001d026369,Zm00001d026371,Zm00001d026370	0,0
Cluster_0064	Zm00001d026382,Zm00001d026383	0
Cluster_0065	Zm00001d023247,Zm00001d023248	0
Cluster_0066	Zm00001d026408,Zm00001d026411	0
Cluster_0067	Zm00001d026413,Zm00001d026406	4
Cluster_0068	Zm00001d026445,Zm00001d026446	0
Cluster_0069	Zm00001d026454,Zm00001d026457	1
Cluster_0070	Zm00001d026473,Zm00001d026474	0
Cluster_0071	Zm00001d026483,Zm00001d026485	1
Cluster_0072	Zm00001d026485,Zm00001d026484	0
Cluster_0073	Zm00001d026488,Zm00001d026489	0
Cluster_0074	Zm00001d026493,Zm00001d026494	0
Cluster_0075	Zm00001d026522,Zm00001d026528	2
Cluster_0076	Zm00001d023254,Zm00001d023257	1
Cluster_0077	Zm00001d023673,Zm00001d023677	2
Cluster_0078	Zm00001d026551,Zm00001d026553	1
Cluster_0079	Zm00001d026557,Zm00001d026558	0
Cluster_0080	Zm00001d026569,Zm00001d026568	0
Cluster_0081	Zm00001d026568,Zm00001d026572	2
Cluster_0082	Zm00001d026588,Zm00001d026589	0
Cluster_0083	Zm00001d026663,Zm00001d026661	1
Cluster_0084	Zm00001d023698,Zm00001d023695	1
Cluster_0085	Zm00001d023264,Zm00001d023266	1
Cluster_0086	Zm00001d023265,Zm00001d023267	1
Cluster_0087	Zm00001d023701,Zm00001d023702	0
Cluster_0088	Zm00001d023705,Zm00001d023704	0
Cluster_0089	Zm00001d023721,Zm00001d023722,Zm00001d023723,Zm00001d023728	0,0,2
Cluster_0090	Zm00001d023769,Zm00001d023768	0
Cluster_0091	Zm00001d023282,Zm00001d023287,Zm00001d023284	1,2
Cluster_0092	Zm00001d023799,Zm00001d023800	0
Cluster_0093	Zm00001d023285,Zm00001d023288,Zm00001d023286,Zm00001d023289	0,1,0
Cluster_0094	Zm00001d023841,Zm00001d023840	0
Cluster_0095	Zm00001d023303,Zm00001d023304	0
Cluster_0096	Zm00001d023872,Zm00001d023869,Zm00001d023870,Zm00001d023873	0,1,0
Cluster_0097	Zm00001d023906,Zm00001d023903,Zm00001d023905,Zm00001d023907	1,0,0
Cluster_0098	Zm00001d023908,Zm00001d023904	3
Cluster_0099	Zm00001d023313,Zm00001d023314	0
Cluster_0100	Zm00001d023932,Zm00001d023931	0
Cluster_0101	Zm00001d023941,Zm00001d023939	1
Cluster_0102	Zm00001d023325,Zm00001d023320,Zm00001d023321,Zm00001d023329,Zm00001d023330,Zm00001d023318,Zm00001d023317,Zm00001d023323,Zm00001d023322	0,0,0,0,0,1,2,0
Cluster_0103	Zm00001d023327,Zm00001d023326	0
Cluster_0104	Zm00001d023332,Zm00001d023336	3
Cluster_0105	Zm00001d023337,Zm00001d023339	0
Cluster_0106	Zm00001d024018,Zm00001d024017,Zm00001d024016	0,0
Cluster_0107	Zm00001d023344,Zm00001d023343,Zm00001d023345	0,0
Cluster_0108	Zm00001d023349,Zm00001d023347	1
Cluster_0109	Zm00001d023213,Zm00001d023210	2
Cluster_0110	Zm00001d023365,Zm00001d023360,Zm00001d023353	2,3
Cluster_0111	Zm00001d023368,Zm00001d023369,Zm00001d023370	0,0
Cluster_0112	Zm00001d023382,Zm00001d023389	3
Cluster_0113	Zm00001d023384,Zm00001d023385	0
Cluster_0114	Zm00001d024092,Zm00001d024093	0
Cluster_0115	Zm00001d023400,Zm00001d023413	9
Cluster_0116	Zm00001d023405,Zm00001d023409	1
Cluster_0117	Zm00001d023410,Zm00001d023404	3
Cluster_0118	Zm00001d023411,Zm00001d023402	5
Cluster_0119	Zm00001d023418,Zm00001d023406,Zm00001d023398,Zm00001d023399,Zm00001d023417,Zm00001d023401,Zm00001d023412	0,1,3,3,2,0
Cluster_0120	Zm00001d023427,Zm00001d023426	0
Cluster_0121	Zm00001d023439,Zm00001d023451	10
Cluster_0122	Zm00001d024208,Zm00001d024207,Zm00001d024210,Zm00001d024211	0,1,0
Cluster_0123	Zm00001d023215,Zm00001d023216	0
Cluster_0124	Zm00001d024266,Zm00001d024265,Zm00001d024252	5,0
Cluster_0125	Zm00001d023217,Zm00001d023225	4
Cluster_0126	Zm00001d023455,Zm00001d023456	0
Cluster_0127	Zm00001d024306,Zm00001d024305	0
Cluster_0128	Zm00001d024323,Zm00001d024322	0
Cluster_0129	Zm00001d024349,Zm00001d024351	1
Cluster_0130	Zm00001d024356,Zm00001d024355	0
Cluster_0131	Zm00001d023472,Zm00001d023469	2
Cluster_0132	Zm00001d024392,Zm00001d024378,Zm00001d024386,Zm00001d024382,Zm00001d024379	0,0,1,3
Cluster_0133	Zm00001d023481,Zm00001d023493,Zm00001d023489,Zm00001d023490,Zm00001d023491,Zm00001d023483,Zm00001d023487,Zm00001d023484,Zm00001d023485,Zm00001d023486	0,0,0,0,0,1,0,0,1
Cluster_0134	Zm00001d024458,Zm00001d024454,Zm00001d024447	1,3
Cluster_0135	Zm00001d023494,Zm00001d023492	1
Cluster_0136	Zm00001d024486,Zm00001d024481,Zm00001d024478,Zm00001d024477,Zm00001d024480,Zm00001d024479	0,0,0,0,2
Cluster_0137	Zm00001d023499,Zm00001d023498	0
Cluster_0138	Zm00001d024493,Zm00001d024492	0
Cluster_0139	Zm00001d024494,Zm00001d024495	0
Cluster_0140	Zm00001d023503,Zm00001d023511	4
Cluster_0141	Zm00001d024546,Zm00001d024547	0
Cluster_0142	Zm00001d023506,Zm00001d023504	0
Cluster_0143	Zm00001d024562,Zm00001d024554,Zm00001d024558,Zm00001d024565,Zm00001d024559	0,0,1,1
Cluster_0144	Zm00001d024563,Zm00001d024553	5
Cluster_0145	Zm00001d024567,Zm00001d024568	0
Cluster_0146	Zm00001d024591,Zm00001d024593	1
Cluster_0147	Zm00001d024595,Zm00001d024594	0
Cluster_0148	Zm00001d024607,Zm00001d024610	1
Cluster_0149	Zm00001d024617,Zm00001d024619,Zm00001d024615	0,0
Cluster_0150	Zm00001d024627,Zm00001d024628	0
Cluster_0151	Zm00001d024651,Zm00001d024653,Zm00001d024657	1,3
Cluster_0152	Zm00001d024664,Zm00001d024665	0
Cluster_0153	Zm00001d024667,Zm00001d024669	0
Cluster_0154	Zm00001d024694,Zm00001d024693,Zm00001d024697,Zm00001d024695	0,0,0
Cluster_0155	Zm00001d024710,Zm00001d024711	0
Cluster_0156	Zm00001d024723,Zm00001d024722	0
Cluster_0157	Zm00001d024725,Zm00001d024726	0
Cluster_0158	Zm00001d024734,Zm00001d024738,Zm00001d024735,Zm00001d024740	0,0,1
Cluster_0159	Zm00001d024744,Zm00001d024755	7
Cluster_0160	Zm00001d024752,Zm00001d024753,Zm00001d024745,Zm00001d024751,Zm00001d024749,Zm00001d024750	0,0,0,0,0
Cluster_0161	Zm00001d023228,Zm00001d023227	0
Cluster_0162	Zm00001d024759,Zm00001d024760,Zm00001d024761	0,0
Cluster_0163	Zm00001d024770,Zm00001d024771	0
Cluster_0164	Zm00001d024810,Zm00001d024814,Zm00001d024809	0,2
Cluster_0165	Zm00001d024844,Zm00001d024849	1
Cluster_0166	Zm00001d024853,Zm00001d024850,Zm00001d024851,Zm00001d024852,Zm00001d024843	3,0,0,0
Cluster_0167	Zm00001d024871,Zm00001d024867	2
Cluster_0168	Zm00001d024895,Zm00001d024894	0
Cluster_0169	Zm00001d024897,Zm00001d024900	1
Cluster_0170	Zm00001d024907,Zm00001d024906	0
Cluster_0171	Zm00001d023541,Zm00001d023539,Zm00001d023540	0,0
Cluster_0172	Zm00001d024946,Zm00001d024943	1
Cluster_0173	Zm00001d024962,Zm00001d024961	0
Cluster_0174	Zm00001d024979,Zm00001d024978,Zm00001d024977	0,0
Cluster_0175	Zm00001d023548,Zm00001d023554,Zm00001d023551	0,2
Cluster_0176	Zm00001d025000,Zm00001d024999	0
Cluster_0177	Zm00001d025019,Zm00001d025022	2
Cluster_0178	Zm00001d030095,Zm00001d030094	0
Cluster_0179	Zm00001d030130,Zm00001d030127	1
Cluster_0180	Zm00001d030159,Zm00001d030158	0
Cluster_0181	Zm00001d027679,Zm00001d027678	0
Cluster_0182	Zm00001d030177,Zm00001d030180	1
Cluster_0183	Zm00001d027684,Zm00001d027685	0
Cluster_0184	Zm00001d027686,Zm00001d027687	0
Cluster_0185	Zm00001d030207,Zm00001d030208	0
Cluster_0186	Zm00001d030213,Zm00001d030212,Zm00001d030218	0,3
Cluster_0187	Zm00001d030234,Zm00001d030233,Zm00001d030235	0,0
Cluster_0188	Zm00001d030248,Zm00001d030253	3
Cluster_0189	Zm00001d030275,Zm00001d030276,Zm00001d030277,Zm00001d030274	0,0,0
Cluster_0190	Zm00001d030282,Zm00001d030270,Zm00001d030285,Zm00001d030269	0,7,0
Cluster_0191	Zm00001d027718,Zm00001d027717	0
Cluster_0192	Zm00001d030303,Zm00001d030304	0
Cluster_0193	Zm00001d030316,Zm00001d030314	0
Cluster_0194	Zm00001d027732,Zm00001d027733	0
Cluster_0195	Zm00001d027737,Zm00001d027736	0
Cluster_0196	Zm00001d030347,Zm00001d030348	0
Cluster_0197	Zm00001d030409,Zm00001d030411	0
Cluster_0198	Zm00001d030471,Zm00001d030470	0
Cluster_0199	Zm00001d030484,Zm00001d030487	2
Cluster_0200	Zm00001d030502,Zm00001d030501	0
Cluster_0201	Zm00001d030516,Zm00001d030517	0
Cluster_0202	Zm00001d030534,Zm00001d030536,Zm00001d030535	0,0
Cluster_0203	Zm00001d030542,Zm00001d030540	0
Cluster_0204	Zm00001d030573,Zm00001d030572	0
Cluster_0205	Zm00001d030587,Zm00001d030588	0
Cluster_0206	Zm00001d030675,Zm00001d030676	0
Cluster_0207	Zm00001d030680,Zm00001d030679	0
Cluster_0208	Zm00001d027855,Zm00001d027859	2
Cluster_0209	Zm00001d030720,Zm00001d030707	6
Cluster_0210	Zm00001d030765,Zm00001d030767	1
Cluster_0211	Zm00001d030782,Zm00001d030780,Zm00001d030781	0,0
Cluster_0212	Zm00001d030801,Zm00001d030803	1
Cluster_0213	Zm00001d030819,Zm00001d030813,Zm00001d030818,Zm00001d030822,Zm00001d030814,Zm00001d030824,Zm00001d030821	0,2,0,0,0,0
Cluster_0214	Zm00001d030841,Zm00001d030842	0
Cluster_0215	Zm00001d030848,Zm00001d030847	0
Cluster_0216	Zm00001d030856,Zm00001d030845,Zm00001d030851	5,1
Cluster_0217	Zm00001d030860,Zm00001d030861	0
Cluster_0218	Zm00001d030908,Zm00001d030907,Zm00001d030909	0,0
Cluster_0219	Zm00001d030934,Zm00001d030920	8
Cluster_0220	Zm00001d030942,Zm00001d030941	0
Cluster_0221	Zm00001d030947,Zm00001d030950	0
Cluster_0222	Zm00001d030971,Zm00001d030972	0
Cluster_0223	Zm00001d027900,Zm00001d027901,Zm00001d027899	0,0
Cluster_0224	Zm00001d027283,Zm00001d027281	0
Cluster_0225	Zm00001d031023,Zm00001d031020,Zm00001d031022	0,0
Cluster_0226	Zm00001d031078,Zm00001d031077	0
Cluster_0227	Zm00001d027925,Zm00001d027924,Zm00001d027929,Zm00001d027928	0,1,0
Cluster_0228	Zm00001d031123,Zm00001d031122	0
Cluster_0229	Zm00001d031155,Zm00001d031157,Zm00001d031158,Zm00001d031152	1,0,0
Cluster_0230	Zm00001d027946,Zm00001d027948	1
Cluster_0231	Zm00001d027947,Zm00001d027949	1
Cluster_0232	Zm00001d031204,Zm00001d031203	0
Cluster_0233	Zm00001d031221,Zm00001d031222	0
Cluster_0234	Zm00001d027954,Zm00001d027956	1
Cluster_0235	Zm00001d027957,Zm00001d027955	1
Cluster_0236	Zm00001d031281,Zm00001d031280	0
Cluster_0237	Zm00001d031303,Zm00001d031300	1
Cluster_0238	Zm00001d031305,Zm00001d031306	0
Cluster_0239	Zm00001d031309,Zm00001d031308	0
Cluster_0240	Zm00001d031338,Zm00001d031351,Zm00001d031395,Zm00001d031407,Zm00001d031366,Zm00001d031372,Zm00001d031384,Zm00001d031381	9,8,4,5,1,3,8
Cluster_0241	Zm00001d031340,Zm00001d031341	0
Cluster_0242	Zm00001d031345,Zm00001d031346	0
Cluster_0243	Zm00001d031359,Zm00001d031377,Zm00001d031398	12,10
Cluster_0244	Zm00001d031380,Zm00001d031367,Zm00001d031375,Zm00001d031409,Zm00001d031404,Zm00001d031396,Zm00001d031410	5,2,7,5,3,0
Cluster_0245	Zm00001d031402,Zm00001d031379,Zm00001d031349,Zm00001d031364,Zm00001d031403	8,9,12,0
Cluster_0246	Zm00001d031437,Zm00001d031434	2
Cluster_0247	Zm00001d031457,Zm00001d031459	1
Cluster_0248	Zm00001d031466,Zm00001d031467	0
Cluster_0249	Zm00001d027978,Zm00001d027979	0
Cluster_0250	Zm00001d031488,Zm00001d031489	0
Cluster_0251	Zm00001d031501,Zm00001d031499,Zm00001d031498,Zm00001d031500	0,0,0
Cluster_0252	Zm00001d031517,Zm00001d031516	0
Cluster_0253	Zm00001d031549,Zm00001d031550	0
Cluster_0254	Zm00001d027290,Zm00001d027291	0
Cluster_0255	Zm00001d031555,Zm00001d031556	0
Cluster_0256	Zm00001d031605,Zm00001d031604	0
Cluster_0257	Zm00001d031615,Zm00001d031616	0
Cluster_0258	Zm00001d031620,Zm00001d031626,Zm00001d031625	1,0
Cluster_0259	Zm00001d027995,Zm00001d027996	0
Cluster_0260	Zm00001d031629,Zm00001d031630	0
Cluster_0261	Zm00001d031639,Zm00001d031638	0
Cluster_0262	Zm00001d031669,Zm00001d031672	2
Cluster_0263	Zm00001d031670,Zm00001d031671	0
Cluster_0264	Zm00001d028002,Zm00001d028003	0
Cluster_0265	Zm00001d031751,Zm00001d031750	0
Cluster_0266	Zm00001d031764,Zm00001d031765	0
Cluster_0267	Zm00001d031771,Zm00001d031772	0
Cluster_0268	Zm00001d031779,Zm00001d031778	0
Cluster_0269	Zm00001d028009,Zm00001d028008	0
Cluster_0270	Zm00001d031805,Zm00001d031801,Zm00001d031804,Zm00001d031800	0,1,0
Cluster_0271	Zm00001d031814,Zm00001d031815,Zm00001d031813,Zm00001d031811	0,0,0
Cluster_0272	Zm00001d031822,Zm00001d031823	0
Cluster_0273	Zm00001d031870,Zm00001d031868	1
Cluster_0274	Zm00001d031902,Zm00001d031903	0
Cluster_0275	Zm00001d031904,Zm00001d031906,Zm00001d031907	0,0
Cluster_0276	Zm00001d031945,Zm00001d031951,Zm00001d031953	5,1
Cluster_0277	Zm00001d031949,Zm00001d031952,Zm00001d031946,Zm00001d031954	2,2,1
Cluster_0278	Zm00001d031956,Zm00001d031957	0
Cluster_0279	Zm00001d031986,Zm00001d031988	1
Cluster_0280	Zm00001d031993,Zm00001d031994	0
Cluster_0281	Zm00001d032004,Zm00001d032003,Zm00001d032000	0,0
Cluster_0282	Zm00001d032032,Zm00001d032024	7
Cluster_0283	Zm00001d032042,Zm00001d032035	2
Cluster_0284	Zm00001d032048,Zm00001d032047	0
Cluster_0285	Zm00001d032053,Zm00001d032054	0
Cluster_0286	Zm00001d032088,Zm00001d032094,Zm00001d032091	2,1
Cluster_0287	Zm00001d032107,Zm00001d032103	3
Cluster_0288	Zm00001d032166,Zm00001d032168,Zm00001d032170	1,0
Cluster_0289	Zm00001d032175,Zm00001d032177	1
Cluster_0290	Zm00001d032179,Zm00001d032178	0
Cluster_0291	Zm00001d028062,Zm00001d028063	0
Cluster_0292	Zm00001d032287,Zm00001d032285	1
Cluster_0293	Zm00001d032317,Zm00001d032320	2
Cluster_0294	Zm00001d032336,Zm00001d032335	0
Cluster_0295	Zm00001d032358,Zm00001d032357	0
Cluster_0296	Zm00001d032391,Zm00001d032392,Zm00001d032394	0,1
Cluster_0297	Zm00001d032405,Zm00001d032406	0
Cluster_0298	Zm00001d032423,Zm00001d032422	0
Cluster_0299	Zm00001d032447,Zm00001d032448	0
Cluster_0300	Zm00001d032459,Zm00001d032458,Zm00001d032467,Zm00001d032468	0,5,0
Cluster_0301	Zm00001d032471,Zm00001d032470	0
Cluster_0302	Zm00001d032492,Zm00001d032491	0
Cluster_0303	Zm00001d032496,Zm00001d032497	0
Cluster_0304	Zm00001d032500,Zm00001d032499	0
Cluster_0305	Zm00001d032516,Zm00001d032515	0
Cluster_0306	Zm00001d028102,Zm00001d028100	0
Cluster_0307	Zm00001d032550,Zm00001d032557	5
Cluster_0308	Zm00001d032556,Zm00001d032548	5
Cluster_0309	Zm00001d032560,Zm00001d032561	0
Cluster_0310	Zm00001d032605,Zm00001d032608	1
Cluster_0311	Zm00001d032630,Zm00001d032624,Zm00001d032626,Zm00001d032631,Zm00001d032628,Zm00001d032629	1,0,0,0,0
Cluster_0312	Zm00001d028115,Zm00001d028116	0
Cluster_0313	Zm00001d032691,Zm00001d032692	0
Cluster_0314	Zm00001d032721,Zm00001d032719	0
Cluster_0315	Zm00001d032724,Zm00001d032722	0
Cluster_0316	Zm00001d032744,Zm00001d032740	2
Cluster_0317	Zm00001d032747,Zm00001d032745,Zm00001d032746	0,0
Cluster_0318	Zm00001d032753,Zm00001d032750	0
Cluster_0319	Zm00001d032785,Zm00001d032787	1
Cluster_0320	Zm00001d032794,Zm00001d032797,Zm00001d032795,Zm00001d032791	2,0,1
Cluster_0321	Zm00001d032836,Zm00001d032837	0
Cluster_0322	Zm00001d032843,Zm00001d032847	3
Cluster_0323	Zm00001d032870,Zm00001d032868,Zm00001d032869	0,0
Cluster_0324	Zm00001d032883,Zm00001d032881,Zm00001d032882,Zm00001d032876,Zm00001d032884,Zm00001d032886,Zm00001d032885	4,0,0,0,0,0
Cluster_0325	Zm00001d028151,Zm00001d028144	1
Cluster_0326	Zm00001d032917,Zm00001d032916	0
Cluster_0327	Zm00001d032929,Zm00001d032927	0
Cluster_0328	Zm00001d032942,Zm00001d032943	0
Cluster_0329	Zm00001d032947,Zm00001d032946	0
Cluster_0330	Zm00001d032974,Zm00001d032975	0
Cluster_0331	Zm00001d032987,Zm00001d032985,Zm00001d032988	1,0
Cluster_0332	Zm00001d033023,Zm00001d033021	1
Cluster_0333	Zm00001d033030,Zm00001d033029	0
Cluster_0334	Zm00001d033050,Zm00001d033049	0
Cluster_0335	Zm00001d033063,Zm00001d033061,Zm00001d033062	0,0
Cluster_0336	Zm00001d033068,Zm00001d033066,Zm00001d033067,Zm00001d033071	0,0,1
Cluster_0337	Zm00001d028164,Zm00001d028162	0
Cluster_0338	Zm00001d033109,Zm00001d033108	0
Cluster_0339	Zm00001d033119,Zm00001d033120	0
Cluster_0340	Zm00001d033130,Zm00001d033129	0
Cluster_0341	Zm00001d033132,Zm00001d033136	2
Cluster_0342	Zm00001d033154,Zm00001d033156	1
Cluster_0343	Zm00001d033170,Zm00001d033171	0
Cluster_0344	Zm00001d033190,Zm00001d033189	0
Cluster_0345	Zm00001d033201,Zm00001d033200,Zm00001d033195,Zm00001d033196	0,0,0
Cluster_0346	Zm00001d033207,Zm00001d033208	0
Cluster_0347	Zm00001d033247,Zm00001d033248,Zm00001d033252,Zm00001d033250	0,1,0
Cluster_0348	Zm00001d033256,Zm00001d033254	0
Cluster_0349	Zm00001d033272,Zm00001d033273	0
Cluster_0350	Zm00001d033314,Zm00001d033315,Zm00001d033313	0,0
Cluster_0351	Zm00001d033348,Zm00001d033351	2
Cluster_0352	Zm00001d033362,Zm00001d033360	1
Cluster_0353	Zm00001d033408,Zm00001d033409	0
Cluster_0354	Zm00001d033412,Zm00001d033407,Zm00001d033413	4,0
Cluster_0355	Zm00001d033415,Zm00001d033416	0
Cluster_0356	Zm00001d033436,Zm00001d033438,Zm00001d033433,Zm00001d033440,Zm00001d033434,Zm00001d033442,Zm00001d033430,Zm00001d033429	0,0,0,0,0,0,0
Cluster_0357	Zm00001d033462,Zm00001d033460,Zm00001d033463,Zm00001d033464	1,0,0
Cluster_0358	Zm00001d033489,Zm00001d033490	0
Cluster_0359	Zm00001d033514,Zm00001d033516	0
Cluster_0360	Zm00001d033530,Zm00001d033531	0
Cluster_0361	Zm00001d033535,Zm00001d033537	0
Cluster_0362	Zm00001d033544,Zm00001d033543	0
Cluster_0363	Zm00001d033571,Zm00001d033564	5
Cluster_0364	Zm00001d033606,Zm00001d033607	0
Cluster_0365	Zm00001d033624,Zm00001d033623	0
Cluster_0366	Zm00001d033627,Zm00001d033625	0
Cluster_0367	Zm00001d033651,Zm00001d033649,Zm00001d033650	0,0
Cluster_0368	Zm00001d033658,Zm00001d033659	0
Cluster_0369	Zm00001d033694,Zm00001d033689,Zm00001d033686	0,2
Cluster_0370	Zm00001d033710,Zm00001d033711,Zm00001d033709	0,0
Cluster_0371	Zm00001d033722,Zm00001d033721	0
Cluster_0372	Zm00001d033741,Zm00001d033742	0
Cluster_0373	Zm00001d033754,Zm00001d033765	2
Cluster_0374	Zm00001d033837,Zm00001d033836	0
Cluster_0375	Zm00001d033861,Zm00001d033859	1
Cluster_0376	Zm00001d033890,Zm00001d033892,Zm00001d033891	0,0
Cluster_0377	Zm00001d033897,Zm00001d033899	1
Cluster_0378	Zm00001d033927,Zm00001d033929	1
Cluster_0379	Zm00001d033979,Zm00001d033980	0
Cluster_0380	Zm00001d028252,Zm00001d028249	1
Cluster_0381	Zm00001d034002,Zm00001d034003	0
Cluster_0382	Zm00001d034015,Zm00001d034017	0
Cluster_0383	Zm00001d034043,Zm00001d034041,Zm00001d034040	0,1
Cluster_0384	Zm00001d034045,Zm00001d034047	1
Cluster_0385	Zm00001d034058,Zm00001d034057	0
Cluster_0386	Zm00001d034066,Zm00001d034068,Zm00001d034069,Zm00001d034067	0,0,0
Cluster_0387	Zm00001d034096,Zm00001d034107,Zm00001d034095,Zm00001d034097,Zm00001d034103,Zm00001d034104	0,0,2,0,2
Cluster_0388	Zm00001d034129,Zm00001d034128	0
Cluster_0389	Zm00001d034137,Zm00001d034125	7
Cluster_0390	Zm00001d034166,Zm00001d034164,Zm00001d034167,Zm00001d034165	0,0,0
Cluster_0391	Zm00001d034186,Zm00001d034184	0
Cluster_0392	Zm00001d034200,Zm00001d034201	0
Cluster_0393	Zm00001d028269,Zm00001d028270	0
Cluster_0394	Zm00001d034237,Zm00001d034232	1
Cluster_0395	Zm00001d034247,Zm00001d034246	0
Cluster_0396	Zm00001d027320,Zm00001d027321	0
Cluster_0397	Zm00001d034254,Zm00001d034253	0
Cluster_0398	Zm00001d034265,Zm00001d034266	0
Cluster_0399	Zm00001d034305,Zm00001d034307	0
Cluster_0400	Zm00001d034322,Zm00001d034324	0
Cluster_0401	Zm00001d034327,Zm00001d034331	1
Cluster_0402	Zm00001d034333,Zm00001d034330	1
Cluster_0403	Zm00001d028280,Zm00001d028286	4
Cluster_0404	Zm00001d034376,Zm00001d034372	1
Cluster_0405	Zm00001d034385,Zm00001d034387,Zm00001d034388	0,0
Cluster_0406	Zm00001d034417,Zm00001d034418,Zm00001d034419	0,0
Cluster_0407	Zm00001d034432,Zm00001d034431	0
Cluster_0408	Zm00001d034446,Zm00001d034454,Zm00001d034456	5,1
Cluster_0409	Zm00001d034452,Zm00001d034453	0
Cluster_0410	Zm00001d034457,Zm00001d034455,Zm00001d034447,Zm00001d034448	0,4,1
Cluster_0411	Zm00001d034460,Zm00001d034461	0
Cluster_0412	Zm00001d034483,Zm00001d034482	0
Cluster_0413	Zm00001d034489,Zm00001d034488	0
Cluster_0414	Zm00001d034521,Zm00001d034520	0
Cluster_0415	Zm00001d034542,Zm00001d034541,Zm00001d034540,Zm00001d034538	0,0,0
Cluster_0416	Zm00001d034552,Zm00001d034551	0
Cluster_0417	Zm00001d034553,Zm00001d034554	0
Cluster_0418	Zm00001d034621,Zm00001d034620	0
