Duplicate_ID	B_Genes	P_Genes	B_Ages	P_Ages
Nonsyntenic_Dup_0029	Zm00001d002204,Zm00001d002205,Zm00001d002211,Zm00001d002216,Zm00001d002217,Zm00001d002224,Zm00001d002225,Zm00001d002230,Zm00001d002231,Zm00001d002232	Zm00008a006214,Zm00008a006226	11.8819460392,0.000808796540944,0.0892977639603,0.0892977639603,11.8819460392,11.8819460392,11.8819460392,11.8819460392,0.0025587363624	0.00540129833623
Nonsyntenic_Dup_0030	Zm00001d002204,Zm00001d002205,Zm00001d002211,Zm00001d002216,Zm00001d002217,Zm00001d002224,Zm00001d002225,Zm00001d002230,Zm00001d002231,Zm00001d002232	Zm00008a006197,Zm00008a006200	11.8424646529,0.078258894751,0.388680449281,0.388680449281,11.8424646529,11.8424646529,11.8424646529,11.8424646529,0.246693395436	0.111036031723
Nonsyntenic_Dup_0031	Zm00001d002204,Zm00001d002205,Zm00001d002211,Zm00001d002216,Zm00001d002217,Zm00001d002224,Zm00001d002225,Zm00001d002230,Zm00001d002231,Zm00001d002232	Zm00008a006216,Zm00008a006221,Zm00008a006227,Zm00008a006228	1.43349005061,0.141093581019,11.7309210222,11.7309210222,1.43349005061,1.43349005061,1.43349005061,1.43349005061,0.614024018914	1.43349005061,1.43349005061,0.614024018914
Nonsyntenic_Dup_0032	Zm00001d002207,Zm00001d002220,Zm00001d002227	Zm00008a006219	6.94603532754,0.555934591813	NA
Nonsyntenic_Dup_0033	Zm00001d002260,Zm00001d002261	Zm00008a006249	11.8480762385	NA
Nonsyntenic_Dup_0034	Zm00001d002302	Zm00008a006280,Zm00008a006282	NA	11.8114420031
Nonsyntenic_Dup_0035	Zm00001d002304	Zm00008a006280,Zm00008a006282	NA	11.7334765943
Nonsyntenic_Dup_0036	Zm00001d002349,Zm00001d002350,Zm00001d002351	Zm00008a006308,Zm00008a006313,Zm00008a006315	11.7348324132,11.7348324132	2.44804919338,0.687371171588
Nonsyntenic_Dup_0037	Zm00001d002393,Zm00001d002394	Zm00008a006352,Zm00008a006353	11.7375455514	11.7375455514
Nonsyntenic_Dup_0038	Zm00001d002399,Zm00001d002402	Zm00008a006356	11.7257470827	NA
Nonsyntenic_Dup_0039	Zm00001d002410,Zm00001d002412	Zm00008a006365	11.7197318674	NA
Nonsyntenic_Dup_0040	Zm00001d002434,Zm00001d002435,Zm00001d002436	Zm00008a006383,Zm00008a006384,Zm00008a006385	11.9227035016,0.00219563609255	0.00140798594551,0.00198753246379
Nonsyntenic_Dup_0041	Zm00001d002446,Zm00001d002447	Zm00008a006392	11.8891160596	NA
Nonsyntenic_Dup_0042	Zm00001d002473,Zm00001d002474	Zm00008a006406,Zm00008a006419	11.9209320627	0.0018842529923
Nonsyntenic_Dup_0043	Zm00001d002520,Zm00001d002521,Zm00001d002522,Zm00001d002523,Zm00001d002530	Zm00008a006453,Zm00008a006454	0.00187008668006,0.00176612525119,11.9080244152,11.9080244152	0.00187008668006
Nonsyntenic_Dup_0044	Zm00001d002543,Zm00001d002546	Zm00008a006471,Zm00008a006474	11.7388087355	11.4158665751
Nonsyntenic_Dup_0045	Zm00001d002570,Zm00001d002572	Zm00008a006488,Zm00008a006489	0.0016070993122	0.000827313513281
Nonsyntenic_Dup_0046	Zm00001d002698,Zm00001d002699	Zm00008a006569,Zm00008a006571	11.7433229595	11.7433229595
Nonsyntenic_Dup_0047	Zm00001d002705,Zm00001d002708	Zm00008a006579,Zm00008a006583	1.46363327365	0.976444788618
Nonsyntenic_Dup_0048	Zm00001d002727,Zm00001d002728,Zm00001d002729	Zm00008a006598,Zm00008a006599	11.9020444114,0.00293687929214	0.00293687929214
Nonsyntenic_Dup_0049	Zm00001d002744,Zm00001d002747,Zm00001d002748	Zm00008a006614	11.7345277075,1.70399669201	NA
Nonsyntenic_Dup_0050	Zm00001d002760,Zm00001d002761,Zm00001d002762	Zm00008a006630	0.00099965170271,11.888341813	NA
Nonsyntenic_Dup_0051	Zm00001d002812,Zm00001d002814	Zm00008a006666	11.7378530749	NA
Nonsyntenic_Dup_0052	Zm00001d002843	Zm00008a006695,Zm00008a006696	NA	6.47030524961
Nonsyntenic_Dup_0053	Zm00001d002847,Zm00001d002848	Zm00008a006699,Zm00008a006701	11.7420240286	4.34705274819
Nonsyntenic_Dup_0054	Zm00001d002886,Zm00001d002887	Zm00008a006735	11.729907471	NA
Nonsyntenic_Dup_0055	Zm00001d002888,Zm00001d002893	Zm00008a006736	8.24215173229	NA
Nonsyntenic_Dup_0056	Zm00001d002897,Zm00001d002898,Zm00001d002899,Zm00001d002901,Zm00001d002902	Zm00008a006743	11.9030093632,11.9030093632,0.000995765044187,0.000995765044187	NA
Nonsyntenic_Dup_0057	Zm00001d002907,Zm00001d002915	Zm00008a006750	11.818197079	NA
Nonsyntenic_Dup_0058	Zm00001d002972,Zm00001d002974	Zm00008a006824,Zm00008a006829	11.7192643868	2.17685374765
Nonsyntenic_Dup_0059	Zm00001d002972,Zm00001d002974	Zm00008a006827	11.7666527343	NA
Nonsyntenic_Dup_0060	Zm00001d003015,Zm00001d003016	Zm00008a006866,Zm00008a006867	11.7297485808	0.959551708185
Nonsyntenic_Dup_0061	Zm00001d003019,Zm00001d003021,Zm00001d003023	Zm00008a006875	9.02280930645,0.925512989952	NA
Nonsyntenic_Dup_0062	Zm00001d003044,Zm00001d003045,Zm00001d003046	Zm00008a006895,Zm00008a006896	11.741272702,11.741272702	2.28604019443
Nonsyntenic_Dup_0063	Zm00001d003058,Zm00001d003059	Zm00008a006904,Zm00008a006905	11.8985810947	0.122079286076
Nonsyntenic_Dup_0064	Zm00001d003066,Zm00001d003067	Zm00008a006908,Zm00008a006910	1.4667702373	1.31612929982
Nonsyntenic_Dup_0065	Zm00001d003069,Zm00001d003070	Zm00008a006912	11.7345552239	NA
Nonsyntenic_Dup_0066	Zm00001d003140,Zm00001d003142,Zm00001d003144	Zm00008a006963,Zm00008a006964	11.8980118867,0.000831028332633	0.00239489554721
Nonsyntenic_Dup_0067	Zm00001d003151,Zm00001d003155	Zm00008a006970	11.7699599954	NA
Nonsyntenic_Dup_0068	Zm00001d003173,Zm00001d003174	Zm00008a006982	11.80955266	NA
Nonsyntenic_Dup_0069	Zm00001d003183,Zm00001d003184,Zm00001d003185,Zm00001d003186,Zm00001d003187	Zm00008a006993,Zm00008a006994,Zm00008a006995,Zm00008a006996,Zm00008a006997	11.7195899018,11.7195899018,3.35271930922,3.05856299558	0.328443103413,1.87266604089,3.35271930922,3.05856299558
Nonsyntenic_Dup_0070	Zm00001d003188,Zm00001d003190,Zm00001d003191	Zm00008a006998	11.3028499151,0.155523735032	NA
Nonsyntenic_Dup_0071	Zm00001d003232,Zm00001d003234,Zm00001d003235,Zm00001d003237,Zm00001d003240	Zm00008a007031	11.7352471401,11.7352471401,0.537800514814,0.0990092706412	NA
Nonsyntenic_Dup_0072	Zm00001d003232,Zm00001d003234,Zm00001d003235,Zm00001d003237,Zm00001d003240	Zm00008a007033	11.721823317,11.721823317,1.88208704184,2.07166318511	NA
Nonsyntenic_Dup_0073	Zm00001d003277,Zm00001d003280	Zm00008a007073	11.7389782735	NA
Nonsyntenic_Dup_0074	Zm00001d003294,Zm00001d003295	Zm00008a007088	11.7878494431	NA
Nonsyntenic_Dup_0075	Zm00001d003304,Zm00001d003306	Zm00008a007096	11.8006676758	NA
Nonsyntenic_Dup_0076	Zm00001d003341,Zm00001d003342	Zm00008a007120	11.7029720481	NA
Nonsyntenic_Dup_0077	Zm00001d003341,Zm00001d003342	Zm00008a007121	1.09779359557	NA
Nonsyntenic_Dup_0078	Zm00001d003353,Zm00001d003355,Zm00001d003356,Zm00001d003357,Zm00001d003358,Zm00001d003363,Zm00001d003364,Zm00001d003365	Zm00008a007129,Zm00008a007132,Zm00008a007133,Zm00008a007134,Zm00008a007135	0.00201809368873,0.00174689527297,0.00201809368873,1.65937184306,0.00202423593828,0.0026742155881,11.91924928	0.00166017969124,0.00166017969124,0.00079422116173,0.000622910033914
Nonsyntenic_Dup_0079	Zm00001d003353,Zm00001d003355,Zm00001d003356,Zm00001d003357,Zm00001d003358,Zm00001d003363,Zm00001d003364,Zm00001d003365	Zm00008a007131	2.54671399228,2.96632779022,2.96632779022,11.7489774303,3.36034338892,4.61158572439,11.7489774303	NA
Nonsyntenic_Dup_0080	Zm00001d003396,Zm00001d003397	Zm00008a007157	0.0173674426434	NA
Nonsyntenic_Dup_0081	Zm00001d003432,Zm00001d003434,Zm00001d003436	Zm00008a007188,Zm00008a007189,Zm00008a007191	7.70587969811,11.7277829996	4.52454921766,4.52454921766
Nonsyntenic_Dup_0082	Zm00001d003468,Zm00001d003469,Zm00001d003471,Zm00001d003473	Zm00008a007204,Zm00008a007205,Zm00008a007211	11.8988656487,11.8988656487,0.00348663558287	0.00160206505215,0.00237633479721
Nonsyntenic_Dup_0083	Zm00001d003468,Zm00001d003469,Zm00001d003471,Zm00001d003473	Zm00008a007212	0.0136136473153,0.0136136473153,0.00101108832207	NA
Nonsyntenic_Dup_0084	Zm00001d003483,Zm00001d003488	Zm00008a007224,Zm00008a007226	11.7082880906	11.7082880906
Nonsyntenic_Dup_0085	Zm00001d003497,Zm00001d003499	Zm00008a007231	11.7596139114	NA
Nonsyntenic_Dup_0086	Zm00001d003501,Zm00001d003504	Zm00008a007233,Zm00008a007235	11.904041222	0.000359409232892
Nonsyntenic_Dup_0087	Zm00001d003566,Zm00001d003567	Zm00008a007281,Zm00008a007282	11.7946748023	11.7946748023
Nonsyntenic_Dup_0088	Zm00001d003605,Zm00001d003606,Zm00001d003607	Zm00008a007314,Zm00008a007315	11.7654599519,11.7654599519	10.6514998448
Nonsyntenic_Dup_0089	Zm00001d003661,Zm00001d003662	Zm00008a007359	11.8001797828	NA
Nonsyntenic_Dup_0090	Zm00001d003680,Zm00001d003683	Zm00008a007374,Zm00008a007375	11.7402787808	2.10009415897
Nonsyntenic_Dup_0091	Zm00001d003695,Zm00001d003696,Zm00001d003699,Zm00001d003701	Zm00008a007380,Zm00008a007381,Zm00008a007382,Zm00008a007383	0.00103923266788,0.00604418479975,11.9002931434	0.00253811351148,0.00253811351148,0.000672864376177
Nonsyntenic_Dup_0092	Zm00001d003719,Zm00001d003722	Zm00008a007400,Zm00008a007401	11.7091015864	11.7091015864
Nonsyntenic_Dup_0093	Zm00001d003724	Zm00008a007404,Zm00008a007406	NA	11.7303667772
Nonsyntenic_Dup_0094	Zm00001d003725	Zm00008a007402,Zm00008a007408	NA	11.7259963562
Nonsyntenic_Dup_0095	Zm00001d003782,Zm00001d003783	Zm00008a007446	11.8210827751	NA
Nonsyntenic_Dup_0096	Zm00001d003786,Zm00001d003791,Zm00001d003794	Zm00008a007448	0.394008070019,0.351265159673	NA
Nonsyntenic_Dup_0097	Zm00001d003786,Zm00001d003791,Zm00001d003794	Zm00008a007453	0.153437608496,0.249830598479	NA
Nonsyntenic_Dup_0098	Zm00001d003800	Zm00008a007460,Zm00008a007463	NA	11.8344419853
Nonsyntenic_Dup_0099	Zm00001d003866,Zm00001d003867	Zm00008a007531	11.831748429	NA
Nonsyntenic_Dup_0100	Zm00001d003871	Zm00008a007535,Zm00008a007545	NA	11.7360732963
Nonsyntenic_Dup_0101	Zm00001d003939,Zm00001d003941	Zm00008a007596,Zm00008a007598	11.7129395592	2.72775016946
Nonsyntenic_Dup_0102	Zm00001d003949,Zm00001d003950,Zm00001d003954	Zm00008a007602,Zm00008a007603,Zm00008a007609	1.45923602392,11.7360680711	1.45923602392,1.64781781814
Nonsyntenic_Dup_0103	Zm00001d003961,Zm00001d003962	Zm00008a007612,Zm00008a007613	9.9776950379	11.7289005634
Nonsyntenic_Dup_0104	Zm00001d004018	Zm00008a007641,Zm00008a007642	NA	7.47656946063
Nonsyntenic_Dup_0105	Zm00001d004025,Zm00001d004033	Zm00008a007650,Zm00008a007657	11.8316224128	11.8316224128
Nonsyntenic_Dup_0106	Zm00001d004072	Zm00008a007682,Zm00008a007684	NA	11.7423958068
Nonsyntenic_Dup_0107	Zm00001d004074	Zm00008a007682,Zm00008a007684	NA	11.7324173266
Nonsyntenic_Dup_0108	Zm00001d004127	Zm00008a007717,Zm00008a007719,Zm00008a007720	NA	11.7481722428,3.53537468332
Nonsyntenic_Dup_0109	Zm00001d004162	Zm00008a007746,Zm00008a007747	NA	8.03040875802
Nonsyntenic_Dup_0110	Zm00001d004230,Zm00001d004234	Zm00008a007791,Zm00008a007793	11.8958796457	0.00199053529589
Nonsyntenic_Dup_0111	Zm00001d004230,Zm00001d004234	Zm00008a007790	11.810521979	NA
Nonsyntenic_Dup_0112	Zm00001d004231,Zm00001d004232	Zm00008a007792	11.7299195159	NA
Nonsyntenic_Dup_0113	Zm00001d004301,Zm00001d004305,Zm00001d004306,Zm00001d004308	Zm00008a007832,Zm00008a007835,Zm00008a007836,Zm00008a007837	11.724141578,3.80993057516,1.11604327547	11.724141578,3.80993057516,1.11604327547
Nonsyntenic_Dup_0114	Zm00001d004322,Zm00001d004326	Zm00008a007843	11.7234072781	NA
Nonsyntenic_Dup_0115	Zm00001d004342	Zm00008a007853,Zm00008a007854	NA	11.7355054379
Nonsyntenic_Dup_0116	Zm00001d004344,Zm00001d004346	Zm00008a007853,Zm00008a007854	6.55884781546	5.06644736203
Nonsyntenic_Dup_0117	Zm00001d004355,Zm00001d004364,Zm00001d004371	Zm00008a007860,Zm00008a007870,Zm00008a007875	1.24097799639,11.7449174188	1.24097799639,11.7449174188
Nonsyntenic_Dup_0118	Zm00001d004355,Zm00001d004364,Zm00001d004371	Zm00008a007869	0.000262710680882,0.00213891185268	NA
Nonsyntenic_Dup_0119	Zm00001d004388	Zm00008a007885,Zm00008a007886	NA	11.7291882162
Nonsyntenic_Dup_0120	Zm00001d004387,Zm00001d004389	Zm00008a007885,Zm00008a007886	11.7278517211	11.7278517211
Nonsyntenic_Dup_0121	Zm00001d004415,Zm00001d004418	Zm00008a007901	11.8437300747	NA
Nonsyntenic_Dup_0122	Zm00001d004414,Zm00001d004417	Zm00008a007900,Zm00008a007904	11.8367266743	3.62988290826
Nonsyntenic_Dup_0123	Zm00001d004423,Zm00001d004424	Zm00008a007906,Zm00008a007907	11.7885224164	11.7885224164
Nonsyntenic_Dup_0124	Zm00001d004435,Zm00001d004436	Zm00008a007913,Zm00008a007914	11.8325951752	11.8325951752
Nonsyntenic_Dup_0125	Zm00001d004491,Zm00001d004503	Zm00008a007977,Zm00008a007987	11.7318878075	11.7318878075
Nonsyntenic_Dup_0126	Zm00001d004491,Zm00001d004503	Zm00008a007986	0.00117449184554	NA
Nonsyntenic_Dup_0127	Zm00001d004526,Zm00001d004527	Zm00008a007999	11.8434664367	NA
Nonsyntenic_Dup_0128	Zm00001d004526,Zm00001d004527	Zm00008a008000	7.67805391929	NA
Nonsyntenic_Dup_0129	Zm00001d004572,Zm00001d004589	Zm00008a008034	11.7296778847	NA
Nonsyntenic_Dup_0130	Zm00001d004573	Zm00008a008035,Zm00008a008040	NA	11.7593224321
Nonsyntenic_Dup_0131	Zm00001d004586	Zm00008a008035,Zm00008a008040	NA	11.729703167
Nonsyntenic_Dup_0132	Zm00001d004572,Zm00001d004589	Zm00008a008038	11.7718490555	NA
Nonsyntenic_Dup_0133	Zm00001d004676,Zm00001d004677	Zm00008a008092	11.7302114208	NA
Nonsyntenic_Dup_0134	Zm00001d004687,Zm00001d004689	Zm00008a008100,Zm00008a008101	11.753076343	4.93753002175
Nonsyntenic_Dup_0135	Zm00001d004718,Zm00001d004719	Zm00008a008130	10.3806449052	NA
Nonsyntenic_Dup_0136	Zm00001d004721,Zm00001d004725,Zm00001d004728,Zm00001d004729,Zm00001d004730	Zm00008a008133,Zm00008a008137,Zm00008a008138	7.04034078859,9.45773422965,11.7500062002,5.3098762641	9.45773422965,11.7500062002
Nonsyntenic_Dup_0137	Zm00001d004753,Zm00001d004754,Zm00001d004758	Zm00008a008156,Zm00008a008160,Zm00008a008163	11.7138908386,7.4567187936	11.7138908386,7.4567187936
Nonsyntenic_Dup_0138	Zm00001d004753,Zm00001d004754,Zm00001d004758	Zm00008a008162	0.0376053339208,0.0376377379524	NA
Nonsyntenic_Dup_0139	Zm00001d004763,Zm00001d004768	Zm00008a008170,Zm00008a008172	11.9044369675	0.00174139955875
Nonsyntenic_Dup_0140	Zm00001d004771,Zm00001d004772	Zm00008a008176,Zm00008a008177	0.258758778856	0.0716693671635
Nonsyntenic_Dup_0141	Zm00001d004839,Zm00001d004841	Zm00008a008218,Zm00008a008221	7.48513447208	0.265376995262
Nonsyntenic_Dup_0142	Zm00001d004884,Zm00001d004887,Zm00001d004888	Zm00008a008258,Zm00008a008259,Zm00008a008260,Zm00008a008262,Zm00008a008264,Zm00008a008274,Zm00008a008277	11.9056045455,11.9056045455	0.00171370147165,0.00682573440467,0.00682573440467,0.00378067889159,0.00378067889159,0.00378067889159
Nonsyntenic_Dup_0143	Zm00001d004942,Zm00001d004945,Zm00001d004949	Zm00008a008335	11.7572405765,9.44595938402	NA
Nonsyntenic_Dup_0144	Zm00001d004977,Zm00001d004978	Zm00008a008351,Zm00008a008352	11.7216382238	4.65180449287
Nonsyntenic_Dup_0145	Zm00001d004994,Zm00001d004995	Zm00008a008364	11.7376897556	NA
Nonsyntenic_Dup_0146	Zm00001d005012,Zm00001d005013	Zm00008a008376	11.7066083024	NA
Nonsyntenic_Dup_0147	Zm00001d005057	Zm00008a008405,Zm00008a008407	NA	6.23624591678
Nonsyntenic_Dup_0148	Zm00001d005075,Zm00001d005076,Zm00001d005077	Zm00008a008416	1.96493045491,1.96493045491	NA
Nonsyntenic_Dup_0149	Zm00001d005189,Zm00001d005190	Zm00008a008493,Zm00008a008494	11.9131448858	0.00164122148157
Nonsyntenic_Dup_0150	Zm00001d005191	Zm00008a008493,Zm00008a008494	NA	11.8015594115
Nonsyntenic_Dup_0151	Zm00001d005192	Zm00008a008493,Zm00008a008494	NA	4.76192850704
Nonsyntenic_Dup_0152	Zm00001d005283,Zm00001d005284	Zm00008a008553	11.8232495133	NA
Nonsyntenic_Dup_0153	Zm00001d005289	Zm00008a008559,Zm00008a008560	NA	8.7566676024
Nonsyntenic_Dup_0154	Zm00001d005374,Zm00001d005379,Zm00001d005380,Zm00001d005389	Zm00008a008619,Zm00008a008628,Zm00008a008634	6.43803974104,0.273525395903,11.7322867587	6.43803974104,11.7322867587
Nonsyntenic_Dup_0155	Zm00001d005375,Zm00001d005381,Zm00001d005391	Zm00008a008620,Zm00008a008626,Zm00008a008629,Zm00008a008635	0.00379238419866,11.885625847	0.0016562441606,0.000994544978002,0.000994544978002
Nonsyntenic_Dup_0156	Zm00001d005376	Zm00008a008621,Zm00008a008630	NA	11.7885782782
Nonsyntenic_Dup_0157	Zm00001d005377,Zm00001d005378,Zm00001d005383,Zm00001d005392	Zm00008a008624,Zm00008a008627,Zm00008a008631,Zm00008a008636	0.999546459414,11.7220497485,0.255536664274	0.157091183809,0.249090455497,0.376464895369
Nonsyntenic_Dup_0158	Zm00001d005410,Zm00001d005421	Zm00008a008651,Zm00008a008655	0.00168793256608	0.000798840136266
Nonsyntenic_Dup_0159	Zm00001d005436,Zm00001d005437	Zm00008a008666,Zm00008a008667	11.746271773	11.746271773
Nonsyntenic_Dup_0160	Zm00001d005540,Zm00001d005541	Zm00008a008734	8.13380536595	NA
Nonsyntenic_Dup_0161	Zm00001d005670	Zm00008a008808,Zm00008a008809	NA	11.7282099823
Nonsyntenic_Dup_0162	Zm00001d005678,Zm00001d005680	Zm00008a008825,Zm00008a008828	11.8305316008	11.8305316008
Nonsyntenic_Dup_0163	Zm00001d005688,Zm00001d005690	Zm00008a008835,Zm00008a008838	11.7360446689	11.7360446689
Nonsyntenic_Dup_0164	Zm00001d005716,Zm00001d005717,Zm00001d005719,Zm00001d005722	Zm00008a008855,Zm00008a008856	10.7266833035,11.7483782523,11.7483782523	11.7483782523
Nonsyntenic_Dup_0165	Zm00001d005786,Zm00001d005787,Zm00001d005788	Zm00008a008935,Zm00008a008936,Zm00008a008938	0.00475783220442,11.8247587001	0.00475783220442,11.8247587001
Nonsyntenic_Dup_0166	Zm00001d005821,Zm00001d005822,Zm00001d005823	Zm00008a008970,Zm00008a008971,Zm00008a008973	9.84286672822,11.7359453223	0.447800850665,1.85619252024
Nonsyntenic_Dup_0167	Zm00001d005859,Zm00001d005860	Zm00008a009001,Zm00008a009002	11.7196684779	11.7196684779
Nonsyntenic_Dup_0168	Zm00001d005878,Zm00001d005879	Zm00008a009016	1.96258851907	NA
Nonsyntenic_Dup_0169	Zm00001d005905,Zm00001d005909,Zm00001d005910	Zm00008a009038,Zm00008a009042,Zm00008a009043	11.7412802658,11.7412802658	11.7412802658,11.7412802658
Nonsyntenic_Dup_0170	Zm00001d005933,Zm00001d005934,Zm00001d005935	Zm00008a009064	11.7251584448,11.7251584448	NA
Nonsyntenic_Dup_0171	Zm00001d005973,Zm00001d005974	Zm00008a009091,Zm00008a009092	11.8145049373	6.18839322049
Nonsyntenic_Dup_0172	Zm00001d006013,Zm00001d006014	Zm00008a009115	6.82373313101	NA
Nonsyntenic_Dup_0173	Zm00001d006142,Zm00001d006147	Zm00008a009219	8.89194124873	NA
Nonsyntenic_Dup_0174	Zm00001d006143,Zm00001d006148	Zm00008a009220	11.7551194286	NA
Nonsyntenic_Dup_0175	Zm00001d006144,Zm00001d006149	Zm00008a009221,Zm00008a009222	0.0198263607807	11.7555533575
Nonsyntenic_Dup_0176	Zm00001d006169,Zm00001d006170	Zm00008a009242	11.8000727411	NA
Nonsyntenic_Dup_0177	Zm00001d006193,Zm00001d006199,Zm00001d006203	Zm00008a009248,Zm00008a009253,Zm00008a009254	11.9002850281,0.000756784400437	0.00566635006371,0.000756784400437
Nonsyntenic_Dup_0178	Zm00001d006257	Zm00008a009298,Zm00008a009299,Zm00008a009300	NA	0.165290856945,0.165290856945
Nonsyntenic_Dup_0179	Zm00001d006260,Zm00001d006263	Zm00008a009298,Zm00008a009299,Zm00008a009300	11.8901859821	0.00218160699708,0.00218160699708
Nonsyntenic_Dup_0180	Zm00001d006261	Zm00008a009298,Zm00008a009299,Zm00008a009300	NA	11.7248246282,11.7248246282
Nonsyntenic_Dup_0181	Zm00001d006262	Zm00008a009298,Zm00008a009299,Zm00008a009300	NA	0.00164945077748,0.00164945077748
Nonsyntenic_Dup_0182	Zm00001d006274,Zm00001d006275,Zm00001d006276,Zm00001d006277,Zm00001d006279,Zm00001d006280,Zm00001d006282,Zm00001d006283,Zm00001d006285	Zm00008a009309	11.7154450947,3.31437640947,3.31437640947,3.31437640947,3.31437640947,3.31437640947,1.13552434387,1.2216490976	NA
