Clusters	GeneNumber	Chromosome	SortedClusterIDs	Ages
Zm00001d053384,Zm00001d053386;Zm00001d053385,Zm00001d053387	3590,3592;3591,3593	4	Zm00001d053384,Zm00001d053385,Zm00001d053386,Zm00001d053387	NA,NA
Zm00001d053940,Zm00001d053943;Zm00001d053941,Zm00001d053950,Zm00001d053960	3982,3985;3983,3987,3994	4	Zm00001d053940,Zm00001d053941,Zm00001d053943,Zm00001d053950,Zm00001d053960	11.806081547,0.175334926828,11.7123536387
Zm00001d012943,Zm00001d012947;Zm00001d012946,Zm00001d012949	136,139;138,141	5	Zm00001d012943,Zm00001d012946,Zm00001d012947,Zm00001d012949	NA,NA
Zm00001d013225,Zm00001d013228;Zm00001d013226,Zm00001d013229,Zm00001d013230,Zm00001d013231	380,382;381,383,384,385	5	Zm00001d013225,Zm00001d013226,Zm00001d013228,Zm00001d013229,Zm00001d013230,Zm00001d013231	11.8130789251,0.868519071707,11.3591402978,NA
Zm00001d013900,Zm00001d013903;Zm00001d013901,Zm00001d013904	939,941;940,942	5	Zm00001d013900,Zm00001d013901,Zm00001d013903,Zm00001d013904	2.21947187118,11.7338670655
Zm00001d014394,Zm00001d014397;Zm00001d014395,Zm00001d014399	1296,1299;1297,1301	5	Zm00001d014394,Zm00001d014395,Zm00001d014397,Zm00001d014399	NA,NA
Zm00001d015040,Zm00001d015043;Zm00001d015041,Zm00001d015047,Zm00001d015052,Zm00001d015057	1800,1803;1801,1807,1809,1813	5	Zm00001d015040,Zm00001d015041,Zm00001d015043,Zm00001d015047,Zm00001d015052,Zm00001d015057	11.6694723788,6.88135751865,11.7463739984,11.7463739984
Zm00001d017864,Zm00001d017866,Zm00001d017867,Zm00001d017869;Zm00001d017865,Zm00001d017868	3887,3889,3890,3892;3888,3891	5	Zm00001d017864,Zm00001d017865,Zm00001d017866,Zm00001d017867,Zm00001d017868,Zm00001d017869	3.17192769728,3.17192769728,1.28859391461,0.0458866543167
Zm00001d018181,Zm00001d018184;Zm00001d018182,Zm00001d018185;Zm00001d018183,Zm00001d018187	4139,4142;4140,4143;4141,4144	5	Zm00001d018181,Zm00001d018182,Zm00001d018183,Zm00001d018184,Zm00001d018185,Zm00001d018187	11.7561997026,11.7543635735,9.9164790491
Zm00001d035056,Zm00001d035063;Zm00001d035057,Zm00001d035064	76,83;77,84	6	Zm00001d035056,Zm00001d035057,Zm00001d035063,Zm00001d035064	11.7237108587,11.7109337347
Zm00001d035624,Zm00001d035628;Zm00001d035625,Zm00001d035629	486,489;487,490	6	Zm00001d035624,Zm00001d035625,Zm00001d035628,Zm00001d035629	11.7766565423,11.3267710246
Zm00001d036274,Zm00001d036277;Zm00001d036275,Zm00001d036278	914,916;915,917	6	Zm00001d036274,Zm00001d036275,Zm00001d036277,Zm00001d036278	NA,0.73359765765
Zm00001d036373,Zm00001d036376;Zm00001d036375,Zm00001d036378	982,985;984,986	6	Zm00001d036373,Zm00001d036375,Zm00001d036376,Zm00001d036378	NA,0.8951156737
Zm00001d036464,Zm00001d036467;Zm00001d036465,Zm00001d036468	1049,1051;1050,1052	6	Zm00001d036464,Zm00001d036465,Zm00001d036467,Zm00001d036468	0.121038202491,0.00698950489052
Zm00001d038452,Zm00001d038459;Zm00001d038453,Zm00001d038460	2628,2632;2629,2633	6	Zm00001d038452,Zm00001d038453,Zm00001d038459,Zm00001d038460	11.7484018987,11.7241324007
Zm00001d018759,Zm00001d018760,Zm00001d018762,Zm00001d018764,Zm00001d018766;Zm00001d018761,Zm00001d018763,Zm00001d018765	142,143,145,147,149;144,146,148	7	Zm00001d018759,Zm00001d018760,Zm00001d018761,Zm00001d018762,Zm00001d018763,Zm00001d018764,Zm00001d018765,Zm00001d018766	0.496512076854,1.02570303215,1.02570303215,1.01259853273,11.7318915396,11.7318915396
Zm00001d020468,Zm00001d020475,Zm00001d020483;Zm00001d020472,Zm00001d020476	1343,1348,1353;1346,1349	7	Zm00001d020468,Zm00001d020472,Zm00001d020475,Zm00001d020476,Zm00001d020483	11.7293568028,0.236891630133,3.78742239615
Zm00001d021864,Zm00001d021867;Zm00001d021866,Zm00001d021868	2453,2455;2454,2456	7	Zm00001d021864,Zm00001d021866,Zm00001d021867,Zm00001d021868	11.7944753261,11.7199169894
Zm00001d021990,Zm00001d021992;Zm00001d021991,Zm00001d021993	2561,2563;2562,2564	7	Zm00001d021990,Zm00001d021991,Zm00001d021992,Zm00001d021993	0.192216937633,0.094914554391
Zm00001d022117,Zm00001d022120;Zm00001d022119,Zm00001d022122	2661,2663;2662,2664	7	Zm00001d022117,Zm00001d022119,Zm00001d022120,Zm00001d022122	11.7117838929,0.186164804329
Zm00001d022216,Zm00001d022221;Zm00001d022217,Zm00001d022222;Zm00001d022218,Zm00001d022223	2742,2745;2743,2746;2744,2747	7	Zm00001d022216,Zm00001d022217,Zm00001d022218,Zm00001d022221,Zm00001d022222,Zm00001d022223	11.8092094907,3.66058455704,4.02696011138
Zm00001d022356,Zm00001d022360;Zm00001d022357,Zm00001d022361	2863,2865;2864,2866	7	Zm00001d022356,Zm00001d022357,Zm00001d022360,Zm00001d022361	11.703278042,0.007037795268
Zm00001d009732,Zm00001d009734;Zm00001d009733,Zm00001d009735	1161,1163;1162,1164	8	Zm00001d009732,Zm00001d009733,Zm00001d009734,Zm00001d009735	NA,1.28669312495
Zm00001d010343,Zm00001d010345,Zm00001d010348;Zm00001d010344,Zm00001d010347,Zm00001d010356	1610,1612,1614;1611,1613,1620	8	Zm00001d010343,Zm00001d010344,Zm00001d010345,Zm00001d010347,Zm00001d010348,Zm00001d010356	11.8016881086,4.24658814674,11.7859957462,11.7859957462
Zm00001d010764,Zm00001d010770,Zm00001d010773,Zm00001d010779,Zm00001d010782;Zm00001d010768,Zm00001d010772,Zm00001d010780	1936,1939,1942,1948,1950;1938,1941,1949	8	Zm00001d010764,Zm00001d010768,Zm00001d010770,Zm00001d010772,Zm00001d010773,Zm00001d010779,Zm00001d010780,Zm00001d010782	11.7316285374,1.79557159656,11.7316285374,10.9745461488,0.00115409284132,0.00115409284132
Zm00001d044906,Zm00001d044908;Zm00001d044907,Zm00001d044916	140,142;141,148	9	Zm00001d044906,Zm00001d044907,Zm00001d044908,Zm00001d044916	3.92109140316,11.813619723
Zm00001d047542,Zm00001d047548,Zm00001d047553;Zm00001d047543,Zm00001d047549	2104,2108,2111;2105,2109	9	Zm00001d047542,Zm00001d047543,Zm00001d047548,Zm00001d047549,Zm00001d047553	11.7313467612,1.54171756724,11.7272501505
Zm00001d048252,Zm00001d048255;Zm00001d048253,Zm00001d048256	2699,2701;2700,2702	9	Zm00001d048252,Zm00001d048253,Zm00001d048255,Zm00001d048256	5.31821484336,1.3475140925
Zm00001d000363,Zm00001d000365;Zm00001d000364,Zm00001d000366	0,2;1,3	B73V4_ctg189	Zm00001d000363,Zm00001d000364,Zm00001d000365,Zm00001d000366	NA,NA
