Duplicate_ID	Ancestral_Gene	B1_Genes	B2_Genes	P1_Genes	P2_Genes	B1_Ages	B2_Ages	P1_Ages	P2_Ages
Syntenic_Dup_0018	LOC_Os01g66570	NA	Zm00001d012184,Zm00001d012185,Zm00001d012186,Zm00001d012187,Zm00001d012188	NA	Zm00008a032748,Zm00008a032749,Zm00008a032750,Zm00008a032751,Zm00008a032752	NA	1.72470335975,6.71957971458,6.71957971458,0.290335361164	NA	6.71957971458,6.71957971458,0.381957038701,0.381957038701
Syntenic_Dup_0019	LOC_Os02g07628	NA	Zm00001d053784,Zm00001d053785	NA	Zm00008a018702	NA	8.98963127359	NA	NA
Syntenic_Dup_0020	LOC_Os02g49326	NA	Zm00001d051668,Zm00001d051669	NA	Zm00008a017145	NA	11.7327167781	NA	NA
Syntenic_Dup_0021	LOC_Os04g53920	NA	Zm00001d026369,Zm00001d026370,Zm00001d026371	NA	Zm00008a038656,Zm00008a038657,Zm00008a038659	NA	0.807839721537,11.7273269098	NA	8.45517375884,11.7273269098
Syntenic_Dup_0022	LOC_Os06g45330	NA	Zm00001d036655,Zm00001d036660,Zm00001d036663,Zm00001d036667	NA	Zm00008a024608	NA	6.04666286482,6.04666286482,9.09194113068	NA	NA
Syntenic_Dup_0023	LOC_Os07g26690	NA	Zm00001d005410,Zm00001d005421	NA	Zm00008a008651,Zm00008a008655	NA	1.55933115917	NA	11.7223745369
Syntenic_Dup_0024	LOC_Os08g14109	NA	Zm00001d050196,Zm00001d050198	NA	Zm00008a016062,Zm00008a016063	NA	11.7436051343	NA	11.7436051343
Syntenic_Dup_0025	LOC_Os09g17152	NA	Zm00001d005593	NA	Zm00008a008772,Zm00008a008773	NA	NA	NA	11.7236207027
Syntenic_Dup_0026	LOC_Os10g30410	NA	Zm00001d014134,Zm00001d014136	NA	Zm00008a020093,Zm00008a020104,Zm00008a020105	NA	11.7300266842	NA	5.90523717588,1.9182614788
Syntenic_Dup_0027	Sobic.001G025201	NA	Zm00001d012910	NA	Zm00008a019068,Zm00008a019070	NA	NA	NA	0.20219395427
Syntenic_Dup_0028	Sobic.001G037800	NA	Zm00001d012980,Zm00001d012981,Zm00001d012982	NA	Zm00008a019121,Zm00008a019122	NA	9.78172291292,9.78172291292	NA	11.727430221
Syntenic_Dup_0029	Sobic.001G037900	NA	Zm00001d012980,Zm00001d012981,Zm00001d012982	NA	Zm00008a019121,Zm00008a019122	NA	1.1711071131,1.1711071131	NA	11.7290943093
Syntenic_Dup_0030	Sobic.001G046600	NA	Zm00001d013035,Zm00001d013037	NA	Zm00008a019171	NA	11.7346009898	NA	NA
Syntenic_Dup_0031	Sobic.001G069400	NA	Zm00001d013138	NA	Zm00008a019267,Zm00008a019276	NA	NA	NA	11.7138157118
Syntenic_Dup_0032	Sobic.001G082100	NA	Zm00001d013225,Zm00001d013228	NA	Zm00008a040322	NA	11.8219537053	NA	NA
Syntenic_Dup_0033	Sobic.001G089300	NA	Zm00001d013268,Zm00001d013269	NA	Zm00008a019398,Zm00008a019399	NA	11.7100378096	NA	11.7100378096
Syntenic_Dup_0034	Sobic.001G119600	NA	Zm00001d013449	NA	Zm00008a019536,Zm00008a019551	NA	NA	NA	11.8119764733
Syntenic_Dup_0035	Sobic.001G164200	NA	Zm00001d013719,Zm00001d013720	NA	Zm00008a019776	NA	11.0111287173	NA	NA
Syntenic_Dup_0036	Sobic.001G176000	NA	Zm00001d013759	NA	Zm00008a019813,Zm00008a019817	NA	NA	NA	11.7414107474
Syntenic_Dup_0037	Sobic.001G179900	NA	Zm00001d013796,Zm00001d013797	NA	Zm00008a019841,Zm00008a019842	NA	2.38076755973	NA	11.7303341298
Syntenic_Dup_0038	Sobic.001G180000	NA	Zm00001d013796,Zm00001d013797	NA	Zm00008a019841,Zm00008a019842	NA	2.88242650989	NA	11.7346937512
Syntenic_Dup_0039	Sobic.001G187600	NA	Zm00001d013818	NA	Zm00008a019857,Zm00008a019869	NA	NA	NA	11.7229563448
Syntenic_Dup_0040	Sobic.001G209000	NA	Zm00001d013950,Zm00001d013955	NA	Zm00008a019950,Zm00008a019954	NA	11.7355830269	NA	11.7355830269
Syntenic_Dup_0041	Sobic.001G209550	NA	Zm00001d013945,Zm00001d013949	NA	Zm00008a019946,Zm00008a019949	NA	11.8418242456	NA	11.8418242456
Syntenic_Dup_0042	Sobic.001G232400	NA	Zm00001d014100,Zm00001d014101	NA	NA	NA	11.800570149	NA	NA
Syntenic_Dup_0043	Sobic.001G235500	NA	Zm00001d014121	NA	Zm00008a020093,Zm00008a020104,Zm00008a020105	NA	NA	NA	11.7400601706,2.60441435515
Syntenic_Dup_0044	Sobic.001G256000	NA	Zm00001d014217,Zm00001d014219	NA	NA	NA	11.8198253025	NA	NA
Syntenic_Dup_0045	Sobic.001G256200	NA	Zm00001d014217,Zm00001d014219	NA	Zm00008a020170	NA	11.7447102412	NA	NA
Syntenic_Dup_0046	Sobic.001G293000	NA	Zm00001d047064,Zm00001d047066	NA	Zm00008a034970,Zm00008a034972	NA	11.7204785568	NA	11.7204785568
Syntenic_Dup_0047	Sobic.001G301700	NA	Zm00001d047097,Zm00001d047099	NA	Zm00008a035034,Zm00008a035035	NA	11.7424604544	NA	11.7424604544
Syntenic_Dup_0048	Sobic.001G308900	NA	Zm00001d047392,Zm00001d047395	NA	Zm00008a035247,Zm00008a035248	NA	11.7226964133	NA	5.73331467379
Syntenic_Dup_0049	Sobic.001G318000	NA	Zm00001d048558,Zm00001d048559,Zm00001d048560	NA	Zm00008a036250,Zm00008a036251,Zm00008a036252	NA	11.7232477397,1.0282922196	NA	3.0108650229,3.0108650229
Syntenic_Dup_0050	Sobic.001G319200	NA	Zm00001d048558,Zm00001d048559,Zm00001d048560	NA	Zm00008a036250,Zm00008a036251,Zm00008a036252	NA	9.0619974725,0.891345650925	NA	11.7309825336,9.0619974725
Syntenic_Dup_0051	Sobic.001G348400	NA	Zm00001d047231,Zm00001d047232	NA	Zm00008a035133,Zm00008a035134	NA	11.7309961517	NA	11.7309961517
Syntenic_Dup_0052	Sobic.001G348500	NA	Zm00001d047231,Zm00001d047232	NA	Zm00008a035133,Zm00008a035134	NA	11.7306039475	NA	11.7306039475
Syntenic_Dup_0053	Sobic.001G357100	NA	Zm00001d047170	NA	Zm00008a035082,Zm00008a035083,Zm00008a035084	NA	NA	NA	11.7185348189,3.71154880242
Syntenic_Dup_0054	Sobic.001G360700	NA	Zm00001d047424,Zm00001d047425	NA	Zm00008a035265,Zm00008a035267	NA	0.271204369263	NA	1.42172639408
Syntenic_Dup_0055	Sobic.001G394250	NA	Zm00001d047621,Zm00001d047625	NA	NA	NA	11.8237484106	NA	NA
Syntenic_Dup_0056	Sobic.001G407000	NA	Zm00001d047737,Zm00001d047738	NA	Zm00008a035535	NA	5.64742679599	NA	NA
Syntenic_Dup_0057	Sobic.001G432400	NA	Zm00001d047890,Zm00001d047892	NA	NA	NA	11.7966573062	NA	NA
Syntenic_Dup_0058	Sobic.001G438400	NA	Zm00001d047933,Zm00001d047934	NA	Zm00008a035700,Zm00008a035701	NA	11.7386500971	NA	11.7386500971
Syntenic_Dup_0059	Sobic.001G448800	NA	Zm00001d048009,Zm00001d048010	NA	Zm00008a035764	NA	9.06620615643	NA	NA
Syntenic_Dup_0060	Sobic.001G451800	NA	Zm00001d048053,Zm00001d048054	NA	Zm00008a035807,Zm00008a035811	NA	3.80429113403	NA	3.8152149583
Syntenic_Dup_0061	Sobic.001G458000	NA	Zm00001d048098	NA	Zm00008a035847,Zm00008a035854,Zm00008a035855	NA	NA	NA	10.4559078324,11.7571799795
Syntenic_Dup_0062	Sobic.001G471400	NA	Zm00001d048191,Zm00001d048192	NA	Zm00008a035929,Zm00008a035930	NA	3.6019636691	NA	11.7230994149
Syntenic_Dup_0063	Sobic.001G487800	NA	Zm00001d048303,Zm00001d048306	NA	Zm00008a036022	NA	11.750966245	NA	NA
Syntenic_Dup_0064	Sobic.001G500000	NA	Zm00001d048416,Zm00001d048417	NA	Zm00008a036113	NA	11.7254397322	NA	NA
Syntenic_Dup_0065	Sobic.001G500200	NA	Zm00001d048416,Zm00001d048417	NA	Zm00008a036113	NA	11.7606866104	NA	NA
Syntenic_Dup_0066	Sobic.001G527900	NA	Zm00001d048479	NA	Zm00008a036172,Zm00008a036173	NA	NA	NA	11.7373524636
Syntenic_Dup_0067	Sobic.001G536300	NA	Zm00001d048521,Zm00001d048522	NA	Zm00008a036211	NA	11.8209134842	NA	NA
Syntenic_Dup_0068	Sobic.002G045800	NA	Zm00001d007896	NA	Zm00008a010471,Zm00008a010473,Zm00008a010474	NA	NA	NA	0.257509279263,11.7310943127
Syntenic_Dup_0069	Sobic.002G046500	NA	Zm00001d007894	NA	Zm00008a010471,Zm00008a010473,Zm00008a010474	NA	NA	NA	2.13161133787,11.7172871237
Syntenic_Dup_0070	Sobic.002G056400	NA	Zm00001d007807	NA	Zm00008a010445,Zm00008a010446	NA	NA	NA	0.298945357517
Syntenic_Dup_0071	Sobic.002G068800	NA	Zm00001d007762,Zm00001d007764	NA	Zm00008a010410,Zm00008a010412	NA	11.7146160239	NA	11.7146160239
Syntenic_Dup_0072	Sobic.002G071000	NA	Zm00001d007755,Zm00001d007757	NA	Zm00008a010404,Zm00008a010406	NA	6.11053876535	NA	2.11381809379
Syntenic_Dup_0073	Sobic.002G120800	NA	Zm00001d005436,Zm00001d005437	Zm00008a027357	Zm00008a008666,Zm00008a008667	NA	10.2786121181	NA	10.2786121181
Syntenic_Dup_0074	Sobic.002G128600	NA	Zm00001d005377,Zm00001d005378,Zm00001d005383,Zm00001d005392	NA	Zm00008a008624,Zm00008a008627,Zm00008a008631,Zm00008a008636	NA	0.582905500911,11.7192521311,0.13990642745	NA	0.245778705918,0.423214760406,0.93256307323
Syntenic_Dup_0075	Sobic.002G130500	NA	Zm00001d005374,Zm00001d005379,Zm00001d005380,Zm00001d005389	NA	Zm00008a008619,Zm00008a008628,Zm00008a008634	NA	7.83046204964,0.265582017598,11.7239228258	NA	7.83046204964,11.7239228258
Syntenic_Dup_0076	Sobic.002G130700	NA	Zm00001d005375,Zm00001d005381,Zm00001d005391	NA	Zm00008a008620,Zm00008a008626,Zm00008a008629,Zm00008a008635	NA	11.7194162024,11.7194162024	NA	11.7194162024,11.7194162024,8.36030486129
Syntenic_Dup_0077	Sobic.002G139800	NA	Zm00001d005300,Zm00001d005307	NA	Zm00008a008574	NA	11.8192407834	NA	NA
Syntenic_Dup_0078	Sobic.002G140900	NA	Zm00001d005303	NA	Zm00008a008570,Zm00008a008571	NA	NA	NA	11.7410213506
Syntenic_Dup_0079	Sobic.002G143300	NA	Zm00001d005283,Zm00001d005284	NA	Zm00008a008553	NA	11.8096090056	NA	NA
Syntenic_Dup_0080	Sobic.002G186100	NA	Zm00001d005670	NA	Zm00008a008808,Zm00008a008809	NA	NA	NA	11.7151521889
Syntenic_Dup_0081	Sobic.002G187100	NA	Zm00001d005678,Zm00001d005680	NA	Zm00008a008825,Zm00008a008828	NA	11.8178457001	NA	11.8178457001
Syntenic_Dup_0082	Sobic.002G190100	NA	Zm00001d005693,Zm00001d005694	NA	Zm00008a008841	NA	11.7556456423	NA	NA
Syntenic_Dup_0083	Sobic.002G190800	NA	Zm00001d005693,Zm00001d005694	NA	Zm00008a008842	NA	11.720157756	NA	NA
Syntenic_Dup_0084	Sobic.002G195000	NA	Zm00001d005716,Zm00001d005717,Zm00001d005719,Zm00001d005722	NA	Zm00008a008855,Zm00008a008856	NA	11.7230896146,4.63661783609,2.36620364935	NA	2.36620364935
Syntenic_Dup_0085	Sobic.002G209100	NA	Zm00001d005782,Zm00001d005783	NA	Zm00008a008926,Zm00008a008927	NA	11.7102636423	NA	11.7102636423
Syntenic_Dup_0086	Sobic.002G220000	NA	Zm00001d005878,Zm00001d005879	NA	Zm00008a009015	NA	11.8243700038	NA	NA
Syntenic_Dup_0087	Sobic.002G222600	NA	Zm00001d005859,Zm00001d005860	NA	Zm00008a009001,Zm00008a009002	NA	11.7354575626	NA	11.7354575626
Syntenic_Dup_0088	Sobic.002G222700	NA	Zm00001d005859,Zm00001d005860	NA	Zm00008a009001,Zm00008a009002	NA	11.7344701958	NA	11.7344701958
Syntenic_Dup_0089	Sobic.002G228200	NA	Zm00001d005905,Zm00001d005909,Zm00001d005910	NA	Zm00008a009038,Zm00008a009042,Zm00008a009043	NA	11.7254153526,11.7254153526	NA	11.7254153526,11.7254153526
Syntenic_Dup_0090	Sobic.002G228500	NA	Zm00001d005905,Zm00001d005909,Zm00001d005910	NA	Zm00008a009038,Zm00008a009042,Zm00008a009043	NA	5.97531604698,11.7423491891	NA	5.97531604698,11.7423491891
Syntenic_Dup_0091	Sobic.002G265400	NA	Zm00001d006137,Zm00001d006140,Zm00001d006145	NA	Zm00008a009217,Zm00008a009218	NA	11.7252609391,0.0400876629675	NA	11.7252609391
Syntenic_Dup_0092	Sobic.002G266800	NA	Zm00001d006143,Zm00001d006148	NA	Zm00008a009220	NA	4.31154650949	NA	NA
Syntenic_Dup_0093	Sobic.002G266900	NA	Zm00001d006144,Zm00001d006149	NA	Zm00008a009221,Zm00008a009222	NA	0.0848155935621	NA	11.7455305975
Syntenic_Dup_0094	Sobic.002G272700	NA	Zm00001d006193,Zm00001d006199,Zm00001d006203	NA	Zm00008a009248,Zm00008a009253,Zm00008a009254	NA	8.98541644207,1.07818775771	NA	11.7230332257,1.07818775771
Syntenic_Dup_0095	Sobic.002G290100	NA	Zm00001d006300,Zm00001d006301,Zm00001d006307	NA	Zm00008a009335	NA	11.8068316667,0.0299539141087	NA	NA
Syntenic_Dup_0096	Sobic.002G297000	NA	Zm00001d006340,Zm00001d006341,Zm00001d006342	NA	Zm00008a009367,Zm00008a009368,Zm00008a009369	NA	11.7264766318,6.91967758026	NA	11.7264766318,6.91967758026
Syntenic_Dup_0097	Sobic.002G312000	NA	Zm00001d006446,Zm00001d006449,Zm00001d006450	NA	Zm00008a009449,Zm00008a009453,Zm00008a009454	NA	6.29103199397,11.7289633549	NA	8.9901859545,11.7289633549
Syntenic_Dup_0098	Sobic.002G322500	NA	Zm00001d006515,Zm00001d006516	NA	Zm00008a009499,Zm00008a009500	NA	11.729439598	NA	11.729439598
Syntenic_Dup_0099	Sobic.002G322600	NA	Zm00001d006515,Zm00001d006516	NA	Zm00008a009499,Zm00008a009500	NA	11.7295281993	NA	11.7295281993
Syntenic_Dup_0100	Sobic.002G348900	NA	Zm00001d006649	NA	Zm00008a009605,Zm00008a009606	NA	NA	NA	11.8093245056
Syntenic_Dup_0101	Sobic.002G366300	NA	Zm00001d006778,Zm00001d006779	NA	Zm00008a009716	NA	0.640005625075	NA	NA
Syntenic_Dup_0102	Sobic.002G391501	NA	Zm00001d006933,Zm00001d006936,Zm00001d006937	NA	Zm00008a009822,Zm00008a009823,Zm00008a009824	NA	3.46189937711,0.041122117625	NA	11.7107012416,0.428433599971
Syntenic_Dup_0103	Sobic.002G412200	NA	Zm00001d007124	NA	Zm00008a009919,Zm00008a009921	NA	NA	NA	11.7253553016
Syntenic_Dup_0104	Sobic.002G412300	NA	Zm00001d007125,Zm00001d007127,Zm00001d007129	NA	Zm00008a009920,Zm00008a009922	NA	11.7125993639,0.208640641568	NA	11.7125993639
Syntenic_Dup_0105	Sobic.003G019700	NA	Zm00001d008925,Zm00001d008927,Zm00001d008928,Zm00001d008929,Zm00001d008934	NA	Zm00008a030316,Zm00008a030319,Zm00008a030320,Zm00008a030321,Zm00008a030325	NA	11.7298086732,1.54278126517,11.7298086732,8.15670433716	NA	6.0515787032,1.54278126517,11.7298086732,6.92882445145
Syntenic_Dup_0106	Sobic.003G023800	NA	Zm00001d008903,Zm00001d008905	NA	Zm00008a030297,Zm00008a030298	NA	11.7358286846	NA	11.7358286846
Syntenic_Dup_0107	Sobic.003G024000	NA	Zm00001d008903,Zm00001d008905	NA	Zm00008a030297,Zm00008a030298	NA	11.7375928007	NA	11.7375928007
Syntenic_Dup_0108	Sobic.003G062400	NA	Zm00001d008645,Zm00001d008646	NA	Zm00008a030118	NA	2.7137478504	NA	NA
Syntenic_Dup_0109	Sobic.003G062500	NA	Zm00001d008645,Zm00001d008646	NA	Zm00008a030116,Zm00008a030117	NA	0.192908436095	NA	11.734528933
Syntenic_Dup_0110	Sobic.003G065300	NA	Zm00001d008634,Zm00001d008635	NA	Zm00008a030110	NA	0.0159141936596	NA	NA
Syntenic_Dup_0111	Sobic.003G069700	NA	Zm00001d008632,Zm00001d008633	NA	Zm00008a030107,Zm00008a030109	NA	11.7212784034	NA	11.7212784034
Syntenic_Dup_0112	Sobic.003G076600	NA	Zm00001d008601,Zm00001d008602	NA	Zm00008a030081,Zm00008a030082	NA	11.7625028579	NA	11.7625028579
Syntenic_Dup_0113	Sobic.003G087200	NA	Zm00001d008529,Zm00001d008530	NA	Zm00008a030032	NA	11.8896699272	NA	NA
Syntenic_Dup_0114	Sobic.003G101500	NA	Zm00001d008412,Zm00001d008413	NA	Zm00008a029955,Zm00008a029956	NA	11.7245808497	NA	11.7245808497
Syntenic_Dup_0115	Sobic.003G105800	NA	Zm00001d008399,Zm00001d008403	NA	NA	NA	11.8125246575	NA	NA
Syntenic_Dup_0116	Sobic.003G116800	NA	Zm00001d008331,Zm00001d008332	NA	Zm00008a029890,Zm00008a029891,Zm00008a029892	NA	2.99377246132	NA	2.99377246132,11.738374932
Syntenic_Dup_0117	Sobic.003G120900	NA	Zm00001d008299,Zm00001d008300	NA	Zm00008a029867,Zm00008a029868	NA	2.91033442056	NA	11.7350712871
Syntenic_Dup_0118	Sobic.003G144700	NA	Zm00001d009118	NA	Zm00008a030459,Zm00008a030460	NA	NA	NA	11.5328989548
Syntenic_Dup_0119	Sobic.003G152100	NA	Zm00001d009138,Zm00001d009140	NA	Zm00008a030474,Zm00008a030475	NA	11.8333542623	NA	11.8333542623
Syntenic_Dup_0120	Sobic.003G152200	NA	Zm00001d009138,Zm00001d009140	NA	Zm00008a030474,Zm00008a030475	NA	11.8388188629	NA	11.8388188629
Syntenic_Dup_0121	Sobic.003G219700	NA	Zm00001d011348,Zm00001d011349	NA	NA	NA	11.8207262581	NA	NA
Syntenic_Dup_0122	Sobic.003G227900	NA	Zm00001d011417,Zm00001d011418,Zm00001d011419,Zm00001d011420,Zm00001d011422	NA	Zm00008a032130,Zm00008a032132,Zm00008a032134,Zm00008a032135	NA	11.697533915,8.98403591431,8.98403591431,0.44416098439	NA	11.697533915,8.98403591431,5.30339416452
Syntenic_Dup_0123	Sobic.003G228000	NA	Zm00001d011417,Zm00001d011418,Zm00001d011419,Zm00001d011420,Zm00001d011422	NA	Zm00008a032130,Zm00008a032132,Zm00008a032134,Zm00008a032135	NA	7.67160811325,7.67160811325,7.67160811325,0.838312810067	NA	11.7534100332,11.7534100332,4.58036697702
Syntenic_Dup_0124	Sobic.003G228500	NA	Zm00001d011417,Zm00001d011418,Zm00001d011419,Zm00001d011420,Zm00001d011422	NA	Zm00008a032130,Zm00008a032132,Zm00008a032134,Zm00008a032135	NA	10.5946061323,11.7287556203,11.7287556203,1.35187149979	NA	9.23695216666,11.7287556203,8.876720636
Syntenic_Dup_0125	Sobic.003G228700	NA	Zm00001d011417,Zm00001d011418,Zm00001d011419,Zm00001d011420,Zm00001d011422	NA	Zm00008a032130,Zm00008a032132,Zm00008a032134,Zm00008a032135	NA	11.7176667556,11.7176667556,11.7176667556,1.64564783656	NA	5.91776344854,10.9945292639,10.9945292639
Syntenic_Dup_0126	Sobic.003G230000	NA	Zm00001d011433	NA	Zm00008a032148,Zm00008a032158	NA	NA	NA	11.7252648059
Syntenic_Dup_0127	Sobic.003G233800	NA	Zm00001d011450	NA	Zm00008a032148,Zm00008a032158	NA	NA	NA	11.7758561903
Syntenic_Dup_0128	Sobic.003G254400	NA	Zm00001d011582,Zm00001d011583,Zm00001d011584	NA	Zm00008a032260,Zm00008a032261,Zm00008a032262	NA	1.78894941422,11.7225707569	NA	4.35279209938,4.35279209938
Syntenic_Dup_0129	Sobic.003G255000	NA	Zm00001d011589,Zm00001d011590	NA	Zm00008a032264,Zm00008a032266	NA	11.7470423913	NA	11.7470423913
Syntenic_Dup_0130	Sobic.003G265900	NA	Zm00001d011641,Zm00001d011643	NA	Zm00008a032314,Zm00008a032317	NA	10.1580074941	NA	11.7452058396
Syntenic_Dup_0131	Sobic.003G278200	NA	Zm00001d011723,Zm00001d011729	NA	Zm00008a032378,Zm00008a032379	NA	11.7167099671	NA	2.05455024116
Syntenic_Dup_0132	Sobic.003G282901	NA	Zm00001d011751,Zm00001d011752	NA	Zm00008a032404,Zm00008a032405	NA	11.7380469834	NA	11.7380469834
Syntenic_Dup_0133	Sobic.003G287600	NA	Zm00001d012780,Zm00001d012782,Zm00001d012785,Zm00001d012788	NA	Zm00008a033243,Zm00008a033244,Zm00008a033247,Zm00008a033250	NA	10.0108221287,11.7179594993,7.19347691291	NA	10.0108221287,11.7179594993,7.19347691291
Syntenic_Dup_0134	Sobic.003G293700	NA	Zm00001d012780,Zm00001d012782,Zm00001d012785,Zm00001d012788	NA	Zm00008a033243,Zm00008a033244,Zm00008a033247,Zm00008a033250	NA	10.4812768395,11.7553542272,6.91157311345	NA	10.4812768395,11.7553542272,6.91157311345
Syntenic_Dup_0135	Sobic.003G296800	NA	Zm00001d012741,Zm00001d012742	NA	Zm00008a033211	NA	11.7922882489	NA	NA
Syntenic_Dup_0136	Sobic.003G302600	NA	Zm00001d012696,Zm00001d012697	NA	Zm00008a033176,Zm00008a033177	NA	11.7220031302	NA	11.7220031302
Syntenic_Dup_0137	Sobic.003G314200	NA	Zm00001d012636	NA	Zm00008a033094,Zm00008a033113,Zm00008a033123	NA	NA	NA	5.6917109918,11.7091512647
Syntenic_Dup_0138	Sobic.003G316400	NA	Zm00001d012625	NA	Zm00008a033094,Zm00008a033113,Zm00008a033123	NA	NA	NA	11.7285883458,11.7285883458
Syntenic_Dup_0139	Sobic.003G326000	NA	Zm00001d012573,Zm00001d012574	NA	Zm00008a033075	NA	1.93555857307	NA	NA
Syntenic_Dup_0140	Sobic.003G357900	NA	Zm00001d012363,Zm00001d012366,Zm00001d012368,Zm00001d012371,Zm00001d012373,Zm00001d012375,Zm00001d012377	NA	Zm00008a032883,Zm00008a032884,Zm00008a032885,Zm00008a032892,Zm00008a032894	NA	11.3341178758,10.0275937668,3.23278415534,10.0275937668,11.7280030937,11.7280030937	NA	4.32899010656,11.3341178758,11.7280030937,11.7280030937
Syntenic_Dup_0141	Sobic.003G373200	NA	Zm00001d012249,Zm00001d012252	NA	Zm00008a032804	NA	4.99991738084	NA	NA
Syntenic_Dup_0142	Sobic.003G376000	NA	Zm00001d012229,Zm00001d012231	NA	Zm00008a032783,Zm00008a032786	NA	1.60492761135	NA	4.70396510397
Syntenic_Dup_0143	Sobic.003G383400	NA	Zm00001d012184,Zm00001d012185,Zm00001d012186,Zm00001d012187,Zm00001d012188	NA	Zm00008a032748,Zm00008a032749,Zm00008a032750,Zm00008a032751,Zm00008a032752	NA	3.45743346025,11.7371829174,11.7371829174,0.546525020739	NA	11.7371829174,11.7371829174,0.761834758408,0.926344388775
Syntenic_Dup_0144	Sobic.003G397300	NA	Zm00001d012090	NA	Zm00008a032682,Zm00008a032683	NA	NA	NA	11.7094383157
Syntenic_Dup_0145	Sobic.003G397500	NA	Zm00001d012088	NA	Zm00008a032682,Zm00008a032683	NA	NA	NA	11.7285686677
Syntenic_Dup_0146	Sobic.003G402600	NA	Zm00001d012042	NA	Zm00008a032647,Zm00008a032649	NA	NA	NA	5.77534910852
Syntenic_Dup_0147	Sobic.003G415400	NA	Zm00001d011921,Zm00001d011922	NA	Zm00008a032555,Zm00008a032556	NA	11.7211796227	NA	11.7211796227
Syntenic_Dup_0148	Sobic.003G415500	NA	Zm00001d011921,Zm00001d011922	NA	Zm00008a032555,Zm00008a032556	NA	11.7272860779	NA	11.7272860779
Syntenic_Dup_0149	Sobic.003G428900	NA	Zm00001d011846	NA	Zm00008a032484,Zm00008a032485	NA	NA	NA	11.7143491639
Syntenic_Dup_0150	Sobic.003G433900	NA	Zm00001d011826	NA	Zm00008a032462,Zm00008a032463	NA	NA	NA	11.8060763876
Syntenic_Dup_0151	Sobic.003G434000	NA	Zm00001d011825	NA	Zm00008a032462,Zm00008a032463	NA	NA	NA	11.7390179869
Syntenic_Dup_0152	Sobic.004G002901	NA	Zm00001d054081,Zm00001d054085	NA	Zm00008a018930,Zm00008a018936	NA	3.78860302439	NA	11.7232205493
Syntenic_Dup_0153	Sobic.004G007500	NA	Zm00001d054067	NA	Zm00008a018919,Zm00008a018920	NA	NA	NA	11.7299921067
