Clusters	GeneNumber	Chromosome	SortedClusterIDs	Ages
Zm00008a008620,Zm00008a008626,Zm00008a008629,Zm00008a008635;Zm00008a008621,Zm00008a008630	2722,2728,2731,2737;2723,2732	chr02	Zm00008a008620,Zm00008a008621,Zm00008a008626,Zm00008a008629,Zm00008a008630,Zm00008a008635	0.00420705372575,0.00204378677415,0.00289631729589,11.8064934018
Zm00008a009557,Zm00008a009561;Zm00008a009558,Zm00008a009562	3659,3663;3660,3664	chr02	Zm00008a009557,Zm00008a009558,Zm00008a009561,Zm00008a009562	NA,3.75032566981
Zm00008a009919,Zm00008a009921;Zm00008a009920,Zm00008a009922	4021,4023;4022,4024	chr02	Zm00008a009919,Zm00008a009920,Zm00008a009921,Zm00008a009922	11.8084198183,11.725672799
Zm00008a010238,Zm00008a010240,Zm00008a010246,Zm00008a010252;Zm00008a010251,Zm00008a010255	4340,4342,4348,4354;4353,4357	chr02	Zm00008a010238,Zm00008a010240,Zm00008a010246,Zm00008a010251,Zm00008a010252,Zm00008a010255	1.49064472175,3.22885324576,11.7336953187,11.7243308869
Zm00008a010380,Zm00008a010383;Zm00008a010381,Zm00008a010386,Zm00008a010395	4482,4485;4483,4488,4497	chr02	Zm00008a010380,Zm00008a010381,Zm00008a010383,Zm00008a010386,Zm00008a010395	11.7251142474,0.00588791566922,0.00566734600442
Zm00008a011601,Zm00008a011602,Zm00008a011607;Zm00008a011603,Zm00008a011608	1015,1016,1021;1017,1022	chr03	Zm00008a011601,Zm00008a011602,Zm00008a011603,Zm00008a011607,Zm00008a011608	0.123213711785,0.123213711785,3.89126876956
Zm00008a012231,Zm00008a012234;Zm00008a012232,Zm00008a012235;Zm00008a012233,Zm00008a012236	1645,1648;1646,1649;1647,1650	chr03	Zm00008a012231,Zm00008a012232,Zm00008a012233,Zm00008a012234,Zm00008a012235,Zm00008a012236	0.076753604865,7.82515840942,11.6957307933
Zm00008a012783,Zm00008a012786;Zm00008a012784,Zm00008a012787,Zm00008a012790	2197,2200;2198,2201,2204	chr03	Zm00008a012783,Zm00008a012784,Zm00008a012786,Zm00008a012787,Zm00008a012790	5.04410144659,8.73572406803,11.8774881468
Zm00008a013085,Zm00008a013087,Zm00008a013089,Zm00008a013090;Zm00008a013088,Zm00008a013091	2499,2501,2503,2504;2502,2505	chr03	Zm00008a013085,Zm00008a013087,Zm00008a013088,Zm00008a013089,Zm00008a013090,Zm00008a013091	8.16603521315,3.59385781102,11.7271771821,NA
Zm00008a014031,Zm00008a014033,Zm00008a014035;Zm00008a014032,Zm00008a014034	3445,3447,3449;3446,3448	chr03	Zm00008a014031,Zm00008a014032,Zm00008a014033,Zm00008a014034,Zm00008a014035	11.7267865514,11.7267865514,11.7273424166
Zm00008a014897,Zm00008a014898,Zm00008a014900,Zm00008a014903;Zm00008a014899,Zm00008a014901	57,58,60,63;59,61	chr04	Zm00008a014897,Zm00008a014898,Zm00008a014899,Zm00008a014900,Zm00008a014901,Zm00008a014903	11.7071381383,11.7071381383,11.7071381383,1.57000869099
Zm00008a014937,Zm00008a014938,Zm00008a014940,Zm00008a014943;Zm00008a014941,Zm00008a014945	97,98,100,103;101,105	chr04	Zm00008a014937,Zm00008a014938,Zm00008a014940,Zm00008a014941,Zm00008a014943,Zm00008a014945	0.00370870367296,0.00370870367296,0.00264698056276,11.7260375294
Zm00008a015375,Zm00008a015383;Zm00008a015377,Zm00008a015384	535,543;537,544	chr04	Zm00008a015375,Zm00008a015377,Zm00008a015383,Zm00008a015384	11.7327759292,11.7374500862
Zm00008a017731,Zm00008a017744;Zm00008a017733,Zm00008a017745	2891,2904;2893,2905	chr04	Zm00008a017731,Zm00008a017733,Zm00008a017744,Zm00008a017745	5.26646095159,1.32381718026
Zm00008a019600,Zm00008a019606;Zm00008a019605,Zm00008a019607	642,648;647,649	chr05	Zm00008a019600,Zm00008a019605,Zm00008a019606,Zm00008a019607	8.76888001259,11.7091485013
Zm00008a020500,Zm00008a020507,Zm00008a020508,Zm00008a020515,Zm00008a020518;Zm00008a020516,Zm00008a020519;Zm00008a020517,Zm00008a020520	1542,1549,1550,1557,1560;1558,1561;1559,1562	chr05	Zm00008a020500,Zm00008a020507,Zm00008a020508,Zm00008a020515,Zm00008a020516,Zm00008a020517,Zm00008a020518,Zm00008a020519,Zm00008a020520	NA,NA,NA,NA,NA,NA
Zm00008a020732,Zm00008a020737;Zm00008a020735,Zm00008a020738	1774,1779;1777,1780	chr05	Zm00008a020732,Zm00008a020735,Zm00008a020737,Zm00008a020738	0.509899298868,11.7181270147
Zm00008a021109,Zm00008a021111;Zm00008a021110,Zm00008a021113	2151,2153;2152,2155	chr05	Zm00008a021109,Zm00008a021110,Zm00008a021111,Zm00008a021113	NA,6.16225900118
Zm00008a021702,Zm00008a021704,Zm00008a021706;Zm00008a021705,Zm00008a021707	2744,2746,2748;2747,2749	chr05	Zm00008a021702,Zm00008a021704,Zm00008a021705,Zm00008a021706,Zm00008a021707	0.00223973452397,0.00425145868324,NA
Zm00008a023098,Zm00008a023101;Zm00008a023099,Zm00008a023102;Zm00008a023100,Zm00008a023103	4140,4143;4141,4144;4142,4145	chr05	Zm00008a023098,Zm00008a023099,Zm00008a023100,Zm00008a023101,Zm00008a023102,Zm00008a023103	11.7561997026,11.7543635735,0.674846592573
Zm00008a023862,Zm00008a023864;Zm00008a023863,Zm00008a023866,Zm00008a023871	444,446;445,448,453	chr06	Zm00008a023862,Zm00008a023863,Zm00008a023864,Zm00008a023866,Zm00008a023871	0.0528465917625,1.95650868651,1.95650868651
Zm00008a023976,Zm00008a023984;Zm00008a023977,Zm00008a023985,Zm00008a023986	558,566;559,567,568	chr06	Zm00008a023976,Zm00008a023977,Zm00008a023984,Zm00008a023985,Zm00008a023986	NA,NA,NA
Zm00008a024287,Zm00008a024293;Zm00008a024288,Zm00008a024294,Zm00008a024300;Zm00008a024289,Zm00008a024296	869,875;870,876,882;871,878	chr06	Zm00008a024287,Zm00008a024288,Zm00008a024289,Zm00008a024293,Zm00008a024294,Zm00008a024296,Zm00008a024300	NA,11.7190981878,NA,11.7453079108
Zm00008a024330,Zm00008a024331,Zm00008a024333;Zm00008a024332,Zm00008a024334,Zm00008a024335	912,913,915;914,916,917	chr06	Zm00008a024330,Zm00008a024331,Zm00008a024332,Zm00008a024333,Zm00008a024334,Zm00008a024335	0.612685360415,NA,0.0608788930234,0.326602602302
Zm00008a024816,Zm00008a024818;Zm00008a024817,Zm00008a024819,Zm00008a024820	1398,1400;1399,1401,1402	chr06	Zm00008a024816,Zm00008a024817,Zm00008a024818,Zm00008a024819,Zm00008a024820	NA,1.90213988495,1.90213988495
Zm00008a025369,Zm00008a025371;Zm00008a025370,Zm00008a025372	1951,1953;1952,1954	chr06	Zm00008a025369,Zm00008a025370,Zm00008a025371,Zm00008a025372	11.7985918417,0.00122458575984
Zm00008a025402,Zm00008a025417;Zm00008a025410,Zm00008a025423	1984,1999;1992,2005	chr06	Zm00008a025402,Zm00008a025410,Zm00008a025417,Zm00008a025423	11.7224324546,11.7347592273
Zm00008a025995,Zm00008a026001;Zm00008a025996,Zm00008a026002	2577,2583;2578,2584	chr06	Zm00008a025995,Zm00008a025996,Zm00008a026001,Zm00008a026002	1.99625475884,NA
Zm00008a027780,Zm00008a027791,Zm00008a027800,Zm00008a027802;Zm00008a027801,Zm00008a027803	1167,1178,1187,1189;1188,1190	chr07	Zm00008a027780,Zm00008a027791,Zm00008a027800,Zm00008a027801,Zm00008a027802,Zm00008a027803	11.7254337582,9.42831595568,0.856001719588,1.67525246938
Zm00008a027862,Zm00008a027863,Zm00008a027870;Zm00008a027866,Zm00008a027872;Zm00008a027867,Zm00008a027873	1249,1250,1257;1253,1259;1254,1260	chr07	Zm00008a027862,Zm00008a027863,Zm00008a027866,Zm00008a027867,Zm00008a027870,Zm00008a027872,Zm00008a027873	NA,NA,NA,NA
Zm00008a028807,Zm00008a028809;Zm00008a028808,Zm00008a028811	2194,2196;2195,2198	chr07	Zm00008a028807,Zm00008a028808,Zm00008a028809,Zm00008a028811	5.77931585348,NA
Zm00008a029311,Zm00008a029314;Zm00008a029312,Zm00008a029315	2698,2701;2699,2702	chr07	Zm00008a029311,Zm00008a029312,Zm00008a029314,Zm00008a029315	NA,NA
Zm00008a030895,Zm00008a030899;Zm00008a030896,Zm00008a030900;Zm00008a030898,Zm00008a030902	1123,1127;1124,1128;1126,1130	chr08	Zm00008a030895,Zm00008a030896,Zm00008a030898,Zm00008a030899,Zm00008a030900,Zm00008a030902	0.730054035616,5.96961387275,1.28669312495
Zm00008a030945,Zm00008a030959;Zm00008a030946,Zm00008a030960;Zm00008a030947,Zm00008a030961	1173,1187;1174,1188;1175,1189	chr08	Zm00008a030945,Zm00008a030946,Zm00008a030947,Zm00008a030959,Zm00008a030960,Zm00008a030961	NA,NA,NA
Zm00008a031222,Zm00008a031226;Zm00008a031223,Zm00008a031227	1450,1454;1451,1455	chr08	Zm00008a031222,Zm00008a031223,Zm00008a031226,Zm00008a031227	11.7219007444,11.7395887394
Zm00008a031786,Zm00008a031799,Zm00008a031809;Zm00008a031805,Zm00008a031819	2014,2027,2037;2033,2047	chr08	Zm00008a031786,Zm00008a031799,Zm00008a031805,Zm00008a031809,Zm00008a031819	11.7278628941,6.77795615439,NA
Zm00008a035549,Zm00008a035551;Zm00008a035550,Zm00008a035552	2296,2298;2297,2299	chr09	Zm00008a035549,Zm00008a035550,Zm00008a035551,Zm00008a035552	NA,NA
Zm00008a035977,Zm00008a035984;Zm00008a035981,Zm00008a035985	2724,2731;2728,2732	chr09	Zm00008a035977,Zm00008a035981,Zm00008a035984,Zm00008a035985	3.97837014729,5.31821484336
Zm00008a036368,Zm00008a036370;Zm00008a036369,Zm00008a036371	100,102;101,103	chr10	Zm00008a036368,Zm00008a036369,Zm00008a036370,Zm00008a036371	1.58643565035,NA
Zm00008a036506,Zm00008a036513;Zm00008a036507,Zm00008a036514	238,245;239,246	chr10	Zm00008a036506,Zm00008a036507,Zm00008a036513,Zm00008a036514	11.739704295,11.7965751268
Zm00008a038982,Zm00008a038991,Zm00008a038995,Zm00008a039007,Zm00008a039008,Zm00008a039009,Zm00008a039010,Zm00008a039012,Zm00008a039013,Zm00008a039014,Zm00008a039017,Zm00008a039030,Zm00008a039031,Zm00008a039037,Zm00008a039039,Zm00008a039040,Zm00008a039041,Zm00008a039042,Zm00008a039053,Zm00008a039054,Zm00008a039055,Zm00008a039057,Zm00008a039061,Zm00008a039062,Zm00008a039063,Zm00008a039064,Zm00008a039065,Zm00008a039066,Zm00008a039067,Zm00008a039069,Zm00008a039070,Zm00008a039073,Zm00008a039076,Zm00008a039079,Zm00008a039083,Zm00008a039085,Zm00008a039087,Zm00008a039088,Zm00008a039089,Zm00008a039098,Zm00008a039099,Zm00008a039100,Zm00008a039104,Zm00008a039105,Zm00008a039118,Zm00008a039126,Zm00008a039128,Zm00008a039129,Zm00008a039132,Zm00008a039133,Zm00008a039136,Zm00008a039137,Zm00008a039140,Zm00008a039143,Zm00008a039152,Zm00008a039153,Zm00008a039154,Zm00008a039157,Zm00008a039158,Zm00008a039160,Zm00008a039161,Zm00008a039164,Zm00008a039165,Zm00008a039166,Zm00008a039167,Zm00008a039174,Zm00008a039175,Zm00008a039176,Zm00008a039177,Zm00008a039181,Zm00008a039185,Zm00008a039186,Zm00008a039187,Zm00008a039188,Zm00008a039191,Zm00008a039192,Zm00008a039193,Zm00008a039197,Zm00008a039202,Zm00008a039203,Zm00008a039204,Zm00008a039205,Zm00008a039208,Zm00008a039211,Zm00008a039219,Zm00008a039220,Zm00008a039221,Zm00008a039226,Zm00008a039230,Zm00008a039232,Zm00008a039233,Zm00008a039236,Zm00008a039237,Zm00008a039247;Zm00008a038987,Zm00008a039038,Zm00008a039134,Zm00008a039198;Zm00008a038993,Zm00008a039119	42,51,55,67,68,69,70,72,73,74,77,90,91,97,99,100,101,102,113,114,115,117,121,122,123,124,125,126,127,129,130,133,136,139,143,145,147,148,149,158,159,160,164,165,178,186,188,189,192,193,196,197,200,203,212,213,214,217,218,220,221,224,225,226,227,234,235,236,237,241,245,246,247,248,251,252,253,257,262,263,264,265,268,271,279,280,281,286,290,292,293,296,297,307;47,98,194,258;53,179	chrUNKNOWN	Zm00008a038982,Zm00008a038987,Zm00008a038991,Zm00008a038993,Zm00008a038995,Zm00008a039007,Zm00008a039008,Zm00008a039009,Zm00008a039010,Zm00008a039012,Zm00008a039013,Zm00008a039014,Zm00008a039017,Zm00008a039030,Zm00008a039031,Zm00008a039037,Zm00008a039038,Zm00008a039039,Zm00008a039040,Zm00008a039041,Zm00008a039042,Zm00008a039053,Zm00008a039054,Zm00008a039055,Zm00008a039057,Zm00008a039061,Zm00008a039062,Zm00008a039063,Zm00008a039064,Zm00008a039065,Zm00008a039066,Zm00008a039067,Zm00008a039069,Zm00008a039070,Zm00008a039073,Zm00008a039076,Zm00008a039079,Zm00008a039083,Zm00008a039085,Zm00008a039087,Zm00008a039088,Zm00008a039089,Zm00008a039098,Zm00008a039099,Zm00008a039100,Zm00008a039104,Zm00008a039105,Zm00008a039118,Zm00008a039119,Zm00008a039126,Zm00008a039128,Zm00008a039129,Zm00008a039132,Zm00008a039133,Zm00008a039134,Zm00008a039136,Zm00008a039137,Zm00008a039140,Zm00008a039143,Zm00008a039152,Zm00008a039153,Zm00008a039154,Zm00008a039157,Zm00008a039158,Zm00008a039160,Zm00008a039161,Zm00008a039164,Zm00008a039165,Zm00008a039166,Zm00008a039167,Zm00008a039174,Zm00008a039175,Zm00008a039176,Zm00008a039177,Zm00008a039181,Zm00008a039185,Zm00008a039186,Zm00008a039187,Zm00008a039188,Zm00008a039191,Zm00008a039192,Zm00008a039193,Zm00008a039197,Zm00008a039198,Zm00008a039202,Zm00008a039203,Zm00008a039204,Zm00008a039205,Zm00008a039208,Zm00008a039211,Zm00008a039219,Zm00008a039220,Zm00008a039221,Zm00008a039226,Zm00008a039230,Zm00008a039232,Zm00008a039233,Zm00008a039236,Zm00008a039237,Zm00008a039247	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zm00008a039245,Zm00008a039254,Zm00008a039268;Zm00008a039260,Zm00008a039271	305,314,328;320,331	chrUNKNOWN	Zm00008a039245,Zm00008a039254,Zm00008a039260,Zm00008a039268,Zm00008a039271	NA,NA,NA
Zm00008a040266,Zm00008a040268;Zm00008a040267,Zm00008a040269	0,2;1,3	scaffold91677	Zm00008a040266,Zm00008a040267,Zm00008a040268,Zm00008a040269	NA,NA
