ClusterID	Genes	Intervals	
Cluster_0171	Zm00008a037011,Zm00008a037010,Zm00008a037029,Zm00008a037013,Zm00008a037016	0,1,2,12
Cluster_0172	Zm00008a037017,Zm00008a037005	11
Cluster_0173	Zm00008a037018,Zm00008a037026	7
Cluster_0174	Zm00008a037021,Zm00008a037022	0
Cluster_0175	Zm00008a036458,Zm00008a036469	10
Cluster_0176	Zm00008a037036,Zm00008a037040	3
Cluster_0177	Zm00008a037043,Zm00008a037041,Zm00008a037039,Zm00008a037037	1,1,1
Cluster_0178	Zm00008a037056,Zm00008a037057	0
Cluster_0179	Zm00008a037070,Zm00008a037062	7
Cluster_0180	Zm00008a037101,Zm00008a037100	0
Cluster_0181	Zm00008a037106,Zm00008a037107,Zm00008a037108	0,0
Cluster_0182	Zm00008a037113,Zm00008a037111	1
Cluster_0183	Zm00008a037115,Zm00008a037114	0
Cluster_0184	Zm00008a037127,Zm00008a037126	0
Cluster_0185	Zm00008a037128,Zm00008a037131	2
Cluster_0186	Zm00008a036481,Zm00008a036482	0
Cluster_0187	Zm00008a037154,Zm00008a037148,Zm00008a037152,Zm00008a037149	0,2,1
Cluster_0188	Zm00008a037157,Zm00008a037158	0
Cluster_0189	Zm00008a036484,Zm00008a036486	1
Cluster_0190	Zm00008a037163,Zm00008a037162	0
Cluster_0191	Zm00008a037201,Zm00008a037202	0
Cluster_0192	Zm00008a037205,Zm00008a037206	0
Cluster_0193	Zm00008a036492,Zm00008a036493	0
Cluster_0194	Zm00008a037216,Zm00008a037217	0
Cluster_0195	Zm00008a036498,Zm00008a036497	0
Cluster_0196	Zm00008a036271,Zm00008a036270	0
Cluster_0197	Zm00008a037222,Zm00008a037223	0
Cluster_0198	Zm00008a037234,Zm00008a037236	1
Cluster_0199	Zm00008a036501,Zm00008a036502	0
Cluster_0200	Zm00008a037252,Zm00008a037253	0
Cluster_0201	Zm00008a037258,Zm00008a037259	0
Cluster_0202	Zm00008a037269,Zm00008a037270	0
Cluster_0203	Zm00008a037277,Zm00008a037279,Zm00008a037275	1,1
Cluster_0204	Zm00008a037281,Zm00008a037287	5
Cluster_0205	Zm00008a037292,Zm00008a037291	0
Cluster_0206	Zm00008a037300,Zm00008a037301,Zm00008a037299	0,0
Cluster_0207	Zm00008a037309,Zm00008a037310	0
Cluster_0208	Zm00008a037317,Zm00008a037316	0
Cluster_0209	Zm00008a037327,Zm00008a037326	0
Cluster_0210	Zm00008a037333,Zm00008a037334	0
Cluster_0211	Zm00008a037338,Zm00008a037337	0
Cluster_0212	Zm00008a037343,Zm00008a037345,Zm00008a037341	1,1
Cluster_0213	Zm00008a037347,Zm00008a037348	0
Cluster_0214	Zm00008a037350,Zm00008a037351,Zm00008a037352	0,0
Cluster_0215	Zm00008a036513,Zm00008a036506	6
Cluster_0216	Zm00008a036514,Zm00008a036507	6
Cluster_0217	Zm00008a037361,Zm00008a037360	0
Cluster_0218	Zm00008a037368,Zm00008a037369	0
Cluster_0219	Zm00008a036515,Zm00008a036516	0
Cluster_0220	Zm00008a037374,Zm00008a037375,Zm00008a037377,Zm00008a037376	0,0,0
Cluster_0221	Zm00008a037389,Zm00008a037388	0
Cluster_0222	Zm00008a037401,Zm00008a037402	0
Cluster_0223	Zm00008a037406,Zm00008a037407	0
Cluster_0224	Zm00008a037410,Zm00008a037409	0
Cluster_0225	Zm00008a037418,Zm00008a037434	15
Cluster_0226	Zm00008a037425,Zm00008a037424	0
Cluster_0227	Zm00008a037427,Zm00008a037411,Zm00008a037412,Zm00008a037415,Zm00008a037416,Zm00008a037426,Zm00008a037429,Zm00008a037430,Zm00008a037428	0,2,0,9,0,0,0,0
Cluster_0228	Zm00008a037437,Zm00008a037439,Zm00008a037438	0,0
Cluster_0229	Zm00008a037450,Zm00008a037451	0
Cluster_0230	Zm00008a037454,Zm00008a037453	0
Cluster_0231	Zm00008a037455,Zm00008a037440,Zm00008a037456	14,0
Cluster_0232	Zm00008a036522,Zm00008a036524	1
Cluster_0233	Zm00008a037458,Zm00008a037457	0
Cluster_0234	Zm00008a037461,Zm00008a037460	0
Cluster_0235	Zm00008a037478,Zm00008a037480	1
Cluster_0236	Zm00008a036274,Zm00008a036275,Zm00008a036272	1,0
Cluster_0237	Zm00008a037495,Zm00008a037496,Zm00008a037497	0,0
Cluster_0238	Zm00008a037500,Zm00008a037501,Zm00008a037498,Zm00008a037502	1,0,0
Cluster_0239	Zm00008a037514,Zm00008a037512	1
Cluster_0240	Zm00008a036532,Zm00008a036531,Zm00008a036534,Zm00008a036533	0,0,0
Cluster_0241	Zm00008a037535,Zm00008a037536	0
Cluster_0242	Zm00008a037546,Zm00008a037547,Zm00008a037550,Zm00008a037548,Zm00008a037551	0,0,1,0
Cluster_0243	Zm00008a036541,Zm00008a036539,Zm00008a036545,Zm00008a036550,Zm00008a036540	0,0,3,4
Cluster_0244	Zm00008a037563,Zm00008a037562	0
Cluster_0245	Zm00008a037567,Zm00008a037566	0
Cluster_0246	Zm00008a036542,Zm00008a036543	0
Cluster_0247	Zm00008a037571,Zm00008a037570	0
Cluster_0248	Zm00008a037572,Zm00008a037573	0
Cluster_0249	Zm00008a037576,Zm00008a037577	0
Cluster_0250	Zm00008a037585,Zm00008a037584	0
Cluster_0251	Zm00008a037589,Zm00008a037590	0
Cluster_0252	Zm00008a037598,Zm00008a037599	0
Cluster_0253	Zm00008a037612,Zm00008a037611	0
Cluster_0254	Zm00008a037614,Zm00008a037615	0
Cluster_0255	Zm00008a037629,Zm00008a037632	2
Cluster_0256	Zm00008a036552,Zm00008a036551	0
Cluster_0257	Zm00008a037639,Zm00008a037640	0
Cluster_0258	Zm00008a037645,Zm00008a037644	0
Cluster_0259	Zm00008a037655,Zm00008a037646	8
Cluster_0260	Zm00008a000324,Zm00008a000325	0
Cluster_0261	Zm00008a002189,Zm00008a002190	0
Cluster_0262	Zm00008a000330,Zm00008a000329,Zm00008a000331	0,0
Cluster_0263	Zm00008a002203,Zm00008a002201	1
Cluster_0264	Zm00008a000337,Zm00008a000336,Zm00008a000335,Zm00008a000334,Zm00008a000338	0,0,0,0
Cluster_0265	Zm00008a002219,Zm00008a002218	0
Cluster_0266	Zm00008a000341,Zm00008a000340	0
Cluster_0267	Zm00008a002228,Zm00008a002226	1
Cluster_0268	Zm00008a002230,Zm00008a002231	0
Cluster_0269	Zm00008a002237,Zm00008a002238	0
Cluster_0270	Zm00008a002254,Zm00008a002253	0
Cluster_0271	Zm00008a000350,Zm00008a000339	10
Cluster_0272	Zm00008a002264,Zm00008a002265	0
Cluster_0273	Zm00008a002274,Zm00008a002275	0
Cluster_0274	Zm00008a002280,Zm00008a002279,Zm00008a002270,Zm00008a002271,Zm00008a002269,Zm00008a002268,Zm00008a002267	0,0,0,0,7,0
Cluster_0275	Zm00008a000022,Zm00008a000021	0
Cluster_0276	Zm00008a002291,Zm00008a002299	7
Cluster_0277	Zm00008a002295,Zm00008a002308,Zm00008a002296,Zm00008a002304	0,7,3
Cluster_0278	Zm00008a002302,Zm00008a002303	0
Cluster_0279	Zm00008a000364,Zm00008a000363	0
Cluster_0280	Zm00008a000026,Zm00008a000029,Zm00008a000030	2,0
Cluster_0281	Zm00008a002317,Zm00008a002318,Zm00008a002320,Zm00008a002316,Zm00008a002321	0,0,1,0
Cluster_0282	Zm00008a002324,Zm00008a002315	8
Cluster_0283	Zm00008a000368,Zm00008a000369	0
Cluster_0284	Zm00008a002334,Zm00008a002340	5
Cluster_0285	Zm00008a000377,Zm00008a000376,Zm00008a000362	13,0
Cluster_0286	Zm00008a002345,Zm00008a002344	0
Cluster_0287	Zm00008a002346,Zm00008a002347	0
Cluster_0288	Zm00008a002352,Zm00008a002351	0
Cluster_0289	Zm00008a002359,Zm00008a002358	0
Cluster_0290	Zm00008a002363,Zm00008a002354,Zm00008a002361,Zm00008a002362,Zm00008a002353	0,6,0,0
Cluster_0291	Zm00008a002371,Zm00008a002370	0
Cluster_0292	Zm00008a002382,Zm00008a002383	0
Cluster_0293	Zm00008a000387,Zm00008a000388	0
Cluster_0294	Zm00008a002390,Zm00008a002389,Zm00008a002384	4,0
Cluster_0295	Zm00008a000390,Zm00008a000391	0
Cluster_0296	Zm00008a002401,Zm00008a002400	0
Cluster_0297	Zm00008a002409,Zm00008a002410	0
Cluster_0298	Zm00008a002412,Zm00008a002411	0
Cluster_0299	Zm00008a002414,Zm00008a002416,Zm00008a002417	1,0
Cluster_0300	Zm00008a002425,Zm00008a002424	0
Cluster_0301	Zm00008a002427,Zm00008a002429	1
Cluster_0302	Zm00008a002438,Zm00008a002439	0
Cluster_0303	Zm00008a002461,Zm00008a002462	0
Cluster_0304	Zm00008a002468,Zm00008a002467	0
Cluster_0305	Zm00008a002470,Zm00008a002491	20
Cluster_0306	Zm00008a002484,Zm00008a002476,Zm00008a002475	0,7
Cluster_0307	Zm00008a002488,Zm00008a002487,Zm00008a002481	5,0
Cluster_0308	Zm00008a002490,Zm00008a002479,Zm00008a002480	0,9
Cluster_0309	Zm00008a002553,Zm00008a002552	0
Cluster_0310	Zm00008a002559,Zm00008a002558	0
Cluster_0311	Zm00008a002564,Zm00008a002563	0
Cluster_0312	Zm00008a002568,Zm00008a002567	0
Cluster_0313	Zm00008a002570,Zm00008a002577	6
Cluster_0314	Zm00008a002571,Zm00008a002572	0
Cluster_0315	Zm00008a002588,Zm00008a002587	0
Cluster_0316	Zm00008a002593,Zm00008a002594	0
Cluster_0317	Zm00008a002598,Zm00008a002599	0
Cluster_0318	Zm00008a002603,Zm00008a002604	0
Cluster_0319	Zm00008a000465,Zm00008a000466	0
Cluster_0320	Zm00008a002641,Zm00008a002642,Zm00008a002640	0,0
Cluster_0321	Zm00008a002647,Zm00008a002648	0
Cluster_0322	Zm00008a002656,Zm00008a002655	0
Cluster_0323	Zm00008a002660,Zm00008a002661	0
Cluster_0324	Zm00008a002662,Zm00008a002663	0
Cluster_0325	Zm00008a000476,Zm00008a000479	2
Cluster_0326	Zm00008a002678,Zm00008a002679	0
Cluster_0327	Zm00008a002685,Zm00008a002686	0
Cluster_0328	Zm00008a002687,Zm00008a002684	2
Cluster_0329	Zm00008a002690,Zm00008a002691	0
Cluster_0330	Zm00008a002695,Zm00008a002696	0
Cluster_0331	Zm00008a000486,Zm00008a000487	0
Cluster_0332	Zm00008a002713,Zm00008a002712	0
Cluster_0333	Zm00008a000034,Zm00008a000035	0
Cluster_0334	Zm00008a002727,Zm00008a002728,Zm00008a002725,Zm00008a002726	0,0,0
Cluster_0335	Zm00008a002736,Zm00008a002737,Zm00008a002744	0,6
Cluster_0336	Zm00008a002754,Zm00008a002765,Zm00008a002761,Zm00008a002757,Zm00008a002763,Zm00008a002753,Zm00008a002759	0,2,1,1,1,1
Cluster_0337	Zm00008a000498,Zm00008a000499	0
Cluster_0338	Zm00008a002779,Zm00008a002780	0
Cluster_0339	Zm00008a002787,Zm00008a002773,Zm00008a002781,Zm00008a002785,Zm00008a002774	0,6,3,1
Cluster_0340	Zm00008a002795,Zm00008a002794,Zm00008a002798,Zm00008a002799	0,2,0
Cluster_0341	Zm00008a002822,Zm00008a002821,Zm00008a002825,Zm00008a002824,Zm00008a002823	0,0,0,0
Cluster_0342	Zm00008a000509,Zm00008a000510	0
Cluster_0343	Zm00008a000511,Zm00008a000512,Zm00008a000513	0,0
Cluster_0344	Zm00008a002837,Zm00008a002834	2
Cluster_0345	Zm00008a002840,Zm00008a002839	0
Cluster_0346	Zm00008a000036,Zm00008a000040	3
Cluster_0347	Zm00008a002863,Zm00008a002861,Zm00008a002860	0,1
Cluster_0348	Zm00008a002865,Zm00008a002864	0
Cluster_0349	Zm00008a000517,Zm00008a000516,Zm00008a000515	0,0
Cluster_0350	Zm00008a002872,Zm00008a002873	0
Cluster_0351	Zm00008a002876,Zm00008a002875	0
Cluster_0352	Zm00008a000527,Zm00008a000529,Zm00008a000528	0,0
Cluster_0353	Zm00008a002901,Zm00008a002902,Zm00008a002903	0,0
Cluster_0354	Zm00008a000531,Zm00008a000532,Zm00008a000534,Zm00008a000535,Zm00008a000533	0,0,0,0
Cluster_0355	Zm00008a002911,Zm00008a002913,Zm00008a002910,Zm00008a002912	0,0,0
Cluster_0356	Zm00008a002937,Zm00008a002936	0
Cluster_0357	Zm00008a002944,Zm00008a002945	0
Cluster_0358	Zm00008a002949,Zm00008a002948	0
Cluster_0359	Zm00008a002962,Zm00008a002961	0
Cluster_0360	Zm00008a002974,Zm00008a002975,Zm00008a002973	0,0
Cluster_0361	Zm00008a002988,Zm00008a002987,Zm00008a002989,Zm00008a002990	0,0,0
Cluster_0362	Zm00008a002991,Zm00008a002992	0
Cluster_0363	Zm00008a003003,Zm00008a003004	0
Cluster_0364	Zm00008a000541,Zm00008a000540,Zm00008a000539	0,0
Cluster_0365	Zm00008a003018,Zm00008a003017,Zm00008a003021,Zm00008a003015,Zm00008a003008	6,1,0,2
Cluster_0366	Zm00008a003025,Zm00008a003024	0
Cluster_0367	Zm00008a003041,Zm00008a003040	0
Cluster_0368	Zm00008a000554,Zm00008a000556	1
Cluster_0369	Zm00008a003049,Zm00008a003058,Zm00008a003050	0,7
Cluster_0370	Zm00008a003052,Zm00008a003051	0
Cluster_0371	Zm00008a003055,Zm00008a003057,Zm00008a003056	0,0
Cluster_0372	Zm00008a003062,Zm00008a003061	0
Cluster_0373	Zm00008a003068,Zm00008a003067	0
Cluster_0374	Zm00008a000557,Zm00008a000555	1
Cluster_0375	Zm00008a000561,Zm00008a000560	0
Cluster_0376	Zm00008a003086,Zm00008a003087	0
Cluster_0377	Zm00008a003096,Zm00008a003109	12
Cluster_0378	Zm00008a003101,Zm00008a003114,Zm00008a003102	0,11
Cluster_0379	Zm00008a003122,Zm00008a003123	0
Cluster_0380	Zm00008a003128,Zm00008a003126	1
Cluster_0381	Zm00008a003130,Zm00008a003125,Zm00008a003127,Zm00008a003129	1,1,0
Cluster_0382	Zm00008a003135,Zm00008a003134	0
Cluster_0383	Zm00008a000570,Zm00008a000571	0
Cluster_0384	Zm00008a003156,Zm00008a003160,Zm00008a003158	1,1
Cluster_0385	Zm00008a003162,Zm00008a003163,Zm00008a003175,Zm00008a003183,Zm00008a003192,Zm00008a003196,Zm00008a003198,Zm00008a003168,Zm00008a003154,Zm00008a003153	0,7,0,4,6,7,8,3,1
Cluster_0386	Zm00008a003173,Zm00008a003180,Zm00008a003194	6,13
Cluster_0387	Zm00008a003188,Zm00008a003166,Zm00008a003179,Zm00008a003172	5,6,8
Cluster_0388	Zm00008a000576,Zm00008a000577	0
Cluster_0389	Zm00008a003200,Zm00008a003182,Zm00008a003161,Zm00008a003190,Zm00008a003176,Zm00008a003191,Zm00008a003174,Zm00008a003195,Zm00008a003181,Zm00008a003197,Zm00008a003167,Zm00008a003199,Zm00008a003170	5,2,3,1,4,0,7,0,3,1,1,0
Cluster_0390	Zm00008a003221,Zm00008a003214,Zm00008a003224,Zm00008a003222,Zm00008a003220	5,0,0,1
Cluster_0391	Zm00008a003225,Zm00008a003226	0
Cluster_0392	Zm00008a003231,Zm00008a003230	0
Cluster_0393	Zm00008a003232,Zm00008a003233	0
Cluster_0394	Zm00008a003239,Zm00008a003240	0
Cluster_0395	Zm00008a003243,Zm00008a003242	0
Cluster_0396	Zm00008a003248,Zm00008a003246	1
Cluster_0397	Zm00008a000581,Zm00008a000579	1
Cluster_0398	Zm00008a003266,Zm00008a003267,Zm00008a003265	0,0
Cluster_0399	Zm00008a003294,Zm00008a003295	0
Cluster_0400	Zm00008a003308,Zm00008a003307,Zm00008a003306,Zm00008a003309	0,0,0
Cluster_0401	Zm00008a003315,Zm00008a003316	0
Cluster_0402	Zm00008a003318,Zm00008a003319	0
Cluster_0403	Zm00008a003323,Zm00008a003322,Zm00008a003320	1,0
Cluster_0404	Zm00008a000590,Zm00008a000591	0
Cluster_0405	Zm00008a003337,Zm00008a003336	0
Cluster_0406	Zm00008a003364,Zm00008a003366	1
Cluster_0407	Zm00008a000593,Zm00008a000592	0
Cluster_0408	Zm00008a003369,Zm00008a003370	0
Cluster_0409	Zm00008a003374,Zm00008a003375	0
Cluster_0410	Zm00008a003382,Zm00008a003383	0
Cluster_0411	Zm00008a003404,Zm00008a003403	0
Cluster_0412	Zm00008a003411,Zm00008a003410	0
Cluster_0413	Zm00008a003414,Zm00008a003415	0
Cluster_0414	Zm00008a000601,Zm00008a000600	0
Cluster_0415	Zm00008a000604,Zm00008a000603,Zm00008a000602	0,0
Cluster_0416	Zm00008a000608,Zm00008a000607	0
