Cluster_ID	Genes	Gene1	Gene2	Total_Divergence	Ti_Tv	dNdS	dN	dN_SE	dS	dS_Se
Anc_Cluster_0021	Sb06g016350.1,Zm00008a037900,Zm00008a037887,Zm00008a037886,Zm00008a037881,Zm00008a037890,Zm00008a037888,Zm00008a037884	Zm00008a037881	Zm00008a037887	4.3012	1.3324	1.2043	1.4724	0.6846	1.2226	1.2187
Anc_Cluster_0021	Sb06g016350.1,Zm00008a037900,Zm00008a037887,Zm00008a037886,Zm00008a037881,Zm00008a037890,Zm00008a037888,Zm00008a037884	Zm00008a037881	Zm00008a037886	0.9327	1.3324	0.2698	0.2259	0.0756	0.8373	0.6005
Anc_Cluster_0021	Sb06g016350.1,Zm00008a037900,Zm00008a037887,Zm00008a037886,Zm00008a037881,Zm00008a037890,Zm00008a037888,Zm00008a037884	Zm00008a037890	Sb06g016350.1	5.2763	1.3324	0.5905	1.5321	0.9375	2.5946	12.8838
Anc_Cluster_0021	Sb06g016350.1,Zm00008a037900,Zm00008a037887,Zm00008a037886,Zm00008a037881,Zm00008a037890,Zm00008a037888,Zm00008a037884	Zm00008a037890	Zm00008a037900	4.8620	1.3324	0.2659	0.9891	0.3119	3.7202	16.6944
Anc_Cluster_0021	Sb06g016350.1,Zm00008a037900,Zm00008a037887,Zm00008a037886,Zm00008a037881,Zm00008a037890,Zm00008a037888,Zm00008a037884	Zm00008a037890	Zm00008a037887	1.3842	1.3324	1.3815	0.4910	0.1488	0.3554	0.2037
Anc_Cluster_0021	Sb06g016350.1,Zm00008a037900,Zm00008a037887,Zm00008a037886,Zm00008a037881,Zm00008a037890,Zm00008a037888,Zm00008a037884	Zm00008a037890	Zm00008a037886	4.1794	1.3324	0.6744	1.2604	0.4416	1.8688	1.6261
Anc_Cluster_0021	Sb06g016350.1,Zm00008a037900,Zm00008a037887,Zm00008a037886,Zm00008a037881,Zm00008a037890,Zm00008a037888,Zm00008a037884	Zm00008a037890	Zm00008a037881	5.4796	1.3324	0.7244	1.7000	1.6655	2.3469	3.0047
Anc_Cluster_0021	Sb06g016350.1,Zm00008a037900,Zm00008a037887,Zm00008a037886,Zm00008a037881,Zm00008a037890,Zm00008a037888,Zm00008a037884	Zm00008a037888	Sb06g016350.1	1.0798	1.3324	0.3837	0.2746	0.0894	0.7157	0.4561
Anc_Cluster_0021	Sb06g016350.1,Zm00008a037900,Zm00008a037887,Zm00008a037886,Zm00008a037881,Zm00008a037890,Zm00008a037888,Zm00008a037884	Zm00008a037888	Zm00008a037900	2.8412	1.3324	0.3419	0.6637	0.1945	1.9413	1.6817
Anc_Cluster_0021	Sb06g016350.1,Zm00008a037900,Zm00008a037887,Zm00008a037886,Zm00008a037881,Zm00008a037890,Zm00008a037888,Zm00008a037884	Zm00008a037888	Zm00008a037887	3.6063	1.3324	2.1183	1.3398	0.4158	0.6325	0.3754
Anc_Cluster_0021	Sb06g016350.1,Zm00008a037900,Zm00008a037887,Zm00008a037886,Zm00008a037881,Zm00008a037890,Zm00008a037888,Zm00008a037884	Zm00008a037888	Zm00008a037886	0.1042	1.3324	0.1955	0.0204	0.0205	0.1043	0.1063
Anc_Cluster_0021	Sb06g016350.1,Zm00008a037900,Zm00008a037887,Zm00008a037886,Zm00008a037881,Zm00008a037890,Zm00008a037888,Zm00008a037884	Zm00008a037888	Zm00008a037881	1.1283	1.3324	0.1971	0.2307	0.0773	1.1708	1.0918
Anc_Cluster_0021	Sb06g016350.1,Zm00008a037900,Zm00008a037887,Zm00008a037886,Zm00008a037881,Zm00008a037890,Zm00008a037888,Zm00008a037884	Zm00008a037888	Zm00008a037890	3.9065	1.3324	0.7510	1.2113	0.4556	1.6129	1.1424
Anc_Cluster_0021	Sb06g016350.1,Zm00008a037900,Zm00008a037887,Zm00008a037886,Zm00008a037881,Zm00008a037890,Zm00008a037888,Zm00008a037884	Zm00008a037884	Sb06g016350.1	0.7543	1.3324	0.0313	0.0411	0.0293	1.3124	1.9294
Anc_Cluster_0021	Sb06g016350.1,Zm00008a037900,Zm00008a037887,Zm00008a037886,Zm00008a037881,Zm00008a037890,Zm00008a037888,Zm00008a037884	Zm00008a037884	Zm00008a037900	2.5413	1.3324	0.3608	0.6429	0.1722	1.7818	1.5297
Anc_Cluster_0021	Sb06g016350.1,Zm00008a037900,Zm00008a037887,Zm00008a037886,Zm00008a037881,Zm00008a037890,Zm00008a037888,Zm00008a037884	Zm00008a037884	Zm00008a037887	5.4814	1.3324	0.4248	1.5133	0.7358	3.5623	16.6457
Anc_Cluster_0021	Sb06g016350.1,Zm00008a037900,Zm00008a037887,Zm00008a037886,Zm00008a037881,Zm00008a037890,Zm00008a037888,Zm00008a037884	Zm00008a037884	Zm00008a037886	0.8063	1.3324	0.4182	0.2255	0.0755	0.5392	0.4003
Anc_Cluster_0021	Sb06g016350.1,Zm00008a037900,Zm00008a037887,Zm00008a037886,Zm00008a037881,Zm00008a037890,Zm00008a037888,Zm00008a037884	Zm00008a037884	Zm00008a037881	0.2511	1.3324	0.0000	-0.0000	0.0000	0.7171	0.6137
Anc_Cluster_0021	Sb06g016350.1,Zm00008a037900,Zm00008a037887,Zm00008a037886,Zm00008a037881,Zm00008a037890,Zm00008a037888,Zm00008a037884	Zm00008a037884	Zm00008a037890	5.6787	1.3324	0.6731	1.7313	1.8703	2.5723	5.7796
Anc_Cluster_0021	Sb06g016350.1,Zm00008a037900,Zm00008a037887,Zm00008a037886,Zm00008a037881,Zm00008a037890,Zm00008a037888,Zm00008a037884	Zm00008a037884	Zm00008a037888	0.9444	1.3324	0.2960	0.2305	0.0772	0.7786	0.6393
Anc_Cluster_0022	Sb06g016990.1,Zm00008a037917,Zm00008a037927	Zm00008a037917	Sb06g016990.1	0.1423	1.6902	0.0770	0.0120	0.0040	0.1559	0.0283
Anc_Cluster_0022	Sb06g016990.1,Zm00008a037917,Zm00008a037927	Zm00008a037927	Sb06g016990.1	4.2913	1.6902	0.3301	0.9440	0.0656	2.8598	1.2554
Anc_Cluster_0022	Sb06g016990.1,Zm00008a037917,Zm00008a037927	Zm00008a037927	Zm00008a037917	4.1839	1.6902	0.3502	0.9513	0.0662	2.7162	1.0464
Anc_Cluster_0024	Sb06g017520.1,Zm00008a037943,Zm00008a037928,Zm00008a037945,Zm00008a037944	Zm00008a037943	Sb06g017520.1	4.1959	1.5976	0.3446	0.9717	0.1540	2.8202	2.9011
Anc_Cluster_0024	Sb06g017520.1,Zm00008a037943,Zm00008a037928,Zm00008a037945,Zm00008a037944	Zm00008a037928	Sb06g017520.1	3.1754	1.5976	0.2406	0.5681	0.0914	2.3618	1.4714
Anc_Cluster_0024	Sb06g017520.1,Zm00008a037943,Zm00008a037928,Zm00008a037945,Zm00008a037944	Zm00008a037928	Zm00008a037943	3.5769	1.5976	0.5476	0.9699	0.1641	1.7714	1.1860
Anc_Cluster_0024	Sb06g017520.1,Zm00008a037943,Zm00008a037928,Zm00008a037945,Zm00008a037944	Zm00008a037945	Sb06g017520.1	0.2243	1.5976	0.3457	0.0513	0.0196	0.1485	0.0629
Anc_Cluster_0024	Sb06g017520.1,Zm00008a037943,Zm00008a037928,Zm00008a037945,Zm00008a037944	Zm00008a037945	Zm00008a037943	4.4189	1.5976	0.3713	1.0391	0.1697	2.7982	2.7279
Anc_Cluster_0024	Sb06g017520.1,Zm00008a037943,Zm00008a037928,Zm00008a037945,Zm00008a037944	Zm00008a037945	Zm00008a037928	3.4290	1.5976	0.2199	0.5618	0.0922	2.5547	1.8279
Anc_Cluster_0024	Sb06g017520.1,Zm00008a037943,Zm00008a037928,Zm00008a037945,Zm00008a037944	Zm00008a037944	Sb06g017520.1	6.1163	1.5976	0.8172	1.9464	0.6883	2.3819	2.0503
Anc_Cluster_0024	Sb06g017520.1,Zm00008a037943,Zm00008a037928,Zm00008a037945,Zm00008a037944	Zm00008a037944	Zm00008a037943	5.9197	1.5976	0.6339	1.7548	0.4178	2.7683	2.8067
Anc_Cluster_0024	Sb06g017520.1,Zm00008a037943,Zm00008a037928,Zm00008a037945,Zm00008a037944	Zm00008a037944	Zm00008a037928	5.5146	1.5976	0.5053	1.4702	0.3099	2.9094	3.2527
Anc_Cluster_0024	Sb06g017520.1,Zm00008a037943,Zm00008a037928,Zm00008a037945,Zm00008a037944	Zm00008a037944	Zm00008a037945	6.0144	1.5976	0.6955	1.8219	0.5013	2.6198	2.2434
Anc_Cluster_0025	Sb08g005100.1,Zm00008a036587,Zm00008a036586,Zm00008a036571	Zm00008a036587	Sb08g005100.1	2.7337	1.4825	0.1414	0.3841	0.0262	2.7169	4.6090
Anc_Cluster_0025	Sb08g005100.1,Zm00008a036587,Zm00008a036586,Zm00008a036571	Zm00008a036586	Sb08g005100.1	2.6287	1.4825	0.4163	0.6478	0.0409	1.5560	0.2264
Anc_Cluster_0025	Sb08g005100.1,Zm00008a036587,Zm00008a036586,Zm00008a036571	Zm00008a036586	Zm00008a036587	3.5069	1.4825	0.2926	0.7352	0.0460	2.5122	0.7740
Anc_Cluster_0025	Sb08g005100.1,Zm00008a036587,Zm00008a036586,Zm00008a036571	Zm00008a036571	Sb08g005100.1	4.8316	1.4825	0.2156	0.8906	0.0565	4.1309	6.8274
Anc_Cluster_0025	Sb08g005100.1,Zm00008a036587,Zm00008a036586,Zm00008a036571	Zm00008a036571	Zm00008a036587	4.2050	1.4825	0.2172	0.8586	0.0523	3.9538	6.0736
Anc_Cluster_0025	Sb08g005100.1,Zm00008a036587,Zm00008a036586,Zm00008a036571	Zm00008a036571	Zm00008a036586	5.6006	1.4825	0.2659	1.1167	0.0761	4.1992	7.1430
Anc_Cluster_0026	Sb06g017810.1,Zm00008a037959,Zm00008a037960,Zm00008a037961	Zm00008a037959	Sb06g017810.1	0.4646	2.4332	1.2743	0.1635	0.0283	0.1283	0.0435
Anc_Cluster_0026	Sb06g017810.1,Zm00008a037959,Zm00008a037960,Zm00008a037961	Zm00008a037960	Sb06g017810.1	2.7165	2.4332	0.7389	0.8307	0.0987	1.1243	0.3169
Anc_Cluster_0026	Sb06g017810.1,Zm00008a037959,Zm00008a037960,Zm00008a037961	Zm00008a037960	Zm00008a037959	2.4490	2.4332	0.7946	0.7666	0.0900	0.9648	0.2394
Anc_Cluster_0026	Sb06g017810.1,Zm00008a037959,Zm00008a037960,Zm00008a037961	Zm00008a037961	Sb06g017810.1	0.4422	2.4332	1.5113	0.1608	0.0280	0.1064	0.0390
Anc_Cluster_0026	Sb06g017810.1,Zm00008a037959,Zm00008a037960,Zm00008a037961	Zm00008a037961	Zm00008a037959	0.2090	2.4332	0.8455	0.0667	0.0169	0.0789	0.0332
Anc_Cluster_0026	Sb06g017810.1,Zm00008a037959,Zm00008a037960,Zm00008a037961	Zm00008a037961	Zm00008a037960	2.2469	2.4332	0.9470	0.7385	0.0868	0.7798	0.1631
Anc_Cluster_0027	Sb06g018040.1,Zm00008a037977,Zm00008a037978	Zm00008a037977	Sb06g018040.1	0.3373	1.6278	0.2153	0.0724	0.0140	0.3362	0.0902
Anc_Cluster_0027	Sb06g018040.1,Zm00008a037977,Zm00008a037978	Zm00008a037978	Sb06g018040.1	46.4816	1.6278	0.0098	0.9709	0.0935	99.0000	0.0902
Anc_Cluster_0027	Sb06g018040.1,Zm00008a037977,Zm00008a037978	Zm00008a037978	Zm00008a037977	47.9334	1.6278	0.0094	0.9262	0.0876	99.0000	0.0902
Anc_Cluster_0028	Sb06g018080.1,Zm00008a037980,Zm00008a037981	Zm00008a037980	Sb06g018080.1	0.7209	1.5673	0.2738	0.1468	0.0162	0.5363	0.0726
Anc_Cluster_0028	Sb06g018080.1,Zm00008a037980,Zm00008a037981	Zm00008a037981	Sb06g018080.1	2.9247	1.5673	0.0737	0.2832	0.0235	3.8447	5.6519
Anc_Cluster_0028	Sb06g018080.1,Zm00008a037980,Zm00008a037981	Zm00008a037981	Zm00008a037980	3.0396	1.5673	0.0705	0.2740	0.0231	3.8843	5.8015
Anc_Cluster_0029	Sb06g018220.1,Zm00008a037991,Zm00008a037992	Zm00008a037991	Sb06g018220.1	4.3263	1.4302	0.3809	1.0276	0.0905	2.6980	1.2876
Anc_Cluster_0029	Sb06g018220.1,Zm00008a037991,Zm00008a037992	Zm00008a037992	Sb06g018220.1	0.6061	1.4302	0.4584	0.1534	0.0196	0.3347	0.0532
Anc_Cluster_0029	Sb06g018220.1,Zm00008a037991,Zm00008a037992	Zm00008a037992	Zm00008a037991	4.5185	1.4302	0.3454	1.0380	0.0910	3.0053	3.2295
Anc_Cluster_0030	Sb06g018340.1,Zm00008a038000,Zm00008a038003,Zm00008a038007,Zm00008a038010,Zm00008a038004,Zm00008a038001,Zm00008a038009,Zm00008a038011,Zm00008a038012,Zm00008a038006,Zm00008a038005	Zm00008a038000	Sb06g018340.1	2.0525	2.8410	4.3887	0.8201	0.5405	0.1869	0.2981
Anc_Cluster_0030	Sb06g018340.1,Zm00008a038000,Zm00008a038003,Zm00008a038007,Zm00008a038010,Zm00008a038004,Zm00008a038001,Zm00008a038009,Zm00008a038011,Zm00008a038012,Zm00008a038006,Zm00008a038005	Zm00008a038003	Sb06g018340.1	43.2411	2.8410	0.0163	1.6163	6.3355	99.0000	0.2981
Anc_Cluster_0030	Sb06g018340.1,Zm00008a038000,Zm00008a038003,Zm00008a038007,Zm00008a038010,Zm00008a038004,Zm00008a038001,Zm00008a038009,Zm00008a038011,Zm00008a038012,Zm00008a038006,Zm00008a038005	Zm00008a038003	Zm00008a038000	3.9419	2.8410	0.4325	1.1128	0.6052	2.5728	9.5851
Anc_Cluster_0030	Sb06g018340.1,Zm00008a038000,Zm00008a038003,Zm00008a038007,Zm00008a038010,Zm00008a038004,Zm00008a038001,Zm00008a038009,Zm00008a038011,Zm00008a038012,Zm00008a038006,Zm00008a038005	Zm00008a038007	Sb06g018340.1	62.6598	2.8410	0.0175	1.7344	18.8403	99.0000	9.5851
Anc_Cluster_0030	Sb06g018340.1,Zm00008a038000,Zm00008a038003,Zm00008a038007,Zm00008a038010,Zm00008a038004,Zm00008a038001,Zm00008a038009,Zm00008a038011,Zm00008a038012,Zm00008a038006,Zm00008a038005	Zm00008a038007	Zm00008a038000	3.2401	2.8410	2.6238	1.3305	0.8843	0.5071	0.5837
Anc_Cluster_0030	Sb06g018340.1,Zm00008a038000,Zm00008a038003,Zm00008a038007,Zm00008a038010,Zm00008a038004,Zm00008a038001,Zm00008a038009,Zm00008a038011,Zm00008a038012,Zm00008a038006,Zm00008a038005	Zm00008a038007	Zm00008a038003	5.8594	2.8410	2.2364	2.2805	39.4784	1.0197	0.9802
Anc_Cluster_0030	Sb06g018340.1,Zm00008a038000,Zm00008a038003,Zm00008a038007,Zm00008a038010,Zm00008a038004,Zm00008a038001,Zm00008a038009,Zm00008a038011,Zm00008a038012,Zm00008a038006,Zm00008a038005	Zm00008a038010	Sb06g018340.1	2.3833	2.8410	1.2988	0.8113	0.4597	0.6246	1.3825
Anc_Cluster_0030	Sb06g018340.1,Zm00008a038000,Zm00008a038003,Zm00008a038007,Zm00008a038010,Zm00008a038004,Zm00008a038001,Zm00008a038009,Zm00008a038011,Zm00008a038012,Zm00008a038006,Zm00008a038005	Zm00008a038010	Zm00008a038000	2.8471	2.8410	0.8932	0.9219	0.5073	1.0321	1.2168
Anc_Cluster_0030	Sb06g018340.1,Zm00008a038000,Zm00008a038003,Zm00008a038007,Zm00008a038010,Zm00008a038004,Zm00008a038001,Zm00008a038009,Zm00008a038011,Zm00008a038012,Zm00008a038006,Zm00008a038005	Zm00008a038010	Zm00008a038003	17.0212	2.8410	0.0042	0.4170	0.2202	99.0000	1.2168
Anc_Cluster_0030	Sb06g018340.1,Zm00008a038000,Zm00008a038003,Zm00008a038007,Zm00008a038010,Zm00008a038004,Zm00008a038001,Zm00008a038009,Zm00008a038011,Zm00008a038012,Zm00008a038006,Zm00008a038005	Zm00008a038010	Zm00008a038007	2.4587	2.8410	0.7155	0.7414	0.4104	1.0361	0.9900
Anc_Cluster_0030	Sb06g018340.1,Zm00008a038000,Zm00008a038003,Zm00008a038007,Zm00008a038010,Zm00008a038004,Zm00008a038001,Zm00008a038009,Zm00008a038011,Zm00008a038012,Zm00008a038006,Zm00008a038005	Zm00008a038004	Sb06g018340.1	3.0082	2.8410	1.4141	1.0676	0.6077	0.7550	1.4864
Anc_Cluster_0030	Sb06g018340.1,Zm00008a038000,Zm00008a038003,Zm00008a038007,Zm00008a038010,Zm00008a038004,Zm00008a038001,Zm00008a038009,Zm00008a038011,Zm00008a038012,Zm00008a038006,Zm00008a038005	Zm00008a038004	Zm00008a038000	5.5814	2.8410	2.5084	2.0967	2.1405	0.8359	0.9090
Anc_Cluster_0030	Sb06g018340.1,Zm00008a038000,Zm00008a038003,Zm00008a038007,Zm00008a038010,Zm00008a038004,Zm00008a038001,Zm00008a038009,Zm00008a038011,Zm00008a038012,Zm00008a038006,Zm00008a038005	Zm00008a038004	Zm00008a038003	2.3139	2.8410	0.2395	0.4802	0.3187	2.0047	3.9277
Anc_Cluster_0030	Sb06g018340.1,Zm00008a038000,Zm00008a038003,Zm00008a038007,Zm00008a038010,Zm00008a038004,Zm00008a038001,Zm00008a038009,Zm00008a038011,Zm00008a038012,Zm00008a038006,Zm00008a038005	Zm00008a038004	Zm00008a038007	4.0115	2.8410	1.7052	1.4640	1.2392	0.8586	0.8860
