#compute -i *.fasta 
#Tue Jun 27 14:24:30 2017

locus	nsam	nsites	nsites_ug	S	Singletons	NMut	nhap	hapdiv	WallsB	WallsQ	ThetaW	ThetaPi	TajD	FuLiDStar	FuLiFStar	Rmin	rho87
Zm00001d000042-Zm00001d000044.fasta	2	2730	576	378	378	378	2	1	1	1	0.65625	0.65625	nan	nan	nan	0	10000	
Zm00001d000044-Zm00001d000045.fasta	2	1047	606	376	376	376	2	1	1	1	0.620462	0.620462	nan	nan	nan	0	10000	
Zm00001d000045-Zm00001d000046.fasta	2	1038	450	287	287	287	2	1	1	1	0.637778	0.637778	nan	nan	nan	0	10000	
Zm00001d000046-Zm00001d000051.fasta	2	534	273	179	179	179	2	1	1	1	0.655678	0.655678	nan	nan	nan	0	10000	
Zm00001d000051-Zm00001d000052.fasta	2	870	276	187	187	187	2	1	1	1	0.677536	0.677536	nan	nan	nan	0	10000	
Zm00001d000052-Zm00001d000053.fasta	2	1767	468	316	316	316	2	1	1	1	0.675214	0.675214	nan	nan	nan	0	10000	
Zm00001d000055-Zm00001d000058.fasta	2	3387	231	156	156	156	2	1	1	1	0.675325	0.675325	nan	nan	nan	0	10000	
Zm00001d000058-Zm00001d000060.fasta	2	1095	243	150	150	150	2	1	1	1	0.617284	0.617284	nan	nan	nan	0	10000	
Zm00001d000060-Zm00001d000061.fasta	2	1371	762	446	446	446	2	1	1	1	0.585302	0.585302	nan	nan	nan	0	10000	
Zm00001d000061-Zm00001d000062.fasta	2	1155	561	349	349	349	2	1	1	1	0.622103	0.622103	nan	nan	nan	0	10000	
Zm00001d000062-Zm00001d000064.fasta	2	678	459	284	284	284	2	1	1	1	0.618736	0.618736	nan	nan	nan	0	10000	
Zm00001d000064-Zm00001d000065.fasta	2	750	294	198	198	198	2	1	1	1	0.673469	0.673469	nan	nan	nan	0	10000	
Zm00001d000065-Zm00001d000066.fasta	2	744	558	368	368	368	2	1	1	1	0.659498	0.659498	nan	nan	nan	0	10000	
Zm00001d000066-Zm00001d000067.fasta	2	840	360	218	218	218	2	1	1	1	0.605556	0.605556	nan	nan	nan	0	10000	
Zm00001d000067-Zm00001d000070.fasta	2	714	186	125	125	125	2	1	1	1	0.672043	0.672043	nan	nan	nan	0	10000	
Zm00001d000070-Zm00001d000071.fasta	2	1743	432	285	285	285	2	1	1	1	0.659722	0.659722	nan	nan	nan	0	10000	
Zm00001d000071-Zm00001d000072.fasta	2	1761	1704	597	597	597	2	1	1	1	0.350352	0.350352	nan	nan	nan	0	10000	
Zm00001d000074-Zm00001d000076.fasta	2	3183	1098	702	702	702	2	1	1	1	0.639344	0.639344	nan	nan	nan	0	10000	
Zm00001d000076-Zm00001d000077.fasta	2	3195	2055	1301	1301	1301	2	1	1	1	0.63309	0.63309	nan	nan	nan	0	10000	
Zm00001d000077-Zm00001d000079.fasta	2	2316	450	286	286	286	2	1	1	1	0.635556	0.635556	nan	nan	nan	0	10000	
Zm00001d000079-Zm00001d000080.fasta	2	1380	435	278	278	278	2	1	1	1	0.63908	0.63908	nan	nan	nan	0	10000	
Zm00001d000080-Zm00001d000081.fasta	2	1443	987	649	649	649	2	1	1	1	0.657548	0.657548	nan	nan	nan	0	10000	
Zm00001d000081-Zm00001d000082.fasta	2	1074	39	21	21	21	2	1	1	1	0.538462	0.538462	nan	nan	nan	0	10000	
Zm00001d000082-Zm00001d000083.fasta	2	2199	39	24	24	24	2	1	1	1	0.615385	0.615385	nan	nan	nan	0	10000	
Zm00001d000083-Zm00001d000085.fasta	2	2292	1443	984	984	984	2	1	1	1	0.681913	0.681913	nan	nan	nan	0	10000	
Zm00001d000085-Zm00001d000086.fasta	2	1728	879	592	592	592	2	1	1	1	0.673493	0.673493	nan	nan	nan	0	10000	
Zm00001d000086-Zm00001d000087.fasta	2	3360	984	615	615	615	2	1	1	1	0.625	0.625	nan	nan	nan	0	10000	
Zm00001d000087-Zm00001d000089.fasta	2	3321	654	440	440	440	2	1	1	1	0.672783	0.672783	nan	nan	nan	0	10000	
Zm00001d000089-Zm00001d000092.fasta	2	822	558	381	381	381	2	1	1	1	0.682796	0.682796	nan	nan	nan	0	10000	
Zm00001d000092-Zm00001d000093.fasta	2	1608	660	460	460	460	2	1	1	1	0.69697	0.69697	nan	nan	nan	0	10000	
Zm00001d000093-Zm00001d000094.fasta	2	1686	738	492	492	492	2	1	1	1	0.666667	0.666667	nan	nan	nan	0	10000	
Zm00001d000094-Zm00001d000095.fasta	2	876	453	301	301	301	2	1	1	1	0.664459	0.664459	nan	nan	nan	0	10000	
Zm00001d000095-Zm00001d000096.fasta	2	531	414	270	270	270	2	1	1	1	0.652174	0.652174	nan	nan	nan	0	10000	
Zm00001d000097-Zm00001d000098.fasta	2	1350	366	244	244	244	2	1	1	1	0.666667	0.666667	nan	nan	nan	0	10000	
Zm00001d000098-Zm00001d000099.fasta	2	1557	1062	691	691	691	2	1	1	1	0.650659	0.650659	nan	nan	nan	0	10000	
Zm00001d000099-Zm00001d000101.fasta	2	1269	105	71	71	71	2	1	1	1	0.67619	0.67619	nan	nan	nan	0	10000	
Zm00001d000101-Zm00001d000102.fasta	2	1065	105	71	71	71	2	1	1	1	0.67619	0.67619	nan	nan	nan	0	10000	
Zm00001d000102-Zm00001d000104.fasta	2	1080	324	220	220	220	2	1	1	1	0.679012	0.679012	nan	nan	nan	0	10000	
Zm00001d000104-Zm00001d000105.fasta	2	732	165	102	102	102	2	1	1	1	0.618182	0.618182	nan	nan	nan	0	10000	
Zm00001d000106-Zm00001d000107.fasta	2	1521	321	193	193	193	2	1	1	1	0.601246	0.601246	nan	nan	nan	0	10000	
Zm00001d000107-Zm00001d000109.fasta	2	2352	1362	900	900	900	2	1	1	1	0.660793	0.660793	nan	nan	nan	0	10000	
Zm00001d000109-Zm00001d000110.fasta	2	2916	1653	1126	1126	1126	2	1	1	1	0.681186	0.681186	nan	nan	nan	0	10000	
Zm00001d000110-Zm00001d000111.fasta	2	2520	459	286	286	286	2	1	1	1	0.623094	0.623094	nan	nan	nan	0	10000	
Zm00001d000111-Zm00001d000112.fasta	2	1131	573	365	365	365	2	1	1	1	0.636998	0.636998	nan	nan	nan	0	10000	
Zm00001d000112-Zm00001d000113.fasta	2	1086	294	192	192	192	2	1	1	1	0.653061	0.653061	nan	nan	nan	0	10000	
Zm00001d000113-Zm00001d000115.fasta	2	312	222	138	138	138	2	1	1	1	0.621622	0.621622	nan	nan	nan	0	10000	
Zm00001d000115-Zm00001d000116.fasta	2	1437	234	159	159	159	2	1	1	1	0.679487	0.679487	nan	nan	nan	0	10000	
Zm00001d000117-Zm00001d000118.fasta	2	1530	1002	631	631	631	2	1	1	1	0.629741	0.629741	nan	nan	nan	0	10000	
Zm00001d000118-Zm00001d000120.fasta	2	1434	405	271	271	271	2	1	1	1	0.669136	0.669136	nan	nan	nan	0	10000	
Zm00001d000120-Zm00001d000121.fasta	2	663	165	108	108	108	2	1	1	1	0.654545	0.654545	nan	nan	nan	0	10000	
Zm00001d000122-Zm00001d000123.fasta	2	3057	897	627	627	627	2	1	1	1	0.698997	0.698997	nan	nan	nan	0	10000	
Zm00001d000123-Zm00001d000124.fasta	2	1674	813	527	527	527	2	1	1	1	0.648216	0.648216	nan	nan	nan	0	10000	
Zm00001d000124-Zm00001d000126.fasta	2	1605	306	227	227	227	2	1	1	1	0.74183	0.74183	nan	nan	nan	0	10000	
Zm00001d000126-Zm00001d000128.fasta	2	576	234	137	137	137	2	1	1	1	0.58547	0.58547	nan	nan	nan	0	10000	
Zm00001d000128-Zm00001d000133.fasta	2	2214	462	284	284	284	2	1	1	1	0.614719	0.614719	nan	nan	nan	0	10000	
Zm00001d000133-Zm00001d000134.fasta	2	2217	468	309	309	309	2	1	1	1	0.660256	0.660256	nan	nan	nan	0	10000	
Zm00001d000135-Zm00001d000137.fasta	2	2328	459	294	294	294	2	1	1	1	0.640523	0.640523	nan	nan	nan	0	10000	
Zm00001d000137-Zm00001d000139.fasta	2	2346	777	536	536	536	2	1	1	1	0.689833	0.689833	nan	nan	nan	0	10000	
Zm00001d000139-Zm00001d000140.fasta	2	1266	618	428	428	428	2	1	1	1	0.692557	0.692557	nan	nan	nan	0	10000	
Zm00001d000140-Zm00001d000141.fasta	2	1302	690	451	451	451	2	1	1	1	0.653623	0.653623	nan	nan	nan	0	10000	
Zm00001d000141-Zm00001d000142.fasta	2	1065	552	371	371	371	2	1	1	1	0.672101	0.672101	nan	nan	nan	0	10000	
Zm00001d000143-Zm00001d000145.fasta	2	1782	369	249	249	249	2	1	1	1	0.674797	0.674797	nan	nan	nan	0	10000	
Zm00001d000145-Zm00001d000147.fasta	2	2247	438	302	302	302	2	1	1	1	0.689498	0.689498	nan	nan	nan	0	10000	
Zm00001d000150-Zm00001d000152.fasta	2	3204	1098	700	700	700	2	1	1	1	0.637523	0.637523	nan	nan	nan	0	10000	
Zm00001d000152-Zm00001d000153.fasta	2	3063	1365	839	839	839	2	1	1	1	0.614652	0.614652	nan	nan	nan	0	10000	
Zm00001d000153-Zm00001d000154.fasta	2	1485	657	430	430	430	2	1	1	1	0.65449	0.65449	nan	nan	nan	0	10000	
Zm00001d000154-Zm00001d000156.fasta	2	1323	636	445	445	445	2	1	1	1	0.699686	0.699686	nan	nan	nan	0	10000	
Zm00001d000156-Zm00001d000157.fasta	2	1281	318	213	213	213	2	1	1	1	0.669811	0.669811	nan	nan	nan	0	10000	
Zm00001d000158-Zm00001d000159.fasta	2	1668	147	91	91	91	2	1	1	1	0.619048	0.619048	nan	nan	nan	0	10000	
Zm00001d000159-Zm00001d000160.fasta	2	2808	147	94	94	94	2	1	1	1	0.639456	0.639456	nan	nan	nan	0	10000	
Zm00001d000160-Zm00001d000161.fasta	2	2808	474	319	319	319	2	1	1	1	0.672996	0.672996	nan	nan	nan	0	10000	
Zm00001d000161-Zm00001d000162.fasta	2	879	474	316	316	316	2	1	1	1	0.666667	0.666667	nan	nan	nan	0	10000	
Zm00001d000162-Zm00001d000163.fasta	2	1113	708	451	451	451	2	1	1	1	0.637006	0.637006	nan	nan	nan	0	10000	
Zm00001d000164-Zm00001d000165.fasta	2	1266	732	454	454	454	2	1	1	1	0.620219	0.620219	nan	nan	nan	0	10000	
Zm00001d000165-Zm00001d000166.fasta	2	2613	663	445	445	445	2	1	1	1	0.671192	0.671192	nan	nan	nan	0	10000	
Zm00001d000166-Zm00001d000168.fasta	2	2832	1128	760	760	760	2	1	1	1	0.673759	0.673759	nan	nan	nan	0	10000	
Zm00001d000168-Zm00001d000169.fasta	2	1845	984	657	657	657	2	1	1	1	0.667683	0.667683	nan	nan	nan	0	10000	
Zm00001d000169-Zm00001d000170.fasta	2	2271	699	458	458	458	2	1	1	1	0.655222	0.655222	nan	nan	nan	0	10000	
Zm00001d000174-Zm00001d000175.fasta	2	1329	465	294	294	294	2	1	1	1	0.632258	0.632258	nan	nan	nan	0	10000	
Zm00001d000175-Zm00001d000176.fasta	2	1347	582	333	333	333	2	1	1	1	0.572165	0.572165	nan	nan	nan	0	10000	
Zm00001d000176-Zm00001d000178.fasta	2	1161	597	392	392	392	2	1	1	1	0.656616	0.656616	nan	nan	nan	0	10000	
Zm00001d000178-Zm00001d000179.fasta	2	1209	660	426	426	426	2	1	1	1	0.645455	0.645455	nan	nan	nan	0	10000	
Zm00001d000179-Zm00001d000180.fasta	2	903	456	301	301	301	2	1	1	1	0.660088	0.660088	nan	nan	nan	0	10000	
Zm00001d000180-Zm00001d000181.fasta	2	852	480	304	304	304	2	1	1	1	0.633333	0.633333	nan	nan	nan	0	10000	
Zm00001d000181-Zm00001d000183.fasta	2	1764	618	387	387	387	2	1	1	1	0.626214	0.626214	nan	nan	nan	0	10000	
Zm00001d000183-Zm00001d000184.fasta	2	1692	819	536	536	536	2	1	1	1	0.654457	0.654457	nan	nan	nan	0	10000	
Zm00001d000185-Zm00001d000186.fasta	2	1239	594	398	398	398	2	1	1	1	0.670034	0.670034	nan	nan	nan	0	10000	
Zm00001d000186-Zm00001d000188.fasta	2	681	255	165	165	165	2	1	1	1	0.647059	0.647059	nan	nan	nan	0	10000	
Zm00001d000188-Zm00001d000189.fasta	2	3108	252	166	166	166	2	1	1	1	0.65873	0.65873	nan	nan	nan	0	10000	
Zm00001d000193-Zm00001d000194.fasta	2	741	510	326	326	326	2	1	1	1	0.639216	0.639216	nan	nan	nan	0	10000	
Zm00001d000194-Zm00001d000195.fasta	2	1482	600	367	367	367	2	1	1	1	0.611667	0.611667	nan	nan	nan	0	10000	
Zm00001d000195-Zm00001d000196.fasta	2	1425	1422	350	350	350	2	1	1	1	0.246132	0.246132	nan	nan	nan	0	10000	
Zm00001d000196-Zm00001d000197.fasta	2	1479	465	284	284	284	2	1	1	1	0.610753	0.610753	nan	nan	nan	0	10000	
Zm00001d000197-Zm00001d000199.fasta	2	1104	438	283	283	283	2	1	1	1	0.646119	0.646119	nan	nan	nan	0	10000	
Zm00001d000200-Zm00001d000202.fasta	2	690	351	239	239	239	2	1	1	1	0.680912	0.680912	nan	nan	nan	0	10000	
Zm00001d000202-Zm00001d000203.fasta	2	1455	573	361	361	361	2	1	1	1	0.630017	0.630017	nan	nan	nan	0	10000	
Zm00001d000204-Zm00001d000205.fasta	2	2307	1287	825	825	825	2	1	1	1	0.641026	0.641026	nan	nan	nan	0	10000	
Zm00001d000205-Zm00001d000208.fasta	2	1479	165	96	96	96	2	1	1	1	0.581818	0.581818	nan	nan	nan	0	10000	
Zm00001d000208-Zm00001d000209.fasta	2	639	165	113	113	113	2	1	1	1	0.684848	0.684848	nan	nan	nan	0	10000	
Zm00001d000209-Zm00001d000211.fasta	2	720	402	272	272	272	2	1	1	1	0.676617	0.676617	nan	nan	nan	0	10000	
Zm00001d000211-Zm00001d000213.fasta	2	2058	468	300	300	300	2	1	1	1	0.641026	0.641026	nan	nan	nan	0	10000	
Zm00001d000213-Zm00001d000214.fasta	2	2043	894	616	616	616	2	1	1	1	0.689038	0.689038	nan	nan	nan	0	10000	
Zm00001d000214-Zm00001d000216.fasta	2	1518	693	446	446	446	2	1	1	1	0.643579	0.643579	nan	nan	nan	0	10000	
Zm00001d000216-Zm00001d000217.fasta	2	2136	1119	738	738	738	2	1	1	1	0.659517	0.659517	nan	nan	nan	0	10000	
Zm00001d000219-Zm00001d000220.fasta	2	1668	303	202	202	202	2	1	1	1	0.666667	0.666667	nan	nan	nan	0	10000	
Zm00001d000220-Zm00001d000221.fasta	2	1734	246	164	164	164	2	1	1	1	0.666667	0.666667	nan	nan	nan	0	10000	
Zm00001d000221-Zm00001d000222.fasta	2	849	300	212	212	212	2	1	1	1	0.706667	0.706667	nan	nan	nan	0	10000	
Zm00001d000222-Zm00001d000223.fasta	2	1956	789	532	532	532	2	1	1	1	0.674271	0.674271	nan	nan	nan	0	10000	
Zm00001d000223-Zm00001d000224.fasta	2	2031	1212	805	805	805	2	1	1	1	0.664191	0.664191	nan	nan	nan	0	10000	
Zm00001d000227-Zm00001d000228.fasta	2	2031	882	606	606	606	2	1	1	1	0.687075	0.687075	nan	nan	nan	0	10000	
Zm00001d000228-Zm00001d000229.fasta	2	1980	852	584	584	584	2	1	1	1	0.685446	0.685446	nan	nan	nan	0	10000	
Zm00001d000229-Zm00001d000230.fasta	2	1092	717	450	450	450	2	1	1	1	0.627615	0.627615	nan	nan	nan	0	10000	
Zm00001d000230-Zm00001d000231.fasta	2	1638	843	534	534	534	2	1	1	1	0.633452	0.633452	nan	nan	nan	0	10000	
Zm00001d000231-Zm00001d000232.fasta	2	3792	1266	817	817	817	2	1	1	1	0.64534	0.64534	nan	nan	nan	0	10000	
Zm00001d000232-Zm00001d000233.fasta	2	3888	2022	1364	1364	1364	2	1	1	1	0.67458	0.67458	nan	nan	nan	0	10000	
Zm00001d000236-Zm00001d000237.fasta	2	1932	1146	682	682	682	2	1	1	1	0.595113	0.595113	nan	nan	nan	0	10000	
Zm00001d000240-Zm00001d000241.fasta	2	966	519	337	337	337	2	1	1	1	0.649326	0.649326	nan	nan	nan	0	10000	
Zm00001d000241-Zm00001d000242.fasta	2	744	195	127	127	127	2	1	1	1	0.651282	0.651282	nan	nan	nan	0	10000	
Zm00001d000242-Zm00001d000243.fasta	2	603	267	161	161	161	2	1	1	1	0.602996	0.602996	nan	nan	nan	0	10000	
Zm00001d000260-Zm00001d000270.fasta	2	7047	1056	696	696	696	2	1	1	1	0.659091	0.659091	nan	nan	nan	0	10000	
Zm00001d000270-Zm00001d000272.fasta	2	7263	1452	956	956	956	2	1	1	1	0.658402	0.658402	nan	nan	nan	0	10000	
Zm00001d000272-Zm00001d000277.fasta	2	2091	1275	825	825	825	2	1	1	1	0.647059	0.647059	nan	nan	nan	0	10000	
Zm00001d000277-Zm00001d000279.fasta	2	1941	1203	771	771	771	2	1	1	1	0.640898	0.640898	nan	nan	nan	0	10000	
Zm00001d000279-Zm00001d000282.fasta	2	1704	1011	661	661	661	2	1	1	1	0.653808	0.653808	nan	nan	nan	0	10000	
Zm00001d000294-Zm00001d000295.fasta	2	2142	1317	873	873	873	2	1	1	1	0.66287	0.66287	nan	nan	nan	0	10000	
Zm00001d000296-Zm00001d000297.fasta	2	1281	267	177	177	177	2	1	1	1	0.662921	0.662921	nan	nan	nan	0	10000	
Zm00001d000298-Zm00001d000299.fasta	2	1392	498	319	319	319	2	1	1	1	0.640562	0.640562	nan	nan	nan	0	10000	
Zm00001d000300-Zm00001d000301.fasta	2	2259	1224	806	806	806	2	1	1	1	0.658497	0.658497	nan	nan	nan	0	10000	
Zm00001d000301-Zm00001d000302.fasta	2	2169	837	544	544	544	2	1	1	1	0.64994	0.64994	nan	nan	nan	0	10000	
Zm00001d000302-Zm00001d000303.fasta	2	987	702	451	451	451	2	1	1	1	0.64245	0.64245	nan	nan	nan	0	10000	
Zm00001d000303-Zm00001d000304.fasta	2	1344	717	404	404	404	2	1	1	1	0.563459	0.563459	nan	nan	nan	0	10000	
Zm00001d000304-Zm00001d000305.fasta	2	1524	939	623	623	623	2	1	1	1	0.663472	0.663472	nan	nan	nan	0	10000	
Zm00001d000305-Zm00001d000306.fasta	2	1221	318	216	216	216	2	1	1	1	0.679245	0.679245	nan	nan	nan	0	10000	
Zm00001d000306-Zm00001d000307.fasta	2	963	324	224	224	224	2	1	1	1	0.691358	0.691358	nan	nan	nan	0	10000	
Zm00001d000310-Zm00001d000311.fasta	2	1209	612	425	425	425	2	1	1	1	0.694444	0.694444	nan	nan	nan	0	10000	
Zm00001d000311-Zm00001d000312.fasta	2	1266	666	424	424	424	2	1	1	1	0.636637	0.636637	nan	nan	nan	0	10000	
Zm00001d000312-Zm00001d000313.fasta	2	1236	723	491	491	491	2	1	1	1	0.679115	0.679115	nan	nan	nan	0	10000	
Zm00001d000313-Zm00001d000314.fasta	2	1455	897	612	612	612	2	1	1	1	0.682274	0.682274	nan	nan	nan	0	10000	
Zm00001d000317-Zm00001d000318.fasta	2	1002	402	255	255	255	2	1	1	1	0.634328	0.634328	nan	nan	nan	0	10000	
Zm00001d000319-Zm00001d000320.fasta	2	1017	297	194	194	194	2	1	1	1	0.653199	0.653199	nan	nan	nan	0	10000	
Zm00001d000320-Zm00001d000321.fasta	2	1179	708	476	476	476	2	1	1	1	0.672316	0.672316	nan	nan	nan	0	10000	
Zm00001d000321-Zm00001d000322.fasta	2	870	321	210	210	210	2	1	1	1	0.654206	0.654206	nan	nan	nan	0	10000	
Zm00001d000322-Zm00001d000324.fasta	2	4638	321	195	195	195	2	1	1	1	0.607477	0.607477	nan	nan	nan	0	10000	
Zm00001d000324-Zm00001d000325.fasta	2	4758	1155	756	756	756	2	1	1	1	0.654545	0.654545	nan	nan	nan	0	10000	
Zm00001d000325-Zm00001d000326.fasta	2	2094	1185	744	744	744	2	1	1	1	0.627848	0.627848	nan	nan	nan	0	10000	
Zm00001d000326-Zm00001d000327.fasta	2	2058	363	231	231	231	2	1	1	1	0.636364	0.636364	nan	nan	nan	0	10000	
Zm00001d000331-Zm00001d000332.fasta	2	1524	678	451	451	451	2	1	1	1	0.665192	0.665192	nan	nan	nan	0	10000	
Zm00001d000332-Zm00001d000333.fasta	2	780	261	171	171	171	2	1	1	1	0.655172	0.655172	nan	nan	nan	0	10000	
Zm00001d000333-Zm00001d000335.fasta	2	1467	252	183	183	183	2	1	1	1	0.72619	0.72619	nan	nan	nan	0	10000	
Zm00001d000344-Zm00001d000345.fasta	2	1242	639	439	439	439	2	1	1	1	0.687011	0.687011	nan	nan	nan	0	10000	
Zm00001d000346-Zm00001d000347.fasta	2	3351	615	404	404	404	2	1	1	1	0.656911	0.656911	nan	nan	nan	0	10000	
Zm00001d000349-Zm00001d000350.fasta	2	1194	597	389	389	389	2	1	1	1	0.651591	0.651591	nan	nan	nan	0	10000	
Zm00001d000350-Zm00001d000351.fasta	2	1158	333	239	239	239	2	1	1	1	0.717718	0.717718	nan	nan	nan	0	10000	
Zm00001d000351-Zm00001d000352.fasta	2	471	72	49	49	49	2	1	1	1	0.680556	0.680556	nan	nan	nan	0	10000	
Zm00001d000358-Zm00001d000360.fasta	2	2262	1350	824	824	824	2	1	1	1	0.61037	0.61037	nan	nan	nan	0	10000	
Zm00001d000360-Zm00001d000361.fasta	2	1800	1263	830	830	830	2	1	1	1	0.657165	0.657165	nan	nan	nan	0	10000	
Zm00001d000361-Zm00001d000362.fasta	2	1578	288	184	184	184	2	1	1	1	0.638889	0.638889	nan	nan	nan	0	10000	
Zm00001d000363-Zm00001d000364.fasta	2	666	288	178	178	178	2	1	1	1	0.618056	0.618056	nan	nan	nan	0	10000	
Zm00001d000364-Zm00001d000365.fasta	2	624	291	196	196	196	2	1	1	1	0.67354	0.67354	nan	nan	nan	0	10000	
Zm00001d000365-Zm00001d000366.fasta	2	624	291	196	196	196	2	1	1	1	0.67354	0.67354	nan	nan	nan	0	10000	
Zm00001d000370-Zm00001d000371.fasta	2	945	291	196	196	196	2	1	1	1	0.67354	0.67354	nan	nan	nan	0	10000	
Zm00001d000371-Zm00001d000373.fasta	2	852	291	5	5	5	2	1	1	1	0.0171821	0.0171821	nan	nan	nan	0	10000	
Zm00001d000373-Zm00001d000377.fasta	2	852	852	13	13	13	2	1	1	1	0.0152582	0.0152582	nan	nan	nan	0	10000	
Zm00001d000379-Zm00001d000380.fasta	2	1005	435	272	272	272	2	1	1	1	0.625287	0.625287	nan	nan	nan	0	10000	
Zm00001d000380-Zm00001d000381.fasta	2	2010	666	412	412	412	2	1	1	1	0.618619	0.618619	nan	nan	nan	0	10000	
Zm00001d000382-Zm00001d000383.fasta	2	3048	1695	1107	1107	1107	2	1	1	1	0.653097	0.653097	nan	nan	nan	0	10000	
Zm00001d000383-Zm00001d000384.fasta	2	2364	1278	855	855	855	2	1	1	1	0.669014	0.669014	nan	nan	nan	0	10000	
Zm00001d000384-Zm00001d000385.fasta	2	4395	1527	1005	1005	1005	2	1	1	1	0.658153	0.658153	nan	nan	nan	0	10000	
Zm00001d000390-Zm00001d000391.fasta	2	1140	750	486	486	486	2	1	1	1	0.648	0.648	nan	nan	nan	0	10000	
Zm00001d000391-Zm00001d000392.fasta	2	1119	276	178	178	178	2	1	1	1	0.644928	0.644928	nan	nan	nan	0	10000	
