Cluster_0001	Zm00001d025085,Zm00001d025086
Cluster_0141	Zm00001d024546,Zm00001d024547
Cluster_0144	Zm00001d024563,Zm00001d024553
Cluster_0145	Zm00001d024567,Zm00001d024568
Cluster_0146	Zm00001d024591,Zm00001d024593
Cluster_0155	Zm00001d024710,Zm00001d024711
Cluster_0156	Zm00001d024723,Zm00001d024722
Cluster_0159	Zm00001d024744,Zm00001d024755
Cluster_0161	Zm00001d023228,Zm00001d023227
Cluster_0163	Zm00001d024770,Zm00001d024771
Cluster_0170	Zm00001d024907,Zm00001d024906
Cluster_0173	Zm00001d024962,Zm00001d024961
Cluster_0176	Zm00001d025000,Zm00001d024999
Cluster_0177	Zm00001d025019,Zm00001d025022
Cluster_0178	Zm00001d030095,Zm00001d030094
Cluster_0180	Zm00001d030159,Zm00001d030158
Cluster_0181	Zm00001d027679,Zm00001d027678
Cluster_0182	Zm00001d030177,Zm00001d030180
Cluster_0183	Zm00001d027684,Zm00001d027685
Cluster_0188	Zm00001d030248,Zm00001d030253
Cluster_0191	Zm00001d027718,Zm00001d027717
Cluster_0192	Zm00001d030303,Zm00001d030304
Cluster_0193	Zm00001d030316,Zm00001d030314
Cluster_0194	Zm00001d027732,Zm00001d027733
Cluster_0195	Zm00001d027737,Zm00001d027736
Cluster_0197	Zm00001d030409,Zm00001d030411
Cluster_0198	Zm00001d030471,Zm00001d030470
Cluster_0199	Zm00001d030484,Zm00001d030487
Cluster_0201	Zm00001d030516,Zm00001d030517
Cluster_0203	Zm00001d030542,Zm00001d030540
Cluster_0204	Zm00001d030573,Zm00001d030572
Cluster_0206	Zm00001d030675,Zm00001d030676
Cluster_0208	Zm00001d027855,Zm00001d027859
Cluster_0210	Zm00001d030765,Zm00001d030767
Cluster_0214	Zm00001d030841,Zm00001d030842
Cluster_0215	Zm00001d030848,Zm00001d030847
Cluster_0217	Zm00001d030860,Zm00001d030861
Cluster_0219	Zm00001d030934,Zm00001d030920
Cluster_0220	Zm00001d030942,Zm00001d030941
Cluster_0224	Zm00001d027283,Zm00001d027281
Cluster_0228	Zm00001d031123,Zm00001d031122
Cluster_0233	Zm00001d031221,Zm00001d031222
Cluster_0239	Zm00001d031309,Zm00001d031308
Cluster_0241	Zm00001d031340,Zm00001d031341
Cluster_0246	Zm00001d031437,Zm00001d031434
Cluster_0247	Zm00001d031457,Zm00001d031459
Cluster_0248	Zm00001d031466,Zm00001d031467
Cluster_0250	Zm00001d031488,Zm00001d031489
Cluster_0252	Zm00001d031517,Zm00001d031516
Cluster_0254	Zm00001d027290,Zm00001d027291
Cluster_0255	Zm00001d031555,Zm00001d031556
Cluster_0257	Zm00001d031615,Zm00001d031616
Cluster_0259	Zm00001d027995,Zm00001d027996
Cluster_0260	Zm00001d031629,Zm00001d031630
Cluster_0261	Zm00001d031639,Zm00001d031638
Cluster_0262	Zm00001d031669,Zm00001d031672
Cluster_0264	Zm00001d028002,Zm00001d028003
Cluster_0265	Zm00001d031751,Zm00001d031750
Cluster_0266	Zm00001d031764,Zm00001d031765
Cluster_0272	Zm00001d031822,Zm00001d031823
Cluster_0273	Zm00001d031870,Zm00001d031868
Cluster_0274	Zm00001d031902,Zm00001d031903
Cluster_0280	Zm00001d031993,Zm00001d031994
Cluster_0282	Zm00001d032032,Zm00001d032024
Cluster_0283	Zm00001d032042,Zm00001d032035
Cluster_0287	Zm00001d032107,Zm00001d032103
Cluster_0289	Zm00001d032175,Zm00001d032177
Cluster_0291	Zm00001d028062,Zm00001d028063
Cluster_0292	Zm00001d032287,Zm00001d032285
Cluster_0293	Zm00001d032317,Zm00001d032320
Cluster_0294	Zm00001d032336,Zm00001d032335
Cluster_0295	Zm00001d032358,Zm00001d032357
Cluster_0297	Zm00001d032405,Zm00001d032406
Cluster_0298	Zm00001d032423,Zm00001d032422
Cluster_0299	Zm00001d032447,Zm00001d032448
Cluster_0301	Zm00001d032471,Zm00001d032470
Cluster_0303	Zm00001d032496,Zm00001d032497
Cluster_0304	Zm00001d032500,Zm00001d032499
Cluster_0305	Zm00001d032516,Zm00001d032515
Cluster_0306	Zm00001d028102,Zm00001d028100
Cluster_0309	Zm00001d032560,Zm00001d032561
Cluster_0310	Zm00001d032605,Zm00001d032608
Cluster_0313	Zm00001d032691,Zm00001d032692
Cluster_0315	Zm00001d032724,Zm00001d032722
Cluster_0316	Zm00001d032744,Zm00001d032740
Cluster_0318	Zm00001d032753,Zm00001d032750
Cluster_0319	Zm00001d032785,Zm00001d032787
Cluster_0321	Zm00001d032836,Zm00001d032837
Cluster_0326	Zm00001d032917,Zm00001d032916
Cluster_0327	Zm00001d032929,Zm00001d032927
Cluster_0330	Zm00001d032974,Zm00001d032975
Cluster_0332	Zm00001d033023,Zm00001d033021
Cluster_0334	Zm00001d033050,Zm00001d033049
Cluster_0337	Zm00001d028164,Zm00001d028162
Cluster_0338	Zm00001d033109,Zm00001d033108
Cluster_0339	Zm00001d033119,Zm00001d033120
Cluster_0340	Zm00001d033130,Zm00001d033129
Cluster_0343	Zm00001d033170,Zm00001d033171
Cluster_0349	Zm00001d033272,Zm00001d033273
Cluster_0358	Zm00001d033489,Zm00001d033490
Cluster_0359	Zm00001d033514,Zm00001d033516
Cluster_0362	Zm00001d033544,Zm00001d033543
Cluster_0366	Zm00001d033627,Zm00001d033625
Cluster_0368	Zm00001d033658,Zm00001d033659
Cluster_0372	Zm00001d033741,Zm00001d033742
Cluster_0375	Zm00001d033861,Zm00001d033859
Cluster_0378	Zm00001d033927,Zm00001d033929
Cluster_0379	Zm00001d033979,Zm00001d033980
Cluster_0381	Zm00001d034002,Zm00001d034003
Cluster_0382	Zm00001d034015,Zm00001d034017
Cluster_0388	Zm00001d034129,Zm00001d034128
Cluster_0389	Zm00001d034137,Zm00001d034125
Cluster_0393	Zm00001d028269,Zm00001d028270
Cluster_0394	Zm00001d034237,Zm00001d034232
Cluster_0396	Zm00001d027320,Zm00001d027321
Cluster_0397	Zm00001d034254,Zm00001d034253
Cluster_0398	Zm00001d034265,Zm00001d034266
Cluster_0402	Zm00001d034333,Zm00001d034330
Cluster_0403	Zm00001d028280,Zm00001d028286
Cluster_0404	Zm00001d034376,Zm00001d034372
Cluster_0412	Zm00001d034483,Zm00001d034482
Cluster_0417	Zm00001d034553,Zm00001d034554
Cluster_0418	Zm00001d034621,Zm00001d034620
Cluster_0420	Zm00001d034644,Zm00001d034643
Cluster_0422	Zm00001d034662,Zm00001d034658
Cluster_0423	Zm00001d034669,Zm00001d034668
Cluster_0425	Zm00001d034675,Zm00001d034676
Cluster_0427	Zm00001d028309,Zm00001d028308
Cluster_0429	Zm00001d034752,Zm00001d034753
Cluster_0430	Zm00001d034764,Zm00001d034766
Cluster_0435	Zm00001d034902,Zm00001d034903
Cluster_0436	Zm00001d028319,Zm00001d028317
Cluster_0437	Zm00001d034935,Zm00001d034936
Cluster_0439	Zm00001d034957,Zm00001d034956
Cluster_0441	Zm00001d028355,Zm00001d028354
Cluster_0442	Zm00001d028368,Zm00001d028367
Cluster_0443	Zm00001d028400,Zm00001d028399
Cluster_0445	Zm00001d028456,Zm00001d028457
Cluster_0449	Zm00001d028554,Zm00001d028556
Cluster_0452	Zm00001d028679,Zm00001d028680
Cluster_0453	Zm00001d028692,Zm00001d028693
Cluster_0454	Zm00001d028757,Zm00001d028756
Cluster_0455	Zm00001d028767,Zm00001d028768
Cluster_0456	Zm00001d028776,Zm00001d028775
Cluster_0457	Zm00001d028788,Zm00001d028789
Cluster_0462	Zm00001d028900,Zm00001d028899
Cluster_0463	Zm00001d027436,Zm00001d027439
Cluster_0464	Zm00001d028987,Zm00001d028988
Cluster_0466	Zm00001d029084,Zm00001d029088
Cluster_0469	Zm00001d029099,Zm00001d029101
Cluster_0475	Zm00001d029209,Zm00001d029211
Cluster_0478	Zm00001d029254,Zm00001d029251
Cluster_0481	Zm00001d029309,Zm00001d029310
Cluster_0484	Zm00001d029372,Zm00001d029373
Cluster_0485	Zm00001d029376,Zm00001d029377
Cluster_0487	Zm00001d027508,Zm00001d027509
Cluster_0490	Zm00001d029462,Zm00001d029461
Cluster_0491	Zm00001d029476,Zm00001d029478
Cluster_0496	Zm00001d029550,Zm00001d029551
Cluster_0498	Zm00001d029571,Zm00001d029572
Cluster_0502	Zm00001d029601,Zm00001d029602
Cluster_0503	Zm00001d029619,Zm00001d029620
Cluster_0505	Zm00001d029657,Zm00001d029656
Cluster_0510	Zm00001d029721,Zm00001d029720
Cluster_0511	Zm00001d029730,Zm00001d029729
Cluster_0515	Zm00001d029837,Zm00001d029838
Cluster_0517	Zm00001d027622,Zm00001d027621
Cluster_0519	Zm00001d029922,Zm00001d029924
Cluster_0521	Zm00001d029972,Zm00001d029973
Cluster_0523	Zm00001d004287,Zm00001d004288
Cluster_0525	Zm00001d002319,Zm00001d002320
Cluster_0528	Zm00001d004331,Zm00001d004328
Cluster_0529	Zm00001d004347,Zm00001d004359
Cluster_0537	Zm00001d004457,Zm00001d004458
Cluster_0539	Zm00001d004502,Zm00001d004501
Cluster_0540	Zm00001d004527,Zm00001d004526
Cluster_0542	Zm00001d001802,Zm00001d001800
Cluster_0547	Zm00001d004640,Zm00001d004639
Cluster_0550	Zm00001d002447,Zm00001d002446
Cluster_0551	Zm00001d004680,Zm00001d004679
Cluster_0557	Zm00001d002476,Zm00001d002482
Cluster_0561	Zm00001d004785,Zm00001d004784
Cluster_0565	Zm00001d002507,Zm00001d002508
Cluster_0567	Zm00001d002515,Zm00001d002514
Cluster_0568	Zm00001d004882,Zm00001d004881
Cluster_0571	Zm00001d004906,Zm00001d004905
Cluster_0572	Zm00001d004918,Zm00001d004919
Cluster_0575	Zm00001d004977,Zm00001d004978
Cluster_0576	Zm00001d002553,Zm00001d002551
Cluster_0577	Zm00001d004994,Zm00001d004995
Cluster_0578	Zm00001d002557,Zm00001d002556
Cluster_0579	Zm00001d005002,Zm00001d005001
Cluster_0582	Zm00001d005057,Zm00001d005056
Cluster_0583	Zm00001d002572,Zm00001d002570
Cluster_0584	Zm00001d005062,Zm00001d005060
Cluster_0585	Zm00001d005063,Zm00001d005064
Cluster_0592	Zm00001d005307,Zm00001d005300
Cluster_0593	Zm00001d002618,Zm00001d002620
Cluster_0594	Zm00001d005324,Zm00001d005325
Cluster_0595	Zm00001d005356,Zm00001d005355
Cluster_0599	Zm00001d002629,Zm00001d002626
Cluster_0601	Zm00001d005434,Zm00001d005436
Cluster_0602	Zm00001d005465,Zm00001d005464
Cluster_0603	Zm00001d005471,Zm00001d005472
Cluster_0604	Zm00001d002631,Zm00001d002625
Cluster_0605	Zm00001d005616,Zm00001d005615
Cluster_0609	Zm00001d005750,Zm00001d005740
Cluster_0610	Zm00001d005782,Zm00001d005783
Cluster_0613	Zm00001d005851,Zm00001d005852
Cluster_0614	Zm00001d005859,Zm00001d005860
Cluster_0618	Zm00001d005936,Zm00001d005940
Cluster_0619	Zm00001d005948,Zm00001d005949
Cluster_0621	Zm00001d002698,Zm00001d002699
Cluster_0623	Zm00001d006034,Zm00001d006035
Cluster_0624	Zm00001d006043,Zm00001d006044
Cluster_0625	Zm00001d006066,Zm00001d006067
Cluster_0631	Zm00001d006169,Zm00001d006170
Cluster_0641	Zm00001d006371,Zm00001d006370
Cluster_0642	Zm00001d006402,Zm00001d006401
Cluster_0643	Zm00001d002732,Zm00001d002731
Cluster_0644	Zm00001d006434,Zm00001d006433
Cluster_0646	Zm00001d006481,Zm00001d006488
Cluster_0648	Zm00001d006494,Zm00001d006493
Cluster_0649	Zm00001d006500,Zm00001d006501
Cluster_0651	Zm00001d006516,Zm00001d006515
Cluster_0655	Zm00001d006587,Zm00001d006592
Cluster_0660	Zm00001d006774,Zm00001d006775
Cluster_0666	Zm00001d006941,Zm00001d006940
Cluster_0668	Zm00001d007010,Zm00001d007011
Cluster_0671	Zm00001d007167,Zm00001d007166
Cluster_0672	Zm00001d007196,Zm00001d007194
Cluster_0674	Zm00001d007221,Zm00001d007222
Cluster_0675	Zm00001d007228,Zm00001d007227
Cluster_0676	Zm00001d007258,Zm00001d007257
Cluster_0677	Zm00001d007259,Zm00001d007261
Cluster_0679	Zm00001d007341,Zm00001d007343
Cluster_0680	Zm00001d007349,Zm00001d007347
Cluster_0686	Zm00001d007474,Zm00001d007477
Cluster_0691	Zm00001d002814,Zm00001d002812
Cluster_0696	Zm00001d007602,Zm00001d007603
Cluster_0698	Zm00001d007632,Zm00001d007635
Cluster_0700	Zm00001d007677,Zm00001d007679
Cluster_0705	Zm00001d007762,Zm00001d007764
Cluster_0709	Zm00001d007848,Zm00001d007843
Cluster_0710	Zm00001d007851,Zm00001d007853
Cluster_0711	Zm00001d007909,Zm00001d007908
Cluster_0713	Zm00001d007954,Zm00001d007956
Cluster_0718	Zm00001d002893,Zm00001d002888
Cluster_0720	Zm00001d002905,Zm00001d002906
Cluster_0725	Zm00001d002959,Zm00001d002958
Cluster_0726	Zm00001d002962,Zm00001d002964
Cluster_0727	Zm00001d002967,Zm00001d002968
Cluster_0728	Zm00001d002974,Zm00001d002972
Cluster_0734	Zm00001d003047,Zm00001d003050
Cluster_0736	Zm00001d001930,Zm00001d001929
Cluster_0747	Zm00001d003217,Zm00001d003219
Cluster_0749	Zm00001d001974,Zm00001d001973
Cluster_0750	Zm00001d003257,Zm00001d003258
Cluster_0751	Zm00001d003273,Zm00001d003274
Cluster_0753	Zm00001d003294,Zm00001d003295
Cluster_0754	Zm00001d001993,Zm00001d001986
Cluster_0756	Zm00001d003390,Zm00001d003392
Cluster_0762	Zm00001d003482,Zm00001d003485
Cluster_0764	Zm00001d003495,Zm00001d003494
Cluster_0765	Zm00001d003497,Zm00001d003499
Cluster_0766	Zm00001d003504,Zm00001d003501
Cluster_0767	Zm00001d003512,Zm00001d003513
Cluster_0768	Zm00001d003525,Zm00001d003524
Cluster_0771	Zm00001d003613,Zm00001d003612
Cluster_0773	Zm00001d003625,Zm00001d003639
Cluster_0774	Zm00001d003651,Zm00001d003650
Cluster_0776	Zm00001d003661,Zm00001d003662
Cluster_0777	Zm00001d003670,Zm00001d003669
Cluster_0781	Zm00001d002075,Zm00001d002079
Cluster_0783	Zm00001d003713,Zm00001d003714
Cluster_0785	Zm00001d003723,Zm00001d003727
Cluster_0788	Zm00001d002100,Zm00001d002101
Cluster_0790	Zm00001d003825,Zm00001d003819
Cluster_0791	Zm00001d003852,Zm00001d003850
Cluster_0792	Zm00001d003859,Zm00001d003861
Cluster_0794	Zm00001d002137,Zm00001d002138
Cluster_0795	Zm00001d002150,Zm00001d002149
Cluster_0800	Zm00001d003961,Zm00001d003962
Cluster_0802	Zm00001d002188,Zm00001d002189
Cluster_0804	Zm00001d002192,Zm00001d002193
Cluster_0805	Zm00001d002195,Zm00001d002194
Cluster_0812	Zm00001d004120,Zm00001d004121
Cluster_0813	Zm00001d004154,Zm00001d004153
Cluster_0815	Zm00001d002254,Zm00001d002255
Cluster_0816	Zm00001d002261,Zm00001d002260
Cluster_0821	Zm00001d002302,Zm00001d002304
Cluster_0822	Zm00001d041145,Zm00001d041132
Cluster_0826	Zm00001d041232,Zm00001d041236
Cluster_0827	Zm00001d041293,Zm00001d041291
Cluster_0828	Zm00001d039664,Zm00001d039663
Cluster_0830	Zm00001d041376,Zm00001d041377
Cluster_0831	Zm00001d041392,Zm00001d041393
Cluster_0833	Zm00001d041416,Zm00001d041418
Cluster_0835	Zm00001d041546,Zm00001d041545
Cluster_0836	Zm00001d041556,Zm00001d041553
Cluster_0839	Zm00001d039711,Zm00001d039712
Cluster_0840	Zm00001d041574,Zm00001d041573
Cluster_0841	Zm00001d041576,Zm00001d041580
Cluster_0845	Zm00001d039749,Zm00001d039754
Cluster_0849	Zm00001d041816,Zm00001d041817
Cluster_0851	Zm00001d039758,Zm00001d039762
Cluster_0853	Zm00001d041938,Zm00001d041941
Cluster_0856	Zm00001d042019,Zm00001d042022
Cluster_0858	Zm00001d042080,Zm00001d042078
Cluster_0860	Zm00001d042088,Zm00001d042090
Cluster_0863	Zm00001d042114,Zm00001d042115
Cluster_0865	Zm00001d042128,Zm00001d042130
Cluster_0868	Zm00001d042148,Zm00001d042147
Cluster_0870	Zm00001d042150,Zm00001d042151
Cluster_0871	Zm00001d042156,Zm00001d042165
Cluster_0874	Zm00001d042189,Zm00001d042190
Cluster_0875	Zm00001d042196,Zm00001d042197
Cluster_0879	Zm00001d042237,Zm00001d042239
Cluster_0883	Zm00001d042336,Zm00001d042337
Cluster_0885	Zm00001d042380,Zm00001d042389
Cluster_0889	Zm00001d042534,Zm00001d042533
Cluster_0892	Zm00001d042588,Zm00001d042593
Cluster_0893	Zm00001d042624,Zm00001d042625
Cluster_0894	Zm00001d039882,Zm00001d039883
Cluster_0895	Zm00001d042656,Zm00001d042654
Cluster_0897	Zm00001d042690,Zm00001d042689
Cluster_0899	Zm00001d042729,Zm00001d042730
Cluster_0900	Zm00001d042740,Zm00001d042739
Cluster_0902	Zm00001d042753,Zm00001d042752
Cluster_0903	Zm00001d042761,Zm00001d042760
Cluster_0907	Zm00001d042869,Zm00001d042868
Cluster_0910	Zm00001d042923,Zm00001d042924
Cluster_0911	Zm00001d042934,Zm00001d042933
Cluster_0916	Zm00001d039901,Zm00001d039902
Cluster_0918	Zm00001d043100,Zm00001d043099
Cluster_0919	Zm00001d043102,Zm00001d043103
Cluster_0921	Zm00001d043166,Zm00001d043165
Cluster_0922	Zm00001d043205,Zm00001d043204
Cluster_0924	Zm00001d043221,Zm00001d043220
Cluster_0928	Zm00001d043375,Zm00001d043374
Cluster_0930	Zm00001d043379,Zm00001d043380
Cluster_0932	Zm00001d043480,Zm00001d043478
Cluster_0934	Zm00001d043519,Zm00001d043517
Cluster_0935	Zm00001d043544,Zm00001d043547
Cluster_0936	Zm00001d043568,Zm00001d043567
Cluster_0937	Zm00001d043619,Zm00001d043620
Cluster_0943	Zm00001d043682,Zm00001d043683
Cluster_0946	Zm00001d043766,Zm00001d043762
Cluster_0947	Zm00001d043771,Zm00001d043770
Cluster_0950	Zm00001d043800,Zm00001d043798
Cluster_0951	Zm00001d043806,Zm00001d043808
Cluster_0953	Zm00001d043823,Zm00001d043820
Cluster_0954	Zm00001d043847,Zm00001d043849
Cluster_0955	Zm00001d043871,Zm00001d043870
Cluster_0957	Zm00001d043890,Zm00001d043891
Cluster_0958	Zm00001d043915,Zm00001d043914
Cluster_0959	Zm00001d043927,Zm00001d043928
Cluster_0960	Zm00001d043944,Zm00001d043945
Cluster_0963	Zm00001d044017,Zm00001d044018
Cluster_0966	Zm00001d044053,Zm00001d044052
Cluster_0970	Zm00001d044134,Zm00001d044133
Cluster_0973	Zm00001d044220,Zm00001d044221
Cluster_0975	Zm00001d044273,Zm00001d044274
Cluster_0977	Zm00001d044289,Zm00001d044288
Cluster_0978	Zm00001d044317,Zm00001d044316
Cluster_0979	Zm00001d044336,Zm00001d044331
Cluster_0980	Zm00001d044340,Zm00001d044339
Cluster_0982	Zm00001d044364,Zm00001d044363
Cluster_0984	Zm00001d044373,Zm00001d044372
Cluster_0986	Zm00001d044386,Zm00001d044385
Cluster_0989	Zm00001d044431,Zm00001d044430
Cluster_0992	Zm00001d044443,Zm00001d044442
Cluster_0997	Zm00001d044622,Zm00001d044625
Cluster_1000	Zm00001d044642,Zm00001d044644
Cluster_1001	Zm00001d044647,Zm00001d044646
Cluster_1005	Zm00001d040034,Zm00001d040035
Cluster_1006	Zm00001d040043,Zm00001d040044
Cluster_1008	Zm00001d039363,Zm00001d039364
Cluster_1009	Zm00001d040090,Zm00001d040091
Cluster_1011	Zm00001d040127,Zm00001d040128
Cluster_1012	Zm00001d040152,Zm00001d040148
Cluster_1013	Zm00001d040161,Zm00001d040162
Cluster_1016	Zm00001d040232,Zm00001d040231
Cluster_1019	Zm00001d040302,Zm00001d040301
Cluster_1021	Zm00001d040366,Zm00001d040365
Cluster_1023	Zm00001d040420,Zm00001d040414
Cluster_1025	Zm00001d040448,Zm00001d040449
Cluster_1026	Zm00001d040460,Zm00001d040461
Cluster_1029	Zm00001d040509,Zm00001d040508
Cluster_1030	Zm00001d040539,Zm00001d040540
Cluster_1033	Zm00001d040583,Zm00001d040582
Cluster_1035	Zm00001d040625,Zm00001d040623
Cluster_1036	Zm00001d040639,Zm00001d040638
Cluster_1037	Zm00001d040650,Zm00001d040649
Cluster_1040	Zm00001d040700,Zm00001d040701
Cluster_1041	Zm00001d040702,Zm00001d040705
Cluster_1042	Zm00001d040706,Zm00001d040708
Cluster_1043	Zm00001d040712,Zm00001d040711
Cluster_1046	Zm00001d040757,Zm00001d040759
Cluster_1049	Zm00001d040818,Zm00001d040820
Cluster_1052	Zm00001d040855,Zm00001d040857
Cluster_1053	Zm00001d039532,Zm00001d039531
Cluster_1056	Zm00001d040933,Zm00001d040934
Cluster_1057	Zm00001d039563,Zm00001d039564
Cluster_1059	Zm00001d040954,Zm00001d040953
Cluster_1060	Zm00001d039268,Zm00001d039269
Cluster_1062	Zm00001d040988,Zm00001d040986
Cluster_1063	Zm00001d039274,Zm00001d039276
Cluster_1064	Zm00001d039628,Zm00001d039629
Cluster_1066	Zm00001d039633,Zm00001d039631
Cluster_1068	Zm00001d041136,Zm00001d041124
Cluster_1070	Zm00001d050573,Zm00001d050574
Cluster_1072	Zm00001d050620,Zm00001d050621
Cluster_1076	Zm00001d048968,Zm00001d048962
Cluster_1079	Zm00001d048982,Zm00001d048983
Cluster_1080	Zm00001d050672,Zm00001d050671
Cluster_1082	Zm00001d050687,Zm00001d050678
Cluster_1083	Zm00001d048985,Zm00001d048987
Cluster_1085	Zm00001d050726,Zm00001d050728
Cluster_1086	Zm00001d048995,Zm00001d048996
Cluster_1088	Zm00001d050805,Zm00001d050803
Cluster_1091	Zm00001d050965,Zm00001d050967
Cluster_1095	Zm00001d048618,Zm00001d048617
Cluster_1096	Zm00001d051187,Zm00001d051188
Cluster_1098	Zm00001d051225,Zm00001d051223
Cluster_1099	Zm00001d049077,Zm00001d049078
Cluster_1102	Zm00001d051313,Zm00001d051314
Cluster_1103	Zm00001d051336,Zm00001d051335
Cluster_1104	Zm00001d051350,Zm00001d051355
Cluster_1105	Zm00001d049087,Zm00001d049086
Cluster_1106	Zm00001d051370,Zm00001d051371
Cluster_1107	Zm00001d051373,Zm00001d051374
Cluster_1108	Zm00001d051399,Zm00001d051397
Cluster_1109	Zm00001d051410,Zm00001d051411
Cluster_1111	Zm00001d051419,Zm00001d051418
Cluster_1112	Zm00001d051460,Zm00001d051468
Cluster_1116	Zm00001d049113,Zm00001d049109
Cluster_1117	Zm00001d051658,Zm00001d051659
Cluster_1122	Zm00001d051876,Zm00001d051877
Cluster_1124	Zm00001d052036,Zm00001d052035
Cluster_1125	Zm00001d052038,Zm00001d052037
Cluster_1126	Zm00001d052067,Zm00001d052066
Cluster_1127	Zm00001d052083,Zm00001d052082
Cluster_1131	Zm00001d052170,Zm00001d052168
Cluster_1132	Zm00001d052206,Zm00001d052205
Cluster_1134	Zm00001d052227,Zm00001d052226
Cluster_1135	Zm00001d052232,Zm00001d052233
Cluster_1136	Zm00001d052245,Zm00001d052244
Cluster_1137	Zm00001d052306,Zm00001d052296
Cluster_1139	Zm00001d052344,Zm00001d052346
Cluster_1140	Zm00001d052348,Zm00001d052351
Cluster_1141	Zm00001d052357,Zm00001d052355
Cluster_1144	Zm00001d052393,Zm00001d052394
Cluster_1146	Zm00001d052420,Zm00001d052421
Cluster_1147	Zm00001d052431,Zm00001d052430
Cluster_1148	Zm00001d052435,Zm00001d052434
Cluster_1149	Zm00001d052463,Zm00001d052464
Cluster_1150	Zm00001d052479,Zm00001d052480
Cluster_1151	Zm00001d052505,Zm00001d052501
Cluster_1154	Zm00001d052565,Zm00001d052566
Cluster_1158	Zm00001d052605,Zm00001d052606
Cluster_1160	Zm00001d052638,Zm00001d052637
Cluster_1165	Zm00001d052734,Zm00001d052735
Cluster_1169	Zm00001d052835,Zm00001d052832
Cluster_1171	Zm00001d052882,Zm00001d052878
Cluster_1172	Zm00001d052916,Zm00001d052915
Cluster_1173	Zm00001d049203,Zm00001d049196
Cluster_1180	Zm00001d053046,Zm00001d053047
Cluster_1181	Zm00001d053049,Zm00001d053050
Cluster_1182	Zm00001d053064,Zm00001d053065
Cluster_1184	Zm00001d053079,Zm00001d053080
Cluster_1186	Zm00001d053099,Zm00001d053094
Cluster_1187	Zm00001d053268,Zm00001d053269
Cluster_1188	Zm00001d053277,Zm00001d053278
Cluster_1190	Zm00001d053340,Zm00001d053339
Cluster_1201	Zm00001d053587,Zm00001d053588
Cluster_1202	Zm00001d053620,Zm00001d053618
Cluster_1204	Zm00001d049268,Zm00001d049263
Cluster_1206	Zm00001d053770,Zm00001d053772
