Cluster_ID	Genes	Gene1	Gene2	Total_Divergence	Ti_Tv	dNdS	dN	dN_SE	dS	dS_Se
Cluster_0010	Zm00001d023593,Zm00001d023592,Zm00001d023596,Zm00001d023603	Zm00001d023603	Zm00001d023593	0.6242	2.7885	0.0284	0.0490	0.0072	1.7263	0.5974
Cluster_0010	Zm00001d023593,Zm00001d023592,Zm00001d023596,Zm00001d023603	Zm00001d023603	Zm00001d023592	0.4400	2.7885	0.0297	0.0334	0.0059	1.1256	0.3846
Cluster_0010	Zm00001d023593,Zm00001d023592,Zm00001d023596,Zm00001d023603	Zm00001d023603	Zm00001d023596	0.7330	2.7885	0.0182	0.0353	0.0061	1.9353	2.3162
Cluster_0011	Zm00001d025310,Zm00001d025319	Zm00001d025319	Zm00001d025310	1.5773	2.2731	0.1398	0.2611	0.0220	1.8673	0.9921
Cluster_0012	Zm00001d025349,Zm00001d025350	Zm00001d025350	Zm00001d025349	4.1810	1.1385	0.3191	0.9117	0.1100	2.8566	2.2570
Cluster_0013	Zm00001d025354,Zm00001d025355	Zm00001d025355	Zm00001d025354	2.1629	1.7793	0.0643	0.2581	0.0150	4.0175	6.3343
Cluster_0014	Zm00001d025381,Zm00001d025382	Zm00001d025382	Zm00001d025381	-0.0000	4.6000	99.0000	-0.0000	0.0000	-0.0000	0.0000
Cluster_0015	Zm00001d025390,Zm00001d025396,Zm00001d025391,Zm00001d025393,Zm00001d025383,Zm00001d025388,Zm00001d025394	Zm00001d025396	Zm00001d025390	0.0163	2.5930	0.4401	0.0042	0.0017	0.0096	0.0048
Cluster_0015	Zm00001d025390,Zm00001d025396,Zm00001d025391,Zm00001d025393,Zm00001d025383,Zm00001d025388,Zm00001d025394	Zm00001d025391	Zm00001d025390	0.0245	2.5930	0.4398	0.0063	0.0021	0.0144	0.0059
Cluster_0015	Zm00001d025390,Zm00001d025396,Zm00001d025391,Zm00001d025393,Zm00001d025383,Zm00001d025388,Zm00001d025394	Zm00001d025391	Zm00001d025396	0.0081	2.5930	0.4398	0.0021	0.0012	0.0048	0.0034
Cluster_0015	Zm00001d025390,Zm00001d025396,Zm00001d025391,Zm00001d025393,Zm00001d025383,Zm00001d025388,Zm00001d025394	Zm00001d025393	Zm00001d025390	0.0294	2.5930	0.4596	0.0077	0.0023	0.0168	0.0064
Cluster_0015	Zm00001d025390,Zm00001d025396,Zm00001d025391,Zm00001d025393,Zm00001d025383,Zm00001d025388,Zm00001d025394	Zm00001d025393	Zm00001d025396	0.0130	2.5930	0.4875	0.0035	0.0016	0.0072	0.0042
Cluster_0015	Zm00001d025390,Zm00001d025396,Zm00001d025391,Zm00001d025393,Zm00001d025383,Zm00001d025388,Zm00001d025394	Zm00001d025393	Zm00001d025391	0.0049	2.5930	0.5871	0.0014	0.0010	0.0024	0.0024
Cluster_0015	Zm00001d025390,Zm00001d025396,Zm00001d025391,Zm00001d025393,Zm00001d025383,Zm00001d025388,Zm00001d025394	Zm00001d025383	Zm00001d025390	1.5870	2.5930	0.1817	0.2555	0.0155	1.4062	0.2863
Cluster_0015	Zm00001d025390,Zm00001d025396,Zm00001d025391,Zm00001d025393,Zm00001d025383,Zm00001d025388,Zm00001d025394	Zm00001d025383	Zm00001d025396	1.6160	2.5930	0.1815	0.2603	0.0157	1.4348	0.3044
Cluster_0015	Zm00001d025390,Zm00001d025396,Zm00001d025391,Zm00001d025393,Zm00001d025383,Zm00001d025388,Zm00001d025394	Zm00001d025383	Zm00001d025391	1.6330	2.5930	0.1776	0.2594	0.0156	1.4606	0.3204
Cluster_0015	Zm00001d025390,Zm00001d025396,Zm00001d025391,Zm00001d025393,Zm00001d025383,Zm00001d025388,Zm00001d025394	Zm00001d025383	Zm00001d025393	1.6476	2.5930	0.1765	0.2608	0.0157	1.4780	0.3309
Cluster_0015	Zm00001d025390,Zm00001d025396,Zm00001d025391,Zm00001d025393,Zm00001d025383,Zm00001d025388,Zm00001d025394	Zm00001d025388	Zm00001d025390	1.5627	2.5930	0.1732	0.2485	0.0151	1.4353	0.2973
Cluster_0015	Zm00001d025390,Zm00001d025396,Zm00001d025391,Zm00001d025393,Zm00001d025383,Zm00001d025388,Zm00001d025394	Zm00001d025388	Zm00001d025396	1.5671	2.5930	0.1772	0.2532	0.0153	1.4294	0.2985
Cluster_0015	Zm00001d025390,Zm00001d025396,Zm00001d025391,Zm00001d025393,Zm00001d025383,Zm00001d025388,Zm00001d025394	Zm00001d025388	Zm00001d025391	1.5831	2.5930	0.1735	0.2523	0.0153	1.4544	0.3136
Cluster_0015	Zm00001d025390,Zm00001d025396,Zm00001d025391,Zm00001d025393,Zm00001d025383,Zm00001d025388,Zm00001d025394	Zm00001d025388	Zm00001d025393	1.5979	2.5930	0.1722	0.2537	0.0153	1.4730	0.3246
Cluster_0015	Zm00001d025390,Zm00001d025396,Zm00001d025391,Zm00001d025393,Zm00001d025383,Zm00001d025388,Zm00001d025394	Zm00001d025388	Zm00001d025383	0.2102	2.5930	0.2085	0.0369	0.0052	0.1770	0.0232
Cluster_0015	Zm00001d025390,Zm00001d025396,Zm00001d025391,Zm00001d025393,Zm00001d025383,Zm00001d025388,Zm00001d025394	Zm00001d025394	Zm00001d025390	0.0098	2.5930	0.0586	0.0007	0.0007	0.0119	0.0054
Cluster_0015	Zm00001d025390,Zm00001d025396,Zm00001d025391,Zm00001d025393,Zm00001d025383,Zm00001d025388,Zm00001d025394	Zm00001d025394	Zm00001d025396	0.0196	2.5930	0.2083	0.0035	0.0016	0.0168	0.0064
Cluster_0015	Zm00001d025390,Zm00001d025396,Zm00001d025391,Zm00001d025393,Zm00001d025383,Zm00001d025388,Zm00001d025394	Zm00001d025394	Zm00001d025391	0.0278	2.5930	0.2588	0.0056	0.0020	0.0217	0.0073
Cluster_0015	Zm00001d025390,Zm00001d025396,Zm00001d025391,Zm00001d025393,Zm00001d025383,Zm00001d025388,Zm00001d025394	Zm00001d025394	Zm00001d025393	0.0328	2.5930	0.2903	0.0070	0.0022	0.0242	0.0077
Cluster_0015	Zm00001d025390,Zm00001d025396,Zm00001d025391,Zm00001d025393,Zm00001d025383,Zm00001d025388,Zm00001d025394	Zm00001d025394	Zm00001d025383	1.6901	2.5930	0.1657	0.2565	0.0155	1.5481	0.3807
Cluster_0015	Zm00001d025390,Zm00001d025396,Zm00001d025391,Zm00001d025393,Zm00001d025383,Zm00001d025388,Zm00001d025394	Zm00001d025394	Zm00001d025388	1.5895	2.5930	0.1696	0.2495	0.0152	1.4715	0.3198
Cluster_0016	Zm00001d025397,Zm00001d025392,Zm00001d025395,Zm00001d025389	Zm00001d025392	Zm00001d025397	0.0196	2.8546	0.1823	0.0030	0.0021	0.0163	0.0082
Cluster_0016	Zm00001d025397,Zm00001d025392,Zm00001d025395,Zm00001d025389	Zm00001d025395	Zm00001d025397	0.0196	2.8546	0.1823	0.0030	0.0021	0.0163	0.0082
Cluster_0016	Zm00001d025397,Zm00001d025392,Zm00001d025395,Zm00001d025389	Zm00001d025395	Zm00001d025392	-0.0000	2.8546	99.0000	-0.0000	0.0000	-0.0000	0.0000
Cluster_0016	Zm00001d025397,Zm00001d025392,Zm00001d025395,Zm00001d025389	Zm00001d025389	Zm00001d025397	0.0229	2.8546	0.2752	0.0045	0.0026	0.0162	0.0082
Cluster_0016	Zm00001d025397,Zm00001d025392,Zm00001d025395,Zm00001d025389	Zm00001d025389	Zm00001d025392	0.0365	2.8546	0.1354	0.0045	0.0026	0.0330	0.0118
Cluster_0016	Zm00001d025397,Zm00001d025392,Zm00001d025395,Zm00001d025389	Zm00001d025389	Zm00001d025395	0.0365	2.8546	0.1354	0.0045	0.0026	0.0330	0.0118
Cluster_0017	Zm00001d025426,Zm00001d025427	Zm00001d025427	Zm00001d025426	4.8137	0.6911	0.3053	1.0236	0.0948	3.3523	2.9401
Cluster_0018	Zm00001d023608,Zm00001d023611	Zm00001d023611	Zm00001d023608	2.5471	1.9761	0.4226	0.6257	0.0334	1.4805	0.1694
Cluster_0019	Zm00001d025491,Zm00001d025504	Zm00001d025504	Zm00001d025491	0.1956	3.1889	0.7321	0.0594	0.0108	0.0811	0.0218
Cluster_0020	Zm00001d025496,Zm00001d025500	Zm00001d025500	Zm00001d025496	0.0096	3.7923	1.7679	0.0036	0.0011	0.0021	0.0013
Cluster_0021	Zm00001d025528,Zm00001d025533	Zm00001d025533	Zm00001d025528	3.0594	1.5912	0.0702	0.2784	0.0219	3.9637	6.1136
Cluster_0022	Zm00001d025545,Zm00001d025544	Zm00001d025544	Zm00001d025545	3.1704	1.4194	0.0889	0.3650	0.0349	4.1055	10.2318
Cluster_0023	Zm00001d023615,Zm00001d023616	Zm00001d023616	Zm00001d023615	-0.0000	4.6000	99.0000	-0.0000	0.0000	-0.0000	0.0000
Cluster_0024	Zm00001d025552,Zm00001d025558	Zm00001d025558	Zm00001d025552	0.3749	2.6605	0.1110	0.0623	0.0139	0.5608	0.1777
Cluster_0025	Zm00001d025554,Zm00001d025561,Zm00001d025565,Zm00001d025556	Zm00001d025561	Zm00001d025554	1.8478	4.1549	0.5382	0.5190	0.0346	0.9643	0.1404
Cluster_0025	Zm00001d025554,Zm00001d025561,Zm00001d025565,Zm00001d025556	Zm00001d025565	Zm00001d025554	1.8474	4.1549	0.6410	0.5458	0.0364	0.8516	0.1057
Cluster_0025	Zm00001d025554,Zm00001d025561,Zm00001d025565,Zm00001d025556	Zm00001d025565	Zm00001d025561	0.3011	4.1549	0.3894	0.0772	0.0102	0.1984	0.0374
Cluster_0025	Zm00001d025554,Zm00001d025561,Zm00001d025565,Zm00001d025556	Zm00001d025556	Zm00001d025554	1.7183	4.1549	0.5344	0.4815	0.0326	0.9011	0.1235
Cluster_0025	Zm00001d025554,Zm00001d025561,Zm00001d025565,Zm00001d025556	Zm00001d025556	Zm00001d025561	0.1798	4.1549	0.4959	0.0508	0.0081	0.1025	0.0266
Cluster_0025	Zm00001d025554,Zm00001d025561,Zm00001d025565,Zm00001d025556	Zm00001d025556	Zm00001d025565	0.2865	4.1549	0.5030	0.0804	0.0104	0.1598	0.0323
Cluster_0026	Zm00001d025557,Zm00001d025551	Zm00001d025551	Zm00001d025557	0.3433	0.7199	0.7689	0.1071	0.0191	0.1393	0.0415
Cluster_0027	Zm00001d025572,Zm00001d025573	Zm00001d025573	Zm00001d025572	2.2449	2.3558	0.0691	0.2691	0.0175	3.8961	5.8469
Cluster_0028	Zm00001d025584,Zm00001d025585	Zm00001d025585	Zm00001d025584	0.0359	4.4443	0.5750	0.0100	0.0025	0.0174	0.0055
Cluster_0029	Zm00001d025594,Zm00001d025600,Zm00001d025602	Zm00001d025600	Zm00001d025594	0.5468	2.2732	1.5245	0.2011	0.0371	0.1319	0.0483
Cluster_0029	Zm00001d025594,Zm00001d025600,Zm00001d025602	Zm00001d025602	Zm00001d025594	1.2991	2.2732	1.0538	0.4390	0.0629	0.4165	0.1090
Cluster_0029	Zm00001d025594,Zm00001d025600,Zm00001d025602	Zm00001d025602	Zm00001d025600	0.5619	2.2732	0.8018	0.1759	0.0340	0.2193	0.0670
Cluster_0030	Zm00001d025598,Zm00001d025606,Zm00001d025611,Zm00001d025609,Zm00001d025605,Zm00001d025592,Zm00001d025597,Zm00001d025596,Zm00001d025603	Zm00001d025606	Zm00001d025598	-0.0000	4.8868	99.0000	-0.0000	0.0000	-0.0000	0.0000
Cluster_0030	Zm00001d025598,Zm00001d025606,Zm00001d025611,Zm00001d025609,Zm00001d025605,Zm00001d025592,Zm00001d025597,Zm00001d025596,Zm00001d025603	Zm00001d025611	Zm00001d025598	-0.0000	4.8868	99.0000	-0.0000	0.0000	-0.0000	0.0000
Cluster_0030	Zm00001d025598,Zm00001d025606,Zm00001d025611,Zm00001d025609,Zm00001d025605,Zm00001d025592,Zm00001d025597,Zm00001d025596,Zm00001d025603	Zm00001d025611	Zm00001d025606	-0.0000	4.8868	99.0000	-0.0000	0.0000	-0.0000	0.0000
Cluster_0030	Zm00001d025598,Zm00001d025606,Zm00001d025611,Zm00001d025609,Zm00001d025605,Zm00001d025592,Zm00001d025597,Zm00001d025596,Zm00001d025603	Zm00001d025609	Zm00001d025598	2.1650	4.8868	0.6109	0.6044	0.2091	0.9894	0.5339
Cluster_0030	Zm00001d025598,Zm00001d025606,Zm00001d025611,Zm00001d025609,Zm00001d025605,Zm00001d025592,Zm00001d025597,Zm00001d025596,Zm00001d025603	Zm00001d025609	Zm00001d025606	2.1650	4.8868	0.6109	0.6044	0.2091	0.9894	0.5339
Cluster_0030	Zm00001d025598,Zm00001d025606,Zm00001d025611,Zm00001d025609,Zm00001d025605,Zm00001d025592,Zm00001d025597,Zm00001d025596,Zm00001d025603	Zm00001d025609	Zm00001d025611	2.1650	4.8868	0.6109	0.6044	0.2091	0.9894	0.5339
Cluster_0030	Zm00001d025598,Zm00001d025606,Zm00001d025611,Zm00001d025609,Zm00001d025605,Zm00001d025592,Zm00001d025597,Zm00001d025596,Zm00001d025603	Zm00001d025605	Zm00001d025598	-0.0000	4.8868	99.0000	-0.0000	0.0000	-0.0000	0.0000
Cluster_0030	Zm00001d025598,Zm00001d025606,Zm00001d025611,Zm00001d025609,Zm00001d025605,Zm00001d025592,Zm00001d025597,Zm00001d025596,Zm00001d025603	Zm00001d025605	Zm00001d025606	-0.0000	4.8868	99.0000	-0.0000	0.0000	-0.0000	0.0000
Cluster_0030	Zm00001d025598,Zm00001d025606,Zm00001d025611,Zm00001d025609,Zm00001d025605,Zm00001d025592,Zm00001d025597,Zm00001d025596,Zm00001d025603	Zm00001d025605	Zm00001d025611	-0.0000	4.8868	99.0000	-0.0000	0.0000	-0.0000	0.0000
Cluster_0030	Zm00001d025598,Zm00001d025606,Zm00001d025611,Zm00001d025609,Zm00001d025605,Zm00001d025592,Zm00001d025597,Zm00001d025596,Zm00001d025603	Zm00001d025605	Zm00001d025609	2.1650	4.8868	0.6109	0.6044	0.2091	0.9894	0.5339
Cluster_0030	Zm00001d025598,Zm00001d025606,Zm00001d025611,Zm00001d025609,Zm00001d025605,Zm00001d025592,Zm00001d025597,Zm00001d025596,Zm00001d025603	Zm00001d025592	Zm00001d025598	0.0755	4.8868	0.0000	-0.0000	0.0000	0.0845	0.0858
Cluster_0030	Zm00001d025598,Zm00001d025606,Zm00001d025611,Zm00001d025609,Zm00001d025605,Zm00001d025592,Zm00001d025597,Zm00001d025596,Zm00001d025603	Zm00001d025592	Zm00001d025606	0.0755	4.8868	0.0000	-0.0000	0.0000	0.0845	0.0858
Cluster_0030	Zm00001d025598,Zm00001d025606,Zm00001d025611,Zm00001d025609,Zm00001d025605,Zm00001d025592,Zm00001d025597,Zm00001d025596,Zm00001d025603	Zm00001d025592	Zm00001d025611	0.0755	4.8868	0.0000	-0.0000	0.0000	0.0845	0.0858
Cluster_0030	Zm00001d025598,Zm00001d025606,Zm00001d025611,Zm00001d025609,Zm00001d025605,Zm00001d025592,Zm00001d025597,Zm00001d025596,Zm00001d025603	Zm00001d025592	Zm00001d025609	2.1348	4.8868	0.6925	0.6274	0.2158	0.9059	0.4735
Cluster_0030	Zm00001d025598,Zm00001d025606,Zm00001d025611,Zm00001d025609,Zm00001d025605,Zm00001d025592,Zm00001d025597,Zm00001d025596,Zm00001d025603	Zm00001d025592	Zm00001d025605	0.0755	4.8868	0.0000	-0.0000	0.0000	0.0845	0.0858
Cluster_0030	Zm00001d025598,Zm00001d025606,Zm00001d025611,Zm00001d025609,Zm00001d025605,Zm00001d025592,Zm00001d025597,Zm00001d025596,Zm00001d025603	Zm00001d025597	Zm00001d025598	5.9916	4.8868	4.4684	2.5554	2.4526	0.5719	0.3189
Cluster_0030	Zm00001d025598,Zm00001d025606,Zm00001d025611,Zm00001d025609,Zm00001d025605,Zm00001d025592,Zm00001d025597,Zm00001d025596,Zm00001d025603	Zm00001d025597	Zm00001d025606	5.9916	4.8868	4.4684	2.5554	2.4526	0.5719	0.3189
Cluster_0030	Zm00001d025598,Zm00001d025606,Zm00001d025611,Zm00001d025609,Zm00001d025605,Zm00001d025592,Zm00001d025597,Zm00001d025596,Zm00001d025603	Zm00001d025597	Zm00001d025611	5.9916	4.8868	4.4684	2.5554	2.4526	0.5719	0.3189
Cluster_0030	Zm00001d025598,Zm00001d025606,Zm00001d025611,Zm00001d025609,Zm00001d025605,Zm00001d025592,Zm00001d025597,Zm00001d025596,Zm00001d025603	Zm00001d025597	Zm00001d025609	6.1213	4.8868	1.5889	2.2907	1.7596	1.4417	1.0125
Cluster_0030	Zm00001d025598,Zm00001d025606,Zm00001d025611,Zm00001d025609,Zm00001d025605,Zm00001d025592,Zm00001d025597,Zm00001d025596,Zm00001d025603	Zm00001d025597	Zm00001d025605	5.9916	4.8868	4.4684	2.5554	2.4526	0.5719	0.3189
Cluster_0030	Zm00001d025598,Zm00001d025606,Zm00001d025611,Zm00001d025609,Zm00001d025605,Zm00001d025592,Zm00001d025597,Zm00001d025596,Zm00001d025603	Zm00001d025597	Zm00001d025592	6.0376	4.8868	5.4879	2.5715	2.4776	0.4686	0.3130
Cluster_0030	Zm00001d025598,Zm00001d025606,Zm00001d025611,Zm00001d025609,Zm00001d025605,Zm00001d025592,Zm00001d025597,Zm00001d025596,Zm00001d025603	Zm00001d025596	Zm00001d025598	2.1650	4.8868	0.6109	0.6044	0.2091	0.9894	0.5339
Cluster_0030	Zm00001d025598,Zm00001d025606,Zm00001d025611,Zm00001d025609,Zm00001d025605,Zm00001d025592,Zm00001d025597,Zm00001d025596,Zm00001d025603	Zm00001d025596	Zm00001d025606	2.1650	4.8868	0.6109	0.6044	0.2091	0.9894	0.5339
Cluster_0030	Zm00001d025598,Zm00001d025606,Zm00001d025611,Zm00001d025609,Zm00001d025605,Zm00001d025592,Zm00001d025597,Zm00001d025596,Zm00001d025603	Zm00001d025596	Zm00001d025611	2.1650	4.8868	0.6109	0.6044	0.2091	0.9894	0.5339
Cluster_0030	Zm00001d025598,Zm00001d025606,Zm00001d025611,Zm00001d025609,Zm00001d025605,Zm00001d025592,Zm00001d025597,Zm00001d025596,Zm00001d025603	Zm00001d025596	Zm00001d025609	-0.0000	4.8868	99.0000	-0.0000	0.0000	-0.0000	0.0000
Cluster_0030	Zm00001d025598,Zm00001d025606,Zm00001d025611,Zm00001d025609,Zm00001d025605,Zm00001d025592,Zm00001d025597,Zm00001d025596,Zm00001d025603	Zm00001d025596	Zm00001d025605	2.1650	4.8868	0.6109	0.6044	0.2091	0.9894	0.5339
Cluster_0030	Zm00001d025598,Zm00001d025606,Zm00001d025611,Zm00001d025609,Zm00001d025605,Zm00001d025592,Zm00001d025597,Zm00001d025596,Zm00001d025603	Zm00001d025596	Zm00001d025592	2.1348	4.8868	0.6925	0.6274	0.2158	0.9059	0.4735
Cluster_0030	Zm00001d025598,Zm00001d025606,Zm00001d025611,Zm00001d025609,Zm00001d025605,Zm00001d025592,Zm00001d025597,Zm00001d025596,Zm00001d025603	Zm00001d025596	Zm00001d025597	6.1213	4.8868	1.5889	2.2907	1.7596	1.4417	1.0125
Cluster_0030	Zm00001d025598,Zm00001d025606,Zm00001d025611,Zm00001d025609,Zm00001d025605,Zm00001d025592,Zm00001d025597,Zm00001d025596,Zm00001d025603	Zm00001d025603	Zm00001d025598	7.1962	4.8868	1.3346	2.5706	2.4762	1.9261	1.8378
Cluster_0030	Zm00001d025598,Zm00001d025606,Zm00001d025611,Zm00001d025609,Zm00001d025605,Zm00001d025592,Zm00001d025597,Zm00001d025596,Zm00001d025603	Zm00001d025603	Zm00001d025606	7.1962	4.8868	1.3346	2.5706	2.4762	1.9261	1.8378
Cluster_0030	Zm00001d025598,Zm00001d025606,Zm00001d025611,Zm00001d025609,Zm00001d025605,Zm00001d025592,Zm00001d025597,Zm00001d025596,Zm00001d025603	Zm00001d025603	Zm00001d025611	7.1962	4.8868	1.3346	2.5706	2.4762	1.9261	1.8378
Cluster_0030	Zm00001d025598,Zm00001d025606,Zm00001d025611,Zm00001d025609,Zm00001d025605,Zm00001d025592,Zm00001d025597,Zm00001d025596,Zm00001d025603	Zm00001d025603	Zm00001d025609	7.5459	4.8868	1.5156	2.7728	3.2347	1.8295	1.5734
Cluster_0030	Zm00001d025598,Zm00001d025606,Zm00001d025611,Zm00001d025609,Zm00001d025605,Zm00001d025592,Zm00001d025597,Zm00001d025596,Zm00001d025603	Zm00001d025603	Zm00001d025605	7.1962	4.8868	1.3346	2.5706	2.4762	1.9261	1.8378
Cluster_0030	Zm00001d025598,Zm00001d025606,Zm00001d025611,Zm00001d025609,Zm00001d025605,Zm00001d025592,Zm00001d025597,Zm00001d025596,Zm00001d025603	Zm00001d025603	Zm00001d025592	9.7306	4.8868	1.3814	3.4778	8.0091	2.5177	4.0513
Cluster_0030	Zm00001d025598,Zm00001d025606,Zm00001d025611,Zm00001d025609,Zm00001d025605,Zm00001d025592,Zm00001d025597,Zm00001d025596,Zm00001d025603	Zm00001d025603	Zm00001d025597	6.7512	4.8868	2.6673	2.6143	2.5454	0.9801	0.6747
Cluster_0030	Zm00001d025598,Zm00001d025606,Zm00001d025611,Zm00001d025609,Zm00001d025605,Zm00001d025592,Zm00001d025597,Zm00001d025596,Zm00001d025603	Zm00001d025603	Zm00001d025596	7.5459	4.8868	1.5156	2.7728	3.2347	1.8295	1.5734
Cluster_0031	Zm00001d025599,Zm00001d025593,Zm00001d025607,Zm00001d025601	Zm00001d025593	Zm00001d025599	0.0604	5.6431	0.0105	0.0023	0.0023	0.2218	0.0929
Cluster_0031	Zm00001d025599,Zm00001d025593,Zm00001d025607,Zm00001d025601	Zm00001d025607	Zm00001d025599	0.1008	5.6431	0.0313	0.0094	0.0047	0.2996	0.1184
Cluster_0031	Zm00001d025599,Zm00001d025593,Zm00001d025607,Zm00001d025601	Zm00001d025607	Zm00001d025593	0.0477	5.6431	0.0503	0.0069	0.0040	0.1376	0.0717
Cluster_0031	Zm00001d025599,Zm00001d025593,Zm00001d025607,Zm00001d025601	Zm00001d025601	Zm00001d025599	1.1760	5.6431	0.3070	0.2985	0.0321	0.9724	0.2365
Cluster_0031	Zm00001d025599,Zm00001d025593,Zm00001d025607,Zm00001d025601	Zm00001d025601	Zm00001d025593	1.3843	5.6431	0.1839	0.2969	0.0317	1.6141	0.6005
Cluster_0031	Zm00001d025599,Zm00001d025593,Zm00001d025607,Zm00001d025601	Zm00001d025601	Zm00001d025607	1.4878	5.6431	0.1645	0.3022	0.0321	1.8375	0.7966
Cluster_0032	Zm00001d025604,Zm00001d025610	Zm00001d025610	Zm00001d025604	0.0292	1.9668	99.0000	0.0124	0.0062	-0.0000	0.0000
Cluster_0033	Zm00001d025632,Zm00001d025636	Zm00001d025636	Zm00001d025632	-0.0000	4.6000	99.0000	-0.0000	0.0000	-0.0000	0.0000
Cluster_0034	Zm00001d025633,Zm00001d025629	Zm00001d025629	Zm00001d025633	-0.0000	4.6000	99.0000	-0.0000	0.0000	-0.0000	0.0000
Cluster_0035	Zm00001d025633,Zm00001d025629	Zm00001d025629	Zm00001d025633	-0.0000	4.6000	99.0000	-0.0000	0.0000	-0.0000	0.0000
Cluster_0036	Zm00001d025685,Zm00001d025686	Zm00001d025686	Zm00001d025685	1.5337	1.5120	0.4838	0.4157	0.0375	0.8592	0.1560
Cluster_0037	Zm00001d025741,Zm00001d025744	Zm00001d025744	Zm00001d025741	1.9905	2.9612	0.3977	0.5114	0.0626	1.2858	0.4718
Cluster_0038	Zm00001d025774,Zm00001d025775	Zm00001d025775	Zm00001d025774	2.8988	2.1675	0.8157	0.9013	0.0895	1.1050	0.1699
Cluster_0039	Zm00001d025808,Zm00001d025812	Zm00001d025812	Zm00001d025808	0.0371	3.1471	0.2427	0.0067	0.0024	0.0277	0.0080
Cluster_0040	Zm00001d025835,Zm00001d025836	Zm00001d025836	Zm00001d025835	-0.0000	4.6000	99.0000	-0.0000	0.0000	-0.0000	0.0000
Cluster_0041	Zm00001d025839,Zm00001d025841	Zm00001d025841	Zm00001d025839	4.6246	1.1513	0.3769	1.1443	0.1682	3.0364	3.3333
Cluster_0042	Zm00001d025847,Zm00001d025846	Zm00001d025846	Zm00001d025847	2.9088	1.5157	0.0771	0.3204	0.0190	4.1557	6.9407
Cluster_0043	Zm00001d025881,Zm00001d025875	Zm00001d025875	Zm00001d025881	0.2105	3.1406	0.7460	0.0649	0.0062	0.0870	0.0132
Cluster_0044	Zm00001d025884,Zm00001d025878,Zm00001d025877	Zm00001d025878	Zm00001d025884	0.1652	1.2763	0.6686	0.0505	0.0135	0.0755	0.0360
Cluster_0044	Zm00001d025884,Zm00001d025878,Zm00001d025877	Zm00001d025877	Zm00001d025884	0.5688	1.2763	0.8274	0.1822	0.0277	0.2203	0.0642
Cluster_0044	Zm00001d025884,Zm00001d025878,Zm00001d025877	Zm00001d025877	Zm00001d025878	0.5595	1.2763	0.7425	0.1751	0.0270	0.2358	0.0686
Cluster_0045	Zm00001d025887,Zm00001d025888,Zm00001d025889	Zm00001d025888	Zm00001d025887	1.4786	2.0978	0.0938	0.1514	0.0105	1.6144	0.3292
Cluster_0045	Zm00001d025887,Zm00001d025888,Zm00001d025889	Zm00001d025889	Zm00001d025887	1.9878	2.0978	0.0694	0.2043	0.0121	2.9439	1.1910
Cluster_0045	Zm00001d025887,Zm00001d025888,Zm00001d025889	Zm00001d025889	Zm00001d025888	3.5861	2.0978	0.0563	0.2523	0.0143	4.4844	7.9177
