#compute -i *.fasta 
#Sat Jun 24 21:37:00 2017

locus	nsam	nsites	nsites_ug	S	Singletons	NMut	nhap	hapdiv	WallsB	WallsQ	ThetaW	ThetaPi	TajD	FuLiDStar	FuLiFStar	Rmin	rho87
Zm00001d002013-Zm00001d002019.fasta	2	1344	1170	403	403	403	2	1	1	1	0.344444	0.344444	nan	nan	nan	0	10000	
Zm00001d002014-Zm00001d002015.fasta	2	435	432	18	18	18	2	1	1	1	0.0416667	0.0416667	nan	nan	nan	0	10000	
Zm00001d002014-Zm00001d002016.fasta	2	435	435	10	10	10	2	1	1	1	0.0229885	0.0229885	nan	nan	nan	0	10000	
Zm00001d002014-Zm00001d002017.fasta	2	435	432	18	18	18	2	1	1	1	0.0416667	0.0416667	nan	nan	nan	0	10000	
Zm00001d002015-Zm00001d002017.fasta	0	432	432	0	0	0	1	0	NA	NA	0	0	NA	NA	NA	NA	NA	
Zm00001d002016-Zm00001d002015.fasta	2	435	432	20	20	20	2	1	1	1	0.0462963	0.0462963	nan	nan	nan	0	10000	
Zm00001d002016-Zm00001d002017.fasta	2	435	432	20	20	20	2	1	1	1	0.0462963	0.0462963	nan	nan	nan	0	10000	
Zm00001d002018-Zm00001d002014.fasta	2	708	435	14	14	14	2	1	1	1	0.0321839	0.0321839	nan	nan	nan	0	10000	
Zm00001d002018-Zm00001d002015.fasta	2	708	432	24	24	24	2	1	1	1	0.0555556	0.0555556	nan	nan	nan	0	10000	
Zm00001d002018-Zm00001d002016.fasta	2	708	435	4	4	4	2	1	1	1	0.0091954	0.0091954	nan	nan	nan	0	10000	
Zm00001d002018-Zm00001d002017.fasta	2	708	432	24	24	24	2	1	1	1	0.0555556	0.0555556	nan	nan	nan	0	10000	
Zm00001d002020-Zm00001d002013.fasta	2	1512	1230	453	453	453	2	1	1	1	0.368293	0.368293	nan	nan	nan	0	10000	
Zm00001d002020-Zm00001d002019.fasta	2	1494	1224	144	144	144	2	1	1	1	0.117647	0.117647	nan	nan	nan	0	10000	
Zm00001d002057-Zm00001d002055.fasta	2	576	549	14	14	14	2	1	1	1	0.0255009	0.0255009	nan	nan	nan	0	10000	
Zm00001d002066-Zm00001d002067.fasta	2	1014	525	68	68	68	2	1	1	1	0.129524	0.129524	nan	nan	nan	0	10000	
Zm00001d002069-Zm00001d002071.fasta	2	270	243	62	62	62	2	1	1	1	0.255144	0.255144	nan	nan	nan	0	10000	
Zm00001d002072-Zm00001d002069.fasta	2	360	252	114	114	114	2	1	1	1	0.452381	0.452381	nan	nan	nan	0	10000	
Zm00001d002072-Zm00001d002071.fasta	2	372	237	103	103	103	2	1	1	1	0.434599	0.434599	nan	nan	nan	0	10000	
Zm00001d002072-Zm00001d002074.fasta	2	366	300	90	90	90	2	1	1	1	0.3	0.3	nan	nan	nan	0	10000	
Zm00001d002074-Zm00001d002069.fasta	2	315	255	109	109	109	2	1	1	1	0.427451	0.427451	nan	nan	nan	0	10000	
Zm00001d002074-Zm00001d002071.fasta	2	312	255	114	114	114	2	1	1	1	0.447059	0.447059	nan	nan	nan	0	10000	
Zm00001d002075-Zm00001d002079.fasta	2	1647	714	414	414	414	2	1	1	1	0.579832	0.579832	nan	nan	nan	0	10000	
Zm00001d002100-Zm00001d002101.fasta	2	729	354	236	236	236	2	1	1	1	0.666667	0.666667	nan	nan	nan	0	10000	
Zm00001d002137-Zm00001d002138.fasta	2	510	360	140	140	140	2	1	1	1	0.388889	0.388889	nan	nan	nan	0	10000	
Zm00001d002150-Zm00001d002149.fasta	2	1935	1101	726	726	726	2	1	1	1	0.659401	0.659401	nan	nan	nan	0	10000	
Zm00001d002158-Zm00001d002160.fasta	2	267	243	41	41	41	2	1	1	1	0.168724	0.168724	nan	nan	nan	0	10000	
Zm00001d002159-Zm00001d002158.fasta	2	285	264	30	30	30	2	1	1	1	0.113636	0.113636	nan	nan	nan	0	10000	
Zm00001d002159-Zm00001d002160.fasta	2	282	243	57	57	57	2	1	1	1	0.234568	0.234568	nan	nan	nan	0	10000	
Zm00001d002161-Zm00001d002158.fasta	2	321	267	111	111	111	2	1	1	1	0.41573	0.41573	nan	nan	nan	0	10000	
Zm00001d002161-Zm00001d002159.fasta	2	321	282	113	113	113	2	1	1	1	0.400709	0.400709	nan	nan	nan	0	10000	
Zm00001d002161-Zm00001d002160.fasta	2	321	243	86	86	86	2	1	1	1	0.353909	0.353909	nan	nan	nan	0	10000	
Zm00001d002167-Zm00001d002173.fasta	2	2523	477	242	242	242	2	1	1	1	0.507338	0.507338	nan	nan	nan	0	10000	
Zm00001d002167-Zm00001d002181.fasta	2	2448	417	193	193	193	2	1	1	1	0.46283	0.46283	nan	nan	nan	0	10000	
Zm00001d002168-Zm00001d002167.fasta	2	2568	1089	552	552	552	2	1	1	1	0.506887	0.506887	nan	nan	nan	0	10000	
Zm00001d002168-Zm00001d002173.fasta	2	2535	1812	664	664	664	2	1	1	1	0.366446	0.366446	nan	nan	nan	0	10000	
Zm00001d002168-Zm00001d002175.fasta	2	3162	2034	1219	1219	1219	2	1	1	1	0.599312	0.599312	nan	nan	nan	0	10000	
Zm00001d002168-Zm00001d002181.fasta	2	2526	1686	927	927	927	2	1	1	1	0.549822	0.549822	nan	nan	nan	0	10000	
Zm00001d002172-Zm00001d002167.fasta	2	3324	1107	576	576	576	2	1	1	1	0.520325	0.520325	nan	nan	nan	0	10000	
Zm00001d002172-Zm00001d002168.fasta	2	4224	1554	741	741	741	2	1	1	1	0.476834	0.476834	nan	nan	nan	0	10000	
Zm00001d002172-Zm00001d002173.fasta	2	4188	933	198	198	198	2	1	1	1	0.212219	0.212219	nan	nan	nan	0	10000	
Zm00001d002172-Zm00001d002175.fasta	2	4461	1509	854	854	854	2	1	1	1	0.565938	0.565938	nan	nan	nan	0	10000	
Zm00001d002172-Zm00001d002178.fasta	2	3423	2067	756	756	756	2	1	1	1	0.365747	0.365747	nan	nan	nan	0	10000	
Zm00001d002172-Zm00001d002181.fasta	2	3279	1707	627	627	627	2	1	1	1	0.367311	0.367311	nan	nan	nan	0	10000	
Zm00001d002173-Zm00001d002181.fasta	2	1848	1707	865	865	865	2	1	1	1	0.506737	0.506737	nan	nan	nan	0	10000	
Zm00001d002174-Zm00001d002167.fasta	2	2367	732	370	370	370	2	1	1	1	0.505464	0.505464	nan	nan	nan	0	10000	
Zm00001d002174-Zm00001d002168.fasta	2	2568	1878	1042	1042	1042	2	1	1	1	0.554846	0.554846	nan	nan	nan	0	10000	
Zm00001d002174-Zm00001d002172.fasta	2	3285	1935	675	675	675	2	1	1	1	0.348837	0.348837	nan	nan	nan	0	10000	
Zm00001d002174-Zm00001d002173.fasta	2	2136	1653	857	857	857	2	1	1	1	0.518451	0.518451	nan	nan	nan	0	10000	
Zm00001d002174-Zm00001d002175.fasta	2	2940	1698	1069	1069	1069	2	1	1	1	0.629564	0.629564	nan	nan	nan	0	10000	
Zm00001d002174-Zm00001d002178.fasta	2	2232	1926	705	705	705	2	1	1	1	0.366044	0.366044	nan	nan	nan	0	10000	
Zm00001d002174-Zm00001d002181.fasta	2	2019	1635	648	648	648	2	1	1	1	0.39633	0.39633	nan	nan	nan	0	10000	
Zm00001d002175-Zm00001d002167.fasta	2	2706	1143	619	619	619	2	1	1	1	0.541557	0.541557	nan	nan	nan	0	10000	
Zm00001d002175-Zm00001d002173.fasta	2	2964	1575	966	966	966	2	1	1	1	0.613333	0.613333	nan	nan	nan	0	10000	
Zm00001d002175-Zm00001d002181.fasta	2	2979	1425	877	877	877	2	1	1	1	0.615439	0.615439	nan	nan	nan	0	10000	
Zm00001d002178-Zm00001d002167.fasta	2	2457	912	444	444	444	2	1	1	1	0.486842	0.486842	nan	nan	nan	0	10000	
Zm00001d002178-Zm00001d002168.fasta	2	2679	2037	1114	1114	1114	2	1	1	1	0.546883	0.546883	nan	nan	nan	0	10000	
Zm00001d002178-Zm00001d002173.fasta	2	2385	1674	851	851	851	2	1	1	1	0.508363	0.508363	nan	nan	nan	0	10000	
Zm00001d002178-Zm00001d002175.fasta	2	2952	1956	1242	1242	1242	2	1	1	1	0.634969	0.634969	nan	nan	nan	0	10000	
Zm00001d002178-Zm00001d002181.fasta	2	2277	1647	355	355	355	2	1	1	1	0.215543	0.215543	nan	nan	nan	0	10000	
Zm00001d002179-Zm00001d002182.fasta	2	1368	930	73	73	73	2	1	1	1	0.0784946	0.0784946	nan	nan	nan	0	10000	
Zm00001d002188-Zm00001d002189.fasta	2	921	273	13	13	13	2	1	1	1	0.047619	0.047619	nan	nan	nan	0	10000	
Zm00001d002192-Zm00001d002193.fasta	2	1158	882	358	358	358	2	1	1	1	0.405896	0.405896	nan	nan	nan	0	10000	
Zm00001d002195-Zm00001d002194.fasta	2	948	453	293	293	293	2	1	1	1	0.646799	0.646799	nan	nan	nan	0	10000	
Zm00001d002199-Zm00001d002198.fasta	2	2580	1476	53	53	53	2	1	1	1	0.0359079	0.0359079	nan	nan	nan	0	10000	
Zm00001d002203-Zm00001d002209.fasta	2	576	576	1	1	1	2	1	NA	NA	0.00173611	0.00173611	nan	nan	0.707107	4294967295	10000	
Zm00001d002203-Zm00001d002215.fasta	2	576	576	6	6	6	2	1	1	1	0.0104167	0.0104167	nan	nan	nan	0	10000	
Zm00001d002203-Zm00001d002223.fasta	0	576	576	0	0	0	1	0	NA	NA	0	0	NA	NA	NA	NA	NA	
Zm00001d002203-Zm00001d002229.fasta	2	576	576	6	6	6	2	1	1	1	0.0104167	0.0104167	nan	nan	nan	0	10000	
Zm00001d002204-Zm00001d002224.fasta	2	663	663	1	1	1	2	1	NA	NA	0.0015083	0.0015083	nan	nan	0.707107	4294967295	10000	
Zm00001d002204-Zm00001d002230.fasta	2	681	417	12	12	12	2	1	1	1	0.028777	0.028777	nan	nan	nan	0	10000	
Zm00001d002205-Zm00001d002204.fasta	2	1389	645	430	430	430	2	1	1	1	0.666667	0.666667	nan	nan	nan	0	10000	
Zm00001d002205-Zm00001d002211.fasta	2	1371	1368	4	4	4	2	1	1	1	0.00292398	0.00292398	nan	nan	nan	0	10000	
Zm00001d002205-Zm00001d002224.fasta	2	1389	645	431	431	431	2	1	1	1	0.668217	0.668217	nan	nan	nan	0	10000	
Zm00001d002205-Zm00001d002225.fasta	0	1371	1371	0	0	0	1	0	NA	NA	0	0	NA	NA	NA	NA	NA	
Zm00001d002205-Zm00001d002230.fasta	2	1374	432	285	285	285	2	1	1	1	0.659722	0.659722	nan	nan	nan	0	10000	
Zm00001d002205-Zm00001d002231.fasta	2	1371	1365	45	45	45	2	1	1	1	0.032967	0.032967	nan	nan	nan	0	10000	
Zm00001d002205-Zm00001d002232.fasta	2	1371	1368	12	12	12	2	1	1	1	0.00877193	0.00877193	nan	nan	nan	0	10000	
Zm00001d002207-Zm00001d002213.fasta	2	678	210	114	114	114	2	1	1	1	0.542857	0.542857	nan	nan	nan	0	10000	
Zm00001d002207-Zm00001d002220.fasta	2	489	453	20	20	20	2	1	1	1	0.0441501	0.0441501	nan	nan	nan	0	10000	
Zm00001d002207-Zm00001d002227.fasta	2	489	453	20	20	20	2	1	1	1	0.0441501	0.0441501	nan	nan	nan	0	10000	
Zm00001d002208-Zm00001d002202.fasta	0	543	426	0	0	0	1	0	NA	NA	0	0	NA	NA	NA	NA	NA	
Zm00001d002208-Zm00001d002214.fasta	2	543	543	2	2	2	2	1	1	1	0.00368324	0.00368324	nan	nan	2	0	10000	
Zm00001d002208-Zm00001d002221.fasta	2	543	543	1	1	1	2	1	NA	NA	0.00184162	0.00184162	nan	nan	0.707107	4294967295	10000	
Zm00001d002208-Zm00001d002228.fasta	2	543	426	2	2	2	2	1	1	1	0.00469484	0.00469484	nan	nan	2	0	10000	
Zm00001d002209-Zm00001d002215.fasta	2	576	576	6	6	6	2	1	1	1	0.0104167	0.0104167	nan	nan	nan	0	10000	
Zm00001d002209-Zm00001d002223.fasta	2	576	576	1	1	1	2	1	NA	NA	0.00173611	0.00173611	nan	nan	0.707107	4294967295	10000	
Zm00001d002209-Zm00001d002229.fasta	2	576	576	6	6	6	2	1	1	1	0.0104167	0.0104167	nan	nan	nan	0	10000	
Zm00001d002211-Zm00001d002204.fasta	2	1386	645	431	431	431	2	1	1	1	0.668217	0.668217	nan	nan	nan	0	10000	
Zm00001d002211-Zm00001d002224.fasta	2	1386	645	432	432	432	2	1	1	1	0.669767	0.669767	nan	nan	nan	0	10000	
Zm00001d002211-Zm00001d002230.fasta	2	1377	426	275	275	275	2	1	1	1	0.64554	0.64554	nan	nan	nan	0	10000	
Zm00001d002211-Zm00001d002231.fasta	2	1368	1365	49	49	49	2	1	1	1	0.0358974	0.0358974	nan	nan	nan	0	10000	
Zm00001d002211-Zm00001d002232.fasta	2	1368	1368	16	16	16	2	1	1	1	0.0116959	0.0116959	nan	nan	nan	0	10000	
Zm00001d002214-Zm00001d002202.fasta	2	543	426	2	2	2	2	1	1	1	0.00469484	0.00469484	nan	nan	2	0	10000	
Zm00001d002214-Zm00001d002228.fasta	2	543	426	2	2	2	2	1	1	1	0.00469484	0.00469484	nan	nan	2	0	10000	
Zm00001d002215-Zm00001d002223.fasta	2	576	576	6	6	6	2	1	1	1	0.0104167	0.0104167	nan	nan	nan	0	10000	
Zm00001d002215-Zm00001d002229.fasta	2	576	576	2	2	2	2	1	1	1	0.00347222	0.00347222	nan	nan	2	0	10000	
Zm00001d002216-Zm00001d002204.fasta	2	1413	660	56	56	56	2	1	1	1	0.0848485	0.0848485	nan	nan	nan	0	10000	
Zm00001d002216-Zm00001d002205.fasta	2	1590	1191	618	618	618	2	1	1	1	0.518892	0.518892	nan	nan	nan	0	10000	
Zm00001d002216-Zm00001d002211.fasta	2	1566	1212	642	642	642	2	1	1	1	0.529703	0.529703	nan	nan	nan	0	10000	
Zm00001d002216-Zm00001d002217.fasta	2	1845	1332	743	743	743	2	1	1	1	0.557808	0.557808	nan	nan	nan	0	10000	
Zm00001d002216-Zm00001d002224.fasta	2	1413	660	57	57	57	2	1	1	1	0.0863636	0.0863636	nan	nan	nan	0	10000	
Zm00001d002216-Zm00001d002225.fasta	2	1590	1191	618	618	618	2	1	1	1	0.518892	0.518892	nan	nan	nan	0	10000	
Zm00001d002216-Zm00001d002230.fasta	2	1428	417	13	13	13	2	1	1	1	0.0311751	0.0311751	nan	nan	nan	0	10000	
Zm00001d002216-Zm00001d002231.fasta	2	1644	1131	583	583	583	2	1	1	1	0.515473	0.515473	nan	nan	nan	0	10000	
Zm00001d002216-Zm00001d002232.fasta	2	1581	1197	629	629	629	2	1	1	1	0.52548	0.52548	nan	nan	nan	0	10000	
Zm00001d002217-Zm00001d002204.fasta	2	1800	630	419	419	419	2	1	1	1	0.665079	0.665079	nan	nan	nan	0	10000	
Zm00001d002217-Zm00001d002205.fasta	2	1776	1362	56	56	56	2	1	1	1	0.041116	0.041116	nan	nan	nan	0	10000	
Zm00001d002217-Zm00001d002211.fasta	2	1773	1362	60	60	60	2	1	1	1	0.0440529	0.0440529	nan	nan	nan	0	10000	
Zm00001d002217-Zm00001d002224.fasta	2	1800	630	420	420	420	2	1	1	1	0.666667	0.666667	nan	nan	nan	0	10000	
Zm00001d002217-Zm00001d002225.fasta	2	1776	1362	56	56	56	2	1	1	1	0.041116	0.041116	nan	nan	nan	0	10000	
Zm00001d002217-Zm00001d002230.fasta	2	1770	432	280	280	280	2	1	1	1	0.648148	0.648148	nan	nan	nan	0	10000	
Zm00001d002217-Zm00001d002231.fasta	2	1773	1359	79	79	79	2	1	1	1	0.058131	0.058131	nan	nan	nan	0	10000	
Zm00001d002217-Zm00001d002232.fasta	2	1773	1362	46	46	46	2	1	1	1	0.0337739	0.0337739	nan	nan	nan	0	10000	
Zm00001d002220-Zm00001d002213.fasta	2	642	210	111	111	111	2	1	1	1	0.528571	0.528571	nan	nan	nan	0	10000	
Zm00001d002220-Zm00001d002227.fasta	0	453	453	0	0	0	1	0	NA	NA	0	0	NA	NA	NA	NA	NA	
Zm00001d002221-Zm00001d002202.fasta	2	543	426	1	1	1	2	1	NA	NA	0.00234742	0.00234742	nan	nan	0.707107	4294967295	10000	
Zm00001d002221-Zm00001d002214.fasta	2	543	543	1	1	1	2	1	NA	NA	0.00184162	0.00184162	nan	nan	0.707107	4294967295	10000	
Zm00001d002221-Zm00001d002228.fasta	2	543	426	1	1	1	2	1	NA	NA	0.00234742	0.00234742	nan	nan	0.707107	4294967295	10000	
Zm00001d002223-Zm00001d002229.fasta	2	576	576	6	6	6	2	1	1	1	0.0104167	0.0104167	nan	nan	nan	0	10000	
Zm00001d002224-Zm00001d002230.fasta	2	681	417	13	13	13	2	1	1	1	0.0311751	0.0311751	nan	nan	nan	0	10000	
Zm00001d002225-Zm00001d002204.fasta	2	1389	645	430	430	430	2	1	1	1	0.666667	0.666667	nan	nan	nan	0	10000	
Zm00001d002225-Zm00001d002211.fasta	2	1371	1368	4	4	4	2	1	1	1	0.00292398	0.00292398	nan	nan	nan	0	10000	
Zm00001d002225-Zm00001d002224.fasta	2	1389	645	431	431	431	2	1	1	1	0.668217	0.668217	nan	nan	nan	0	10000	
Zm00001d002225-Zm00001d002230.fasta	2	1374	432	285	285	285	2	1	1	1	0.659722	0.659722	nan	nan	nan	0	10000	
Zm00001d002225-Zm00001d002231.fasta	2	1371	1365	45	45	45	2	1	1	1	0.032967	0.032967	nan	nan	nan	0	10000	
Zm00001d002225-Zm00001d002232.fasta	2	1371	1368	12	12	12	2	1	1	1	0.00877193	0.00877193	nan	nan	nan	0	10000	
Zm00001d002227-Zm00001d002213.fasta	2	642	210	111	111	111	2	1	1	1	0.528571	0.528571	nan	nan	nan	0	10000	
Zm00001d002228-Zm00001d002202.fasta	2	426	426	2	2	2	2	1	1	1	0.00469484	0.00469484	nan	nan	2	0	10000	
Zm00001d002231-Zm00001d002204.fasta	2	1398	630	419	419	419	2	1	1	1	0.665079	0.665079	nan	nan	nan	0	10000	
Zm00001d002231-Zm00001d002224.fasta	2	1398	630	420	420	420	2	1	1	1	0.666667	0.666667	nan	nan	nan	0	10000	
Zm00001d002231-Zm00001d002230.fasta	2	1368	432	289	289	289	2	1	1	1	0.668981	0.668981	nan	nan	nan	0	10000	
Zm00001d002232-Zm00001d002204.fasta	2	1401	630	417	417	417	2	1	1	1	0.661905	0.661905	nan	nan	nan	0	10000	
Zm00001d002232-Zm00001d002224.fasta	2	1401	630	418	418	418	2	1	1	1	0.663492	0.663492	nan	nan	nan	0	10000	
Zm00001d002232-Zm00001d002230.fasta	2	1371	432	284	284	284	2	1	1	1	0.657407	0.657407	nan	nan	nan	0	10000	
Zm00001d002232-Zm00001d002231.fasta	2	1368	1365	45	45	45	2	1	1	1	0.032967	0.032967	nan	nan	nan	0	10000	
Zm00001d002254-Zm00001d002255.fasta	2	453	342	205	205	205	2	1	1	1	0.599415	0.599415	nan	nan	nan	0	10000	
Zm00001d002261-Zm00001d002260.fasta	2	1452	1179	409	409	409	2	1	1	1	0.346904	0.346904	nan	nan	nan	0	10000	
Zm00001d002282-Zm00001d002283.fasta	2	2601	1086	603	603	603	2	1	1	1	0.555249	0.555249	nan	nan	nan	0	10000	
Zm00001d002287-Zm00001d002282.fasta	2	4026	2109	1276	1276	1276	2	1	1	1	0.605026	0.605026	nan	nan	nan	0	10000	
Zm00001d002287-Zm00001d002283.fasta	2	3735	963	567	567	567	2	1	1	1	0.588785	0.588785	nan	nan	nan	0	10000	
Zm00001d002302-Zm00001d002304.fasta	2	1143	300	51	51	51	2	1	1	1	0.17	0.17	nan	nan	nan	0	10000	
Zm00001d002309-Zm00001d002312.fasta	2	1788	507	337	337	337	2	1	1	1	0.664694	0.664694	nan	nan	nan	0	10000	
Zm00001d002313-Zm00001d002309.fasta	2	1668	558	189	189	189	2	1	1	1	0.33871	0.33871	nan	nan	nan	0	10000	
Zm00001d002313-Zm00001d002312.fasta	2	3096	291	73	73	73	2	1	1	1	0.250859	0.250859	nan	nan	nan	0	10000	
Zm00001d002319-Zm00001d002320.fasta	2	1680	906	593	593	593	2	1	1	1	0.654525	0.654525	nan	nan	nan	0	10000	
Zm00001d002349-Zm00001d002350.fasta	2	2415	1620	588	588	588	2	1	1	1	0.362963	0.362963	nan	nan	nan	0	10000	
Zm00001d002351-Zm00001d002349.fasta	2	2418	1764	601	601	601	2	1	1	1	0.340703	0.340703	nan	nan	nan	0	10000	
Zm00001d002351-Zm00001d002350.fasta	2	1776	1623	173	173	173	2	1	1	1	0.106593	0.106593	nan	nan	nan	0	10000	
Zm00001d002393-Zm00001d002394.fasta	2	228	222	21	21	21	2	1	1	1	0.0945946	0.0945946	nan	nan	nan	0	10000	
Zm00001d002397-Zm00001d002398.fasta	2	711	447	278	278	278	2	1	1	1	0.621924	0.621924	nan	nan	nan	0	10000	
Zm00001d002397-Zm00001d002401.fasta	2	711	447	278	278	278	2	1	1	1	0.621924	0.621924	nan	nan	nan	0	10000	
Zm00001d002398-Zm00001d002401.fasta	0	639	639	0	0	0	1	0	NA	NA	0	0	NA	NA	NA	NA	NA	
