Cluster_0000	Zm00008a037663,Zm00008a037664
Cluster_0089	Zm00008a038599,Zm00008a038598
Cluster_0090	Zm00008a038603,Zm00008a038604
Cluster_0092	Zm00008a038634,Zm00008a038635
Cluster_0096	Zm00008a038672,Zm00008a038673
Cluster_0097	Zm00008a038725,Zm00008a038726
Cluster_0099	Zm00008a038761,Zm00008a038760
Cluster_0101	Zm00008a038781,Zm00008a038782
Cluster_0102	Zm00008a038806,Zm00008a038805
Cluster_0107	Zm00008a038881,Zm00008a038880
Cluster_0111	Zm00008a038897,Zm00008a038898
Cluster_0112	Zm00008a038907,Zm00008a038906
Cluster_0113	Zm00008a038922,Zm00008a038921
Cluster_0115	Zm00008a036295,Zm00008a036294
Cluster_0116	Zm00008a036643,Zm00008a036644
Cluster_0119	Zm00008a036678,Zm00008a036679
Cluster_0120	Zm00008a036680,Zm00008a036681
Cluster_0121	Zm00008a036689,Zm00008a036690
Cluster_0123	Zm00008a036706,Zm00008a036705
Cluster_0125	Zm00008a036712,Zm00008a036713
Cluster_0126	Zm00008a036313,Zm00008a036314
Cluster_0127	Zm00008a036315,Zm00008a036303
Cluster_0128	Zm00008a036318,Zm00008a036316
Cluster_0130	Zm00008a036731,Zm00008a036715
Cluster_0131	Zm00008a036745,Zm00008a036744
Cluster_0132	Zm00008a036753,Zm00008a036752
Cluster_0133	Zm00008a036763,Zm00008a036761
Cluster_0139	Zm00008a036806,Zm00008a036807
Cluster_0140	Zm00008a036342,Zm00008a036343
Cluster_0142	Zm00008a036347,Zm00008a036349
Cluster_0143	Zm00008a036353,Zm00008a036352
Cluster_0144	Zm00008a036829,Zm00008a036826
Cluster_0148	Zm00008a036868,Zm00008a036869
Cluster_0149	Zm00008a036375,Zm00008a036377
Cluster_0150	Zm00008a036882,Zm00008a036884
Cluster_0153	Zm00008a036892,Zm00008a036893
Cluster_0154	Zm00008a036897,Zm00008a036898
Cluster_0155	Zm00008a036902,Zm00008a036900
Cluster_0156	Zm00008a036389,Zm00008a036385
Cluster_0159	Zm00008a036394,Zm00008a036384
Cluster_0161	Zm00008a036939,Zm00008a036940
Cluster_0162	Zm00008a036948,Zm00008a036949
Cluster_0172	Zm00008a037017,Zm00008a037005
Cluster_0173	Zm00008a037018,Zm00008a037026
Cluster_0176	Zm00008a037036,Zm00008a037040
Cluster_0178	Zm00008a037056,Zm00008a037057
Cluster_0179	Zm00008a037070,Zm00008a037062
Cluster_0182	Zm00008a037113,Zm00008a037111
Cluster_0184	Zm00008a037127,Zm00008a037126
Cluster_0185	Zm00008a037128,Zm00008a037131
Cluster_0186	Zm00008a036481,Zm00008a036482
Cluster_0188	Zm00008a037157,Zm00008a037158
Cluster_0192	Zm00008a037205,Zm00008a037206
Cluster_0194	Zm00008a037216,Zm00008a037217
Cluster_0195	Zm00008a036498,Zm00008a036497
Cluster_0196	Zm00008a036271,Zm00008a036270
Cluster_0197	Zm00008a037222,Zm00008a037223
Cluster_0198	Zm00008a037234,Zm00008a037236
Cluster_0200	Zm00008a037252,Zm00008a037253
Cluster_0201	Zm00008a037258,Zm00008a037259
Cluster_0202	Zm00008a037269,Zm00008a037270
Cluster_0204	Zm00008a037281,Zm00008a037287
Cluster_0205	Zm00008a037292,Zm00008a037291
Cluster_0207	Zm00008a037309,Zm00008a037310
Cluster_0208	Zm00008a037317,Zm00008a037316
Cluster_0209	Zm00008a037327,Zm00008a037326
Cluster_0210	Zm00008a037333,Zm00008a037334
Cluster_0211	Zm00008a037338,Zm00008a037337
Cluster_0217	Zm00008a037361,Zm00008a037360
Cluster_0219	Zm00008a036515,Zm00008a036516
Cluster_0221	Zm00008a037389,Zm00008a037388
Cluster_0222	Zm00008a037401,Zm00008a037402
Cluster_0224	Zm00008a037410,Zm00008a037409
Cluster_0225	Zm00008a037418,Zm00008a037434
Cluster_0226	Zm00008a037425,Zm00008a037424
Cluster_0229	Zm00008a037450,Zm00008a037451
Cluster_0232	Zm00008a036522,Zm00008a036524
Cluster_0234	Zm00008a037461,Zm00008a037460
Cluster_0235	Zm00008a037478,Zm00008a037480
Cluster_0241	Zm00008a037535,Zm00008a037536
Cluster_0244	Zm00008a037563,Zm00008a037562
Cluster_0245	Zm00008a037567,Zm00008a037566
Cluster_0248	Zm00008a037572,Zm00008a037573
Cluster_0249	Zm00008a037576,Zm00008a037577
Cluster_0250	Zm00008a037585,Zm00008a037584
Cluster_0251	Zm00008a037589,Zm00008a037590
Cluster_0253	Zm00008a037612,Zm00008a037611
Cluster_0255	Zm00008a037629,Zm00008a037632
Cluster_0256	Zm00008a036552,Zm00008a036551
Cluster_0257	Zm00008a037639,Zm00008a037640
Cluster_0259	Zm00008a037655,Zm00008a037646
Cluster_0260	Zm00008a000324,Zm00008a000325
Cluster_0261	Zm00008a002189,Zm00008a002190
Cluster_0263	Zm00008a002203,Zm00008a002201
Cluster_0265	Zm00008a002219,Zm00008a002218
Cluster_0266	Zm00008a000341,Zm00008a000340
Cluster_0268	Zm00008a002230,Zm00008a002231
Cluster_0269	Zm00008a002237,Zm00008a002238
Cluster_0270	Zm00008a002254,Zm00008a002253
Cluster_0271	Zm00008a000350,Zm00008a000339
Cluster_0273	Zm00008a002274,Zm00008a002275
Cluster_0275	Zm00008a000022,Zm00008a000021
Cluster_0278	Zm00008a002302,Zm00008a002303
Cluster_0279	Zm00008a000364,Zm00008a000363
Cluster_0283	Zm00008a000368,Zm00008a000369
Cluster_0284	Zm00008a002334,Zm00008a002340
Cluster_0287	Zm00008a002346,Zm00008a002347
Cluster_0291	Zm00008a002371,Zm00008a002370
Cluster_0292	Zm00008a002382,Zm00008a002383
Cluster_0293	Zm00008a000387,Zm00008a000388
Cluster_0295	Zm00008a000390,Zm00008a000391
Cluster_0296	Zm00008a002401,Zm00008a002400
Cluster_0297	Zm00008a002409,Zm00008a002410
Cluster_0298	Zm00008a002412,Zm00008a002411
Cluster_0300	Zm00008a002425,Zm00008a002424
Cluster_0301	Zm00008a002427,Zm00008a002429
Cluster_0302	Zm00008a002438,Zm00008a002439
Cluster_0303	Zm00008a002461,Zm00008a002462
Cluster_0304	Zm00008a002468,Zm00008a002467
Cluster_0309	Zm00008a002553,Zm00008a002552
Cluster_0310	Zm00008a002559,Zm00008a002558
Cluster_0312	Zm00008a002568,Zm00008a002567
Cluster_0314	Zm00008a002571,Zm00008a002572
Cluster_0316	Zm00008a002593,Zm00008a002594
Cluster_0317	Zm00008a002598,Zm00008a002599
Cluster_0318	Zm00008a002603,Zm00008a002604
Cluster_0319	Zm00008a000465,Zm00008a000466
Cluster_0321	Zm00008a002647,Zm00008a002648
Cluster_0322	Zm00008a002656,Zm00008a002655
Cluster_0323	Zm00008a002660,Zm00008a002661
Cluster_0324	Zm00008a002662,Zm00008a002663
Cluster_0325	Zm00008a000476,Zm00008a000479
Cluster_0326	Zm00008a002678,Zm00008a002679
Cluster_0329	Zm00008a002690,Zm00008a002691
Cluster_0330	Zm00008a002695,Zm00008a002696
Cluster_0332	Zm00008a002713,Zm00008a002712
Cluster_0333	Zm00008a000034,Zm00008a000035
Cluster_0338	Zm00008a002779,Zm00008a002780
Cluster_0342	Zm00008a000509,Zm00008a000510
Cluster_0346	Zm00008a000036,Zm00008a000040
Cluster_0348	Zm00008a002865,Zm00008a002864
Cluster_0350	Zm00008a002872,Zm00008a002873
Cluster_0351	Zm00008a002876,Zm00008a002875
Cluster_0356	Zm00008a002937,Zm00008a002936
Cluster_0357	Zm00008a002944,Zm00008a002945
Cluster_0362	Zm00008a002991,Zm00008a002992
Cluster_0363	Zm00008a003003,Zm00008a003004
Cluster_0367	Zm00008a003041,Zm00008a003040
Cluster_0372	Zm00008a003062,Zm00008a003061
Cluster_0373	Zm00008a003068,Zm00008a003067
Cluster_0375	Zm00008a000561,Zm00008a000560
Cluster_0376	Zm00008a003086,Zm00008a003087
Cluster_0377	Zm00008a003096,Zm00008a003109
Cluster_0379	Zm00008a003122,Zm00008a003123
Cluster_0382	Zm00008a003135,Zm00008a003134
Cluster_0383	Zm00008a000570,Zm00008a000571
Cluster_0391	Zm00008a003225,Zm00008a003226
Cluster_0392	Zm00008a003231,Zm00008a003230
Cluster_0393	Zm00008a003232,Zm00008a003233
Cluster_0394	Zm00008a003239,Zm00008a003240
Cluster_0395	Zm00008a003243,Zm00008a003242
Cluster_0396	Zm00008a003248,Zm00008a003246
Cluster_0399	Zm00008a003294,Zm00008a003295
Cluster_0401	Zm00008a003315,Zm00008a003316
Cluster_0404	Zm00008a000590,Zm00008a000591
Cluster_0406	Zm00008a003364,Zm00008a003366
Cluster_0408	Zm00008a003369,Zm00008a003370
Cluster_0409	Zm00008a003374,Zm00008a003375
Cluster_0410	Zm00008a003382,Zm00008a003383
Cluster_0411	Zm00008a003404,Zm00008a003403
Cluster_0412	Zm00008a003411,Zm00008a003410
Cluster_0413	Zm00008a003414,Zm00008a003415
Cluster_0414	Zm00008a000601,Zm00008a000600
Cluster_0416	Zm00008a000608,Zm00008a000607
Cluster_0419	Zm00008a000613,Zm00008a000612
Cluster_0420	Zm00008a003503,Zm00008a003504
Cluster_0422	Zm00008a003574,Zm00008a003575
Cluster_0423	Zm00008a003578,Zm00008a003579
Cluster_0424	Zm00008a003581,Zm00008a003582
Cluster_0427	Zm00008a003605,Zm00008a003604
Cluster_0428	Zm00008a003630,Zm00008a003618
Cluster_0429	Zm00008a003631,Zm00008a003637
Cluster_0430	Zm00008a003633,Zm00008a003632
Cluster_0431	Zm00008a003639,Zm00008a003640
Cluster_0433	Zm00008a003648,Zm00008a003649
Cluster_0437	Zm00008a003685,Zm00008a003684
Cluster_0438	Zm00008a003688,Zm00008a003687
Cluster_0439	Zm00008a003705,Zm00008a003704
Cluster_0441	Zm00008a003709,Zm00008a003708
Cluster_0442	Zm00008a003725,Zm00008a003726
Cluster_0444	Zm00008a003735,Zm00008a003734
Cluster_0445	Zm00008a003746,Zm00008a003745
Cluster_0446	Zm00008a003770,Zm00008a003769
Cluster_0448	Zm00008a003795,Zm00008a003796
Cluster_0450	Zm00008a003829,Zm00008a003830
Cluster_0452	Zm00008a003845,Zm00008a003843
Cluster_0454	Zm00008a003872,Zm00008a003868
Cluster_0455	Zm00008a003882,Zm00008a003881
Cluster_0456	Zm00008a003884,Zm00008a003883
Cluster_0460	Zm00008a003934,Zm00008a003935
Cluster_0461	Zm00008a003940,Zm00008a003941
Cluster_0462	Zm00008a003950,Zm00008a003951
Cluster_0463	Zm00008a003959,Zm00008a003960
Cluster_0464	Zm00008a003974,Zm00008a003973
Cluster_0466	Zm00008a003997,Zm00008a003996
Cluster_0467	Zm00008a004002,Zm00008a004003
Cluster_0469	Zm00008a004011,Zm00008a004010
Cluster_0473	Zm00008a004046,Zm00008a004045
Cluster_0476	Zm00008a004076,Zm00008a004074
Cluster_0477	Zm00008a004093,Zm00008a004094
Cluster_0479	Zm00008a004127,Zm00008a004126
Cluster_0481	Zm00008a004167,Zm00008a004168
Cluster_0485	Zm00008a004199,Zm00008a004200
Cluster_0489	Zm00008a004215,Zm00008a004214
Cluster_0490	Zm00008a004216,Zm00008a004217
Cluster_0491	Zm00008a004219,Zm00008a004220
Cluster_0492	Zm00008a004234,Zm00008a004233
Cluster_0493	Zm00008a004247,Zm00008a004246
Cluster_0495	Zm00008a004255,Zm00008a004254
Cluster_0496	Zm00008a004281,Zm00008a004280
Cluster_0498	Zm00008a004298,Zm00008a004297
Cluster_0500	Zm00008a004317,Zm00008a004318
Cluster_0502	Zm00008a000715,Zm00008a000714
Cluster_0503	Zm00008a004333,Zm00008a004335
Cluster_0505	Zm00008a004350,Zm00008a004351
Cluster_0506	Zm00008a004353,Zm00008a004367
Cluster_0507	Zm00008a004360,Zm00008a004361
Cluster_0508	Zm00008a004368,Zm00008a004369
Cluster_0509	Zm00008a004375,Zm00008a004374
Cluster_0510	Zm00008a004384,Zm00008a004385
Cluster_0511	Zm00008a004391,Zm00008a004392
Cluster_0512	Zm00008a004406,Zm00008a004410
Cluster_0517	Zm00008a004448,Zm00008a004447
Cluster_0518	Zm00008a000057,Zm00008a000056
Cluster_0522	Zm00008a004504,Zm00008a004505
Cluster_0526	Zm00008a004518,Zm00008a004519
Cluster_0527	Zm00008a004524,Zm00008a004523
Cluster_0529	Zm00008a004529,Zm00008a004530
Cluster_0530	Zm00008a004540,Zm00008a004539
Cluster_0535	Zm00008a004594,Zm00008a004589
Cluster_0539	Zm00008a004620,Zm00008a004619
Cluster_0541	Zm00008a004669,Zm00008a004670
Cluster_0542	Zm00008a004680,Zm00008a004679
Cluster_0543	Zm00008a004684,Zm00008a004686
Cluster_0545	Zm00008a004695,Zm00008a004694
Cluster_0546	Zm00008a004701,Zm00008a004702
Cluster_0547	Zm00008a004703,Zm00008a004704
Cluster_0548	Zm00008a004717,Zm00008a004718
Cluster_0551	Zm00008a004737,Zm00008a004736
Cluster_0554	Zm00008a004784,Zm00008a004783
Cluster_0555	Zm00008a004791,Zm00008a004792
Cluster_0556	Zm00008a004796,Zm00008a004797
Cluster_0559	Zm00008a004819,Zm00008a004820
Cluster_0563	Zm00008a000769,Zm00008a000770
Cluster_0567	Zm00008a004906,Zm00008a004907
Cluster_0568	Zm00008a000779,Zm00008a000780
Cluster_0569	Zm00008a004923,Zm00008a004924
Cluster_0570	Zm00008a004933,Zm00008a004932
Cluster_0572	Zm00008a004950,Zm00008a004951
Cluster_0574	Zm00008a004976,Zm00008a004977
Cluster_0575	Zm00008a004979,Zm00008a004981
Cluster_0578	Zm00008a005001,Zm00008a005002
Cluster_0580	Zm00008a005039,Zm00008a005038
Cluster_0582	Zm00008a000795,Zm00008a000796
Cluster_0584	Zm00008a000801,Zm00008a000802
Cluster_0585	Zm00008a005131,Zm00008a005130
Cluster_0586	Zm00008a005134,Zm00008a005133
Cluster_0587	Zm00008a005148,Zm00008a005149
Cluster_0589	Zm00008a005172,Zm00008a005173
Cluster_0590	Zm00008a005175,Zm00008a005176
Cluster_0591	Zm00008a005185,Zm00008a005184
Cluster_0592	Zm00008a005186,Zm00008a005187
Cluster_0593	Zm00008a005192,Zm00008a005193
Cluster_0594	Zm00008a005196,Zm00008a005197
Cluster_0595	Zm00008a005202,Zm00008a005203
Cluster_0598	Zm00008a005213,Zm00008a005218
Cluster_0599	Zm00008a005222,Zm00008a005221
Cluster_0600	Zm00008a005224,Zm00008a005226
Cluster_0603	Zm00008a005240,Zm00008a005246
Cluster_0605	Zm00008a000810,Zm00008a000811
Cluster_0606	Zm00008a005261,Zm00008a005262
Cluster_0607	Zm00008a005269,Zm00008a005271
Cluster_0609	Zm00008a005283,Zm00008a005274
Cluster_0612	Zm00008a005336,Zm00008a005337
Cluster_0613	Zm00008a005339,Zm00008a005338
Cluster_0615	Zm00008a000822,Zm00008a000827
Cluster_0616	Zm00008a005397,Zm00008a005396
Cluster_0617	Zm00008a005399,Zm00008a005400
Cluster_0618	Zm00008a005424,Zm00008a005422
Cluster_0620	Zm00008a005438,Zm00008a005437
Cluster_0621	Zm00008a005443,Zm00008a005445
Cluster_0622	Zm00008a005453,Zm00008a005455
Cluster_0624	Zm00008a005462,Zm00008a005461
Cluster_0631	Zm00008a005523,Zm00008a005519
Cluster_0632	Zm00008a005531,Zm00008a005532
Cluster_0634	Zm00008a005541,Zm00008a005540
Cluster_0637	Zm00008a005564,Zm00008a005565
Cluster_0640	Zm00008a005620,Zm00008a005622
Cluster_0641	Zm00008a005636,Zm00008a005634
Cluster_0642	Zm00008a005638,Zm00008a005637
Cluster_0644	Zm00008a000851,Zm00008a000852
Cluster_0645	Zm00008a005660,Zm00008a005661
Cluster_0647	Zm00008a005676,Zm00008a005677
Cluster_0650	Zm00008a005707,Zm00008a005706
Cluster_0651	Zm00008a005714,Zm00008a005715
Cluster_0652	Zm00008a005717,Zm00008a005718
Cluster_0653	Zm00008a000853,Zm00008a000854
Cluster_0655	Zm00008a005729,Zm00008a005728
Cluster_0656	Zm00008a005733,Zm00008a005734
Cluster_0659	Zm00008a005747,Zm00008a005748
Cluster_0660	Zm00008a005768,Zm00008a005769
Cluster_0661	Zm00008a005783,Zm00008a005782
Cluster_0662	Zm00008a000857,Zm00008a000858
Cluster_0664	Zm00008a005827,Zm00008a005826
Cluster_0666	Zm00008a000864,Zm00008a000863
Cluster_0667	Zm00008a005841,Zm00008a005842
Cluster_0670	Zm00008a005872,Zm00008a005873
Cluster_0671	Zm00008a005877,Zm00008a005880
Cluster_0673	Zm00008a005892,Zm00008a005893
Cluster_0675	Zm00008a000870,Zm00008a000869
Cluster_0676	Zm00008a000873,Zm00008a000872
Cluster_0678	Zm00008a000916,Zm00008a000915
Cluster_0679	Zm00008a000917,Zm00008a000918
Cluster_0680	Zm00008a000937,Zm00008a000936
Cluster_0681	Zm00008a000958,Zm00008a000959
Cluster_0684	Zm00008a000982,Zm00008a000983
Cluster_0685	Zm00008a000988,Zm00008a000987
Cluster_0686	Zm00008a000997,Zm00008a000996
Cluster_0688	Zm00008a001008,Zm00008a001009
Cluster_0689	Zm00008a000106,Zm00008a000105
Cluster_0692	Zm00008a001079,Zm00008a001080
Cluster_0693	Zm00008a001083,Zm00008a001084
Cluster_0695	Zm00008a001105,Zm00008a001104
Cluster_0697	Zm00008a001120,Zm00008a001121
Cluster_0698	Zm00008a000127,Zm00008a000128
Cluster_0699	Zm00008a001134,Zm00008a001135
Cluster_0700	Zm00008a001144,Zm00008a001145
Cluster_0701	Zm00008a001152,Zm00008a001138
Cluster_0702	Zm00008a001187,Zm00008a001202
Cluster_0703	Zm00008a001198,Zm00008a001199
Cluster_0704	Zm00008a001204,Zm00008a001205
Cluster_0705	Zm00008a001211,Zm00008a001210
Cluster_0706	Zm00008a001225,Zm00008a001230
Cluster_0707	Zm00008a001226,Zm00008a001227
Cluster_0708	Zm00008a001238,Zm00008a001244
Cluster_0709	Zm00008a001248,Zm00008a001246
Cluster_0712	Zm00008a001281,Zm00008a001280
Cluster_0715	Zm00008a000150,Zm00008a000156
Cluster_0716	Zm00008a001297,Zm00008a001298
Cluster_0717	Zm00008a000158,Zm00008a000159
Cluster_0719	Zm00008a001371,Zm00008a001372
Cluster_0720	Zm00008a001374,Zm00008a001373
Cluster_0721	Zm00008a001380,Zm00008a001381
Cluster_0722	Zm00008a001395,Zm00008a001396
Cluster_0725	Zm00008a000178,Zm00008a000179
Cluster_0726	Zm00008a001433,Zm00008a001434
Cluster_0728	Zm00008a001443,Zm00008a001442
Cluster_0731	Zm00008a001460,Zm00008a001461
Cluster_0732	Zm00008a001472,Zm00008a001473
Cluster_0734	Zm00008a001482,Zm00008a001496
Cluster_0736	Zm00008a001507,Zm00008a001508
Cluster_0738	Zm00008a001524,Zm00008a001525
Cluster_0739	Zm00008a001532,Zm00008a001533
Cluster_0741	Zm00008a001555,Zm00008a001554
Cluster_0742	Zm00008a001562,Zm00008a001563
Cluster_0744	Zm00008a001571,Zm00008a001572
Cluster_0751	Zm00008a001643,Zm00008a001642
Cluster_0752	Zm00008a000212,Zm00008a000213
Cluster_0753	Zm00008a001644,Zm00008a001646
Cluster_0754	Zm00008a001648,Zm00008a001647
Cluster_0757	Zm00008a001672,Zm00008a001671
Cluster_0758	Zm00008a001700,Zm00008a001699
Cluster_0760	Zm00008a001704,Zm00008a001705
Cluster_0761	Zm00008a001706,Zm00008a001707
Cluster_0763	Zm00008a001734,Zm00008a001733
Cluster_0764	Zm00008a000228,Zm00008a000229
Cluster_0767	Zm00008a000234,Zm00008a000235
Cluster_0770	Zm00008a001798,Zm00008a001789
Cluster_0777	Zm00008a001838,Zm00008a001837
Cluster_0779	Zm00008a000250,Zm00008a000251
Cluster_0782	Zm00008a001862,Zm00008a001858
Cluster_0783	Zm00008a001868,Zm00008a001869
Cluster_0784	Zm00008a000257,Zm00008a000256
Cluster_0787	Zm00008a001922,Zm00008a001921
Cluster_0789	Zm00008a001946,Zm00008a001945
Cluster_0792	Zm00008a001987,Zm00008a001999
Cluster_0795	Zm00008a002009,Zm00008a002008
Cluster_0796	Zm00008a002013,Zm00008a002012
Cluster_0797	Zm00008a002016,Zm00008a002017
Cluster_0799	Zm00008a002028,Zm00008a002029
Cluster_0800	Zm00008a002031,Zm00008a002030
Cluster_0801	Zm00008a000296,Zm00008a000297
Cluster_0803	Zm00008a002064,Zm00008a002065
Cluster_0807	Zm00008a000304,Zm00008a000305
Cluster_0808	Zm00008a000308,Zm00008a000309
Cluster_0810	Zm00008a000319,Zm00008a000318
Cluster_0811	Zm00008a002152,Zm00008a002151
Cluster_0813	Zm00008a002176,Zm00008a002177
Cluster_0814	Zm00008a006329,Zm00008a006330
Cluster_0816	Zm00008a007840,Zm00008a007839
Cluster_0817	Zm00008a007844,Zm00008a007843
Cluster_0818	Zm00008a007849,Zm00008a007848
Cluster_0819	Zm00008a007858,Zm00008a007859
Cluster_0821	Zm00008a006348,Zm00008a006349
Cluster_0827	Zm00008a006356,Zm00008a006357
Cluster_0829	Zm00008a007902,Zm00008a007901
Cluster_0832	Zm00008a007910,Zm00008a007896
Cluster_0833	Zm00008a007912,Zm00008a007911
Cluster_0835	Zm00008a007941,Zm00008a007940
Cluster_0837	Zm00008a006381,Zm00008a006380
Cluster_0838	Zm00008a007967,Zm00008a007966
Cluster_0842	Zm00008a006389,Zm00008a006390
Cluster_0844	Zm00008a006393,Zm00008a006392
Cluster_0846	Zm00008a008018,Zm00008a008019
Cluster_0848	Zm00008a006400,Zm00008a006409
Cluster_0849	Zm00008a006406,Zm00008a006419
Cluster_0851	Zm00008a006408,Zm00008a006407
Cluster_0853	Zm00008a008044,Zm00008a008045
Cluster_0854	Zm00008a005924,Zm00008a005923
Cluster_0855	Zm00008a008053,Zm00008a008052
Cluster_0856	Zm00008a006422,Zm00008a006423
Cluster_0858	Zm00008a006433,Zm00008a006432
Cluster_0859	Zm00008a008087,Zm00008a008086
Cluster_0862	Zm00008a008104,Zm00008a008108
Cluster_0863	Zm00008a008106,Zm00008a008105
Cluster_0864	Zm00008a006451,Zm00008a006450
Cluster_0865	Zm00008a008125,Zm00008a008124
Cluster_0866	Zm00008a006453,Zm00008a006454
Cluster_0867	Zm00008a008126,Zm00008a008127
Cluster_0868	Zm00008a008132,Zm00008a008131
Cluster_0870	Zm00008a006460,Zm00008a006461
Cluster_0871	Zm00008a006466,Zm00008a006467
Cluster_0876	Zm00008a008177,Zm00008a008176
Cluster_0877	Zm00008a008180,Zm00008a008179
Cluster_0878	Zm00008a008183,Zm00008a008182
Cluster_0879	Zm00008a008184,Zm00008a008185
Cluster_0880	Zm00008a008192,Zm00008a008193
Cluster_0884	Zm00008a008227,Zm00008a008228
Cluster_0885	Zm00008a005941,Zm00008a005940
Cluster_0886	Zm00008a008257,Zm00008a008256
Cluster_0888	Zm00008a006494,Zm00008a006495
Cluster_0890	Zm00008a008327,Zm00008a008326
Cluster_0891	Zm00008a008329,Zm00008a008328
Cluster_0892	Zm00008a008331,Zm00008a008330
Cluster_0893	Zm00008a006513,Zm00008a006512
Cluster_0894	Zm00008a008335,Zm00008a008322
Cluster_0895	Zm00008a006517,Zm00008a006518
Cluster_0896	Zm00008a008352,Zm00008a008351
Cluster_0897	Zm00008a008354,Zm00008a008355
Cluster_0898	Zm00008a008365,Zm00008a008369
Cluster_0899	Zm00008a008368,Zm00008a008367
Cluster_0900	Zm00008a006524,Zm00008a006525
Cluster_0901	Zm00008a008405,Zm00008a008407
Cluster_0902	Zm00008a008410,Zm00008a008411
Cluster_0903	Zm00008a008416,Zm00008a008417
Cluster_0904	Zm00008a008426,Zm00008a008427
Cluster_0906	Zm00008a008457,Zm00008a008455
Cluster_0907	Zm00008a008466,Zm00008a008469
Cluster_0908	Zm00008a008478,Zm00008a008477
Cluster_0909	Zm00008a008480,Zm00008a008481
Cluster_0910	Zm00008a008490,Zm00008a008498
Cluster_0912	Zm00008a008521,Zm00008a008522
Cluster_0913	Zm00008a006552,Zm00008a006551
Cluster_0914	Zm00008a008528,Zm00008a008527
Cluster_0916	Zm00008a008536,Zm00008a008535
Cluster_0917	Zm00008a008545,Zm00008a008546
Cluster_0918	Zm00008a008565,Zm00008a008564
Cluster_0919	Zm00008a008574,Zm00008a008568
Cluster_0920	Zm00008a006565,Zm00008a006566
Cluster_0922	Zm00008a008588,Zm00008a008587
Cluster_0923	Zm00008a006571,Zm00008a006569
Cluster_0928	Zm00008a008638,Zm00008a008637
Cluster_0931	Zm00008a008665,Zm00008a008666
Cluster_0933	Zm00008a008679,Zm00008a008680
Cluster_0934	Zm00008a008692,Zm00008a008691
Cluster_0935	Zm00008a008715,Zm00008a008707
Cluster_0936	Zm00008a008729,Zm00008a008728
Cluster_0938	Zm00008a008761,Zm00008a008762
Cluster_0940	Zm00008a006598,Zm00008a006599
Cluster_0941	Zm00008a006603,Zm00008a006601
Cluster_0942	Zm00008a005956,Zm00008a005955
Cluster_0943	Zm00008a008806,Zm00008a008807
