GenesInCluster	Lengths	NumExons	WithTE	NumExonTE	NumExonWOTE	LengthsWithTE	LengthsWOTE	TEsRepresented
Zm00008a001144,Zm00008a001145	6511,2086	16,8	NA	NA	16,8	NA	6511,2086	NA
Zm00008a001187,Zm00008a001202	3589,2638	10,6	NA	NA	10,6	NA	3589,2638	NA
Zm00008a001249,Zm00008a001250	962,559	2,2	NA	NA	2,2	NA	962,559	NA
Zm00008a001268,Zm00008a001269	386,391	2,2	NA	NA	2,2	NA	386,391	NA
Zm00008a001288,Zm00008a001290	1805,31954	1,2	NA	NA	1,2	NA	1805,31954	NA
Zm00008a001331,Zm00008a001332	5861,3523	5,7	NA	NA	5,7	NA	5861,3523	NA
Zm00008a001387,Zm00008a001398	1354,7201	4,13	NA	NA	4,13	NA	1354,7201	NA
Zm00008a001393,Zm00008a001394	2551,566	3,1	NA	NA	3,1	NA	2551,566	NA
Zm00008a001438,Zm00008a001440	486,512	2,1	NA	NA	2,1	NA	486,512	NA
Zm00008a001447,Zm00008a001449	798,978	2,2	NA	NA	2,2	NA	798,978	NA
Zm00008a001454,Zm00008a001455	704,1016	1,1	NA	NA	1,1	NA	704,1016	NA
Zm00008a001482,Zm00008a001496	4633,3937	12,8	NA	NA	12,8	NA	4633,3937	NA
Zm00008a001502,Zm00008a001503,Zm00008a001512	2273,3309,2268	4,3,4	NA	NA	4,3,4	NA	2273,3309,2268	NA
Zm00008a001514,Zm00008a001515	2969,9541	4,11	NA	NA	4,11	NA	2969,9541	NA
Zm00008a001532,Zm00008a001533	4003,1416	8,6	NA	NA	8,6	NA	4003,1416	NA
Zm00008a001538,Zm00008a001539	1696,1754	3,4	NA	NA	3,4	NA	1696,1754	NA
Zm00008a001574,Zm00008a001575,Zm00008a001578,Zm00008a001579	1508,1025,1155,1101	2,2,2,2	NA	NA	2,2,2,2	NA	1508,1025,1155,1101	NA
Zm00008a001590,Zm00008a001592,Zm00008a001593	2521,2533,2022	5,5,4	NA	NA	5,5,4	NA	2521,2533,2022	NA
Zm00008a001591,Zm00008a001594	2099,1225	4,3	NA	NA	4,3	NA	2099,1225	NA
Zm00008a001607,Zm00008a001611,Zm00008a001612	2666,3972,18848	3,2,5	NA	NA	3,2,5	NA	2666,3972,18848	NA
Zm00008a001609,Zm00008a001613	62873,5222	7,3	NA	NA	7,3	NA	62873,5222	NA
Zm00008a001636,Zm00008a001638,Zm00008a001639	2042,2026,6790	2,3,3	NA	NA	2,3,3	NA	2042,2026,6790	NA
Zm00008a001644,Zm00008a001646	4368,2129	5,5	NA	NA	5,5	NA	4368,2129	NA
Zm00008a001651,Zm00008a001652,Zm00008a001653	2638,1920,1665	5,4,4	NA	NA	5,4,4	NA	2638,1920,1665	NA
Zm00008a001664,Zm00008a001665	11843,793	7,2	NA	NA	7,2	NA	11843,793	NA
Zm00008a001702,Zm00008a001703	4537,3176	4,4	NA	NA	4,4	NA	4537,3176	NA
Zm00008a001717,Zm00008a001718,Zm00008a001720	23706,1007,3197	2,2,7	NA	NA	2,2,7	NA	23706,1007,3197	NA
Zm00008a001757,Zm00008a001758	1102,1380	2,2	NA	NA	2,2	NA	1102,1380	NA
Zm00008a001806,Zm00008a001807	2496,10801	3,3	NA	NA	3,3	NA	2496,10801	NA
Zm00008a001811,Zm00008a001812,Zm00008a001816,Zm00008a001817	1205,8511,1214,815	1,3,1,1	NA	NA	1,3,1,1	NA	1205,8511,1214,815	NA
Zm00008a001819,Zm00008a001821,Zm00008a001822	485,695,4499	1,1,2	NA	NA	1,1,2	NA	485,695,4499	NA
Zm00008a001848,Zm00008a001850,Zm00008a001852	2903,460,383	2,2,2	NA	NA	2,2,2	NA	2903,460,383	NA
Zm00008a001857,Zm00008a001860	776,260	1,1	NA	NA	1,1	NA	776,260	NA
Zm00008a001859,Zm00008a001861	630,6114	3,3	NA	NA	3,3	NA	630,6114	NA
Zm00008a001897,Zm00008a001899,Zm00008a001900,Zm00008a001901,Zm00008a001902,Zm00008a001904,Zm00008a001905,Zm00008a001906,Zm00008a001907,Zm00008a001910	1204,849,2057,862,1192,1749,818,1097,984,1253	2,2,2,2,2,2,1,2,2,2	NA	NA	2,2,2,2,2,2,1,2,2,2	NA	1204,849,2057,862,1192,1749,818,1097,984,1253	NA
Zm00008a001968,Zm00008a001970,Zm00008a001972,Zm00008a001978	887,8388,389,860	1,2,1,1	NA	NA	1,2,1,1	NA	887,8388,389,860	NA
Zm00008a001969,Zm00008a001971,Zm00008a001973,Zm00008a001979	398,845,281,1092	1,3,1,3	NA	NA	1,3,1,3	NA	398,845,281,1092	NA
Zm00008a001987,Zm00008a001999	1622,662	3,1	NA	NA	3,1	NA	1622,662	NA
Zm00008a002028,Zm00008a002029	5832,401	2,1	NA	NA	2,1	NA	5832,401	NA
Zm00008a002056,Zm00008a002057,Zm00008a002058,Zm00008a002059,Zm00008a002061	1776,1273,1673,49066,1017	4,4,4,5,3	NA	NA	4,4,4,5,3	NA	1776,1273,1673,49066,1017	NA
Zm00008a002067,Zm00008a002071	2477,2380	6,7	NA	NA	6,7	NA	2477,2380	NA
Zm00008a002072,Zm00008a002073	3923,2346	4,5	NA	NA	4,5	NA	3923,2346	NA
Zm00008a002078,Zm00008a002079	383,25641	2,2	NA	NA	2,2	NA	383,25641	NA
Zm00008a002121,Zm00008a002122,Zm00008a002123	227,218,998	1,1,3	NA	NA	1,1,3	NA	227,218,998	NA
Zm00008a002166,Zm00008a002170	5847,5490	12,3	NA	NA	12,3	NA	5847,5490	NA
Zm00008a002201,Zm00008a002203	3174,4068	3,3	NA	NA	3,3	NA	3174,4068	NA
Zm00008a002226,Zm00008a002228	2832,12395	8,8	NA	NA	8,8	NA	2832,12395	NA
Zm00008a002253,Zm00008a002254	2488,4295	3,6	NA	NA	3,6	NA	2488,4295	NA
Zm00008a002271,Zm00008a002279	1024,1235	5,1	NA	NA	5,1	NA	1024,1235	NA
Zm00008a002291,Zm00008a002299	2756,2005	4,2	NA	NA	4,2	NA	2756,2005	NA
Zm00008a002295,Zm00008a002296	35023,3030	7,5	NA	NA	7,5	NA	35023,3030	NA
Zm00008a002315,Zm00008a002324	1420,2526	3,4	NA	NA	3,4	NA	1420,2526	NA
Zm00008a002316,Zm00008a002317,Zm00008a002318,Zm00008a002320,Zm00008a002321	2124,3784,2912,5575,2010	4,5,5,6,4	NA	NA	4,5,5,6,4	NA	2124,3784,2912,5575,2010	NA
Zm00008a002334,Zm00008a002340	9795,1661	2,2	NA	NA	2,2	NA	9795,1661	NA
Zm00008a002353,Zm00008a002361	3654,9193	8,9	NA	NA	8,9	NA	3654,9193	NA
Zm00008a002354,Zm00008a002362,Zm00008a002363	14641,6109,17016	12,17,27	NA	NA	12,17,27	NA	14641,6109,17016	NA
Zm00008a002370,Zm00008a002371	492,1503	2,4	NA	NA	2,4	NA	492,1503	NA
Zm00008a002382,Zm00008a002383	2310,1949	4,3	NA	NA	4,3	NA	2310,1949	NA
Zm00008a002384,Zm00008a002389	967,1035	2,2	NA	NA	2,2	NA	967,1035	NA
Zm00008a002402,Zm00008a002403	950,1832	1,3	NA	NA	1,3	NA	950,1832	NA
Zm00008a002411,Zm00008a002412	1256,1098	2,2	NA	NA	2,2	NA	1256,1098	NA
Zm00008a002414,Zm00008a002416	6308,3934	7,10	NA	NA	7,10	NA	6308,3934	NA
Zm00008a002470,Zm00008a002491	6866,4008	12,7	NA	NA	12,7	NA	6866,4008	NA
Zm00008a002479,Zm00008a002490	1012,8016	4,4	NA	NA	4,4	NA	1012,8016	NA
Zm00008a002481,Zm00008a002488	2425,9597	7,6	NA	NA	7,6	NA	2425,9597	NA
Zm00008a002496,Zm00008a002497	3311,464	2,1	NA	NA	2,1	NA	3311,464	NA
Zm00008a002570,Zm00008a002577	624,621	4,4	NA	NA	4,4	NA	624,621	NA
Zm00008a002673,Zm00008a002674	6545,586	3,2	NA	NA	3,2	NA	6545,586	NA
Zm00008a002684,Zm00008a002687	2512,8924	5,6	NA	NA	5,6	NA	2512,8924	NA
Zm00008a002685,Zm00008a002686	3115,2477	6,4	NA	NA	6,4	NA	3115,2477	NA
Zm00008a002753,Zm00008a002761	3623,6789	6,7	NA	NA	6,7	NA	3623,6789	NA
Zm00008a002754,Zm00008a002757,Zm00008a002765	11548,5412,7823	6,5,7	NA	NA	6,5,7	NA	11548,5412,7823	NA
Zm00008a002774,Zm00008a002781,Zm00008a002785,Zm00008a002787	1092,1699,1675,6942	2,2,2,3	NA	NA	2,2,2,3	NA	1092,1699,1675,6942	NA
Zm00008a002795,Zm00008a002798	11336,3768	4,4	NA	NA	4,4	NA	11336,3768	NA
Zm00008a002821,Zm00008a002822	2808,3212	5,3	NA	NA	5,3	NA	2808,3212	NA
Zm00008a002834,Zm00008a002837	9252,5145	5,7	NA	NA	5,7	NA	9252,5145	NA
Zm00008a003015,Zm00008a003017,Zm00008a003018,Zm00008a003021	515,25363,56978,524	1,3,3,1	NA	NA	1,3,3,1	NA	515,25363,56978,524	NA
Zm00008a003045,Zm00008a003046,Zm00008a003047	485,4809,395	1,3,2	NA	NA	1,3,2	NA	485,4809,395	NA
Zm00008a003051,Zm00008a003052	1556,2407	4,4	NA	NA	4,4	NA	1556,2407	NA
Zm00008a003067,Zm00008a003068	1589,1595	1,1	NA	NA	1,1	NA	1589,1595	NA
Zm00008a003125,Zm00008a003127	8036,8032	15,16	NA	NA	15,16	NA	8036,8032	NA
Zm00008a003126,Zm00008a003128	1832,2886	4,5	NA	NA	4,5	NA	1832,2886	NA
Zm00008a003129,Zm00008a003130	973,11581	3,3	NA	NA	3,3	NA	973,11581	NA
Zm00008a003154,Zm00008a003163,Zm00008a003168,Zm00008a003175,Zm00008a003183,Zm00008a003192,Zm00008a003198	2742,7507,2913,4485,3720,3708,2968	2,4,4,5,6,5,4	NA	NA	2,4,4,5,6,5,4	NA	2742,7507,2913,4485,3720,3708,2968	NA
Zm00008a003156,Zm00008a003158,Zm00008a003160	1407,1349,1399	3,3,3	NA	NA	3,3,3	NA	1407,1349,1399	NA
Zm00008a003161,Zm00008a003167,Zm00008a003174,Zm00008a003181,Zm00008a003190,Zm00008a003195	2283,1127,1314,1300,1613,1303	3,1,3,2,3,2	NA	NA	3,1,3,2,3,2	NA	2283,1127,1314,1300,1613,1303	NA
Zm00008a003170,Zm00008a003176,Zm00008a003191,Zm00008a003197,Zm00008a003199,Zm00008a003200	703,1351,1330,1258,990,5196	2,2,2,2,2,2	NA	NA	2,2,2,2,2,2	NA	703,1351,1330,1258,990,5196	NA
Zm00008a003172,Zm00008a003179,Zm00008a003188	584,2727,7010	1,4,3	NA	NA	1,4,3	NA	584,2727,7010	NA
Zm00008a003173,Zm00008a003180,Zm00008a003194	1862,1485,1413	3,4,2	NA	NA	3,4,2	NA	1862,1485,1413	NA
Zm00008a003220,Zm00008a003221,Zm00008a003222	368,8372,1092	1,3,2	NA	NA	1,3,2	NA	368,8372,1092	NA
Zm00008a003265,Zm00008a003266,Zm00008a003267	587,31899,2580	1,6,2	NA	NA	1,6,2	NA	587,31899,2580	NA
Zm00008a003303,Zm00008a003304,Zm00008a003305	932,482,685	2,1,3	NA	NA	2,1,3	NA	932,482,685	NA
Zm00008a003306,Zm00008a003307,Zm00008a003308	1321,1428,6214	3,3,5	NA	NA	3,3,5	NA	1321,1428,6214	NA
Zm00008a003336,Zm00008a003337	977,1726	3,2	NA	NA	3,2	NA	977,1726	NA
Zm00008a003366,Zm00008a003367	1866,2996	2,2	NA	NA	2,2	NA	1866,2996	NA
Zm00008a003374,Zm00008a003375	12875,2961	7,7	NA	NA	7,7	NA	12875,2961	NA
Zm00008a003480,Zm00008a003482	642,983	2,1	NA	NA	2,1	NA	642,983	NA
Zm00008a003488,Zm00008a003489,Zm00008a003490,Zm00008a003491	1698,2069,5398,3096	4,4,6,6	NA	NA	4,4,6,6	NA	1698,2069,5398,3096	NA
Zm00008a003544,Zm00008a003545	809,767	1,1	NA	NA	1,1	NA	809,767	NA
Zm00008a003574,Zm00008a003575	4103,2270	5,2	NA	NA	5,2	NA	4103,2270	NA
Zm00008a003592,Zm00008a003602	1023,7768	2,2	NA	NA	2,2	NA	1023,7768	NA
Zm00008a003595,Zm00008a003597	8078,4064	7,8	NA	NA	7,8	NA	8078,4064	NA
Zm00008a003618,Zm00008a003630	945,5321	2,3	NA	NA	2,3	NA	945,5321	NA
Zm00008a003645,Zm00008a003646	674,560	1,1	NA	NA	1,1	NA	674,560	NA
Zm00008a003650,Zm00008a003651	4699,973	3,3	NA	NA	3,3	NA	4699,973	NA
Zm00008a003678,Zm00008a003680,Zm00008a003682	416,395,401	1,1,1	NA	NA	1,1,1	NA	416,395,401	NA
Zm00008a003748,Zm00008a003753,Zm00008a003773	1139,1202,1618	3,3,2	NA	NA	3,3,2	NA	1139,1202,1618	NA
Zm00008a003843,Zm00008a003845	773,14755	1,2	NA	NA	1,2	NA	773,14755	NA
Zm00008a003940,Zm00008a003941	1818,1092	4,2	NA	NA	4,2	NA	1818,1092	NA
Zm00008a003986,Zm00008a003987,Zm00008a003994	1581,1592,3269	2,1,3	NA	NA	2,1,3	NA	1581,1592,3269	NA
Zm00008a004010,Zm00008a004011	753,1148	2,1	NA	NA	2,1	NA	753,1148	NA
Zm00008a004036,Zm00008a004038	501,501	2,2	NA	NA	2,2	NA	501,501	NA
Zm00008a004045,Zm00008a004046	2955,4265	2,4	NA	NA	2,4	NA	2955,4265	NA
Zm00008a004058,Zm00008a004063	3172,3550	5,6	NA	NA	5,6	NA	3172,3550	NA
Zm00008a004059,Zm00008a004064	477,6034	2,5	NA	NA	2,5	NA	477,6034	NA
Zm00008a004060,Zm00008a004065	3495,3400	5,5	NA	NA	5,5	NA	3495,3400	NA
Zm00008a004093,Zm00008a004094	10823,2639	13,11	NA	NA	13,11	NA	10823,2639	NA
Zm00008a004108,Zm00008a004110,Zm00008a004111,Zm00008a004112,Zm00008a004113,Zm00008a004114,Zm00008a004115	10843,999,428,4107,996,10083,577	2,3,1,4,2,3,2	NA	NA	2,3,1,4,2,3,2	NA	10843,999,428,4107,996,10083,577	NA
Zm00008a004167,Zm00008a004168,Zm00008a004169	3421,3187,2250	6,7,2	NA	NA	6,7,2	NA	3421,3187,2250	NA
Zm00008a004190,Zm00008a004192	4257,1819	3,2	NA	NA	3,2	NA	4257,1819	NA
Zm00008a004214,Zm00008a004215	3964,4434	4,3	NA	NA	4,3	NA	3964,4434	NA
Zm00008a004216,Zm00008a004217	4419,3396	3,2	NA	NA	3,2	NA	4419,3396	NA
Zm00008a004219,Zm00008a004220	43612,5841	2,4	NA	NA	2,4	NA	43612,5841	NA
Zm00008a004248,Zm00008a004250,Zm00008a004253	1454,12242,1565	2,3,1	NA	NA	2,3,1	NA	1454,12242,1565	NA
Zm00008a004280,Zm00008a004281	1594,1838	2,2	NA	NA	2,2	NA	1594,1838	NA
Zm00008a004294,Zm00008a004295,Zm00008a004296	2060,2003,2057	1,1,1	NA	NA	1,1,1	NA	2060,2003,2057	NA
Zm00008a004300,Zm00008a004301,Zm00008a004302,Zm00008a004304,Zm00008a004305,Zm00008a004307	879,1893,888,4090,861,758	2,3,2,4,2,1	NA	NA	2,3,2,4,2,1	NA	879,1893,888,4090,861,758	NA
Zm00008a004325,Zm00008a004326	2366,830	4,1	NA	NA	4,1	NA	2366,830	NA
Zm00008a004397,Zm00008a004411	11735,18612	10,10	Zm00008a004411	10	10	18612	11735	DHH00002B73v403234,DHH00002B73v406346,DHH00002B73v404703,RLX05818B73v400001,DHH00002B73v402202,DHH00002B73v401858,RLG00005B73v404188,RLX01112B73v400004,DHH00002B73v404417,DHH00002B73v404382,RLG00018B73v400585,DHH00002B73v409650,RLC00041B73v400213,DHH00003B73v404645,DHH00002B73v409872,DHH00002B73v409874,RLX11433B73v400001,RLX17489B73v400001,RLG00021B73v400512,DHH00002B73v403976,DHH00002B73v402032,RLX01550B73v400003,RLX24628B73v400001,RLX17256B73v400001,RLC00004B73v411998,RLG00001B73v416074,RLX18959B73v400001,RLX11820B73v400001,DHH00002B73v402218,RLG00001B73v415308,RLX12547B73v400001,DHH00002B73v407825,DHH00002B73v403574,DHH00002B73v407124,DHH00056B73v400004,DHH00002B73v408150,RLC16879B73v400001,RLC00002B73v415229,DHH00002B73v402699,RLC04362B73v400001,RLX21819B73v400001,RLG00001B73v415261,DHH00001B73v410485,RLC00179B73v400020,DHH00002B73v406230,DHH00004B73v402581,RLX08769B73v400001,DHH00002B73v407630,RLC00025B73v400038,RLC00254B73v400012,DHH00002B73v409630,DHH00002B73v405640,RLC00485B73v400001,DHH00005B73v400748,RLX17817B73v400001,RLG00438B73v400006,DHH00002B73v410193,RLG00003B73v412906,RLG00043B73v400129,DHH00002B73v407217,RLG00215B73v400013,RLG00001B73v416092,RLC00002B73v414873,DHH00002B73v405732,RLX05543B73v400001,RLX09981B73v400001,RLC00002B73v415244,RLC00256B73v400014,DHH00002B73v408034,RLX17512B73v400001,DHH00002B73v402324,DHH00002B73v407245,DHH00002B73v409833,DHH00002B73v405748,RLX09762B73v400001,DHH00002B73v402176,RLG00003B73v412808,DHH00002B73v400469,DHH00002B73v408806,DHH00002B73v407272,RLC00002B73v415246,RLX15423B73v400001,DHH00002B73v401883,RLX15623B73v400001,DHH00003B73v400333,DHH00002B73v402735,RLC00002B73v415260,DHH00002B73v400709,RLX00088B73v400032,RLX15191B73v400001,DHH00002B73v404167,RLG00073B73v400031,DHH00002B73v406763,DHH00002B73v407077,DHH00002B73v406605,RLG17520B73v400001,RLG01471B73v400003,RLG00007B73v403255,DHH00002B73v408377,RLX09953B73v400001,DHH00002B73v406208,RLG00005B73v404202,RLX20428B73v400001,DHH00002B73v405261,RLC00002B73v415339,DHH00002B73v403204,DHH00002B73v404644,DHH00002B73v405570,DHH00002B73v403522,RLG18925B73v400001,RLC04445B73v400002,RLC00041B73v400208,RLX21848B73v400001,RLC00004B73v412030,DHH00002B73v409571,DHH00347B73v400001,RLC00004B73v411986,RLX16298B73v400001
Zm00008a004427,Zm00008a004428	3259,1689	6,3	NA	NA	6,3	NA	3259,1689	NA
Zm00008a004437,Zm00008a004438	1530,1210	3,2	NA	NA	3,2	NA	1530,1210	NA
Zm00008a004465,Zm00008a004466	22207,6578	13,7	NA	NA	13,7	NA	22207,6578	NA
Zm00008a004470,Zm00008a004472,Zm00008a004473,Zm00008a004474	4250,4548,4101,3806	10,9,10,8	NA	NA	10,9,10,8	NA	4250,4548,4101,3806	NA
Zm00008a004506,Zm00008a004510	3049,1370	2,1	NA	NA	2,1	NA	3049,1370	NA
Zm00008a004513,Zm00008a004514	4264,3089	3,5	NA	NA	3,5	NA	4264,3089	NA
Zm00008a004517,Zm00008a004527	3723,1645	2,2	NA	NA	2,2	NA	3723,1645	NA
Zm00008a004552,Zm00008a004553	2831,4088	3,3	NA	NA	3,3	NA	2831,4088	NA
Zm00008a004557,Zm00008a004558,Zm00008a004559,Zm00008a004560	417,407,15254,21997	2,2,2,2	NA	NA	2,2,2,2	NA	417,407,15254,21997	NA
Zm00008a004567,Zm00008a004568	1014,455	2,1	NA	NA	2,1	NA	1014,455	NA
Zm00008a004581,Zm00008a004582	10406,10335	2,3	NA	NA	2,3	NA	10406,10335	NA
Zm00008a004601,Zm00008a004603	9578,5997	6,5	NA	NA	6,5	NA	9578,5997	NA
Zm00008a004607,Zm00008a004608	578,2388	1,3	NA	NA	1,3	NA	578,2388	NA
Zm00008a004658,Zm00008a004659	3394,2460	6,2	NA	NA	6,2	NA	3394,2460	NA
Zm00008a004660,Zm00008a004664	3622,4370	8,6	NA	NA	8,6	NA	3622,4370	NA
Zm00008a004688,Zm00008a004690	3760,3226	4,4	NA	NA	4,4	NA	3760,3226	NA
Zm00008a004725,Zm00008a004726	10841,248	2,1	NA	NA	2,1	NA	10841,248	NA
Zm00008a004730,Zm00008a004732,Zm00008a004733	1172,1154,1083	2,2,2	NA	NA	2,2,2	NA	1172,1154,1083	NA
Zm00008a004745,Zm00008a004746,Zm00008a004748,Zm00008a004750,Zm00008a004751,Zm00008a004754,Zm00008a004757	1715,2161,1067,1067,944,1067,30528	3,3,1,1,1,1,9	NA	NA	3,3,1,1,1,1,9	NA	1715,2161,1067,1067,944,1067,30528	NA
Zm00008a004747,Zm00008a004753,Zm00008a004756	982,299,299	3,2,2	NA	NA	3,2,2	NA	982,299,299	NA
Zm00008a004749,Zm00008a004752,Zm00008a004755,Zm00008a004758	1803,1892,1925,12545	2,3,3,5	NA	NA	2,3,3,5	NA	1803,1892,1925,12545	NA
Zm00008a004767,Zm00008a004768,Zm00008a004769,Zm00008a004770,Zm00008a004771	6297,869,332,212,311	2,2,1,1,1	NA	NA	2,2,1,1,1	NA	6297,869,332,212,311	NA
Zm00008a004791,Zm00008a004792	1416,1215	5,3	NA	NA	5,3	NA	1416,1215	NA
Zm00008a004819,Zm00008a004820	1799,1327	3,2	NA	NA	3,2	NA	1799,1327	NA
Zm00008a004835,Zm00008a004836	281,281	1,1	NA	NA	1,1	NA	281,281	NA
Zm00008a004840,Zm00008a004841	3583,3421	5,6	NA	NA	5,6	NA	3583,3421	NA
Zm00008a004865,Zm00008a004869	722,809	1,1	NA	NA	1,1	NA	722,809	NA
Zm00008a004895,Zm00008a004897	3579,4248	6,5	NA	NA	6,5	NA	3579,4248	NA
Zm00008a004906,Zm00008a004907	10123,6841	15,14	NA	NA	15,14	NA	10123,6841	NA
Zm00008a004932,Zm00008a004933	4622,9562	12,22	NA	NA	12,22	NA	4622,9562	NA
Zm00008a004965,Zm00008a004966,Zm00008a004967	877,266,541	2,1,2	NA	NA	2,1,2	NA	877,266,541	NA
Zm00008a004996,Zm00008a004998	2545,1362	4,2	NA	NA	4,2	NA	2545,1362	NA
Zm00008a005038,Zm00008a005039	4900,5318	6,5	NA	NA	6,5	NA	4900,5318	NA
Zm00008a005059,Zm00008a005061	1467,559	2,2	NA	NA	2,2	NA	1467,559	NA
Zm00008a005080,Zm00008a005081	401,1595	1,2	NA	NA	1,2	NA	401,1595	NA
Zm00008a005086,Zm00008a005087,Zm00008a005088	3308,2419,2262	2,2,2	NA	NA	2,2,2	NA	3308,2419,2262	NA
Zm00008a005172,Zm00008a005173	893,722	2,2	NA	NA	2,2	NA	893,722	NA
Zm00008a005184,Zm00008a005185	4594,3154	10,8	NA	NA	10,8	NA	4594,3154	NA
Zm00008a005193,Zm00008a005194	632,1122	1,3	NA	NA	1,3	NA	632,1122	NA
Zm00008a005201,Zm00008a005210	1375,996	5,5	NA	NA	5,5	NA	1375,996	NA
Zm00008a005209,Zm00008a005211	2922,1612	3,2	NA	NA	3,2	NA	2922,1612	NA
Zm00008a005228,Zm00008a005229	920,929	4,4	NA	NA	4,4	NA	920,929	NA
Zm00008a005236,Zm00008a005237,Zm00008a005238	14865,1449,1465	4,2,2	NA	NA	4,2,2	NA	14865,1449,1465	NA
