GenesInCluster	Lengths	NumExons	WithTE	NumExonTE	NumExonWOTE	LengthsWithTE	LengthsWOTE	TEsRepresented
Zm00001d002158,Zm00001d002159,Zm00001d002160,Zm00001d002161	266,281,242,320	1,1,1,1	NA	NA	1,1,1,1	NA	266,281,242,320	NA
Zm00001d002168,Zm00001d002172,Zm00001d002173,Zm00001d002174,Zm00001d002178,Zm00001d002181	3663,8909,2126,9179,4111,3236	6,11,4,5,6,6	NA	NA	6,11,4,5,6,6	NA	3663,8909,2126,9179,4111,3236	NA
Zm00001d002179,Zm00001d002182	1367,1127	1,2	NA	NA	1,2	NA	1367,1127	NA
Zm00001d002192,Zm00001d002193	2173,1953	2,2	NA	NA	2,2	NA	2173,1953	NA
Zm00001d002198,Zm00001d002199	4784,4180	5,6	NA	NA	5,6	NA	4784,4180	NA
Zm00001d002202,Zm00001d002208,Zm00001d002214,Zm00001d002221,Zm00001d002228	1508,2893,1655,2054,2123	4,4,4,4,4	NA	NA	4,4,4,4,4	NA	1508,2893,1655,2054,2123	NA
Zm00001d002203,Zm00001d002209,Zm00001d002215,Zm00001d002223,Zm00001d002229	2122,2124,2122,2104,2123	3,3,3,3,3	NA	NA	3,3,3,3,3	NA	2122,2124,2122,2104,2123	NA
Zm00001d002204,Zm00001d002205,Zm00001d002211,Zm00001d002216,Zm00001d002217,Zm00001d002224,Zm00001d002225,Zm00001d002230,Zm00001d002231,Zm00001d002232	662,1370,1367,6752,2763,662,1370,434,1364,1367	1,1,1,4,5,1,1,1,1,1	NA	NA	1,1,1,4,5,1,1,1,1,1	NA	662,1370,1367,6752,2763,662,1370,434,1364,1367	NA
Zm00001d002207,Zm00001d002220,Zm00001d002227	560,524,524	2,2,2	NA	NA	2,2,2	NA	560,524,524	NA
Zm00001d002254,Zm00001d002255	401,392	1,1	NA	NA	1,1	NA	401,392	NA
Zm00001d002260,Zm00001d002261	3447,4198	10,12	NA	NA	10,12	NA	3447,4198	NA
Zm00001d002349,Zm00001d002350,Zm00001d002351	5143,3588,9008	14,9,10	NA	NA	14,9,10	NA	5143,3588,9008	NA
Zm00001d002393,Zm00001d002394	227,221	1,1	NA	NA	1,1	NA	227,221	NA
Zm00001d002397,Zm00001d002400	3488,3489	4,4	NA	NA	4,4	NA	3488,3489	NA
Zm00001d002398,Zm00001d002401	638,638	1,1	NA	NA	1,1	NA	638,638	NA
Zm00001d002399,Zm00001d002402	4135,3835	4,4	NA	NA	4,4	NA	4135,3835	NA
Zm00001d002410,Zm00001d002412	1410,1206	3,3	NA	NA	3,3	NA	1410,1206	NA
Zm00001d002434,Zm00001d002435,Zm00001d002436	2619,1449,2707	2,3,4	NA	NA	2,3,4	NA	2619,1449,2707	NA
Zm00001d002446,Zm00001d002447	2918,4549	3,5	NA	NA	3,5	NA	2918,4549	NA
Zm00001d002473,Zm00001d002474	1823,1911	3,3	NA	NA	3,3	NA	1823,1911	NA
Zm00001d002514,Zm00001d002515	2534,3797	2,2	NA	NA	2,2	NA	2534,3797	NA
Zm00001d002520,Zm00001d002521,Zm00001d002522,Zm00001d002523,Zm00001d002530	302,260,305,1030,2014	1,1,1,2,2	NA	NA	1,1,1,2,2	NA	302,260,305,1030,2014	NA
Zm00001d002543,Zm00001d002546	311,827	1,2	NA	NA	1,2	NA	311,827	NA
Zm00001d002556,Zm00001d002557	329,347	1,1	NA	NA	1,1	NA	329,347	NA
Zm00001d002568,Zm00001d002576	464,641	1,1	NA	NA	1,1	NA	464,641	NA
Zm00001d002570,Zm00001d002572	1809,4003	5,8	NA	NA	5,8	NA	1809,4003	NA
Zm00001d002618,Zm00001d002620	668,638	1,1	NA	NA	1,1	NA	668,638	NA
Zm00001d002625,Zm00001d002631	4372,5885	6,8	NA	NA	6,8	NA	4372,5885	NA
Zm00001d002626,Zm00001d002629	2706,3865	9,8	NA	NA	9,8	NA	2706,3865	NA
Zm00001d002698,Zm00001d002699	2285,2195	1,1	NA	NA	1,1	NA	2285,2195	NA
Zm00001d002705,Zm00001d002708	6443,8328	6,6	NA	NA	6,6	NA	6443,8328	NA
Zm00001d002727,Zm00001d002728,Zm00001d002729	2366,2335,1465	5,4,5	NA	NA	5,4,5	NA	2366,2335,1465	NA
Zm00001d002744,Zm00001d002747,Zm00001d002748	662,758,452	1,1,1	NA	NA	1,1,1	NA	662,758,452	NA
Zm00001d002760,Zm00001d002761,Zm00001d002762	1070,947,839	1,1,1	NA	NA	1,1,1	NA	1070,947,839	NA
Zm00001d002772,Zm00001d002773	1071,1315	2,2	NA	NA	2,2	NA	1071,1315	NA
Zm00001d002812,Zm00001d002814	3052,20970	4,6	NA	NA	4,6	NA	3052,20970	NA
Zm00001d002847,Zm00001d002848	3770,4456	5,5	NA	NA	5,5	NA	3770,4456	NA
Zm00001d002886,Zm00001d002887	3450,5769	6,6	NA	NA	6,6	NA	3450,5769	NA
Zm00001d002888,Zm00001d002893	2049,2890	4,3	NA	NA	4,3	NA	2049,2890	NA
Zm00001d002897,Zm00001d002898,Zm00001d002899,Zm00001d002901,Zm00001d002902	1655,1574,1013,1034,4412	3,3,1,1,3	NA	NA	3,3,1,1,3	NA	1655,1574,1013,1034,4412	NA
Zm00001d002907,Zm00001d002915	982,3824	3,4	NA	NA	3,4	NA	982,3824	NA
Zm00001d002912,Zm00001d002916	728,719	1,1	NA	NA	1,1	NA	728,719	NA
Zm00001d002958,Zm00001d002959	1140,1179	2,3	NA	NA	2,3	NA	1140,1179	NA
Zm00001d002972,Zm00001d002974	3400,4734	6,6	NA	NA	6,6	NA	3400,4734	NA
Zm00001d003015,Zm00001d003016	2667,3261	2,2	NA	NA	2,2	NA	2667,3261	NA
Zm00001d003019,Zm00001d003021,Zm00001d003023	7812,3936,3931	8,4,4	NA	NA	8,4,4	NA	7812,3936,3931	NA
Zm00001d003020,Zm00001d003022,Zm00001d003024	753,752,981	2,2,2	NA	NA	2,2,2	NA	753,752,981	NA
Zm00001d003044,Zm00001d003045,Zm00001d003046	6305,11173,10296	12,10,13	NA	NA	12,10,13	NA	6305,11173,10296	NA
Zm00001d003058,Zm00001d003059	3172,3763	9,10	NA	NA	9,10	NA	3172,3763	NA
Zm00001d003066,Zm00001d003067	4686,4501	10,9	NA	NA	10,9	NA	4686,4501	NA
Zm00001d003069,Zm00001d003070	2427,3013	3,3	NA	NA	3,3	NA	2427,3013	NA
Zm00001d003140,Zm00001d003142,Zm00001d003144	2221,2020,1920	3,3,2	NA	NA	3,3,2	NA	2221,2020,1920	NA
Zm00001d003151,Zm00001d003155	3747,3081	7,7	NA	NA	7,7	NA	3747,3081	NA
Zm00001d003173,Zm00001d003174	3289,3291	5,4	NA	NA	5,4	NA	3289,3291	NA
Zm00001d003183,Zm00001d003184,Zm00001d003185,Zm00001d003186,Zm00001d003187	1500,1879,7279,1860,2386	3,3,5,3,3	NA	NA	3,3,5,3,3	NA	1500,1879,7279,1860,2386	NA
Zm00001d003188,Zm00001d003190,Zm00001d003191	1184,1251,422	2,2,1	NA	NA	2,2,1	NA	1184,1251,422	NA
Zm00001d003217,Zm00001d003219	782,560	1,1	NA	NA	1,1	NA	782,560	NA
Zm00001d003232,Zm00001d003234,Zm00001d003235,Zm00001d003237,Zm00001d003240	506,557,497,638,587	1,1,1,1,1	NA	NA	1,1,1,1,1	NA	506,557,497,638,587	NA
Zm00001d003277,Zm00001d003280	4185,4014	14,10	NA	NA	14,10	NA	4185,4014	NA
Zm00001d003294,Zm00001d003295	2165,1574	1,2	NA	NA	1,2	NA	2165,1574	NA
Zm00001d003304,Zm00001d003306	2606,539	3,1	NA	NA	3,1	NA	2606,539	NA
Zm00001d003341,Zm00001d003342	1418,1517	1,1	NA	NA	1,1	NA	1418,1517	NA
Zm00001d003353,Zm00001d003355,Zm00001d003356,Zm00001d003357,Zm00001d003358,Zm00001d003363,Zm00001d003364,Zm00001d003365	392,469,12268,410,1340,847,761,948	2,2,3,1,2,3,3,2	NA	NA	2,2,3,1,2,3,3,2	NA	392,469,12268,410,1340,847,761,948	NA
Zm00001d003396,Zm00001d003397	1454,1454	1,1	NA	NA	1,1	NA	1454,1454	NA
Zm00001d003432,Zm00001d003434,Zm00001d003436	2389,2938,1741	5,5,5	NA	NA	5,5,5	NA	2389,2938,1741	NA
Zm00001d003468,Zm00001d003469,Zm00001d003471,Zm00001d003473	4093,3870,4823,5107	2,3,4,4	NA	NA	2,3,4,4	NA	4093,3870,4823,5107	NA
Zm00001d003482,Zm00001d003485	275,242	1,1	NA	NA	1,1	NA	275,242	NA
Zm00001d003483,Zm00001d003488	2069,1818	2,2	NA	NA	2,2	NA	2069,1818	NA
Zm00001d003497,Zm00001d003499	1259,1166	1,1	NA	NA	1,1	NA	1259,1166	NA
Zm00001d003501,Zm00001d003504	1817,2114	5,6	NA	NA	5,6	NA	1817,2114	NA
Zm00001d003524,Zm00001d003525	1909,6693	3,5	NA	NA	3,5	NA	1909,6693	NA
Zm00001d003566,Zm00001d003567	2013,2013	2,2	NA	NA	2,2	NA	2013,2013	NA
Zm00001d003605,Zm00001d003606,Zm00001d003607	1069,2196,2185	3,4,4	NA	NA	3,4,4	NA	1069,2196,2185	NA
Zm00001d003661,Zm00001d003662	2055,337	8,2	NA	NA	8,2	NA	2055,337	NA
Zm00001d003680,Zm00001d003683	3018,3055	6,7	NA	NA	6,7	NA	3018,3055	NA
Zm00001d003695,Zm00001d003696,Zm00001d003699,Zm00001d003701	2003,3222,959,2096	2,2,1,2	NA	NA	2,2,1,2	NA	2003,3222,959,2096	NA
Zm00001d003719,Zm00001d003722	1022,1016	1,1	NA	NA	1,1	NA	1022,1016	NA
Zm00001d003757,Zm00001d003760	966,855	2,2	NA	NA	2,2	NA	966,855	NA
Zm00001d003782,Zm00001d003783	2337,1883	3,3	NA	NA	3,3	NA	2337,1883	NA
Zm00001d003786,Zm00001d003791,Zm00001d003794	5903,2762,2762	4,1,1	NA	NA	4,1,1	NA	5903,2762,2762	NA
Zm00001d003850,Zm00001d003852	1545,2013	2,2	NA	NA	2,2	NA	1545,2013	NA
Zm00001d003859,Zm00001d003861	4960,4948	9,8	NA	NA	9,8	NA	4960,4948	NA
Zm00001d003866,Zm00001d003867	2380,1662	5,3	NA	NA	5,3	NA	2380,1662	NA
Zm00001d003939,Zm00001d003941	9868,6233	9,8	NA	NA	9,8	NA	9868,6233	NA
Zm00001d003949,Zm00001d003950,Zm00001d003954	4261,4112,2051	3,3,2	NA	NA	3,3,2	NA	4261,4112,2051	NA
Zm00001d003961,Zm00001d003962	322,209	1,1	NA	NA	1,1	NA	322,209	NA
Zm00001d004025,Zm00001d004033	1961,1961	1,1	NA	NA	1,1	NA	1961,1961	NA
Zm00001d004183,Zm00001d004184	838,838	2,2	NA	NA	2,2	NA	838,838	NA
Zm00001d004230,Zm00001d004234	13034,3033	15,8	NA	NA	15,8	NA	13034,3033	NA
Zm00001d004231,Zm00001d004232	815,341	1,1	NA	NA	1,1	NA	815,341	NA
Zm00001d004301,Zm00001d004305,Zm00001d004306,Zm00001d004308	1607,1648,1542,1638	1,2,2,2	NA	NA	1,2,2,2	NA	1607,1648,1542,1638	NA
Zm00001d004322,Zm00001d004326	667,2750	2,2	NA	NA	2,2	NA	667,2750	NA
Zm00001d004328,Zm00001d004331	368,2781	1,2	NA	NA	1,2	NA	368,2781	NA
Zm00001d004344,Zm00001d004346	1358,1358	2,2	NA	NA	2,2	NA	1358,1358	NA
Zm00001d004355,Zm00001d004364,Zm00001d004371	1120,1012,1161	2,2,2	NA	NA	2,2,2	NA	1120,1012,1161	NA
Zm00001d004387,Zm00001d004389	11500,1303	6,3	NA	NA	6,3	NA	11500,1303	NA
Zm00001d004414,Zm00001d004417	1366,969	3,2	NA	NA	3,2	NA	1366,969	NA
Zm00001d004415,Zm00001d004418	1110,1104	4,4	NA	NA	4,4	NA	1110,1104	NA
Zm00001d004423,Zm00001d004424	1988,1665	1,3	NA	NA	1,3	NA	1988,1665	NA
Zm00001d004435,Zm00001d004436	7045,2386	7,5	NA	NA	7,5	NA	7045,2386	NA
Zm00001d004491,Zm00001d004503	1331,1325	1,1	NA	NA	1,1	NA	1331,1325	NA
Zm00001d004507,Zm00001d004508	464,398	2,1	NA	NA	2,1	NA	464,398	NA
Zm00001d004526,Zm00001d004527	3496,6903	2,4	NA	NA	2,4	NA	3496,6903	NA
Zm00001d004572,Zm00001d004589	218,537	1,2	NA	NA	1,2	NA	218,537	NA
Zm00001d004582,Zm00001d004583	386,386	1,1	NA	NA	1,1	NA	386,386	NA
Zm00001d004676,Zm00001d004677	14689,3113	8,6	NA	NA	8,6	NA	14689,3113	NA
Zm00001d004684,Zm00001d004685,Zm00001d004686	1427,2262,2262	1,2,2	NA	NA	1,2,2	NA	1427,2262,2262	NA
Zm00001d004687,Zm00001d004689	4992,1518	2,2	NA	NA	2,2	NA	4992,1518	NA
Zm00001d004718,Zm00001d004719	1721,1721	3,3	NA	NA	3,3	NA	1721,1721	NA
Zm00001d004721,Zm00001d004725,Zm00001d004728,Zm00001d004729,Zm00001d004730	635,752,753,777,776	1,1,1,1,1	NA	NA	1,1,1,1,1	NA	635,752,753,777,776	NA
Zm00001d004753,Zm00001d004754,Zm00001d004758	566,539,530	1,1,1	NA	NA	1,1,1	NA	566,539,530	NA
Zm00001d004763,Zm00001d004768	1655,2685	2,2	NA	NA	2,2	NA	1655,2685	NA
Zm00001d004771,Zm00001d004772	11103,7912	5,4	NA	NA	5,4	NA	11103,7912	NA
Zm00001d004794,Zm00001d004796,Zm00001d004797	909,1152,1652	1,2,2	NA	NA	1,2,2	NA	909,1152,1652	NA
Zm00001d004826,Zm00001d004835	1363,1166	5,3	NA	NA	5,3	NA	1363,1166	NA
Zm00001d004839,Zm00001d004841	2989,3059	6,7	NA	NA	6,7	NA	2989,3059	NA
Zm00001d004884,Zm00001d004887,Zm00001d004888	617,918,605	1,1,1	NA	NA	1,1,1	NA	617,918,605	NA
Zm00001d004942,Zm00001d004945,Zm00001d004949	356,428,428	1,1,1	NA	NA	1,1,1	NA	356,428,428	NA
Zm00001d004977,Zm00001d004978	3615,3397	12,10	NA	NA	12,10	NA	3615,3397	NA
Zm00001d004994,Zm00001d004995	4264,1115	5,1	NA	NA	5,1	NA	4264,1115	NA
Zm00001d005001,Zm00001d005002	4411,4045	18,17	NA	NA	18,17	NA	4411,4045	NA
Zm00001d005012,Zm00001d005013	24048,14178	10,6	NA	NA	10,6	NA	24048,14178	NA
Zm00001d005038,Zm00001d005039	1623,959	2,1	NA	NA	2,1	NA	1623,959	NA
Zm00001d005043,Zm00001d005044	1217,1217	1,1	NA	NA	1,1	NA	1217,1217	NA
Zm00001d005075,Zm00001d005076,Zm00001d005077	1094,1521,1106	1,2,1	NA	NA	1,2,1	NA	1094,1521,1106	NA
Zm00001d005189,Zm00001d005190	3538,3201	5,5	NA	NA	5,5	NA	3538,3201	NA
Zm00001d005283,Zm00001d005284	578,344	1,1	NA	NA	1,1	NA	578,344	NA
Zm00001d005300,Zm00001d005307	857,1058	1,3	NA	NA	1,3	NA	857,1058	NA
Zm00001d005374,Zm00001d005379,Zm00001d005380,Zm00001d005389	230,224,224,254	1,1,1,1	NA	NA	1,1,1,1	NA	230,224,224,254	NA
Zm00001d005375,Zm00001d005381,Zm00001d005391	939,1058,1529	2,2,2	NA	NA	2,2,2	NA	939,1058,1529	NA
Zm00001d005377,Zm00001d005378,Zm00001d005383,Zm00001d005392	956,1649,1689,2305	1,3,2,3	NA	NA	1,3,2,3	NA	956,1649,1689,2305	NA
Zm00001d005410,Zm00001d005421	1367,3736	3,5	NA	NA	3,5	NA	1367,3736	NA
Zm00001d005436,Zm00001d005437	891,1397	3,3	NA	NA	3,3	NA	891,1397	NA
Zm00001d005464,Zm00001d005465	740,917	1,1	NA	NA	1,1	NA	740,917	NA
Zm00001d005540,Zm00001d005541	2055,733	4,3	NA	NA	4,3	NA	2055,733	NA
Zm00001d005678,Zm00001d005680	1370,1367	1,1	NA	NA	1,1	NA	1370,1367	NA
Zm00001d005688,Zm00001d005690	8211,3769	3,3	NA	NA	3,3	NA	8211,3769	NA
Zm00001d005693,Zm00001d005694	512,1420	1,3	NA	NA	1,3	NA	512,1420	NA
Zm00001d005716,Zm00001d005717,Zm00001d005719,Zm00001d005722	2496,2537,443,443	1,2,1,1	NA	NA	1,2,1,1	NA	2496,2537,443,443	NA
Zm00001d005782,Zm00001d005783	7326,6272	5,4	NA	NA	5,4	NA	7326,6272	NA
Zm00001d005786,Zm00001d005787,Zm00001d005788	413,413,407	1,1,1	NA	NA	1,1,1	NA	413,413,407	NA
Zm00001d005802,Zm00001d005803	470,806	1,2	NA	NA	1,2	NA	470,806	NA
Zm00001d005821,Zm00001d005822,Zm00001d005823	2602,4043,2382	2,2,2	NA	NA	2,2,2	NA	2602,4043,2382	NA
Zm00001d005859,Zm00001d005860	1358,1331	1,1	NA	NA	1,1	NA	1358,1331	NA
Zm00001d005878,Zm00001d005879	275,275	1,1	NA	NA	1,1	NA	275,275	NA
Zm00001d005905,Zm00001d005909,Zm00001d005910	1058,2240,983	1,2,1	NA	NA	1,2,1	NA	1058,2240,983	NA
Zm00001d005933,Zm00001d005934,Zm00001d005935	2714,3287,845	2,3,1	NA	NA	2,3,1	NA	2714,3287,845	NA
Zm00001d005936,Zm00001d005940	1181,1073	1,1	NA	NA	1,1	NA	1181,1073	NA
Zm00001d005973,Zm00001d005974	2910,2607	8,8	NA	NA	8,8	NA	2910,2607	NA
Zm00001d006013,Zm00001d006014	571,1909	2,4	NA	NA	2,4	NA	571,1909	NA
Zm00001d006137,Zm00001d006140,Zm00001d006145	5352,2069,716	2,2,1	NA	NA	2,2,1	NA	5352,2069,716	NA
Zm00001d006142,Zm00001d006147	3957,3956	4,4	NA	NA	4,4	NA	3957,3956	NA
Zm00001d006143,Zm00001d006148	5241,5242	2,2	NA	NA	2,2	NA	5241,5242	NA
Zm00001d006144,Zm00001d006149	1040,1040	1,1	NA	NA	1,1	NA	1040,1040	NA
Zm00001d006169,Zm00001d006170	794,742	1,1	NA	NA	1,1	NA	794,742	NA
Zm00001d006193,Zm00001d006199,Zm00001d006203	2256,1856,2028	2,2,2	NA	NA	2,2,2	NA	2256,1856,2028	NA
Zm00001d006252,Zm00001d006253	3566,3564	8,8	NA	NA	8,8	NA	3566,3564	NA
Zm00001d006260,Zm00001d006263	1220,1350	1,1	NA	NA	1,1	NA	1220,1350	NA
Zm00001d006274,Zm00001d006275,Zm00001d006276,Zm00001d006277,Zm00001d006279,Zm00001d006280,Zm00001d006282,Zm00001d006283,Zm00001d006285	7337,1065,458,392,470,392,472,475,492	3,2,1,1,1,1,1,1,1	NA	NA	3,2,1,1,1,1,1,1,1	NA	7337,1065,458,392,470,392,472,475,492	NA
Zm00001d006278,Zm00001d006281	416,416	1,1	NA	NA	1,1	NA	416,416	NA
Zm00001d006298,Zm00001d006306	11108,2029	5,6	NA	NA	5,6	NA	11108,2029	NA
Zm00001d006300,Zm00001d006301,Zm00001d006307	11162,2576,24083	13,4,30	NA	NA	13,4,30	NA	11162,2576,24083	NA
Zm00001d006312,Zm00001d006313	746,777	1,2	NA	NA	1,2	NA	746,777	NA
Zm00001d006340,Zm00001d006341,Zm00001d006342	3318,3901,6259	7,6,9	NA	NA	7,6,9	NA	3318,3901,6259	NA
Zm00001d006446,Zm00001d006449,Zm00001d006450	1566,1442,1412	2,1,1	NA	NA	2,1,1	NA	1566,1442,1412	NA
Zm00001d006484,Zm00001d006485	968,967	2,2	NA	NA	2,2	NA	968,967	NA
Zm00001d006493,Zm00001d006494	3426,3180	5,7	NA	NA	5,7	NA	3426,3180	NA
Zm00001d006505,Zm00001d006506	2671,2528	2,2	NA	NA	2,2	NA	2671,2528	NA
Zm00001d006515,Zm00001d006516	584,662	1,1	NA	NA	1,1	NA	584,662	NA
Zm00001d006525,Zm00001d006526	1361,1319	1,1	NA	NA	1,1	NA	1361,1319	NA
Zm00001d006527,Zm00001d006531,Zm00001d006535,Zm00001d006536	1748,3406,2752,2943	4,4,7,7	NA	NA	4,4,7,7	NA	1748,3406,2752,2943	NA
Zm00001d006547,Zm00001d006548	1288,1079	2,2	NA	NA	2,2	NA	1288,1079	NA
Zm00001d006683,Zm00001d006684	1762,14079	2,3	NA	NA	2,3	NA	1762,14079	NA
Zm00001d006688,Zm00001d006697	2130,2265	2,2	NA	NA	2,2	NA	2130,2265	NA
Zm00001d006735,Zm00001d006736	4753,1545	2,2	NA	NA	2,2	NA	4753,1545	NA
Zm00001d006774,Zm00001d006775	788,494	1,1	NA	NA	1,1	NA	788,494	NA
Zm00001d006776,Zm00001d006777	2152,20875	4,4	NA	NA	4,4	NA	2152,20875	NA
Zm00001d006778,Zm00001d006779	4669,4670	10,10	NA	NA	10,10	NA	4669,4670	NA
Zm00001d006923,Zm00001d006924	2899,2898	2,3	NA	NA	2,3	NA	2899,2898	NA
Zm00001d006933,Zm00001d006936,Zm00001d006937	1395,7507,1524	2,3,2	NA	NA	2,3,2	NA	1395,7507,1524	NA
Zm00001d006947,Zm00001d006948	2040,3425	2,2	NA	NA	2,2	NA	2040,3425	NA
Zm00001d007125,Zm00001d007127,Zm00001d007129	1613,1617,1613	1,2,1	NA	NA	1,2,1	NA	1613,1617,1613	NA
Zm00001d007160,Zm00001d007161	1654,1411	4,4	NA	NA	4,4	NA	1654,1411	NA
Zm00001d007166,Zm00001d007167	1292,1391	1,1	NA	NA	1,1	NA	1292,1391	NA
Zm00001d007257,Zm00001d007258	1040,1061	1,1	NA	NA	1,1	NA	1040,1061	NA
Zm00001d007272,Zm00001d007274	1187,1121	1,1	NA	NA	1,1	NA	1187,1121	NA
Zm00001d007334,Zm00001d007337	2582,2471	1,1	NA	NA	1,1	NA	2582,2471	NA
Zm00001d007341,Zm00001d007343	1013,517	3,2	NA	NA	3,2	NA	1013,517	NA
Zm00001d007347,Zm00001d007349	910,666	2,2	NA	NA	2,2	NA	910,666	NA
Zm00001d007367,Zm00001d007368	977,872	1,1	NA	NA	1,1	NA	977,872	NA
Zm00001d007400,Zm00001d007403	1387,3728	2,2	NA	NA	2,2	NA	1387,3728	NA
Zm00001d007426,Zm00001d007430	6251,4194	7,6	NA	NA	7,6	NA	6251,4194	NA
Zm00001d007443,Zm00001d007444	320,608	2,2	NA	NA	2,2	NA	320,608	NA
Zm00001d007456,Zm00001d007457	4058,4057	5,4	NA	NA	5,4	NA	4058,4057	NA
Zm00001d007470,Zm00001d007471	947,882	2,2	NA	NA	2,2	NA	947,882	NA
Zm00001d007474,Zm00001d007477	3726,2060	2,1	NA	NA	2,1	NA	3726,2060	NA
Zm00001d007491,Zm00001d007495	4495,3737	2,2	NA	NA	2,2	NA	4495,3737	NA
Zm00001d007492,Zm00001d007493	808,2597	2,3	NA	NA	2,3	NA	808,2597	NA
Zm00001d007531,Zm00001d007534,Zm00001d007548,Zm00001d007555,Zm00001d007559	2444,2333,2444,2444,2453	1,1,1,1,1	NA	NA	1,1,1,1,1	NA	2444,2333,2444,2444,2453	NA
Zm00001d007549,Zm00001d007560	3908,3913	7,7	NA	NA	7,7	NA	3908,3913	NA
Zm00001d007550,Zm00001d007561	1218,1217	3,3	NA	NA	3,3	NA	1218,1217	NA
Zm00001d007553,Zm00001d007567	1191,1567	5,3	NA	NA	5,3	NA	1191,1567	NA
Zm00001d007586,Zm00001d007587,Zm00001d007589,Zm00001d007590	578,1230,584,566	1,2,1,1	NA	NA	1,2,1,1	NA	578,1230,584,566	NA
Zm00001d007602,Zm00001d007603	5950,3943	2,3	NA	NA	2,3	NA	5950,3943	NA
Zm00001d007604,Zm00001d007616,Zm00001d007618,Zm00001d007620,Zm00001d007623	2095,1986,1907,1959,1995	3,3,3,3,4	NA	NA	3,3,3,3,4	NA	2095,1986,1907,1959,1995	NA
Zm00001d007632,Zm00001d007635	6476,5737	10,8	NA	NA	10,8	NA	6476,5737	NA
Zm00001d007661,Zm00001d007665,Zm00001d007667,Zm00001d007670,Zm00001d007672,Zm00001d007675	7239,1366,2614,2986,3121,7110	14,6,7,7,5,17	NA	NA	14,6,7,7,5,17	NA	7239,1366,2614,2986,3121,7110	NA
Zm00001d007662,Zm00001d007664	881,880	2,2	NA	NA	2,2	NA	881,880	NA
Zm00001d007700,Zm00001d007705	1322,1258	3,3	NA	NA	3,3	NA	1322,1258	NA
Zm00001d007725,Zm00001d007743	2354,1901	4,3	NA	NA	4,3	NA	2354,1901	NA
Zm00001d007726,Zm00001d007732,Zm00001d007740,Zm00001d007746	3087,3252,5831,1754	9,8,12,6	NA	NA	9,8,12,6	NA	3087,3252,5831,1754	NA
Zm00001d007755,Zm00001d007757	5080,5236	7,7	NA	NA	7,7	NA	5080,5236	NA
