Orthogroup,B73,PH207
OG0004210,Zm00001d039278_T002_1,Zm00008a010639_C01_1
OG0003924,Zm00001d039271_T001_1,Zm00008a010632_C01_1
OG0014408,Zm00001d039273_T001_1,Zm00008a010635_C01_1
OG0015218,Zm00001d039270_T001_1,Zm00008a010631_C01_1
OG0005374,Zm00001d039283_T004_1,Zm00008a010644_C01_1
OG0002956,Zm00001d039284_T001_1,Zm00008a010645_C01_1
OG0008342,Zm00001d039279_T001_1,Zm00008a010640_C01_1
OG0001570,Zm00001d039282_T001_1,Zm00008a010643_C01_1
OG0000245,Zm00001d039285_T001_1,Zm00008a010647_C01_1
OG0006210,"Zm00001d041837_T001_1, Zm00001d027567_T001_1, Zm00001d039288_T001_1","Zm00008a010649_C01_1, Zm00008a015141_C01_1, Zm00008a009738_C01_1"
OG0001010,Zm00001d039293_T001_1,Zm00008a010652_C01_1
OG0008167,Zm00001d039294_T007_1,Zm00008a010653_C01_1
OG0019612,Zm00001d025783_T001_1,Zm00008a010658_C01_1
OG0014519,Zm00001d039295_T001_1,Zm00008a010654_C01_1
OG0011826,Zm00001d039292_T001_1,Zm00008a010651_C01_1
OG0013698,Zm00001d039297_T001_1,Zm00008a010659_C01_1
OG0001618,Zm00001d039300_T003_1,Zm00008a010661_C01_1
OG0010237,Zm00001d039302_T001_1,Zm00008a010663_C01_1
OG0010463,Zm00001d039306_T002_1,Zm00008a010669_C01_1
OG0005331,Zm00001d039304_T001_1,Zm00008a010666_C01_1
OG0015108,Zm00001d039303_T001_1,Zm00008a010665_C01_1
OG0001493,Zm00001d039309_T001_1,Zm00008a010672_C01_1
OG0001355,Zm00001d039307_T001_1,Zm00008a010671_C01_1
OG0000899,Zm00001d039310_T001_1,Zm00008a010673_C01_1
OG0001388,Zm00001d039314_T001_1,Zm00008a010677_C01_1
OG0000346,Zm00001d039311_T001_1,Zm00008a010674_C01_1
OG0012072,Zm00001d039312_T001_1,Zm00008a010675_C01_1
OG0007070,Zm00001d039313_T001_1,Zm00008a010676_C01_1
OG0000989,Zm00001d039315_T001_1,Zm00008a010678_C01_1
OG0009936,Zm00001d039316_T001_1,Zm00008a010679_C01_1
OG0006029,Zm00001d017254_T002_1,Zm00008a010684_C01_1
OG0006029,Zm00001d039321_T008_1,Zm00008a010685_C01_1
OG0002448,Zm00001d039323_T001_1,Zm00008a010688_C01_1
OG0014844,Zm00001d039328_T006_1,Zm00008a010692_C01_1
OG0011211,Zm00001d039325_T001_1,Zm00008a010689_C01_1
OG0011842,Zm00001d039330_T001_1,Zm00008a010693_C01_1
OG0000646,Zm00001d039326_T001_1,Zm00008a010690_C01_1
OG0000011,Zm00001d039327_T001_1,Zm00008a010691_C01_1
OG0009454,Zm00001d039337_T001_1,Zm00008a010695_C01_1
OG0001295,Zm00001d039338_T001_1,Zm00008a010696_C01_1
OG0000770,Zm00001d039341_T126_1,Zm00008a010697_C01_1
OG0016899,"Zm00001d048755_T001_1, Zm00001d007821_T002_1",Zm00008a010698_C01_1
OG0005929,Zm00001d039343_T001_1,Zm00008a010700_C01_1
OG0004794,Zm00001d039347_T001_1,Zm00008a010703_C01_1
OG0000000,Zm00001d023523_T014_1,Zm00008a010702_C01_1
OG0008750,Zm00001d039348_T001_1,Zm00008a010704_C01_1
OG0010816,Zm00001d039352_T001_1,Zm00008a010708_C01_1
OG0004130,Zm00001d039350_T001_1,Zm00008a010706_C01_1
OG0007587,Zm00001d039351_T001_1,Zm00008a010707_C01_1
OG0006114,Zm00001d039361_T001_1,Zm00008a010711_C01_1
OG0005519,Zm00001d039355_T010_1,Zm00008a010709_C01_1
OG0011077,Zm00001d006408_T001_1,Zm00008a010714_C01_1
OG0013043,Zm00001d039367_T001_1,Zm00008a010719_C01_1
OG0002532,Zm00001d039366_T001_1,Zm00008a010718_C01_1
OG0000429,Zm00001d039368_T003_1,Zm00008a010720_C01_1
OG0009373,Zm00001d006409_T002_1,Zm00008a010715_C01_1
OG0001076,Zm00001d039363_T001_1,Zm00008a010716_C01_1
OG0003116,Zm00001d039365_T001_1,Zm00008a010717_C01_1
OG0008131,Zm00001d004494_T001_1,"Zm00008a010712_C01_1, Zm00008a030323_C01_1"
OG0015420,Zm00001d039375_T001_1,Zm00008a010727_C01_1
OG0007020,Zm00001d039374_T001_1,Zm00008a010726_C01_1
OG0012947,Zm00001d039377_T001_1,Zm00008a010729_C01_1
OG0001948,Zm00001d039370_T002_1,Zm00008a010722_C01_1
OG0010616,Zm00001d039378_T001_1,Zm00008a010730_C01_1
OG0007459,Zm00001d039380_T003_1,Zm00008a010733_C01_1
OG0004781,Zm00001d039384_T001_1,Zm00008a010737_C01_1
OG0002755,Zm00001d039386_T001_1,Zm00008a010740_C01_1
OG0011962,Zm00001d039383_T001_1,Zm00008a010736_C01_1
OG0012860,Zm00001d039387_T002_1,Zm00008a010742_C01_1
OG0007012,Zm00001d039385_T001_1,Zm00008a010738_C01_1
OG0004211,Zm00001d039394_T001_1,Zm00008a010749_C01_1
OG0002340,Zm00001d039392_T001_1,Zm00008a010748_C01_1
OG0018173,Zm00001d013234_T001_1,"Zm00008a010744_C01_1, Zm00008a039858_C01_1"
OG0011183,Zm00001d039391_T001_1,Zm00008a010747_C01_1
OG0003358,Zm00001d039400_T002_1,Zm00008a010753_C01_1
OG0013441,Zm00001d039395_T001_1,Zm00008a010750_C01_1
OG0001050,Zm00001d039401_T001_1,Zm00008a010754_C01_1
OG0011906,Zm00001d013996_T003_1,"Zm00008a010757_C01_1, Zm00008a019990_C01_1"
OG0011466,Zm00001d039403_T003_1,Zm00008a010756_C01_1
OG0017155,Zm00001d039402_T001_1,Zm00008a010755_C01_1
OG0006898,Zm00001d039406_T002_1,Zm00008a010759_C01_1
OG0000197,Zm00001d039407_T001_1,Zm00008a010760_C01_1
OG0001814,Zm00001d039411_T003_1,Zm00008a010763_C01_1
OG0012776,Zm00001d039408_T001_1,Zm00008a010761_C01_1
OG0010484,Zm00001d039423_T001_1,Zm00008a010771_C01_1
OG0002968,Zm00001d039415_T001_1,Zm00008a010766_C01_1
OG0006925,"Zm00001d039422_T003_1, Zm00001d037818_T006_1",Zm00008a010770_C01_1
OG0010412,Zm00001d039416_T001_1,Zm00008a010767_C01_1
OG0002205,"Zm00001d037819_T001_1, Zm00001d039419_T001_1",Zm00008a010769_C01_1
OG0006396,Zm00001d039425_T003_1,Zm00008a010774_C01_1
OG0007043,Zm00001d039432_T004_1,Zm00008a010775_C01_1
OG0001036,Zm00001d039435_T001_1,Zm00008a010777_C01_1
OG0002379,Zm00001d039434_T001_1,Zm00008a010776_C01_1
OG0004938,Zm00001d039437_T001_1,Zm00008a010778_C01_1
OG0013207,Zm00001d039439_T001_1,Zm00008a010780_C01_1
OG0010737,Zm00001d039441_T001_1,Zm00008a010781_C01_1
OG0002306,Zm00001d039446_T001_1,Zm00008a010783_C01_1
OG0010880,Zm00001d039448_T002_1,Zm00008a010786_C01_1
OG0002295,Zm00001d044397_T001_1,"Zm00008a010785_C01_1, Zm00008a026854_C01_1, Zm00008a028561_C01_1"
OG0004158,Zm00001d039455_T002_1,Zm00008a010795_C01_1
OG0014395,Zm00001d039449_T001_1,Zm00008a010788_C01_1
OG0003092,Zm00001d039452_T002_1,Zm00008a010791_C01_1
OG0007998,Zm00001d039454_T001_1,Zm00008a010794_C01_1
OG0010983,Zm00001d039456_T001_1,Zm00008a010796_C01_1
OG0005586,Zm00001d039453_T001_1,Zm00008a010792_C01_1
OG0013167,Zm00001d039451_T001_1,Zm00008a010790_C01_1
OG0016450,Zm00001d039450_T001_1,Zm00008a010789_C01_1
OG0010328,Zm00001d039464_T001_1,Zm00008a010802_C01_1
OG0013773,Zm00001d039460_T003_1,"Zm00008a010801_C01_1, Zm00008a030251_C01_1"
OG0010575,Zm00001d039459_T001_1,Zm00008a010800_C01_1
OG0001602,Zm00001d024008_T001_1,"Zm00008a010803_C01_1, Zm00008a000835_C01_1"
OG0011907,Zm00001d039467_T001_1,Zm00008a010806_C01_1
OG0010525,Zm00001d039469_T001_1,Zm00008a010809_C01_1
OG0007389,Zm00001d039468_T001_1,Zm00008a010808_C01_1
OG0014582,Zm00001d039471_T001_1,Zm00008a010811_C01_1
OG0005662,Zm00001d039472_T001_1,Zm00008a010812_C01_1
OG0018785,Zm00001d039470_T001_1,Zm00008a010810_C01_1
OG0013456,Zm00001d039477_T001_1,Zm00008a010815_C01_1
OG0004536,Zm00001d039475_T004_1,Zm00008a010814_C01_1
OG0010511,Zm00001d039481_T001_1,Zm00008a010816_C01_1
OG0014728,"Zm00001d039480_T001_1, Zm00001d008803_T002_1",Zm00008a010817_C01_1
OG0016701,Zm00001d039482_T001_1,Zm00008a010818_C01_1
OG0007014,Zm00001d039487_T001_1,Zm00008a010820_C01_1
OG0020579,Zm00001d041545_T001_1,Zm00008a010822_C01_1
OG0006795,Zm00001d039489_T002_1,Zm00008a010823_C01_1
OG0010722,Zm00001d039483_T001_1,Zm00008a010819_C01_1
OG0011054,Zm00001d039491_T001_1,Zm00008a010824_C01_1
OG0004493,"Zm00001d008812_T001_1, Zm00001d039495_T001_1",Zm00008a010827_C01_1
OG0004947,Zm00001d039492_T001_1,Zm00008a010825_C01_1
OG0020726,Zm00001d039493_T001_1,Zm00008a010826_C01_1
OG0012655,Zm00001d039496_T001_1,Zm00008a010829_C01_1
OG0002301,Zm00001d039506_T001_1,Zm00008a010834_C01_1
OG0012654,Zm00001d039498_T001_1,Zm00008a010830_C01_1
OG0000599,Zm00001d039499_T002_1,Zm00008a010831_C01_1
OG0016943,Zm00001d051721_T001_1,Zm00008a010836_C01_1
OG0003984,Zm00001d039512_T011_1,Zm00008a010837_C01_1
OG0001900,Zm00001d039513_T001_1,Zm00008a010838_C01_1
OG0009617,Zm00001d039517_T001_1,Zm00008a010841_C01_1
OG0009617,Zm00001d039514_T001_1,Zm00008a010840_C01_1
OG0004931,Zm00001d051142_T001_1,Zm00008a010842_C01_1
OG0006119,Zm00001d039518_T002_1,Zm00008a010844_C01_1
OG0013381,Zm00001d039520_T001_1,Zm00008a010849_C01_1
OG0010193,Zm00001d039521_T002_1,Zm00008a010850_C01_1
OG0001600,Zm00001d039524_T001_1,Zm00008a010854_C01_1
OG0005225,Zm00001d039526_T002_1,Zm00008a010855_C01_1
OG0015161,Zm00001d039527_T001_1,Zm00008a010856_C01_1
OG0008071,Zm00001d039528_T001_1,Zm00008a010858_C01_1
OG0007060,Zm00001d039529_T001_1,Zm00008a010859_C01_1
OG0004795,Zm00001d039530_T001_1,Zm00008a010860_C01_1
OG0004420,Zm00001d039531_T001_1,Zm00008a010861_C01_1
OG0012377,Zm00001d039535_T001_1,Zm00008a010866_C01_1
OG0010921,Zm00001d039532_T001_1,Zm00008a010862_C01_1
OG0004946,Zm00001d039533_T001_1,Zm00008a010863_C01_1
OG0004534,Zm00001d045882_T001_1,Zm00008a010865_C01_1
OG0011102,Zm00001d039538_T001_1,"Zm00008a010876_C01_1, Zm00008a010877_C01_1"
OG0000829,Zm00001d048032_T001_1,Zm00008a010878_C01_1
OG0005254,Zm00001d039547_T012_1,Zm00008a010882_C01_1
OG0016383,"Zm00001d029804_T001_1, Zm00001d026105_T001_1","Zm00008a010885_C01_1, Zm00008a010208_C01_1"
OG0007433,Zm00001d039548_T001_1,Zm00008a010883_C01_1
OG0020611,"Zm00001d036915_T002_1, Zm00001d028382_T003_1, Zm00001d039546_T002_1",Zm00008a010881_C01_1
OG0005325,Zm00001d039549_T001_1,Zm00008a010884_C01_1
OG0000004,Zm00001d039557_T001_1,Zm00008a010890_C01_1
OG0005967,Zm00001d039560_T001_1,Zm00008a010892_C01_1
OG0009092,Zm00001d039563_T001_1,Zm00008a010893_C01_1
OG0015632,Zm00001d039565_T001_1,Zm00008a010894_C01_1
OG0000046,Zm00001d039567_T001_1,Zm00008a010897_C01_1
OG0008879,Zm00001d039576_T001_1,Zm00008a010902_C01_1
OG0011124,Zm00001d039579_T001_1,Zm00008a010904_C01_1
OG0007572,Zm00001d039582_T002_1,Zm00008a010908_C01_1
OG0020757,Zm00001d051466_T001_1,Zm00008a010907_C01_1
OG0003443,Zm00001d039580_T001_1,"Zm00008a010905_C01_1, Zm00008a030239_C01_1"
OG0014770,Zm00001d039581_T001_1,Zm00008a010906_C01_1
OG0007947,Zm00001d039589_T136_1,Zm00008a010910_C01_1
OG0004350,Zm00001d039590_T001_1,Zm00008a010911_C01_1
OG0004779,Zm00001d039592_T001_1,Zm00008a010913_C01_1
OG0009890,Zm00001d039594_T001_1,Zm00008a010915_C01_1
OG0012161,Zm00001d039595_T002_1,Zm00008a010916_C01_1
OG0008965,Zm00001d039596_T004_1,Zm00008a010917_C01_1
OG0002551,Zm00001d039597_T001_1,Zm00008a010918_C01_1
OG0004048,Zm00001d039607_T001_1,Zm00008a010921_C01_1
OG0001538,Zm00001d039598_T001_1,Zm00008a010919_C01_1
OG0009324,Zm00001d039608_T006_1,Zm00008a010922_C01_1
OG0002070,Zm00001d039606_T002_1,Zm00008a010920_C01_1
OG0005879,Zm00001d039611_T001_1,Zm00008a010924_C01_1
OG0011123,Zm00001d039612_T001_1,Zm00008a010925_C01_1
OG0010088,Zm00001d039616_T001_1,Zm00008a010929_C01_1
OG0003644,Zm00001d039613_T004_1,Zm00008a010926_C01_1
OG0008677,Zm00001d039617_T006_1,Zm00008a010930_C01_1
OG0014585,Zm00001d039618_T001_1,Zm00008a010931_C01_1
OG0009530,Zm00001d039623_T001_1,Zm00008a010935_C01_1
OG0005139,Zm00001d039621_T001_1,Zm00008a010934_C01_1
OG0000116,Zm00001d039625_T001_1,Zm00008a010937_C01_1
OG0013617,Zm00001d039626_T002_1,Zm00008a010938_C01_1
OG0000036,Zm00001d039631_T002_1,Zm00008a010942_C01_1
OG0000076,Zm00001d036269_T001_1,"Zm00008a010946_C01_1, Zm00008a014345_C01_1, Zm00008a027298_C01_1, Zm00008a008385_C01_1"
OG0015644,Zm00001d039635_T001_1,Zm00008a010947_C01_1
OG0002743,Zm00001d039636_T001_1,Zm00008a010948_C01_1
OG0012956,Zm00001d039638_T001_1,Zm00008a010952_C01_1
OG0012116,Zm00001d039637_T001_1,Zm00008a010949_C01_1
OG0001455,Zm00001d039639_T001_1,Zm00008a010955_C01_1
OG0017289,Zm00001d047991_T002_1,Zm00008a010953_C01_1
OG0000251,Zm00001d031774_T001_1,Zm00008a010950_C01_1
OG0017252,"Zm00001d038230_T001_1, Zm00001d019442_T001_1, Zm00001d043760_T001_1, Zm00001d003628_T001_1","Zm00008a010954_C01_1, Zm00008a011731_C01_1, Zm00008a031953_C01_1"
OG0019531,Zm00001d039640_T001_1,"Zm00008a010956_C01_1, Zm00008a021601_C01_1, Zm00008a022172_C01_1"
OG0001393,Zm00001d039642_T001_1,Zm00008a010958_C01_1
OG0008441,Zm00001d039641_T001_1,Zm00008a010957_C01_1
OG0001965,Zm00001d039647_T001_1,Zm00008a010962_C01_1
OG0001967,Zm00001d039648_T001_1,Zm00008a010963_C01_1
OG0000576,Zm00001d039650_T001_1,Zm00008a010964_C01_1
OG0014391,Zm00001d039654_T001_1,Zm00008a010966_C01_1
OG0001960,Zm00001d001903_T003_1,"Zm00008a010965_C01_1, Zm00008a005991_C01_1"
OG0006999,Zm00001d039657_T001_1,Zm00008a010968_C01_1
OG0011289,Zm00001d039667_T001_1,Zm00008a010971_C01_1
OG0009779,Zm00001d039668_T001_1,Zm00008a010972_C01_1
OG0001406,Zm00001d039669_T001_1,Zm00008a010973_C01_1
OG0000390,Zm00001d039670_T007_1,Zm00008a010974_C01_1
OG0001069,Zm00001d039673_T002_1,Zm00008a010975_C01_1
OG0010718,Zm00001d039685_T001_1,Zm00008a010985_C01_1
OG0011795,Zm00001d039681_T001_1,Zm00008a010981_C01_1
OG0000062,Zm00001d039678_T002_1,Zm00008a010979_C01_1
OG0004131,Zm00001d039683_T009_1,Zm00008a010984_C01_1
OG0010506,Zm00001d039680_T001_1,Zm00008a010980_C01_1
OG0008179,Zm00001d039686_T001_1,Zm00008a010986_C01_1
OG0001121,Zm00001d039691_T001_1,Zm00008a010988_C01_1
OG0006979,Zm00001d039687_T001_1,Zm00008a010987_C01_1
OG0011602,Zm00001d039694_T001_1,Zm00008a010991_C01_1
OG0006398,Zm00001d039698_T002_1,Zm00008a010995_C01_1
OG0000803,Zm00001d039697_T001_1,Zm00008a010994_C01_1
OG0016620,"Zm00001d039696_T001_1, Zm00001d049936_T001_1","Zm00008a010993_C01_1, Zm00008a016481_C01_1, Zm00008a016701_C01_1, Zm00008a021971_C01_1"
OG0009343,Zm00001d039695_T001_1,Zm00008a010992_C01_1
OG0006835,Zm00001d039701_T001_1,Zm00008a010999_C01_1
OG0002438,Zm00001d039702_T001_1,Zm00008a011001_C01_1
OG0008184,Zm00001d039703_T001_1,Zm00008a011002_C01_1
OG0017684,Zm00001d039700_T001_1,Zm00008a010998_C01_1
OG0001010,Zm00001d039713_T001_1,Zm00008a011009_C01_1
OG0006339,Zm00001d039712_T003_1,Zm00008a011008_C01_1
OG0010322,Zm00001d039716_T001_1,Zm00008a011012_C01_1
OG0015603,Zm00001d039714_T001_1,Zm00008a011010_C01_1
OG0003233,Zm00001d008679_T010_1,"Zm00008a011013_C01_1, Zm00008a030142_C01_1"
OG0006238,Zm00001d039715_T001_1,Zm00008a011011_C01_1
OG0001333,Zm00001d039711_T001_1,Zm00008a011007_C01_1
OG0003136,Zm00001d039710_T004_1,Zm00008a011006_C01_1
OG0011739,Zm00001d039709_T001_1,Zm00008a011004_C01_1
OG0008950,Zm00001d039729_T003_1,Zm00008a011015_C01_1
OG0014966,Zm00001d039739_T001_1,Zm00008a011019_C01_1
OG0008020,Zm00001d039740_T001_1,Zm00008a011020_C01_1
OG0005453,Zm00001d039735_T001_1,Zm00008a011018_C01_1
OG0001641,Zm00001d039749_T002_1,Zm00008a011026_C01_1
OG0001641,Zm00001d039754_T001_1,Zm00008a011030_C01_1
OG0006807,Zm00001d039746_T001_1,Zm00008a011022_C01_1
OG0011638,Zm00001d039745_T001_1,Zm00008a011021_C01_1
OG0009910,Zm00001d039748_T001_1,Zm00008a011025_C01_1
OG0001485,Zm00001d039769_T002_1,Zm00008a011039_C01_1
OG0003786,Zm00001d039768_T003_1,Zm00008a011038_C01_1
OG0015409,Zm00001d039770_T001_1,Zm00008a011040_C01_1
OG0020690,"Zm00001d042483_T001_1, Zm00001d004588_T001_1","Zm00008a011037_C01_1, Zm00008a017064_C01_1"
OG0013168,Zm00001d039771_T001_1,Zm00008a011042_C01_1
OG0012205,Zm00001d039781_T001_1,Zm00008a011047_C01_1
OG0011395,Zm00001d039776_T001_1,Zm00008a011045_C01_1
OG0000882,Zm00001d039772_T001_1,Zm00008a011043_C01_1
OG0016160,Zm00001d039783_T001_1,Zm00008a011048_C01_1
OG0002108,Zm00001d039764_T002_1,Zm00008a011036_C01_1
OG0003168,Zm00001d039763_T001_1,Zm00008a011035_C01_1
OG0000076,Zm00001d017127_T001_1,Zm00008a011034_C01_1
OG0005920,Zm00001d039785_T001_1,Zm00008a011050_C01_1
OG0000203,Zm00001d039796_T001_1,Zm00008a011059_C01_1
OG0000135,Zm00001d039795_T001_1,Zm00008a011058_C01_1
OG0000011,Zm00001d039789_T001_1,Zm00008a011053_C01_1
OG0008293,Zm00001d039788_T001_1,Zm00008a011052_C01_1
OG0000244,Zm00001d039791_T001_1,Zm00008a011055_C01_1
OG0000203,Zm00001d039805_T001_1,Zm00008a011068_C01_1
OG0000203,Zm00001d039803_T001_1,Zm00008a011065_C01_1
OG0020531,"Zm00001d039810_T001_1, Zm00001d007024_T001_1",Zm00008a011074_C01_1
OG0000203,Zm00001d039807_T001_1,Zm00008a011069_C01_1
OG0000203,Zm00001d039817_T001_1,Zm00008a011078_C01_1
OG0000203,Zm00001d039818_T001_1,Zm00008a011080_C01_1
OG0003134,Zm00001d005400_T001_1,"Zm00008a011085_C01_1, Zm00008a039700_C01_1, Zm00008a032996_C01_1, Zm00008a004229_C01_1"
OG0000001,Zm00001d039822_T001_1,Zm00008a011082_C01_1
OG0000001,Zm00001d039824_T001_1,Zm00008a011083_C01_1
OG0000077,Zm00001d039821_T001_1,Zm00008a011081_C01_1
OG0000741,"Zm00001d027984_T001_1, Zm00001d039906_T001_1, Zm00001d023515_T001_1, Zm00001d010382_T001_1, Zm00001d014350_T001_1, Zm00001d041770_T001_1, Zm00001d049644_T001_1, Zm00001d043698_T001_1","Zm00008a011089_C01_1, Zm00008a034663_C01_1"
OG0000600,Zm00001d039833_T001_1,Zm00008a011087_C01_1
OG0020538,Zm00001d050441_T004_1,Zm00008a011096_C01_1
OG0007835,Zm00001d039848_T001_1,Zm00008a011099_C01_1
OG0010110,Zm00001d039851_T002_1,Zm00008a011100_C01_1
OG0002702,Zm00001d039852_T001_1,Zm00008a011101_C01_1
OG0003067,Zm00001d039855_T001_1,Zm00008a011103_C01_1
OG0002241,Zm00001d039854_T001_1,Zm00008a011102_C01_1
OG0000600,Zm00001d039840_T001_1,Zm00008a011093_C01_1
OG0001620,Zm00001d039841_T001_1,Zm00008a011094_C01_1
OG0001486,Zm00001d039842_T001_1,Zm00008a011095_C01_1
OG0008964,Zm00001d039866_T001_1,Zm00008a011111_C01_1
OG0005687,Zm00001d039867_T001_1,Zm00008a011112_C01_1
OG0012742,Zm00001d039870_T002_1,Zm00008a011113_C01_1
OG0000783,Zm00001d039914_T001_1,Zm00008a011108_C01_1
OG0005511,Zm00001d039858_T001_1,Zm00008a011107_C01_1
OG0003106,Zm00001d039860_T003_1,Zm00008a011109_C01_1
OG0009238,Zm00001d039881_T003_1,Zm00008a011122_C01_1
OG0001003,Zm00001d039880_T001_1,Zm00008a011121_C01_1
OG0013787,Zm00001d039882_T001_1,Zm00008a011124_C01_1
OG0000865,Zm00001d039875_T001_1,Zm00008a011118_C01_1
OG0011037,Zm00001d039874_T001_1,Zm00008a011117_C01_1
OG0008083,Zm00001d039879_T001_1,Zm00008a011120_C01_1
OG0012334,Zm00001d039878_T003_1,Zm00008a011119_C01_1
OG0000904,Zm00001d039891_T001_1,Zm00008a011127_C01_1
OG0004689,Zm00001d039884_T002_1,Zm00008a011126_C01_1
OG0012086,Zm00001d039883_T001_1,Zm00008a011125_C01_1
OG0009885,Zm00001d039893_T001_1,Zm00008a011128_C01_1
OG0001711,Zm00001d053233_T001_1,Zm00008a011130_C01_1
OG0000103,Zm00001d039898_T001_1,Zm00008a011132_C01_1
OG0007016,Zm00001d039900_T002_1,Zm00008a011134_C01_1
OG0011428,Zm00001d039899_T002_1,Zm00008a011133_C01_1
OG0007015,Zm00001d039901_T003_1,Zm00008a011135_C01_1
OG0004220,Zm00001d039904_T006_1,Zm00008a011138_C01_1
OG0007711,Zm00001d039903_T003_1,Zm00008a011137_C01_1
OG0018784,"Zm00001d016377_T001_1, Zm00001d021130_T001_1, Zm00001d011173_T001_1",Zm00008a011142_C01_1
OG0004059,Zm00001d039908_T001_1,Zm00008a011143_C01_1
OG0002059,Zm00001d039907_T001_1,Zm00008a011139_C01_1
OG0002851,Zm00001d039913_T002_1,Zm00008a011148_C01_1
OG0001940,Zm00001d025805_T001_1,Zm00008a011146_C01_1
OG0016709,Zm00001d039919_T002_1,Zm00008a011152_C01_1
OG0004500,Zm00001d039916_T001_1,Zm00008a011149_C01_1
OG0003761,"Zm00001d039924_T001_1, Zm00001d039928_T001_1",Zm00008a011158_C01_1
OG0015170,Zm00001d039922_T001_1,Zm00008a011156_C01_1
OG0000014,Zm00001d039920_T001_1,Zm00008a011153_C01_1
OG0000365,Zm00001d039926_T001_1,Zm00008a011159_C01_1
OG0000365,Zm00001d039931_T002_1,Zm00008a011162_C01_1
OG0010277,Zm00001d039929_T001_1,Zm00008a011161_C01_1
OG0015121,Zm00001d039932_T001_1,Zm00008a011163_C01_1
OG0015728,Zm00001d039942_T001_1,Zm00008a011170_C01_1
OG0015163,Zm00001d039941_T001_1,Zm00008a011169_C01_1
OG0001139,Zm00001d039936_T001_1,Zm00008a011168_C01_1
OG0013529,Zm00001d039944_T001_1,Zm00008a011172_C01_1
OG0000600,Zm00001d039951_T001_1,Zm00008a011176_C01_1
OG0000905,"Zm00001d039957_T001_1, Zm00001d009636_T001_1",Zm00008a011177_C01_1
OG0000600,Zm00001d039947_T002_1,Zm00008a011174_C01_1
OG0007546,Zm00001d039963_T001_1,Zm00008a011180_C01_1
OG0014160,Zm00001d039967_T001_1,Zm00008a011187_C01_1
OG0009318,Zm00001d039965_T001_1,Zm00008a011185_C01_1
OG0014028,Zm00001d039966_T001_1,Zm00008a011186_C01_1
OG0001490,Zm00001d039969_T001_1,Zm00008a011188_C01_1
OG0001490,Zm00001d039970_T001_1,Zm00008a011189_C01_1
OG0000022,Zm00001d009240_T003_1,Zm00008a011183_C01_1
OG0004783,Zm00001d039971_T002_1,Zm00008a011190_C01_1
OG0006691,Zm00001d047352_T002_1,Zm00008a011198_C01_1
OG0017707,"Zm00001d039978_T001_1, Zm00001d020387_T001_1, Zm00001d017576_T001_1","Zm00008a011204_C01_1, Zm00008a031058_C01_1"
OG0004525,Zm00001d048616_T001_1,"Zm00008a011197_C01_1, Zm00008a014867_C01_1"
OG0014187,Zm00001d039977_T001_1,Zm00008a011203_C01_1
OG0006792,Zm00001d039973_T005_1,Zm00008a011192_C01_1
