Orthogroup	BestModel	GrassOmegas	MaizeOmegas	TandemOmegas	PropOmega0	PropOmega1	PropOmega2
OG0002309	Ha3	0.03847,1.0,0.30115	0.03847,1.0,1.20594	0.03847,1.0,0.16291	0.42277	0.16785	0.40938
OG0002416	Null	0.02488,1.00000,0.27642	0.02488,1.00000,0.27642	0.02488,1.00000,0.27642	0.61261	0.02337	0.36402
OG0002441	Null	0.02953,1.00000,0.26221	0.02953,1.00000,0.26221	0.02953,1.00000,0.26221	0.62305	0.02053	0.35642
OG0002574	Ha1	0.17338,1.0,0.08809	0.17338,1.0,15.06212	0.17338,1.0,15.06212	0.9143	0.00996	0.07575
OG0002591	Null	0.04100,1.00000,0.17203	0.04100,1.00000,0.17203	0.04100,1.00000,0.17203	0.49503	0.07061	0.43436
OG0002614	Ha1	0.03789,1.0,0.29463	0.03789,1.0,1.47898	0.03789,1.0,1.47898	0.39974	0.13518	0.46508
OG0002744	Null	0.29360,1.00000,0.04952	0.29360,1.00000,0.04952	0.29360,1.00000,0.04952	0.27515	0.00339	0.72145
OG0002844	Ha2	0.03875,1.0,0.24901	0.03875,1.0,0.24901	0.03875,1.0,0.99343	0.4741	0.1608	0.3651
OG0002930	Null	0.01875,1.00000,0.27676	0.01875,1.00000,0.27676	0.01875,1.00000,0.27676	0.2123	0.25329	0.5344
OG0003051	Null	0.04337,1.00000,0.28821	0.04337,1.00000,0.28821	0.04337,1.00000,0.28821	0.38659	0.21695	0.39646
OG0003162	Null	0.24436,1.00000,0.04684	0.24436,1.00000,0.04684	0.24436,1.00000,0.04684	0.45977	0.10998	0.43025
OG0003242	Ha2	0.2794,1.0,0.02273	0.2794,1.0,0.02273	0.2794,1.0,0.18516	0.44529	0.14053	0.41418
OG0003260	Ha3	0.29561,1.0,0.18105	0.29561,1.0,0.0	0.29561,1.0,2.1197	0.37267	0.35689	0.27045
OG0003366	Ha1	0.04538,1.0,0.30284	0.04538,1.0,0.11882	0.04538,1.0,0.11882	0.43964	0.08136	0.479
OG0003412	Null	0.27441,1.00000,0.01705	0.27441,1.00000,0.01705	0.27441,1.00000,0.01705	0.2975	0.0764	0.62611
OG0003492	Null	0.07748,1.00000,0.37742	0.07748,1.00000,0.37742	0.07748,1.00000,0.37742	0.27077	0.26694	0.4623
OG0003608	Null	0.00474,1.00000,0.08645	0.00474,1.00000,0.08645	0.00474,1.00000,0.08645	0.77168	0.01651	0.21182
OG0003796	Ha3	0.09544,1.0,2.30275	0.09544,1.0,0.51783	0.09544,1.0,12.14489	0.81426	0.14406	0.04168
OG0003894	Ha2	0.01275,1.0,0.20126	0.01275,1.0,0.20126	0.01275,1.0,0.0	0.55157	0.09807	0.35036
OG0003945	Null	0.18566,1.00000,0.62795	0.18566,1.00000,0.62795	0.18566,1.00000,0.62795	0.35937	0.0	0.64063
OG0004076	Ha3	0.00074,1.0,0.13425	0.00074,1.0,1.12007	0.00074,1.0,0.0001	0.66005	0.04524	0.29471
OG0004246	Ha3	0.00623,1.0,0.16475	0.00623,1.0,0.72636	0.00623,1.0,0.02098	0.37918	0.12649	0.49432
OG0004304	Ha1	0.20223,1.0,0.02561	0.20223,1.0,0.08673	0.20223,1.0,0.08673	0.46967	0.06246	0.46787
OG0004609	Ha3	0.08624,1.0,0.00497	0.08624,1.0,1.04359	0.08624,1.0,11.98452	0.87437	0.07488	0.05074
OG0004618	Ha1	0.03521,1.0,0.17605	0.03521,1.0,999.0	0.03521,1.0,999.0	0.77957	0.00733	0.2131
OG0004694	Ha1	0.32227,1.0,0.02846	0.32227,1.0,2.08618	0.32227,1.0,2.08618	0.66288	0.18987	0.14725
OG0004751	Null	0.03117,1.00000,0.29322	0.03117,1.00000,0.29322	0.03117,1.00000,0.29322	0.30441	0.23937	0.45622
OG0004806	Null	0.05674,1.00000,0.24097	0.05674,1.00000,0.24097	0.05674,1.00000,0.24097	0.35776	0.0373	0.60494
OG0005306	Null	0.05422,1.00000,0.25995	0.05422,1.00000,0.25995	0.05422,1.00000,0.25995	0.41643	0.1962	0.38737
OG0005322	Null	0.02796,1.00000,0.22939	0.02796,1.00000,0.22939	0.02796,1.00000,0.22939	0.37998	0.15459	0.46543
OG0005337	Null	0.12370,1.00000,0.51742	0.12370,1.00000,0.51742	0.12370,1.00000,0.51742	0.29691	0.20716	0.49593
OG0005353	Null	0.33108,1.00000,0.11619	0.33108,1.00000,0.11619	0.33108,1.00000,0.11619	0.56221	0.18882	0.24897
OG0005584	Ha1	0.16159,1.0,0.0	0.16159,1.0,0.18783	0.16159,1.0,0.18783	0.55206	0.07956	0.36838
OG0005868	Ha3	0.37668,1.0,0.99543	0.37668,1.0,999.0	0.37668,1.0,0.1458	0.38886	0.39085	0.22028
OG0005890	Ha3	0.15805,1.0,0.32593	0.15805,1.0,795.31348	0.15805,1.0,0.20931	0.5681	0.21053	0.22137
OG0006161	Ha3	0.08416,1.0,0.30632	0.08416,1.0,846.46331	0.08416,1.0,4.6992	0.77341	0.13684	0.08974
OG0006219	Ha2	0.23525,1.0,0.46883	0.23525,1.0,0.46883	0.23525,1.0,999.0	0.50901	0.43233	0.05866
OG0006284	Ha3	0.16887,1.0,0.38258	0.16887,1.0,914.01236	0.16887,1.0,0.22393	0.42278	0.33714	0.24008
OG0006305	Null	0.00000,1.00000,0.26044	0.00000,1.00000,0.26044	0.00000,1.00000,0.26044	0.13179	0.28413	0.58408
OG0006314	Ha1	0.18074,1.0,0.00291	0.18074,1.0,0.45038	0.18074,1.0,0.45038	0.40558	0.0408	0.55362
OG0006894	Ha1	0.07366,1.0,0.14114	0.07366,1.0,92.28958	0.07366,1.0,92.28958	0.64562	0.02642	0.32796
OG0006958	Ha1	0.02478,1.0,0.49569	0.02478,1.0,0.09682	0.02478,1.0,0.09682	0.66365	0.0	0.33635
OG0007130	Ha1	0.11427,1.0,0.10778	0.11427,1.0,4.31298	0.11427,1.0,4.31298	0.66172	0.20865	0.12963
OG0007167	Ha2	0.0,1.0,0.2112	0.0,1.0,0.2112	0.0,1.0,2.6876	0.34217	0.16673	0.4911
OG0007382	Ha3	0.16403,1.0,0.02491	0.16403,1.0,999.0	0.16403,1.0,0.07369	0.61098	0.04668	0.34234
OG0007474	Null	0.05548,1.00000,0.38482	0.05548,1.00000,0.38482	0.05548,1.00000,0.38482	0.61054	0.02222	0.36724
OG0007493	Null	0.00496,1.00000,0.12703	0.00496,1.00000,0.12703	0.00496,1.00000,0.12703	0.57296	0.00489	0.42215
OG0007518	Ha3	0.02501,1.0,0.24167	0.02501,1.0,999.0	0.02501,1.0,0.03312	0.75879	0.10681	0.1344
OG0007735	Ha3	0.04558,1.0,0.20364	0.04558,1.0,1.45518	0.04558,1.0,0.66458	0.57351	0.08451	0.34198
OG0007740	Ha3	0.08108,1.0,0.20091	0.08108,1.0,0.39875	0.08108,1.0,18.84329	0.79901	0.13438	0.06661
OG0007945	Ha3	0.18857,1.0,0.19733	0.18857,1.0,999.0	0.18857,1.0,0.22657	0.44007	0.3191	0.24084
OG0008090	Ha1	0.06077,1.0,0.45917	0.06077,1.0,124.98953	0.06077,1.0,124.98953	0.57697	0.0087	0.41433
OG0008284	Ha3	0.10049,1.0,0.13096	0.10049,1.0,999.0	0.10049,1.0,3.05855	0.77645	0.07757	0.14599
OG0008301	Null	0.02442,1.00000,0.23881	0.02442,1.00000,0.23881	0.02442,1.00000,0.23881	0.58367	0.04644	0.36988
OG0008320	Ha1	0.05769,1.0,0.36212	0.05769,1.0,2.97599	0.05769,1.0,2.97599	0.59047	0.09918	0.31035
OG0008365	Null	0.01794,1.00000,0.26246	0.01794,1.00000,0.26246	0.01794,1.00000,0.26246	0.61675	0.0	0.38325
OG0008561	Null	0.00177,1.00000,0.14746	0.00177,1.00000,0.14746	0.00177,1.00000,0.14746	0.42235	0.1172	0.46045
OG0008568	Ha1	0.18194,1.0,0.92098	0.18194,1.0,240.35141	0.18194,1.0,240.35141	0.89146	0.05634	0.0522
OG0008625	Ha3	0.06609,1.0,0.04603	0.06609,1.0,0.13146	0.06609,1.0,999.0	0.74597	0.12786	0.12616
OG0008907	Ha1	0.22434,1.0,0.01596	0.22434,1.0,5.94548	0.22434,1.0,5.94548	0.57425	0.13345	0.2923
OG0008956	Ha3	0.01841,1.0,0.23497	0.01841,1.0,0.0966	0.01841,1.0,4.26013	0.56759	0.11383	0.31858
OG0009016	Null	0.01415,1.00000,0.24198	0.01415,1.00000,0.24198	0.01415,1.00000,0.24198	0.68134	0.01112	0.30754
OG0009112	Null	0.00575,1.00000,0.35334	0.00575,1.00000,0.35334	0.00575,1.00000,0.35334	0.60131	0.04991	0.34878
OG0009156	Ha1	0.29603,1.0,0.00748	0.29603,1.0,0.17943	0.29603,1.0,0.17943	0.43911	0.06773	0.49315
OG0009173	Null	0.00000,1.00000,0.23358	0.00000,1.00000,0.23358	0.00000,1.00000,0.23358	0.57075	0.03403	0.39523
OG0009200	Ha3	0.04172,1.0,0.24719	0.04172,1.0,4.37221	0.04172,1.0,0.80703	0.70772	0.02683	0.26546
OG0009225	Null	0.02285,1.00000,0.36911	0.02285,1.00000,0.36911	0.02285,1.00000,0.36911	0.63383	0.15909	0.20708
OG0009969	Null	0.01483,1.00000,0.26218	0.01483,1.00000,0.26218	0.01483,1.00000,0.26218	0.71655	0.04184	0.2416
OG0010190	Null	0.00577,1.00000,0.14937	0.00577,1.00000,0.14937	0.00577,1.00000,0.14937	0.54569	0.05848	0.39583
OG0010401	Null	0.03883,1.00000,0.32930	0.03883,1.00000,0.32930	0.03883,1.00000,0.32930	0.46976	0.23986	0.29038
OG0010566	Ha1	0.07286,1.0,0.43817	0.07286,1.0,158.21731	0.07286,1.0,158.21731	0.76509	0.22688	0.00802
OG0011341	Null	0.03085,1.00000,0.44531	0.03085,1.00000,0.44531	0.03085,1.00000,0.44531	0.6447	0.02594	0.32936
OG0011628	Null	0.00296,1.00000,0.17347	0.00296,1.00000,0.17347	0.00296,1.00000,0.17347	0.86904	0.0	0.13096
OG0011677	Ha3	0.25943,1.0,0.0	0.25943,1.0,1.62673	0.25943,1.0,0.0199	0.43235	0.18315	0.3845
OG0011733	Ha2	0.01443,1.0,0.21474	0.01443,1.0,0.21474	0.01443,1.0,0.8509	0.69335	0.03397	0.27269
OG0011747	Ha3	0.04761,1.0,0.29808	0.04761,1.0,0.0	0.04761,1.0,1.19479	0.16363	0.43414	0.40222
OG0012108	Ha1	0.0,1.0,0.08619	0.0,1.0,0.74554	0.0,1.0,0.74554	0.56601	0.08374	0.35025
OG0012691	Null	0.00964,1.00000,0.27138	0.00964,1.00000,0.27138	0.00964,1.00000,0.27138	0.57591	0.01436	0.40972
OG0013369	Null	0.01885,1.00000,0.22502	0.01885,1.00000,0.22502	0.01885,1.00000,0.22502	0.44785	0.07586	0.47628
OG0013468	Null	0.03528,1.00000,0.31982	0.03528,1.00000,0.31982	0.03528,1.00000,0.31982	0.65035	0.03339	0.31626
OG0014169	Null	0.02237,1.00000,0.26835	0.02237,1.00000,0.26835	0.02237,1.00000,0.26835	0.54961	0.02159	0.42881
OG0014240	Null	0.06995,1.00000,0.38539	0.06995,1.00000,0.38539	0.06995,1.00000,0.38539	0.30645	0.09559	0.59796
OG0014518	Null	0.07551,1.00000,0.35038	0.07551,1.00000,0.35038	0.07551,1.00000,0.35038	0.27234	0.1881	0.53957
