OG0000280	Zm00001d050169,Zm00001d050170
OG0003260	Zm00001d038523,Zm00001d038526
OG0003366	Zm00008a012231,Zm00008a012234
OG0003412	Zm00001d015005,Zm00001d015006
OG0003492	Zm00001d048681,Zm00001d048682
OG0003608	Zm00001d018632,Zm00001d018633
OG0003796	Zm00001d033415,Zm00001d033416
OG0003894	Zm00001d006312,Zm00001d006313
OG0003945	Zm00001d048484,Zm00001d048492
OG0004076	Zm00008a029392,Zm00008a029393
OG0004246	Zm00008a010479,Zm00008a010482
OG0004304	Zm00001d029154,Zm00001d029164
OG0004609	Zm00001d048166,Zm00001d048169
OG0004618	Zm00001d042172,Zm00001d042175,Zm00001d042178
OG0004694	Zm00001d031945,Zm00001d031951,Zm00001d031953
OG0004751	Zm00008a016106,Zm00008a016120
OG0004806	Zm00001d013900,Zm00001d013903
OG0005306	Zm00001d048989,Zm00001d048990
OG0005322	Zm00001d037244,Zm00001d037245
OG0005337	Zm00001d041124,Zm00001d041136
OG0005353	Zm00001d013787,Zm00001d013788
OG0005584	Zm00008a019600,Zm00008a019606
OG0005868	Zm00001d020472,Zm00001d020476
OG0005890	Zm00001d031122,Zm00001d031123,Zm00001d033535,Zm00001d033537,Zm00008a004840,Zm00008a004841
OG0006161	Zm00001d043682,Zm00001d043683
OG0006219	Zm00008a030895,Zm00008a030899
OG0006284	Zm00001d016180,Zm00001d016181
OG0006305	Zm00001d024627,Zm00001d024628
OG0006314	Zm00001d017334,Zm00001d017335
OG0006894	Zm00001d044231,Zm00001d044237
OG0006958	Zm00001d036464,Zm00001d036467
OG0007130	Zm00001d023904,Zm00001d023908
OG0007167	Zm00001d003661,Zm00001d003662
OG0007382	Zm00008a014380,Zm00008a014381
OG0007474	Zm00001d006505,Zm00001d006506
OG0007493	Zm00001d052164,Zm00001d052165
OG0007518	Zm00001d008314,Zm00001d008318
OG0007735	Zm00001d009082,Zm00001d009083
OG0007740	Zm00001d031280,Zm00001d031281
OG0007945	Zm00001d037415,Zm00001d037417
OG0008090	Zm00001d013188,Zm00001d013190
OG0008284	Zm00008a020790,Zm00008a020802
OG0008301	Zm00008a029782,Zm00008a029783
OG0008320	Zm00001d011034,Zm00001d011035
OG0008365	Zm00001d008260,Zm00001d008261
OG0008561	Zm00001d014153,Zm00001d014155
OG0008568	Zm00001d027578,Zm00001d027580
OG0008625	Zm00008a001046,Zm00008a001047
OG0008907	Zm00001d051607,Zm00001d051609
OG0008956	Zm00001d025808,Zm00001d025812
OG0009016	Zm00001d004718,Zm00001d004719
OG0009112	Zm00001d031670,Zm00001d031671
OG0009156	Zm00001d043289,Zm00001d043290
OG0009173	Zm00001d053941,Zm00001d053950,Zm00001d053960
OG0009200	Zm00001d052420,Zm00001d052421
OG0009225	Zm00001d014468,Zm00001d014469,Zm00001d014470
OG0009969	Zm00008a022409,Zm00008a022411
OG0010190	Zm00001d045465,Zm00001d045466
OG0010401	Zm00001d036791,Zm00001d036792,Zm00008a024716,Zm00008a024718
OG0010566	Zm00001d012399,Zm00001d012400
OG0011341	Zm00001d018505,Zm00001d018506
OG0011628	Zm00001d033132,Zm00001d033136
OG0011677	Zm00001d011428,Zm00001d011429
OG0011733	Zm00001d036941,Zm00001d036942
OG0011747	Zm00001d003341,Zm00001d003342
OG0012108	Zm00008a001393,Zm00008a001394
OG0012691	Zm00001d048135,Zm00001d048136
OG0013369	Zm00008a032957,Zm00008a032960
OG0013468	Zm00001d022117,Zm00001d022120
OG0014169	Zm00001d048288,Zm00001d048289
OG0014240	Zm00008a019267,Zm00008a019276
OG0014518	Zm00008a038486,Zm00008a038487
