Orthogroup	BestModel	GrassOmegas	MaizeOmegas	TandemOmegas	PropOmega0	PropOmega1	PropOmega2
OG0008284	Ha3	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0008301	Null	0.02442,1.00000,0.23881	0.02442,1.00000,0.23881	0.02442,1.00000,0.23881	0.58367	0.04644	0.36988
OG0008320	Ha1	0.05769,1.0,0.36212	0.05769,1.0,2.97595	0.05769,1.0,2.97595	0.59047	0.09918	0.31035
OG0008365	Null	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0008561	Null	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0008568	Ha1	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0008625	Ha3	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0008907	Ha1	0.22434,1.0,0.01596	0.22434,1.0,5.94559	0.22434,1.0,5.94559	0.57425	0.13345	0.2923
OG0008956	Ha3	0.01841,1.0,0.23497	0.01841,1.0,0.09659	0.01841,1.0,4.25996	0.56759	0.11383	0.31858
OG0009016	Null	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0009112	Null	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0009156	Ha1	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0009173	Null	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0009200	Ha3	0.04172,1.0,0.24719	0.04172,1.0,4.37232	0.04172,1.0,0.80702	0.70772	0.02683	0.26545
OG0009225	Null	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0009969	Null	0.01483,1.00000,0.26219	0.01483,1.00000,0.26219	0.01483,1.00000,0.26219	0.71655	0.04184	0.24161
OG0010190	Null	0.00577,1.00000,0.14938	0.00577,1.00000,0.14938	0.00577,1.00000,0.14938	0.54569	0.05848	0.39583
OG0010401	Null	0.03883,1.00000,0.32930	0.03883,1.00000,0.32930	0.03883,1.00000,0.32930	0.46976	0.23986	0.29038
OG0010566	Ha1	0.07286,1.0,0.43817	0.07286,1.0,158.21677	0.07286,1.0,158.21677	0.76509	0.22688	0.00802
OG0011341	Null	0.03085,1.00000,0.44531	0.03085,1.00000,0.44531	0.03085,1.00000,0.44531	0.64469	0.02594	0.32936
OG0011628	Null	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0011677	Ha2	0.12499,1.0,3.54005	0.12499,1.0,3.54005	0.12499,1.0,0.0	0.74001	0.2127	0.04729
OG0011733	Ha3	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0011747	Ha3	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0012108	Ha1	0.0,1.0,0.08619	0.0,1.0,0.74555	0.0,1.0,0.74555	0.56602	0.08374	0.35025
OG0012691	Null	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0013369	Null	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0013468	Ha2	0.31906,1.0,0.02986	0.31906,1.0,0.02986	0.31906,1.0,0.36983	0.31754	0.03302	0.64943
OG0014169	Null	0.02237,1.00000,0.26835	0.02237,1.00000,0.26835	0.02237,1.00000,0.26835	0.54961	0.02159	0.42881
OG0014240	Null	0.06995,1.00000,0.38539	0.06995,1.00000,0.38539	0.06995,1.00000,0.38539	0.30645	0.09559	0.59796
OG0014518	Null	0.07551,1.00000,0.35038	0.07551,1.00000,0.35038	0.07551,1.00000,0.35038	0.27234	0.1881	0.53957
