Duplicate_ID	Anc_Gene	B1_Cluster	B2_Cluster	P1_Cluster	P2_Cluster	B1_Genes	B2_Genes	P1_Genes	P2_Genes
Syntenic_Dup_0038	LOC_Os12g13910	Cluster_0735	NA	NA	NA	Zm00001d023799,Zm00001d023800	NA	NA	NA
Syntenic_Dup_0039	Sobic.001G005200	Cluster_1116	NA	Cluster_0236	NA	Zm00001d034900,Zm00001d034904	NA	Zm00008a005847,Zm00008a005851	NA
Syntenic_Dup_0040	Sobic.001G017400	Cluster_1115	NA	NA	NA	Zm00001d034802,Zm00001d034803	NA	Zm00008a005766	NA
Syntenic_Dup_0041	Sobic.001G021400	Cluster_1114	NA	Cluster_0234	NA	Zm00001d034771,Zm00001d034773,Zm00001d034776	NA	Zm00008a005742,Zm00008a005746	NA
Syntenic_Dup_0042	Sobic.001G024300	Cluster_1113	NA	Cluster_0233	NA	Zm00001d034746,Zm00001d034747	NA	Zm00008a005719,Zm00008a005720	NA
Syntenic_Dup_0043	Sobic.001G024400	Cluster_1113	NA	Cluster_0233	NA	Zm00001d034746,Zm00001d034747	NA	Zm00008a005719,Zm00008a005720	NA
Syntenic_Dup_0044	Sobic.001G024500	NA	Cluster_0358	NA	Cluster_0705	Zm00001d034745	Zm00001d012899,Zm00001d012900,Zm00001d012906	Zm00008a005718	Zm00008a019066,Zm00008a019067
Syntenic_Dup_0045	Sobic.001G024900	Cluster_1112	NA	NA	NA	Zm00001d034741,Zm00001d034742	NA	Zm00008a005716	NA
Syntenic_Dup_0046	Sobic.001G025201	NA	NA	NA	Cluster_0706	NA	Zm00001d012910	NA	Zm00008a019068,Zm00008a019070
Syntenic_Dup_0047	Sobic.001G025300	NA	Cluster_0359	NA	Cluster_0706	Zm00001d034740	Zm00001d012907,Zm00001d012909	Zm00008a005714	Zm00008a019068,Zm00008a019070
Syntenic_Dup_0048	Sobic.001G029100	Cluster_1111	NA	NA	NA	Zm00001d034715,Zm00001d034716	NA	Zm00008a005693	NA
Syntenic_Dup_0049	Sobic.001G030800	Cluster_1110	NA	NA	NA	Zm00001d034686,Zm00001d034687	NA	NA	NA
Syntenic_Dup_0050	Sobic.001G031900	Cluster_1109	NA	NA	NA	Zm00001d034675,Zm00001d034676	NA	Zm00008a005660	NA
Syntenic_Dup_0051	Sobic.001G032400	Cluster_1108	NA	NA	NA	Zm00001d034671,Zm00001d034672	NA	Zm00008a005656	NA
Syntenic_Dup_0052	Sobic.001G032550	NA	NA	Cluster_0230	NA	Zm00001d034669	NA	Zm00008a005645,Zm00008a005655	NA
Syntenic_Dup_0053	Sobic.001G034300	Cluster_1107	NA	NA	Cluster_0707	Zm00001d034651,Zm00001d034653	Zm00001d012963	Zm00008a005641	Zm00008a019104,Zm00008a019106
Syntenic_Dup_0054	Sobic.001G034700	Cluster_1106	NA	Cluster_0229	NA	Zm00001d034643,Zm00001d034644	Zm00001d012966	Zm00008a005637,Zm00008a005638	Zm00008a019110
Syntenic_Dup_0055	Sobic.001G034900	Cluster_1106	NA	Cluster_0229	NA	Zm00001d034643,Zm00001d034644	NA	Zm00008a005637,Zm00008a005638	NA
Syntenic_Dup_0056	Sobic.001G035000	Cluster_1105	NA	NA	NA	Zm00001d034639,Zm00001d034641,Zm00001d034642	NA	Zm00008a005636	NA
Syntenic_Dup_0057	Sobic.001G035100	Cluster_1105	Cluster_0362	NA	NA	Zm00001d034639,Zm00001d034641,Zm00001d034642	Zm00001d012967,Zm00001d012968	NA	Zm00008a019111
Syntenic_Dup_0058	Sobic.001G035300	Cluster_1105	NA	NA	NA	Zm00001d034639,Zm00001d034641,Zm00001d034642	NA	Zm00008a005634	NA
Syntenic_Dup_0059	Sobic.001G037800	NA	Cluster_0363	NA	Cluster_0708	NA	Zm00001d012980,Zm00001d012981,Zm00001d012982	NA	Zm00008a019121,Zm00008a019122
Syntenic_Dup_0060	Sobic.001G037900	NA	Cluster_0363	NA	Cluster_0708	NA	Zm00001d012980,Zm00001d012981,Zm00001d012982	NA	Zm00008a019121,Zm00008a019122
Syntenic_Dup_0061	Sobic.001G038200	Cluster_1104	NA	NA	NA	Zm00001d034620,Zm00001d034621	Zm00001d012983	Zm00008a005617	Zm00008a019123
Syntenic_Dup_0062	Sobic.001G045400	NA	NA	Cluster_0228	NA	Zm00001d034559	Zm00001d013032	Zm00008a005561,Zm00008a005562,Zm00008a005568	Zm00008a019167
Syntenic_Dup_0063	Sobic.001G046600	NA	Cluster_0364	NA	NA	NA	Zm00001d013035,Zm00001d013037	NA	Zm00008a019171
Syntenic_Dup_0064	Sobic.001G048766	Cluster_1101	NA	Cluster_0226	NA	Zm00001d034520,Zm00001d034521	Zm00001d013045	Zm00008a005540,Zm00008a005541	Zm00008a019180
Syntenic_Dup_0065	Sobic.001G053900	Cluster_1100	NA	NA	NA	Zm00001d034488,Zm00001d034489	NA	Zm00008a005501	NA
Syntenic_Dup_0066	Sobic.001G054400	Cluster_1099	NA	NA	NA	Zm00001d034482,Zm00001d034483	NA	NA	NA
Syntenic_Dup_0067	Sobic.001G054500	Cluster_1099	NA	NA	NA	Zm00001d034482,Zm00001d034483	NA	Zm00008a005496	NA
Syntenic_Dup_0068	Sobic.001G054800	NA	Cluster_0365	NA	Cluster_0710	Zm00001d034479	Zm00001d013066,Zm00001d013067	Zm00008a005494	Zm00008a019205,Zm00008a019206
Syntenic_Dup_0069	Sobic.001G056500	Cluster_1098	NA	Cluster_0225	NA	Zm00001d034460,Zm00001d034461	NA	Zm00008a005483,Zm00008a005484	NA
Syntenic_Dup_0070	Sobic.001G056601	Cluster_1098	NA	Cluster_0225	NA	Zm00001d034460,Zm00001d034461	NA	Zm00008a005483,Zm00008a005484	NA
Syntenic_Dup_0071	Sobic.001G056700	Cluster_1096	NA	Cluster_0224	NA	Zm00001d034447,Zm00001d034448,Zm00001d034455,Zm00001d034457	Zm00001d013074	Zm00008a005480,Zm00008a005482	Zm00008a019215
Syntenic_Dup_0072	Sobic.001G056800	Cluster_1095	NA	NA	NA	Zm00001d034446,Zm00001d034454,Zm00001d034456	Zm00001d013075	Zm00008a005481	Zm00008a019216
Syntenic_Dup_0073	Sobic.001G057800	Cluster_1094	NA	Cluster_0223	NA	Zm00001d034431,Zm00001d034432	Zm00001d013078	Zm00008a005466,Zm00008a005467	Zm00008a019221
Syntenic_Dup_0074	Sobic.001G057900	Cluster_1094	NA	Cluster_0223	NA	Zm00001d034431,Zm00001d034432	NA	Zm00008a005466,Zm00008a005467	NA
Syntenic_Dup_0075	Sobic.001G058900	NA	Cluster_0366	NA	NA	Zm00001d034422	Zm00001d013086,Zm00001d013087	Zm00008a005460	Zm00008a019229
Syntenic_Dup_0076	Sobic.001G059150	Cluster_1093	Cluster_0366	Cluster_0222	NA	Zm00001d034417,Zm00001d034418,Zm00001d034419	Zm00001d013086,Zm00001d013087	Zm00008a005456,Zm00008a005457,Zm00008a005458	Zm00008a019231
Syntenic_Dup_0077	Sobic.001G059500	Cluster_1092	NA	Cluster_0221	NA	Zm00001d034415,Zm00001d034416	NA	Zm00008a005453,Zm00008a005454,Zm00008a005455	NA
Syntenic_Dup_0078	Sobic.001G059600	Cluster_1092	NA	Cluster_0221	NA	Zm00001d034415,Zm00001d034416	NA	Zm00008a005453,Zm00008a005454,Zm00008a005455	NA
Syntenic_Dup_0079	Sobic.001G059700	NA	NA	Cluster_0221	NA	Zm00001d034414	Zm00001d013089	Zm00008a005453,Zm00008a005454,Zm00008a005455	Zm00008a019232
Syntenic_Dup_0080	Sobic.001G062500	Cluster_1091	NA	Cluster_0220	NA	Zm00001d034385,Zm00001d034387,Zm00001d034388	Zm00001d013098	Zm00008a005431,Zm00008a005433,Zm00008a005434	Zm00008a019242
Syntenic_Dup_0081	Sobic.001G063300	Cluster_1090	Cluster_0367	Cluster_0219	Cluster_0711	Zm00001d034372,Zm00001d034376	Zm00001d013105,Zm00001d013109	Zm00008a005422,Zm00008a005424	Zm00008a019249,Zm00008a019252
Syntenic_Dup_0082	Sobic.001G063600	Cluster_1090	Cluster_0367	Cluster_0219	Cluster_0711	Zm00001d034372,Zm00001d034376	Zm00001d013105,Zm00001d013109	Zm00008a005422,Zm00008a005424	Zm00008a019249,Zm00008a019252
Syntenic_Dup_0083	Sobic.001G064900	NA	Cluster_0368	NA	NA	Zm00001d034365	Zm00001d013114,Zm00001d013115	Zm00008a005416	Zm00008a019257
Syntenic_Dup_0084	Sobic.001G067400	NA	NA	NA	Cluster_0712	Zm00001d034341	Zm00001d013126	Zm00008a005399	Zm00008a019267,Zm00008a019276
Syntenic_Dup_0085	Sobic.001G069200	Cluster_1086	NA	NA	NA	Zm00001d034305,Zm00001d034307	NA	NA	NA
Syntenic_Dup_0086	Sobic.001G069400	NA	NA	NA	Cluster_0712	NA	Zm00001d013138	NA	Zm00008a019267,Zm00008a019276
Syntenic_Dup_0087	Sobic.001G071500	Cluster_1085	NA	NA	NA	Zm00001d034265,Zm00001d034266	NA	NA	NA
Syntenic_Dup_0088	Sobic.001G075800	Cluster_1083	NA	NA	NA	Zm00001d034200,Zm00001d034201	NA	Zm00008a005332	NA
Syntenic_Dup_0089	Sobic.001G077400	Cluster_1082	NA	NA	NA	Zm00001d034184,Zm00001d034186	Zm00001d013185	Zm00008a005317	Zm00008a019328
Syntenic_Dup_0090	Sobic.001G077900	NA	Cluster_0369	NA	NA	Zm00001d034180	Zm00001d013188,Zm00001d013190	Zm00008a005313	Zm00008a019331
Syntenic_Dup_0091	Sobic.001G078400	NA	NA	Cluster_0218	NA	Zm00001d034167	Zm00001d013195	Zm00008a005302,Zm00008a005305	Zm00008a019336
Syntenic_Dup_0092	Sobic.001G078600	Cluster_1081	NA	Cluster_0217	NA	Zm00001d034164,Zm00001d034166	NA	Zm00008a005301,Zm00008a005303,Zm00008a005304	NA
Syntenic_Dup_0093	Sobic.001G079700	Cluster_1079	NA	Cluster_0215	NA	Zm00001d034125,Zm00001d034137	NA	Zm00008a005274,Zm00008a005283	NA
Syntenic_Dup_0094	Sobic.001G080200	Cluster_1080	NA	Cluster_0216	NA	Zm00001d034128,Zm00001d034129	NA	Zm00008a005276,Zm00008a005278	NA
Syntenic_Dup_0095	Sobic.001G080300	Cluster_1080	NA	NA	NA	Zm00001d034128,Zm00001d034129	Zm00001d013212	Zm00008a005277	Zm00008a019349
Syntenic_Dup_0096	Sobic.001G080700	Cluster_1079	NA	Cluster_0215	NA	Zm00001d034125,Zm00001d034137	Zm00001d013217	Zm00008a005274,Zm00008a005283	Zm00008a019351
Syntenic_Dup_0097	Sobic.001G082100	NA	Cluster_0370	NA	NA	NA	Zm00001d013225,Zm00001d013228	NA	Zm00008a040322
Syntenic_Dup_0098	Sobic.001G082500	Cluster_1078	Cluster_0371	Cluster_0214	Cluster_0715	Zm00001d034095,Zm00001d034096,Zm00001d034097,Zm00001d034104,Zm00001d034107	Zm00001d013226,Zm00001d013229,Zm00001d013230,Zm00001d013231	Zm00008a005253,Zm00008a005254,Zm00008a005257,Zm00008a005259,Zm00008a005272	Zm00008a019359,Zm00008a019360
Syntenic_Dup_0099	Sobic.001G084700	Cluster_1077	NA	Cluster_0213	NA	Zm00001d034066,Zm00001d034067,Zm00001d034068,Zm00001d034069	Zm00001d013246	Zm00008a005236,Zm00008a005237,Zm00008a005238	Zm00008a019373
Syntenic_Dup_0100	Sobic.001G085450	Cluster_1076	NA	Cluster_0212	NA	Zm00001d034057,Zm00001d034058	NA	Zm00008a005228,Zm00008a005229	NA
Syntenic_Dup_0101	Sobic.001G086400	Cluster_1075	NA	NA	Cluster_0717	Zm00001d034045,Zm00001d034047	Zm00001d013258	NA	Zm00008a019387,Zm00008a019389
Syntenic_Dup_0102	Sobic.001G086500	Cluster_1075	NA	NA	Cluster_0717	Zm00001d034045,Zm00001d034047	Zm00001d013259	Zm00008a005213	Zm00008a019387,Zm00008a019389
Syntenic_Dup_0103	Sobic.001G088600	NA	NA	Cluster_0209	NA	Zm00001d034027	NA	Zm00008a005193,Zm00008a005194	NA
Syntenic_Dup_0104	Sobic.001G089000	Cluster_1073	Cluster_0372	Cluster_0208	Cluster_0718	Zm00001d034015,Zm00001d034017	Zm00001d013268,Zm00001d013269	Zm00008a005184,Zm00008a005185	Zm00008a019398,Zm00008a019399
Syntenic_Dup_0105	Sobic.001G089100	Cluster_1073	NA	Cluster_0208	NA	Zm00001d034015,Zm00001d034017	NA	Zm00008a005184,Zm00008a005185	NA
Syntenic_Dup_0106	Sobic.001G089300	NA	Cluster_0372	NA	Cluster_0718	NA	Zm00001d013268,Zm00001d013269	NA	Zm00008a019398,Zm00008a019399
Syntenic_Dup_0107	Sobic.001G090900	Cluster_1072	NA	Cluster_0207	NA	Zm00001d034002,Zm00001d034003	NA	Zm00008a005172,Zm00008a005173	NA
Syntenic_Dup_0108	Sobic.001G091000	Cluster_1072	NA	Cluster_0207	NA	Zm00001d034002,Zm00001d034003	NA	Zm00008a005172,Zm00008a005173	NA
Syntenic_Dup_0109	Sobic.001G096400	Cluster_1071	NA	NA	NA	Zm00001d033942,Zm00001d033943	Zm00001d013311	Zm00008a005125	Zm00008a019434
Syntenic_Dup_0110	Sobic.001G096700	Cluster_1071	NA	NA	NA	Zm00001d033942,Zm00001d033943	NA	Zm00008a005124	NA
Syntenic_Dup_0111	Sobic.001G102200	Cluster_1070	NA	NA	NA	Zm00001d033897,Zm00001d033899	Zm00001d013339	NA	NA
Syntenic_Dup_0112	Sobic.001G103000	Cluster_1069	NA	Cluster_0206	NA	Zm00001d033890,Zm00001d033891,Zm00001d033892	NA	Zm00008a005086,Zm00008a005087,Zm00008a005088	NA
Syntenic_Dup_0113	Sobic.001G103800	NA	NA	Cluster_0205	NA	Zm00001d033882	NA	Zm00008a005080,Zm00008a005081	NA
Syntenic_Dup_0114	Sobic.001G106000	Cluster_1068	NA	NA	NA	Zm00001d033859,Zm00001d033861	NA	Zm00008a005063	NA
Syntenic_Dup_0115	Sobic.001G106200	Cluster_1068	NA	NA	NA	Zm00001d033859,Zm00001d033861	NA	NA	NA
Syntenic_Dup_0116	Sobic.001G108600	Cluster_1067	NA	Cluster_0203	NA	Zm00001d033836,Zm00001d033837	NA	Zm00008a005038,Zm00008a005039	NA
Syntenic_Dup_0117	Sobic.001G116800	NA	NA	NA	Cluster_0721	Zm00001d033741	Zm00001d013432	Zm00008a004986	Zm00008a019536,Zm00008a019551
Syntenic_Dup_0118	Sobic.001G117200	NA	Cluster_0375	NA	NA	Zm00001d033726	Zm00001d013435,Zm00001d013439	Zm00008a004974	Zm00008a019537
Syntenic_Dup_0119	Sobic.001G119000	Cluster_1065	NA	Cluster_0201	NA	Zm00001d033709,Zm00001d033710,Zm00001d033711	Zm00001d013448	Zm00008a004965,Zm00008a004966,Zm00008a004967	Zm00008a019550
Syntenic_Dup_0120	Sobic.001G119600	NA	NA	NA	Cluster_0721	NA	Zm00001d013449	NA	Zm00008a019536,Zm00008a019551
Syntenic_Dup_0121	Sobic.001G123100	Cluster_1062	NA	Cluster_0200	NA	Zm00001d033649,Zm00001d033650,Zm00001d033651	NA	Zm00008a004932,Zm00008a004933	NA
Syntenic_Dup_0122	Sobic.001G123300	Cluster_1062	NA	Cluster_0200	NA	Zm00001d033649,Zm00001d033650,Zm00001d033651	NA	Zm00008a004932,Zm00008a004933	NA
Syntenic_Dup_0123	Sobic.001G125800	Cluster_1061	NA	NA	NA	Zm00001d033623,Zm00001d033624	Zm00001d013493	Zm00008a004913	Zm00008a019584
Syntenic_Dup_0124	Sobic.001G125900	Cluster_1061	NA	NA	NA	Zm00001d033623,Zm00001d033624	NA	NA	NA
Syntenic_Dup_0125	Sobic.001G126600	NA	NA	Cluster_0199	NA	Zm00001d033616	NA	Zm00008a004906,Zm00008a004907	NA
Syntenic_Dup_0126	Sobic.001G127400	Cluster_1060	NA	Cluster_0198	NA	Zm00001d033606,Zm00001d033607	Zm00001d013498	Zm00008a004895,Zm00008a004897	Zm00008a019590
Syntenic_Dup_0127	Sobic.001G129400	NA	NA	NA	Cluster_0722	Zm00001d033589	Zm00001d013509	Zm00008a004881	Zm00008a019600,Zm00008a019606
Syntenic_Dup_0128	Sobic.001G130800	Cluster_1059	NA	Cluster_0197	NA	Zm00001d033564,Zm00001d033571	NA	Zm00008a004865,Zm00008a004869	NA
Syntenic_Dup_0129	Sobic.001G134200	Cluster_1057	NA	Cluster_0195	NA	Zm00001d033530,Zm00001d033531	NA	Zm00008a004835,Zm00008a004836	NA
Syntenic_Dup_0130	Sobic.001G134400	Cluster_1058	NA	NA	NA	Zm00001d033535,Zm00001d033537	Zm00001d013531	Zm00008a004842	Zm00008a019620
Syntenic_Dup_0131	Sobic.001G136400	Cluster_1056	NA	Cluster_0194	NA	Zm00001d033514,Zm00001d033516	NA	Zm00008a004819,Zm00008a004820	NA
Syntenic_Dup_0132	Sobic.001G140101	NA	NA	Cluster_0187	NA	Zm00001d033402	NA	Zm00008a004725,Zm00008a004726	NA
Syntenic_Dup_0133	Sobic.001G141100	Cluster_1050	NA	Cluster_0188	NA	Zm00001d033407,Zm00001d033412,Zm00001d033413	NA	Zm00008a004730,Zm00008a004732,Zm00008a004733	NA
Syntenic_Dup_0134	Sobic.001G141400	Cluster_1052	NA	NA	NA	Zm00001d033415,Zm00001d033416	Zm00001d013569	Zm00008a004735	Zm00008a019661
Syntenic_Dup_0135	Sobic.001G142400	Cluster_1053	Cluster_0377	Cluster_0189	NA	Zm00001d033429,Zm00001d033430,Zm00001d033433,Zm00001d033434,Zm00001d033436,Zm00001d033438,Zm00001d033440,Zm00001d033442	Zm00001d013575,Zm00001d013578	Zm00008a004745,Zm00008a004746,Zm00008a004748,Zm00008a004750,Zm00008a004751,Zm00008a004754,Zm00008a004757	NA
Syntenic_Dup_0136	Sobic.001G143100	Cluster_1117	NA	Cluster_0237	NA	Zm00001d034945,Zm00001d034946,Zm00001d034947	NA	Zm00008a005883,Zm00008a005884	NA
Syntenic_Dup_0137	Sobic.001G146200	Cluster_1054	Cluster_0378	Cluster_0192	Cluster_0725	Zm00001d033460,Zm00001d033462,Zm00001d033463,Zm00001d033464	Zm00001d013616,Zm00001d013617,Zm00001d013619	Zm00008a004767,Zm00008a004768,Zm00008a004769,Zm00008a004770,Zm00008a004771	Zm00008a019698,Zm00008a019700
Syntenic_Dup_0138	Sobic.001G149800	Cluster_1055	NA	Cluster_0193	NA	Zm00001d033489,Zm00001d033490	NA	Zm00008a004791,Zm00008a004792	NA
Syntenic_Dup_0139	Sobic.001G150300	Cluster_1055	NA	Cluster_0193	NA	Zm00001d033489,Zm00001d033490	NA	Zm00008a004791,Zm00008a004792	NA
Syntenic_Dup_0140	Sobic.001G152901	NA	Cluster_0379	NA	NA	Zm00001d033508	Zm00001d013662,Zm00001d013663	Zm00008a004813	Zm00008a019733
Syntenic_Dup_0141	Sobic.001G153700	Cluster_1042	NA	Cluster_0180	NA	Zm00001d033207,Zm00001d033208	NA	Zm00008a004567,Zm00008a004568	NA
Syntenic_Dup_0142	Sobic.001G153900	Cluster_1042	NA	Cluster_0180	NA	Zm00001d033207,Zm00001d033208	NA	Zm00008a004567,Zm00008a004568	NA
Syntenic_Dup_0143	Sobic.001G157600	Cluster_1043	NA	Cluster_0182	NA	Zm00001d033247,Zm00001d033248	Zm00001d013702	Zm00008a004601,Zm00008a004603	Zm00008a019772
Syntenic_Dup_0144	Sobic.001G157700	Cluster_1045	NA	Cluster_0183	NA	Zm00001d033254,Zm00001d033256	Zm00001d000203	Zm00008a004607,Zm00008a004608	Zm00008a019771
Syntenic_Dup_0145	Sobic.001G159600	Cluster_1046	NA	NA	NA	Zm00001d033272,Zm00001d033273	NA	Zm00008a004621	NA
Syntenic_Dup_0146	Sobic.001G164200	NA	Cluster_0380	NA	NA	NA	Zm00001d013719,Zm00001d013720	NA	Zm00008a019776
Syntenic_Dup_0147	Sobic.001G166100	NA	Cluster_0381	Cluster_0185	NA	Zm00001d033324	Zm00001d013722,Zm00001d013723	Zm00008a004660,Zm00008a004664	Zm00008a019778
Syntenic_Dup_0148	Sobic.001G166200	NA	Cluster_0382	NA	NA	Zm00001d033325	Zm00001d013724,Zm00001d013725	Zm00008a004665	Zm00008a019785
Syntenic_Dup_0149	Sobic.001G166500	NA	Cluster_0382	NA	NA	Zm00001d033327	Zm00001d013724,Zm00001d013725	Zm00008a004666	Zm00008a019786
Syntenic_Dup_0150	Sobic.001G169600	Cluster_1049	NA	Cluster_0186	NA	Zm00001d033360,Zm00001d033362	NA	Zm00008a004688,Zm00008a004690	NA
Syntenic_Dup_0151	Sobic.001G170301	Cluster_1041	NA	NA	NA	Zm00001d033195,Zm00001d033196,Zm00001d033200,Zm00001d033201	NA	Zm00008a004697	NA
