ClusterID	Genes	Width	
Cluster_0082	Zm00001d003232,Zm00001d003234,Zm00001d003235,Zm00001d003237,Zm00001d003240	7
Cluster_0083	Zm00001d003277,Zm00001d003280	4
Cluster_0084	Zm00001d003294,Zm00001d003295	2
Cluster_0085	Zm00001d003304,Zm00001d003306	2
Cluster_0086	Zm00001d003341,Zm00001d003342	2
Cluster_0087	Zm00001d003353,Zm00001d003355,Zm00001d003356,Zm00001d003357,Zm00001d003358,Zm00001d003363,Zm00001d003364,Zm00001d003365	10
Cluster_0088	Zm00001d003396,Zm00001d003397	2
Cluster_0089	Zm00001d003432,Zm00001d003434,Zm00001d003436	4
Cluster_0090	Zm00001d003468,Zm00001d003469,Zm00001d003471,Zm00001d003473	6
Cluster_0091	Zm00001d003482,Zm00001d003485	3
Cluster_0092	Zm00001d003483,Zm00001d003488	3
Cluster_0093	Zm00001d003497,Zm00001d003499	2
Cluster_0094	Zm00001d003501,Zm00001d003504	3
Cluster_0095	Zm00001d003524,Zm00001d003525	2
Cluster_0096	Zm00001d003566,Zm00001d003567	2
Cluster_0097	Zm00001d003605,Zm00001d003606,Zm00001d003607	3
Cluster_0098	Zm00001d003661,Zm00001d003662	2
Cluster_0099	Zm00001d003680,Zm00001d003683	3
Cluster_0100	Zm00001d003695,Zm00001d003696,Zm00001d003699,Zm00001d003701	5
Cluster_0101	Zm00001d003719,Zm00001d003722	2
Cluster_0102	Zm00001d003757,Zm00001d003760	4
Cluster_0103	Zm00001d003782,Zm00001d003783	2
Cluster_0104	Zm00001d003786,Zm00001d003791,Zm00001d003794	8
Cluster_0105	Zm00001d003850,Zm00001d003852	3
Cluster_0106	Zm00001d003859,Zm00001d003861	3
Cluster_0107	Zm00001d003866,Zm00001d003867	2
Cluster_0108	Zm00001d003939,Zm00001d003941	2
Cluster_0109	Zm00001d003949,Zm00001d003950,Zm00001d003954	4
Cluster_0110	Zm00001d003961,Zm00001d003962	2
Cluster_0111	Zm00001d004025,Zm00001d004033	3
Cluster_0112	Zm00001d004183,Zm00001d004184	2
Cluster_0113	Zm00001d004230,Zm00001d004234	4
Cluster_0114	Zm00001d004231,Zm00001d004232	2
Cluster_0115	Zm00001d004301,Zm00001d004305,Zm00001d004306,Zm00001d004308	4
Cluster_0116	Zm00001d004322,Zm00001d004326	5
Cluster_0117	Zm00001d004328,Zm00001d004331	3
Cluster_0118	Zm00001d004344,Zm00001d004346	2
Cluster_0119	Zm00001d004355,Zm00001d004364,Zm00001d004371	13
Cluster_0120	Zm00001d004387,Zm00001d004389	3
Cluster_0121	Zm00001d004414,Zm00001d004417	4
Cluster_0122	Zm00001d004415,Zm00001d004418	4
Cluster_0123	Zm00001d004423,Zm00001d004424	2
Cluster_0124	Zm00001d004435,Zm00001d004436	2
Cluster_0125	Zm00001d004491,Zm00001d004503	12
Cluster_0126	Zm00001d004507,Zm00001d004508	2
Cluster_0127	Zm00001d004526,Zm00001d004527	2
Cluster_0128	Zm00001d004572,Zm00001d004589	17
Cluster_0129	Zm00001d004582,Zm00001d004583	2
Cluster_0130	Zm00001d004676,Zm00001d004677	2
Cluster_0131	Zm00001d004684,Zm00001d004685,Zm00001d004686	3
Cluster_0132	Zm00001d004687,Zm00001d004689	2
Cluster_0133	Zm00001d004718,Zm00001d004719	2
Cluster_0134	Zm00001d004721,Zm00001d004725,Zm00001d004728,Zm00001d004729,Zm00001d004730	9
Cluster_0135	Zm00001d004753,Zm00001d004754,Zm00001d004758	6
Cluster_0136	Zm00001d004763,Zm00001d004768	4
Cluster_0137	Zm00001d004771,Zm00001d004772	2
Cluster_0138	Zm00001d004794,Zm00001d004796,Zm00001d004797	3
Cluster_0139	Zm00001d004826,Zm00001d004835	5
Cluster_0140	Zm00001d004839,Zm00001d004841	3
Cluster_0141	Zm00001d004884,Zm00001d004887,Zm00001d004888	5
Cluster_0142	Zm00001d004942,Zm00001d004945,Zm00001d004949	6
Cluster_0143	Zm00001d004977,Zm00001d004978	2
Cluster_0144	Zm00001d004994,Zm00001d004995	2
Cluster_0145	Zm00001d005001,Zm00001d005002	2
Cluster_0146	Zm00001d005012,Zm00001d005013	2
Cluster_0147	Zm00001d005038,Zm00001d005039	2
Cluster_0148	Zm00001d005043,Zm00001d005044	2
Cluster_0149	Zm00001d005075,Zm00001d005076,Zm00001d005077	3
Cluster_0150	Zm00001d005189,Zm00001d005190	2
Cluster_0151	Zm00001d005283,Zm00001d005284	2
Cluster_0152	Zm00001d005300,Zm00001d005307	8
Cluster_0153	Zm00001d005374,Zm00001d005379,Zm00001d005380,Zm00001d005389	12
Cluster_0154	Zm00001d005375,Zm00001d005381,Zm00001d005391	12
Cluster_0155	Zm00001d005377,Zm00001d005378,Zm00001d005383,Zm00001d005392	11
Cluster_0156	Zm00001d005410,Zm00001d005421	5
Cluster_0157	Zm00001d005436,Zm00001d005437	2
Cluster_0158	Zm00001d005464,Zm00001d005465	2
Cluster_0159	Zm00001d005540,Zm00001d005541	2
Cluster_0160	Zm00001d005678,Zm00001d005680	3
Cluster_0161	Zm00001d005688,Zm00001d005690	2
Cluster_0162	Zm00001d005693,Zm00001d005694	2
Cluster_0163	Zm00001d005716,Zm00001d005717,Zm00001d005719,Zm00001d005722	4
Cluster_0164	Zm00001d005782,Zm00001d005783	2
Cluster_0165	Zm00001d005786,Zm00001d005787,Zm00001d005788	3
Cluster_0166	Zm00001d005802,Zm00001d005803	2
Cluster_0167	Zm00001d005821,Zm00001d005822,Zm00001d005823	3
Cluster_0168	Zm00001d005859,Zm00001d005860	2
Cluster_0169	Zm00001d005878,Zm00001d005879	2
Cluster_0170	Zm00001d005905,Zm00001d005909,Zm00001d005910	4
Cluster_0171	Zm00001d005933,Zm00001d005934,Zm00001d005935	3
Cluster_0172	Zm00001d005936,Zm00001d005940	4
Cluster_0173	Zm00001d005973,Zm00001d005974	2
Cluster_0174	Zm00001d006013,Zm00001d006014	2
Cluster_0175	Zm00001d006137,Zm00001d006140,Zm00001d006145	6
Cluster_0176	Zm00001d006142,Zm00001d006147	5
Cluster_0177	Zm00001d006143,Zm00001d006148	5
Cluster_0178	Zm00001d006144,Zm00001d006149	5
Cluster_0179	Zm00001d006169,Zm00001d006170	2
Cluster_0180	Zm00001d006193,Zm00001d006199,Zm00001d006203	8
Cluster_0181	Zm00001d006252,Zm00001d006253	2
Cluster_0182	Zm00001d006260,Zm00001d006263	4
Cluster_0183	Zm00001d006274,Zm00001d006275,Zm00001d006276,Zm00001d006277,Zm00001d006279,Zm00001d006280,Zm00001d006282,Zm00001d006283,Zm00001d006285	11
Cluster_0184	Zm00001d006278,Zm00001d006281	4
Cluster_0185	Zm00001d006298,Zm00001d006306	8
Cluster_0186	Zm00001d006300,Zm00001d006301,Zm00001d006307	7
Cluster_0187	Zm00001d006312,Zm00001d006313	2
Cluster_0188	Zm00001d006340,Zm00001d006341,Zm00001d006342	3
Cluster_0189	Zm00001d006446,Zm00001d006449,Zm00001d006450	5
Cluster_0190	Zm00001d006484,Zm00001d006485	2
Cluster_0191	Zm00001d006493,Zm00001d006494	2
Cluster_0192	Zm00001d006505,Zm00001d006506	2
Cluster_0193	Zm00001d006515,Zm00001d006516	2
Cluster_0194	Zm00001d006525,Zm00001d006526	2
Cluster_0195	Zm00001d006527,Zm00001d006531,Zm00001d006535,Zm00001d006536	8
Cluster_0196	Zm00001d006547,Zm00001d006548	2
Cluster_0197	Zm00001d006683,Zm00001d006684	2
Cluster_0198	Zm00001d006688,Zm00001d006697	8
Cluster_0199	Zm00001d006735,Zm00001d006736	2
Cluster_0200	Zm00001d006774,Zm00001d006775	2
Cluster_0201	Zm00001d006776,Zm00001d006777	2
Cluster_0202	Zm00001d006778,Zm00001d006779	2
Cluster_0203	Zm00001d006923,Zm00001d006924	2
Cluster_0204	Zm00001d006933,Zm00001d006936,Zm00001d006937	5
Cluster_0205	Zm00001d006947,Zm00001d006948	2
Cluster_0206	Zm00001d007125,Zm00001d007127,Zm00001d007129	3
Cluster_0207	Zm00001d007160,Zm00001d007161	2
Cluster_0208	Zm00001d007166,Zm00001d007167	2
Cluster_0209	Zm00001d007257,Zm00001d007258	2
Cluster_0210	Zm00001d007272,Zm00001d007274	2
Cluster_0211	Zm00001d007334,Zm00001d007337	3
Cluster_0212	Zm00001d007341,Zm00001d007343	2
Cluster_0213	Zm00001d007347,Zm00001d007349	3
Cluster_0214	Zm00001d007367,Zm00001d007368	2
Cluster_0215	Zm00001d007400,Zm00001d007403	3
Cluster_0216	Zm00001d007426,Zm00001d007430	4
Cluster_0217	Zm00001d007443,Zm00001d007444	2
Cluster_0218	Zm00001d007456,Zm00001d007457	2
Cluster_0219	Zm00001d007470,Zm00001d007471	2
Cluster_0220	Zm00001d007474,Zm00001d007477	4
Cluster_0221	Zm00001d007491,Zm00001d007495	4
Cluster_0222	Zm00001d007492,Zm00001d007493	2
Cluster_0223	Zm00001d007531,Zm00001d007534,Zm00001d007548,Zm00001d007555,Zm00001d007559	22
Cluster_0224	Zm00001d007549,Zm00001d007560	9
Cluster_0225	Zm00001d007550,Zm00001d007561	9
Cluster_0226	Zm00001d007553,Zm00001d007567	12
Cluster_0227	Zm00001d007586,Zm00001d007587,Zm00001d007589,Zm00001d007590	4
Cluster_0228	Zm00001d007602,Zm00001d007603	2
Cluster_0229	Zm00001d007604,Zm00001d007616,Zm00001d007618,Zm00001d007620,Zm00001d007623	9
Cluster_0230	Zm00001d007632,Zm00001d007635	4
Cluster_0231	Zm00001d007661,Zm00001d007665,Zm00001d007667,Zm00001d007670,Zm00001d007672,Zm00001d007675	10
Cluster_0232	Zm00001d007662,Zm00001d007664	2
Cluster_0233	Zm00001d007700,Zm00001d007705	4
Cluster_0234	Zm00001d007725,Zm00001d007743	10
Cluster_0235	Zm00001d007726,Zm00001d007732,Zm00001d007740,Zm00001d007746	12
Cluster_0236	Zm00001d007755,Zm00001d007757	3
Cluster_0237	Zm00001d007762,Zm00001d007764	3
Cluster_0238	Zm00001d007777,Zm00001d007782	5
Cluster_0239	Zm00001d007790,Zm00001d007793	4
Cluster_0240	Zm00001d007810,Zm00001d007815,Zm00001d007819	8
Cluster_0241	Zm00001d007831,Zm00001d007832	2
Cluster_0242	Zm00001d007843,Zm00001d007848	5
Cluster_0243	Zm00001d007851,Zm00001d007853	2
Cluster_0244	Zm00001d007908,Zm00001d007909	2
Cluster_0245	Zm00001d007918,Zm00001d007924	7
Cluster_0246	Zm00001d008260,Zm00001d008261	2
Cluster_0247	Zm00001d008299,Zm00001d008300	2
Cluster_0248	Zm00001d008314,Zm00001d008318	3
Cluster_0249	Zm00001d008322,Zm00001d008323	2
Cluster_0250	Zm00001d008331,Zm00001d008332	2
Cluster_0251	Zm00001d008399,Zm00001d008403	3
Cluster_0252	Zm00001d008412,Zm00001d008413	2
Cluster_0253	Zm00001d008450,Zm00001d008452,Zm00001d008453	4
Cluster_0254	Zm00001d008457,Zm00001d008458,Zm00001d008460,Zm00001d008461,Zm00001d008462,Zm00001d008465,Zm00001d008466,Zm00001d008467,Zm00001d008468,Zm00001d008477,Zm00001d008478,Zm00001d008479,Zm00001d008485,Zm00001d008487,Zm00001d008488,Zm00001d008489	22
Cluster_0255	Zm00001d008494,Zm00001d008495,Zm00001d008496	3
Cluster_0256	Zm00001d008529,Zm00001d008530	2
Cluster_0257	Zm00001d008581,Zm00001d008585	5
Cluster_0258	Zm00001d008582,Zm00001d008584	3
Cluster_0259	Zm00001d008601,Zm00001d008602	2
Cluster_0260	Zm00001d008632,Zm00001d008633	2
Cluster_0261	Zm00001d008634,Zm00001d008635	2
Cluster_0262	Zm00001d008645,Zm00001d008646	2
Cluster_0263	Zm00001d008671,Zm00001d008674	3
Cluster_0264	Zm00001d008769,Zm00001d008772	3
Cluster_0265	Zm00001d008899,Zm00001d008901	3
Cluster_0266	Zm00001d008903,Zm00001d008905	3
Cluster_0267	Zm00001d008925,Zm00001d008927,Zm00001d008928,Zm00001d008929,Zm00001d008934	10
Cluster_0268	Zm00001d008985,Zm00001d008987,Zm00001d008990	5
Cluster_0269	Zm00001d009082,Zm00001d009083	2
Cluster_0270	Zm00001d009113,Zm00001d009124	11
Cluster_0271	Zm00001d009138,Zm00001d009140	3
Cluster_0272	Zm00001d009447,Zm00001d009448	2
Cluster_0273	Zm00001d009461,Zm00001d009462	2
Cluster_0274	Zm00001d009489,Zm00001d009490	2
Cluster_0275	Zm00001d009566,Zm00001d009567	2
Cluster_0276	Zm00001d009600,Zm00001d009603,Zm00001d009605	6
Cluster_0277	Zm00001d009650,Zm00001d009652,Zm00001d009653,Zm00001d009657	6
Cluster_0278	Zm00001d009705,Zm00001d009706	2
Cluster_0279	Zm00001d009727,Zm00001d009728	2
Cluster_0280	Zm00001d009732,Zm00001d009734	3
Cluster_0281	Zm00001d009733,Zm00001d009735	3
Cluster_0282	Zm00001d009868,Zm00001d009870	2
Cluster_0283	Zm00001d009894,Zm00001d009895	2
Cluster_0284	Zm00001d009923,Zm00001d009924	2
Cluster_0285	Zm00001d009948,Zm00001d009950	3
Cluster_0286	Zm00001d010034,Zm00001d010036	2
Cluster_0287	Zm00001d010093,Zm00001d010094,Zm00001d010102,Zm00001d010105	9
Cluster_0288	Zm00001d010098,Zm00001d010099,Zm00001d010103,Zm00001d010104	6
Cluster_0289	Zm00001d010152,Zm00001d010162	8
Cluster_0290	Zm00001d010232,Zm00001d010233	2
Cluster_0291	Zm00001d010251,Zm00001d010255	2
Cluster_0292	Zm00001d010296,Zm00001d010297,Zm00001d010299,Zm00001d010302	5
Cluster_0293	Zm00001d010343,Zm00001d010345,Zm00001d010348	5
Cluster_0294	Zm00001d010344,Zm00001d010347,Zm00001d010356	10
Cluster_0295	Zm00001d010397,Zm00001d010398	2
Cluster_0296	Zm00001d010442,Zm00001d010448	6
Cluster_0297	Zm00001d010450,Zm00001d010451	2
Cluster_0298	Zm00001d010592,Zm00001d010593	2
Cluster_0299	Zm00001d010649,Zm00001d010650	2
Cluster_0300	Zm00001d010673,Zm00001d010675	2
Cluster_0301	Zm00001d010689,Zm00001d010690	2
Cluster_0302	Zm00001d010732,Zm00001d010733	2
Cluster_0303	Zm00001d010749,Zm00001d010751	3
Cluster_0304	Zm00001d010762,Zm00001d010771,Zm00001d010774	10
Cluster_0305	Zm00001d010764,Zm00001d010770,Zm00001d010773,Zm00001d010779,Zm00001d010782	15
Cluster_0306	Zm00001d010768,Zm00001d010772,Zm00001d010780	12
Cluster_0307	Zm00001d010775,Zm00001d010776	2
Cluster_0308	Zm00001d010870,Zm00001d010871	2
Cluster_0309	Zm00001d010875,Zm00001d010876	2
Cluster_0310	Zm00001d010924,Zm00001d010925,Zm00001d010926	3
Cluster_0311	Zm00001d011004,Zm00001d011005	2
Cluster_0312	Zm00001d011014,Zm00001d011017,Zm00001d011026,Zm00001d011028	9
Cluster_0313	Zm00001d011034,Zm00001d011035	2
Cluster_0314	Zm00001d011072,Zm00001d011073	2
Cluster_0315	Zm00001d011079,Zm00001d011080	2
Cluster_0316	Zm00001d011086,Zm00001d011087	2
Cluster_0317	Zm00001d011260,Zm00001d011262	2
Cluster_0318	Zm00001d011291,Zm00001d011292	2
Cluster_0319	Zm00001d011315,Zm00001d011319	3
Cluster_0320	Zm00001d011326,Zm00001d011327	2
Cluster_0321	Zm00001d011340,Zm00001d011342,Zm00001d011345	3
Cluster_0322	Zm00001d011348,Zm00001d011349	2
Cluster_0323	Zm00001d011367,Zm00001d011368	2
Cluster_0324	Zm00001d011417,Zm00001d011418,Zm00001d011419,Zm00001d011420,Zm00001d011422	6
Cluster_0325	Zm00001d011428,Zm00001d011429	2
Cluster_0326	Zm00001d011550,Zm00001d011551	2
Cluster_0327	Zm00001d011582,Zm00001d011583,Zm00001d011584	3
Cluster_0328	Zm00001d011589,Zm00001d011590	2
Cluster_0329	Zm00001d011625,Zm00001d011626,Zm00001d011627,Zm00001d011628,Zm00001d011629	5
Cluster_0330	Zm00001d011641,Zm00001d011643	3
Cluster_0331	Zm00001d011654,Zm00001d011655,Zm00001d011656	3
Cluster_0332	Zm00001d011723,Zm00001d011729	2
Cluster_0333	Zm00001d011736,Zm00001d011737	2
Cluster_0334	Zm00001d011751,Zm00001d011752	2
Cluster_0335	Zm00001d011921,Zm00001d011922	2
Cluster_0336	Zm00001d011924,Zm00001d011925,Zm00001d011926	3
Cluster_0337	Zm00001d011959,Zm00001d011964	3
Cluster_0338	Zm00001d012021,Zm00001d012022	2
Cluster_0339	Zm00001d012080,Zm00001d012081	2
Cluster_0340	Zm00001d012092,Zm00001d012095	3
Cluster_0341	Zm00001d012122,Zm00001d012124	2
Cluster_0342	Zm00001d012147,Zm00001d012152	3
Cluster_0343	Zm00001d012184,Zm00001d012185,Zm00001d012186,Zm00001d012187,Zm00001d012188	5
Cluster_0344	Zm00001d012229,Zm00001d012231	2
Cluster_0345	Zm00001d012249,Zm00001d012252	3
Cluster_0346	Zm00001d012301,Zm00001d012306	4
Cluster_0347	Zm00001d012362,Zm00001d012367	4
Cluster_0348	Zm00001d012363,Zm00001d012366,Zm00001d012368,Zm00001d012371,Zm00001d012373,Zm00001d012375,Zm00001d012377	10
Cluster_0349	Zm00001d012399,Zm00001d012400	2
Cluster_0350	Zm00001d012427,Zm00001d012430	4
Cluster_0351	Zm00001d012532,Zm00001d012533	2
Cluster_0352	Zm00001d012573,Zm00001d012574	2
Cluster_0353	Zm00001d012584,Zm00001d012585	2
Cluster_0354	Zm00001d012696,Zm00001d012697	2
Cluster_0355	Zm00001d012741,Zm00001d012742	2
Cluster_0356	Zm00001d012772,Zm00001d012773	2
Cluster_0357	Zm00001d012780,Zm00001d012782,Zm00001d012785,Zm00001d012788	8
Cluster_0358	Zm00001d012899,Zm00001d012900,Zm00001d012906	5
Cluster_0359	Zm00001d012907,Zm00001d012909	3
Cluster_0360	Zm00001d012943,Zm00001d012947	4
Cluster_0361	Zm00001d012946,Zm00001d012949	4
Cluster_0362	Zm00001d012967,Zm00001d012968	2
Cluster_0363	Zm00001d012980,Zm00001d012981,Zm00001d012982	3
Cluster_0364	Zm00001d013035,Zm00001d013037	3
Cluster_0365	Zm00001d013066,Zm00001d013067	2
Cluster_0366	Zm00001d013086,Zm00001d013087	2
Cluster_0367	Zm00001d013105,Zm00001d013109	4
Cluster_0368	Zm00001d013114,Zm00001d013115	2
Cluster_0369	Zm00001d013188,Zm00001d013190	2
Cluster_0370	Zm00001d013225,Zm00001d013228	3
Cluster_0371	Zm00001d013226,Zm00001d013229,Zm00001d013230,Zm00001d013231	5
Cluster_0372	Zm00001d013268,Zm00001d013269	2
Cluster_0373	Zm00001d013365,Zm00001d013366	2
Cluster_0374	Zm00001d013418,Zm00001d013423	6
Cluster_0375	Zm00001d013435,Zm00001d013439	2
Cluster_0376	Zm00001d013514,Zm00001d013516	2
Cluster_0377	Zm00001d013575,Zm00001d013578	3
Cluster_0378	Zm00001d013616,Zm00001d013617,Zm00001d013619	4
Cluster_0379	Zm00001d013662,Zm00001d013663	2
Cluster_0380	Zm00001d013719,Zm00001d013720	2
Cluster_0381	Zm00001d013722,Zm00001d013723	2
Cluster_0382	Zm00001d013724,Zm00001d013725	2
Cluster_0383	Zm00001d013787,Zm00001d013788	2
Cluster_0384	Zm00001d013796,Zm00001d013797	2
Cluster_0385	Zm00001d013809,Zm00001d013810,Zm00001d013811	3
Cluster_0386	Zm00001d013900,Zm00001d013903	3
Cluster_0387	Zm00001d013901,Zm00001d013904	3
Cluster_0388	Zm00001d013945,Zm00001d013949	4
Cluster_0389	Zm00001d013950,Zm00001d013955	5
Cluster_0390	Zm00001d014066,Zm00001d014070,Zm00001d014072	3
Cluster_0391	Zm00001d014100,Zm00001d014101	2
Cluster_0392	Zm00001d014104,Zm00001d014106	2
Cluster_0393	Zm00001d014134,Zm00001d014136	3
Cluster_0394	Zm00001d014153,Zm00001d014155	2
Cluster_0395	Zm00001d014159,Zm00001d014160	2
Cluster_0396	Zm00001d014217,Zm00001d014219	2
Cluster_0397	Zm00001d014249,Zm00001d014250	2
Cluster_0398	Zm00001d014302,Zm00001d014303	2
Cluster_0399	Zm00001d014328,Zm00001d014329	2
Cluster_0400	Zm00001d014351,Zm00001d014352,Zm00001d014353	3
Cluster_0401	Zm00001d014367,Zm00001d014369	3
Cluster_0402	Zm00001d014378,Zm00001d014379	2
Cluster_0403	Zm00001d014394,Zm00001d014397	4
Cluster_0404	Zm00001d014395,Zm00001d014399	5
Cluster_0405	Zm00001d014443,Zm00001d014447	5
Cluster_0406	Zm00001d014451,Zm00001d014456,Zm00001d014458	4
Cluster_0407	Zm00001d014468,Zm00001d014469,Zm00001d014470	3
Cluster_0408	Zm00001d014510,Zm00001d014511	2
Cluster_0409	Zm00001d014540,Zm00001d014542	2
Cluster_0410	Zm00001d014555,Zm00001d014557	3
Cluster_0411	Zm00001d014601,Zm00001d014602,Zm00001d014603,Zm00001d014606,Zm00001d014608	5
Cluster_0412	Zm00001d014613,Zm00001d014614,Zm00001d014615,Zm00001d014617	5
Cluster_0413	Zm00001d014623,Zm00001d014625	3
Cluster_0414	Zm00001d014628,Zm00001d014629,Zm00001d014630	3
Cluster_0415	Zm00001d014649,Zm00001d014650,Zm00001d014652,Zm00001d014654	4
Cluster_0416	Zm00001d014712,Zm00001d014714	2
Cluster_0417	Zm00001d014721,Zm00001d014722	2
Cluster_0418	Zm00001d014731,Zm00001d014732	2
Cluster_0419	Zm00001d014734,Zm00001d014737	4
Cluster_0420	Zm00001d014817,Zm00001d014818,Zm00001d014819,Zm00001d014820	4
Cluster_0421	Zm00001d014835,Zm00001d014839	2
Cluster_0422	Zm00001d014840,Zm00001d014842	3
Cluster_0423	Zm00001d014880,Zm00001d014882	2
Cluster_0424	Zm00001d014903,Zm00001d014906	3
Cluster_0425	Zm00001d014944,Zm00001d014945	2
Cluster_0426	Zm00001d014954,Zm00001d014957	2
Cluster_0427	Zm00001d014968,Zm00001d014973	6
Cluster_0428	Zm00001d015005,Zm00001d015006	2
Cluster_0429	Zm00001d015018,Zm00001d015019	2
Cluster_0430	Zm00001d015040,Zm00001d015043	4
Cluster_0431	Zm00001d015041,Zm00001d015047,Zm00001d015052,Zm00001d015057	13
Cluster_0432	Zm00001d015053,Zm00001d015054	2
