Cluster_ID	B_Cluster	P_Cluster	B_Genes	P_Genes
Nonsyntenic_Dup_0037	Cluster_0037	Cluster_0254	Zm00001d002394,Zm00001d002393	Zm00008a006352,Zm00008a006353
Nonsyntenic_Dup_0038	Cluster_0040	NA	Zm00001d002402,Zm00001d002399	Zm00008a006356
Nonsyntenic_Dup_0039	Cluster_0041	NA	Zm00001d002412,Zm00001d002410	Zm00008a006365
Nonsyntenic_Dup_0040	Cluster_0042	Cluster_0256	Zm00001d002434,Zm00001d002435,Zm00001d002436	Zm00008a006385,Zm00008a006384,Zm00008a006383
Nonsyntenic_Dup_0041	Cluster_0043	NA	Zm00001d002446,Zm00001d002447	Zm00008a006392
Nonsyntenic_Dup_0042	Cluster_0044	Cluster_0257	Zm00001d002473,Zm00001d002474	Zm00008a006406,Zm00008a006419
Nonsyntenic_Dup_0043	Cluster_0046	Cluster_0259	Zm00001d002530,Zm00001d002523,Zm00001d002522,Zm00001d002521,Zm00001d002520	Zm00008a006454,Zm00008a006453
Nonsyntenic_Dup_0044	Cluster_0047	Cluster_0260	Zm00001d002543,Zm00001d002546	Zm00008a006471,Zm00008a006474
Nonsyntenic_Dup_0045	Cluster_0050	Cluster_0261	Zm00001d002570,Zm00001d002572	Zm00008a006488,Zm00008a006489
Nonsyntenic_Dup_0046	Cluster_0054	Cluster_0263	Zm00001d002699,Zm00001d002698	Zm00008a006571,Zm00008a006569
Nonsyntenic_Dup_0047	Cluster_0055	Cluster_0265	Zm00001d002705,Zm00001d002708	Zm00008a006583,Zm00008a006579
Nonsyntenic_Dup_0048	Cluster_0056	Cluster_0266	Zm00001d002729,Zm00001d002728,Zm00001d002727	Zm00008a006598,Zm00008a006599
Nonsyntenic_Dup_0049	Cluster_0057	NA	Zm00001d002744,Zm00001d002748,Zm00001d002747	Zm00008a006614
Nonsyntenic_Dup_0050	Cluster_0058	NA	Zm00001d002760,Zm00001d002762,Zm00001d002761	Zm00008a006630
Nonsyntenic_Dup_0051	Cluster_0060	NA	Zm00001d002812,Zm00001d002814	Zm00008a006666
Nonsyntenic_Dup_0052	NA	Cluster_0269	Zm00001d002843	Zm00008a006696,Zm00008a006695
Nonsyntenic_Dup_0053	Cluster_0061	Cluster_0270	Zm00001d002847,Zm00001d002848	Zm00008a006699,Zm00008a006701
Nonsyntenic_Dup_0054	Cluster_0062	NA	Zm00001d002886,Zm00001d002887	Zm00008a006735
Nonsyntenic_Dup_0055	Cluster_0063	NA	Zm00001d002888,Zm00001d002893	Zm00008a006736
Nonsyntenic_Dup_0056	Cluster_0064	NA	Zm00001d002899,Zm00001d002898,Zm00001d002897,Zm00001d002901,Zm00001d002902	Zm00008a006743
Nonsyntenic_Dup_0057	Cluster_0065	NA	Zm00001d002915,Zm00001d002907	Zm00008a006750
Nonsyntenic_Dup_0058	Cluster_0068	Cluster_0277	Zm00001d002974,Zm00001d002972	Zm00008a006824,Zm00008a006829
Nonsyntenic_Dup_0059	Cluster_0068	NA	Zm00001d002974,Zm00001d002972	Zm00008a006827
Nonsyntenic_Dup_0060	Cluster_0069	Cluster_0279	Zm00001d003015,Zm00001d003016	Zm00008a006866,Zm00008a006867
Nonsyntenic_Dup_0061	Cluster_0070	NA	Zm00001d003021,Zm00001d003023,Zm00001d003019	Zm00008a006875
Nonsyntenic_Dup_0062	Cluster_0072	Cluster_0280	Zm00001d003046,Zm00001d003045,Zm00001d003044	Zm00008a006895,Zm00008a006896
Nonsyntenic_Dup_0063	Cluster_0073	Cluster_0281	Zm00001d003058,Zm00001d003059	Zm00008a006905,Zm00008a006904
Nonsyntenic_Dup_0064	Cluster_0074	Cluster_0282	Zm00001d003067,Zm00001d003066	Zm00008a006910,Zm00008a006908
Nonsyntenic_Dup_0065	Cluster_0075	NA	Zm00001d003070,Zm00001d003069	Zm00008a006912
Nonsyntenic_Dup_0066	Cluster_0076	Cluster_0283	Zm00001d003144,Zm00001d003142,Zm00001d003140	Zm00008a006963,Zm00008a006964
Nonsyntenic_Dup_0067	Cluster_0077	NA	Zm00001d003155,Zm00001d003151	Zm00008a006970
Nonsyntenic_Dup_0068	Cluster_0078	NA	Zm00001d003174,Zm00001d003173	Zm00008a006982
Nonsyntenic_Dup_0069	Cluster_0079	Cluster_0284	Zm00001d003183,Zm00001d003186,Zm00001d003187,Zm00001d003184,Zm00001d003185	Zm00008a006993,Zm00008a006994,Zm00008a006995,Zm00008a006996,Zm00008a006997
Nonsyntenic_Dup_0070	Cluster_0080	NA	Zm00001d003188,Zm00001d003191,Zm00001d003190	Zm00008a006998
Nonsyntenic_Dup_0071	Cluster_0082	NA	Zm00001d003240,Zm00001d003234,Zm00001d003235,Zm00001d003237,Zm00001d003232	Zm00008a007031
Nonsyntenic_Dup_0072	Cluster_0082	NA	Zm00001d003240,Zm00001d003234,Zm00001d003235,Zm00001d003237,Zm00001d003232	Zm00008a007033
Nonsyntenic_Dup_0073	Cluster_0083	NA	Zm00001d003280,Zm00001d003277	Zm00008a007073
Nonsyntenic_Dup_0074	Cluster_0084	NA	Zm00001d003294,Zm00001d003295	Zm00008a007088
Nonsyntenic_Dup_0075	Cluster_0085	NA	Zm00001d003304,Zm00001d003306	Zm00008a007096
Nonsyntenic_Dup_0076	Cluster_0086	NA	Zm00001d003342,Zm00001d003341	Zm00008a007120
Nonsyntenic_Dup_0077	Cluster_0086	NA	Zm00001d003342,Zm00001d003341	Zm00008a007121
Nonsyntenic_Dup_0078	Cluster_0087	Cluster_0285	Zm00001d003363,Zm00001d003364,Zm00001d003358,Zm00001d003353,Zm00001d003357,Zm00001d003356,Zm00001d003355,Zm00001d003365	Zm00008a007129,Zm00008a007133,Zm00008a007132,Zm00008a007135,Zm00008a007134
Nonsyntenic_Dup_0079	Cluster_0087	NA	Zm00001d003363,Zm00001d003364,Zm00001d003358,Zm00001d003353,Zm00001d003357,Zm00001d003356,Zm00001d003355,Zm00001d003365	Zm00008a007131
Nonsyntenic_Dup_0080	Cluster_0088	NA	Zm00001d003397,Zm00001d003396	Zm00008a007157
Nonsyntenic_Dup_0081	Cluster_0089	Cluster_0286	Zm00001d003436,Zm00001d003434,Zm00001d003432	Zm00008a007188,Zm00008a007189,Zm00008a007191
Nonsyntenic_Dup_0082	Cluster_0090	Cluster_0287	Zm00001d003473,Zm00001d003471,Zm00001d003469,Zm00001d003468	Zm00008a007211,Zm00008a007205,Zm00008a007204
Nonsyntenic_Dup_0083	Cluster_0090	NA	Zm00001d003473,Zm00001d003471,Zm00001d003469,Zm00001d003468	Zm00008a007212
Nonsyntenic_Dup_0084	Cluster_0092	Cluster_0288	Zm00001d003483,Zm00001d003488	Zm00008a007224,Zm00008a007226
Nonsyntenic_Dup_0085	Cluster_0093	NA	Zm00001d003497,Zm00001d003499	Zm00008a007231
Nonsyntenic_Dup_0086	Cluster_0094	Cluster_0289	Zm00001d003504,Zm00001d003501	Zm00008a007235,Zm00008a007233
Nonsyntenic_Dup_0087	Cluster_0096	Cluster_0292	Zm00001d003566,Zm00001d003567	Zm00008a007282,Zm00008a007281
Nonsyntenic_Dup_0088	Cluster_0097	Cluster_0294	Zm00001d003605,Zm00001d003607,Zm00001d003606	Zm00008a007315,Zm00008a007314
Nonsyntenic_Dup_0089	Cluster_0098	NA	Zm00001d003662,Zm00001d003661	Zm00008a007359
Nonsyntenic_Dup_0090	Cluster_0099	Cluster_0295	Zm00001d003680,Zm00001d003683	Zm00008a007375,Zm00008a007374
Nonsyntenic_Dup_0091	Cluster_0100	Cluster_0296	Zm00001d003701,Zm00001d003699,Zm00001d003696,Zm00001d003695	Zm00008a007382,Zm00008a007383,Zm00008a007380,Zm00008a007381
Nonsyntenic_Dup_0092	Cluster_0101	Cluster_0297	Zm00001d003722,Zm00001d003719	Zm00008a007401,Zm00008a007400
Nonsyntenic_Dup_0093	NA	Cluster_0299	Zm00001d003724	Zm00008a007404,Zm00008a007406
Nonsyntenic_Dup_0094	NA	Cluster_0298	Zm00001d003725	Zm00008a007402,Zm00008a007408
Nonsyntenic_Dup_0095	Cluster_0103	NA	Zm00001d003782,Zm00001d003783	Zm00008a007446
Nonsyntenic_Dup_0096	Cluster_0104	NA	Zm00001d003786,Zm00001d003791,Zm00001d003794	Zm00008a007448
Nonsyntenic_Dup_0097	Cluster_0104	NA	Zm00001d003786,Zm00001d003791,Zm00001d003794	Zm00008a007453
Nonsyntenic_Dup_0098	NA	Cluster_0302	Zm00001d003800	Zm00008a007463,Zm00008a007460
Nonsyntenic_Dup_0099	Cluster_0107	NA	Zm00001d003867,Zm00001d003866	Zm00008a007531
Nonsyntenic_Dup_0100	NA	Cluster_0304	Zm00001d003871	Zm00008a007535,Zm00008a007545
Nonsyntenic_Dup_0101	Cluster_0108	Cluster_0305	Zm00001d003939,Zm00001d003941	Zm00008a007598,Zm00008a007596
Nonsyntenic_Dup_0102	Cluster_0109	Cluster_0306	Zm00001d003954,Zm00001d003950,Zm00001d003949	Zm00008a007603,Zm00008a007602,Zm00008a007609
Nonsyntenic_Dup_0103	Cluster_0110	Cluster_0307	Zm00001d003961,Zm00001d003962	Zm00008a007613,Zm00008a007612
Nonsyntenic_Dup_0104	NA	Cluster_0308	Zm00001d004018	Zm00008a007642,Zm00008a007641
Nonsyntenic_Dup_0105	Cluster_0111	Cluster_0309	Zm00001d004025,Zm00001d004033	Zm00008a007657,Zm00008a007650
Nonsyntenic_Dup_0106	NA	Cluster_0310	Zm00001d004072	Zm00008a007682,Zm00008a007684
Nonsyntenic_Dup_0107	NA	Cluster_0310	Zm00001d004074	Zm00008a007682,Zm00008a007684
Nonsyntenic_Dup_0108	NA	Cluster_0311	Zm00001d004127	Zm00008a007719,Zm00008a007717,Zm00008a007720
Nonsyntenic_Dup_0109	NA	Cluster_0312	Zm00001d004162	Zm00008a007746,Zm00008a007747
Nonsyntenic_Dup_0110	Cluster_0113	Cluster_0313	Zm00001d004230,Zm00001d004234	Zm00008a007791,Zm00008a007793
Nonsyntenic_Dup_0111	Cluster_0113	NA	Zm00001d004230,Zm00001d004234	Zm00008a007790
Nonsyntenic_Dup_0112	Cluster_0114	NA	Zm00001d004231,Zm00001d004232	Zm00008a007792
Nonsyntenic_Dup_0113	Cluster_0115	Cluster_0315	Zm00001d004305,Zm00001d004306,Zm00001d004301,Zm00001d004308	Zm00008a007832,Zm00008a007835,Zm00008a007836,Zm00008a007837
Nonsyntenic_Dup_0114	Cluster_0116	NA	Zm00001d004326,Zm00001d004322	Zm00008a007843
Nonsyntenic_Dup_0115	NA	Cluster_0316	Zm00001d004342	Zm00008a007853,Zm00008a007854
Nonsyntenic_Dup_0116	Cluster_0118	Cluster_0316	Zm00001d004344,Zm00001d004346	Zm00008a007853,Zm00008a007854
Nonsyntenic_Dup_0117	Cluster_0119	Cluster_0317	Zm00001d004355,Zm00001d004371,Zm00001d004364	Zm00008a007860,Zm00008a007870,Zm00008a007875
Nonsyntenic_Dup_0118	Cluster_0119	NA	Zm00001d004355,Zm00001d004371,Zm00001d004364	Zm00008a007869
Nonsyntenic_Dup_0119	NA	Cluster_0319	Zm00001d004388	Zm00008a007885,Zm00008a007886
Nonsyntenic_Dup_0120	Cluster_0120	Cluster_0319	Zm00001d004389,Zm00001d004387	Zm00008a007885,Zm00008a007886
Nonsyntenic_Dup_0121	Cluster_0122	NA	Zm00001d004418,Zm00001d004415	Zm00008a007901
Nonsyntenic_Dup_0122	Cluster_0121	Cluster_0320	Zm00001d004414,Zm00001d004417	Zm00008a007904,Zm00008a007900
Nonsyntenic_Dup_0123	Cluster_0123	Cluster_0321	Zm00001d004424,Zm00001d004423	Zm00008a007906,Zm00008a007907
Nonsyntenic_Dup_0124	Cluster_0124	Cluster_0322	Zm00001d004436,Zm00001d004435	Zm00008a007914,Zm00008a007913
Nonsyntenic_Dup_0125	Cluster_0125	Cluster_0323	Zm00001d004491,Zm00001d004503	Zm00008a007987,Zm00008a007977
Nonsyntenic_Dup_0126	Cluster_0125	NA	Zm00001d004491,Zm00001d004503	Zm00008a007986
Nonsyntenic_Dup_0127	Cluster_0127	NA	Zm00001d004527,Zm00001d004526	Zm00008a007999
Nonsyntenic_Dup_0128	Cluster_0127	NA	Zm00001d004527,Zm00001d004526	Zm00008a008000
Nonsyntenic_Dup_0129	Cluster_0128	NA	Zm00001d004589,Zm00001d004572	Zm00008a008034
Nonsyntenic_Dup_0130	NA	Cluster_0324	Zm00001d004573	Zm00008a008035,Zm00008a008040
Nonsyntenic_Dup_0131	NA	Cluster_0324	Zm00001d004586	Zm00008a008035,Zm00008a008040
Nonsyntenic_Dup_0132	Cluster_0128	NA	Zm00001d004589,Zm00001d004572	Zm00008a008038
Nonsyntenic_Dup_0133	Cluster_0130	NA	Zm00001d004677,Zm00001d004676	Zm00008a008092
Nonsyntenic_Dup_0134	Cluster_0132	Cluster_0326	Zm00001d004689,Zm00001d004687	Zm00008a008101,Zm00008a008100
Nonsyntenic_Dup_0135	Cluster_0133	NA	Zm00001d004718,Zm00001d004719	Zm00008a008130
Nonsyntenic_Dup_0136	Cluster_0134	Cluster_0327	Zm00001d004730,Zm00001d004729,Zm00001d004728,Zm00001d004721,Zm00001d004725	Zm00008a008138,Zm00008a008133,Zm00008a008137
Nonsyntenic_Dup_0137	Cluster_0135	Cluster_0328	Zm00001d004758,Zm00001d004754,Zm00001d004753	Zm00008a008156,Zm00008a008163,Zm00008a008160
Nonsyntenic_Dup_0138	Cluster_0135	NA	Zm00001d004758,Zm00001d004754,Zm00001d004753	Zm00008a008162
Nonsyntenic_Dup_0139	Cluster_0136	Cluster_0329	Zm00001d004763,Zm00001d004768	Zm00008a008172,Zm00008a008170
Nonsyntenic_Dup_0140	Cluster_0137	Cluster_0330	Zm00001d004771,Zm00001d004772	Zm00008a008176,Zm00008a008177
Nonsyntenic_Dup_0141	Cluster_0140	Cluster_0331	Zm00001d004839,Zm00001d004841	Zm00008a008218,Zm00008a008221
Nonsyntenic_Dup_0142	Cluster_0141	Cluster_0332	Zm00001d004888,Zm00001d004887,Zm00001d004884	Zm00008a008264,Zm00008a008262,Zm00008a008259,Zm00008a008258,Zm00008a008260,Zm00008a008277,Zm00008a008274
Nonsyntenic_Dup_0143	Cluster_0142	NA	Zm00001d004942,Zm00001d004945,Zm00001d004949	Zm00008a008335
Nonsyntenic_Dup_0144	Cluster_0143	Cluster_0333	Zm00001d004978,Zm00001d004977	Zm00008a008351,Zm00008a008352
Nonsyntenic_Dup_0145	Cluster_0144	NA	Zm00001d004994,Zm00001d004995	Zm00008a008364
Nonsyntenic_Dup_0146	Cluster_0146	NA	Zm00001d005012,Zm00001d005013	Zm00008a008376
Nonsyntenic_Dup_0147	NA	Cluster_0335	Zm00001d005057	Zm00008a008405,Zm00008a008407
Nonsyntenic_Dup_0148	Cluster_0149	NA	Zm00001d005075,Zm00001d005076,Zm00001d005077	Zm00008a008416
Nonsyntenic_Dup_0149	Cluster_0150	Cluster_0336	Zm00001d005189,Zm00001d005190	Zm00008a008494,Zm00008a008493
Nonsyntenic_Dup_0150	NA	Cluster_0336	Zm00001d005191	Zm00008a008494,Zm00008a008493
Nonsyntenic_Dup_0151	NA	Cluster_0336	Zm00001d005192	Zm00008a008494,Zm00008a008493
Nonsyntenic_Dup_0152	Cluster_0151	NA	Zm00001d005284,Zm00001d005283	Zm00008a008553
Nonsyntenic_Dup_0153	NA	Cluster_0337	Zm00001d005289	Zm00008a008559,Zm00008a008560
Nonsyntenic_Dup_0154	Cluster_0153	Cluster_0339	Zm00001d005379,Zm00001d005374,Zm00001d005380,Zm00001d005389	Zm00008a008634,Zm00008a008619,Zm00008a008628
Nonsyntenic_Dup_0155	Cluster_0154	Cluster_0340	Zm00001d005375,Zm00001d005381,Zm00001d005391	Zm00008a008629,Zm00008a008626,Zm00008a008620,Zm00008a008635
Nonsyntenic_Dup_0156	NA	Cluster_0341	Zm00001d005376	Zm00008a008621,Zm00008a008630
Nonsyntenic_Dup_0157	Cluster_0155	Cluster_0342	Zm00001d005378,Zm00001d005377,Zm00001d005383,Zm00001d005392	Zm00008a008624,Zm00008a008627,Zm00008a008631,Zm00008a008636
Nonsyntenic_Dup_0158	Cluster_0156	Cluster_0343	Zm00001d005410,Zm00001d005421	Zm00008a008655,Zm00008a008651
Nonsyntenic_Dup_0159	Cluster_0157	Cluster_0344	Zm00001d005436,Zm00001d005437	Zm00008a008666,Zm00008a008667
Nonsyntenic_Dup_0160	Cluster_0159	NA	Zm00001d005540,Zm00001d005541	Zm00008a008734
Nonsyntenic_Dup_0161	NA	Cluster_0346	Zm00001d005670	Zm00008a008808,Zm00008a008809
Nonsyntenic_Dup_0162	Cluster_0160	Cluster_0347	Zm00001d005680,Zm00001d005678	Zm00008a008825,Zm00008a008828
Nonsyntenic_Dup_0163	Cluster_0161	Cluster_0348	Zm00001d005690,Zm00001d005688	Zm00008a008835,Zm00008a008838
Nonsyntenic_Dup_0164	Cluster_0163	Cluster_0350	Zm00001d005722,Zm00001d005719,Zm00001d005717,Zm00001d005716	Zm00008a008855,Zm00008a008856
Nonsyntenic_Dup_0165	Cluster_0165	Cluster_0354	Zm00001d005786,Zm00001d005787,Zm00001d005788	Zm00008a008935,Zm00008a008936,Zm00008a008938
Nonsyntenic_Dup_0166	Cluster_0167	Cluster_0356	Zm00001d005823,Zm00001d005822,Zm00001d005821	Zm00008a008970,Zm00008a008971,Zm00008a008973
Nonsyntenic_Dup_0167	Cluster_0168	Cluster_0357	Zm00001d005859,Zm00001d005860	Zm00008a009002,Zm00008a009001
Nonsyntenic_Dup_0168	Cluster_0169	NA	Zm00001d005878,Zm00001d005879	Zm00008a009016
Nonsyntenic_Dup_0169	Cluster_0170	Cluster_0358	Zm00001d005905,Zm00001d005909,Zm00001d005910	Zm00008a009043,Zm00008a009038,Zm00008a009042
Nonsyntenic_Dup_0170	Cluster_0171	NA	Zm00001d005933,Zm00001d005935,Zm00001d005934	Zm00008a009064
Nonsyntenic_Dup_0171	Cluster_0173	Cluster_0361	Zm00001d005974,Zm00001d005973	Zm00008a009091,Zm00008a009092
Nonsyntenic_Dup_0172	Cluster_0174	NA	Zm00001d006014,Zm00001d006013	Zm00008a009115
Nonsyntenic_Dup_0173	Cluster_0176	NA	Zm00001d006147,Zm00001d006142	Zm00008a009219
Nonsyntenic_Dup_0174	Cluster_0177	NA	Zm00001d006148,Zm00001d006143	Zm00008a009220
Nonsyntenic_Dup_0175	Cluster_0178	Cluster_0363	Zm00001d006149,Zm00001d006144	Zm00008a009222,Zm00008a009221
Nonsyntenic_Dup_0176	Cluster_0179	NA	Zm00001d006170,Zm00001d006169	Zm00008a009242
Nonsyntenic_Dup_0177	Cluster_0180	Cluster_0364	Zm00001d006203,Zm00001d006199,Zm00001d006193	Zm00008a009254,Zm00008a009253,Zm00008a009248
Nonsyntenic_Dup_0178	NA	Cluster_0365	Zm00001d006257	Zm00008a009300,Zm00008a009298,Zm00008a009299
Nonsyntenic_Dup_0179	Cluster_0182	Cluster_0365	Zm00001d006263,Zm00001d006260	Zm00008a009300,Zm00008a009298,Zm00008a009299
Nonsyntenic_Dup_0180	NA	Cluster_0365	Zm00001d006261	Zm00008a009300,Zm00008a009298,Zm00008a009299
Nonsyntenic_Dup_0181	NA	Cluster_0365	Zm00001d006262	Zm00008a009300,Zm00008a009298,Zm00008a009299
Nonsyntenic_Dup_0182	Cluster_0183	NA	Zm00001d006277,Zm00001d006275,Zm00001d006274,Zm00001d006282,Zm00001d006283,Zm00001d006280,Zm00001d006285,Zm00001d006276,Zm00001d006279	Zm00008a009309
Nonsyntenic_Dup_0183	Cluster_0183	Cluster_0366	Zm00001d006277,Zm00001d006275,Zm00001d006274,Zm00001d006282,Zm00001d006283,Zm00001d006280,Zm00001d006285,Zm00001d006276,Zm00001d006279	Zm00008a009308,Zm00008a009317,Zm00008a009316,Zm00008a009311,Zm00008a009315
Nonsyntenic_Dup_0184	Cluster_0184	Cluster_0366	Zm00001d006281,Zm00001d006278	Zm00008a009308,Zm00008a009317,Zm00008a009316,Zm00008a009311,Zm00008a009315
Nonsyntenic_Dup_0185	Cluster_0186	NA	Zm00001d006301,Zm00001d006300,Zm00001d006307	Zm00008a009334
Nonsyntenic_Dup_0186	Cluster_0186	NA	Zm00001d006301,Zm00001d006300,Zm00001d006307	Zm00008a009335
Nonsyntenic_Dup_0187	Cluster_0186	NA	Zm00001d006301,Zm00001d006300,Zm00001d006307	Zm00008a009336
Nonsyntenic_Dup_0188	Cluster_0187	NA	Zm00001d006312,Zm00001d006313	Zm00008a009342
Nonsyntenic_Dup_0189	Cluster_0188	Cluster_0369	Zm00001d006342,Zm00001d006341,Zm00001d006340	Zm00008a009368,Zm00008a009369,Zm00008a009367
Nonsyntenic_Dup_0190	Cluster_0189	NA	Zm00001d006449,Zm00001d006446,Zm00001d006450	Zm00008a009448
Nonsyntenic_Dup_0191	Cluster_0189	Cluster_0370	Zm00001d006449,Zm00001d006446,Zm00001d006450	Zm00008a009454,Zm00008a009453,Zm00008a009449
Nonsyntenic_Dup_0192	Cluster_0191	Cluster_0371	Zm00001d006494,Zm00001d006493	Zm00008a009482,Zm00008a009481
Nonsyntenic_Dup_0193	Cluster_0192	NA	Zm00001d006505,Zm00001d006506	Zm00008a009490
Nonsyntenic_Dup_0194	NA	Cluster_0372	Zm00001d006514	Zm00008a009499,Zm00008a009500
Nonsyntenic_Dup_0195	Cluster_0194	Cluster_0373	Zm00001d006526,Zm00001d006525	Zm00008a009506,Zm00008a009507
Nonsyntenic_Dup_0196	Cluster_0195	Cluster_0374	Zm00001d006531,Zm00001d006535,Zm00001d006536,Zm00001d006527	Zm00008a009510,Zm00008a009508
Nonsyntenic_Dup_0197	Cluster_0195	NA	Zm00001d006531,Zm00001d006535,Zm00001d006536,Zm00001d006527	Zm00008a009509
