ClusterID	Genes	Width	
Cluster_0072	Zm00008a001819,Zm00008a001821,Zm00008a001822	4
Cluster_0073	Zm00008a001848,Zm00008a001850,Zm00008a001852	5
Cluster_0074	Zm00008a001857,Zm00008a001860	4
Cluster_0075	Zm00008a001859,Zm00008a001861	3
Cluster_0076	Zm00008a001897,Zm00008a001899,Zm00008a001900,Zm00008a001901,Zm00008a001902,Zm00008a001904,Zm00008a001905,Zm00008a001906,Zm00008a001907,Zm00008a001910	14
Cluster_0077	Zm00008a001968,Zm00008a001970,Zm00008a001972,Zm00008a001978	11
Cluster_0078	Zm00008a001969,Zm00008a001971,Zm00008a001973,Zm00008a001979	11
Cluster_0079	Zm00008a001987,Zm00008a001999	13
Cluster_0080	Zm00008a002028,Zm00008a002029	2
Cluster_0081	Zm00008a002056,Zm00008a002057,Zm00008a002058,Zm00008a002059,Zm00008a002061	6
Cluster_0082	Zm00008a002067,Zm00008a002071	5
Cluster_0083	Zm00008a002072,Zm00008a002073	2
Cluster_0084	Zm00008a002078,Zm00008a002079	2
Cluster_0085	Zm00008a002121,Zm00008a002122,Zm00008a002123	3
Cluster_0086	Zm00008a002166,Zm00008a002170	5
Cluster_0087	Zm00008a002201,Zm00008a002203	3
Cluster_0088	Zm00008a002226,Zm00008a002228	3
Cluster_0089	Zm00008a002253,Zm00008a002254	2
Cluster_0090	Zm00008a002271,Zm00008a002279	9
Cluster_0091	Zm00008a002291,Zm00008a002299	9
Cluster_0092	Zm00008a002295,Zm00008a002296	2
Cluster_0093	Zm00008a002315,Zm00008a002324	10
Cluster_0094	Zm00008a002316,Zm00008a002317,Zm00008a002318,Zm00008a002320,Zm00008a002321	6
Cluster_0095	Zm00008a002334,Zm00008a002340	7
Cluster_0096	Zm00008a002353,Zm00008a002361	9
Cluster_0097	Zm00008a002354,Zm00008a002362,Zm00008a002363	10
Cluster_0098	Zm00008a002370,Zm00008a002371	2
Cluster_0099	Zm00008a002382,Zm00008a002383	2
Cluster_0100	Zm00008a002384,Zm00008a002389	6
Cluster_0101	Zm00008a002402,Zm00008a002403	2
Cluster_0102	Zm00008a002411,Zm00008a002412	2
Cluster_0103	Zm00008a002414,Zm00008a002416	3
Cluster_0104	Zm00008a002470,Zm00008a002491	22
Cluster_0105	Zm00008a002479,Zm00008a002490	12
Cluster_0106	Zm00008a002481,Zm00008a002488	8
Cluster_0107	Zm00008a002496,Zm00008a002497	2
Cluster_0108	Zm00008a002570,Zm00008a002577	8
Cluster_0109	Zm00008a002673,Zm00008a002674	2
Cluster_0110	Zm00008a002684,Zm00008a002687	4
Cluster_0111	Zm00008a002685,Zm00008a002686	2
Cluster_0112	Zm00008a002753,Zm00008a002761	9
Cluster_0113	Zm00008a002754,Zm00008a002757,Zm00008a002765	12
Cluster_0114	Zm00008a002774,Zm00008a002781,Zm00008a002785,Zm00008a002787	14
Cluster_0115	Zm00008a002795,Zm00008a002798	4
Cluster_0116	Zm00008a002821,Zm00008a002822	2
Cluster_0117	Zm00008a002834,Zm00008a002837	4
Cluster_0118	Zm00008a003015,Zm00008a003017,Zm00008a003018,Zm00008a003021	7
Cluster_0119	Zm00008a003045,Zm00008a003046,Zm00008a003047	3
Cluster_0120	Zm00008a003051,Zm00008a003052	2
Cluster_0121	Zm00008a003067,Zm00008a003068	2
Cluster_0122	Zm00008a003125,Zm00008a003127	3
Cluster_0123	Zm00008a003126,Zm00008a003128	3
Cluster_0124	Zm00008a003129,Zm00008a003130	2
Cluster_0125	Zm00008a003154,Zm00008a003163,Zm00008a003168,Zm00008a003175,Zm00008a003183,Zm00008a003192,Zm00008a003198	45
Cluster_0126	Zm00008a003156,Zm00008a003158,Zm00008a003160	5
Cluster_0127	Zm00008a003161,Zm00008a003167,Zm00008a003174,Zm00008a003181,Zm00008a003190,Zm00008a003195	35
Cluster_0128	Zm00008a003170,Zm00008a003176,Zm00008a003191,Zm00008a003197,Zm00008a003199,Zm00008a003200	31
Cluster_0129	Zm00008a003172,Zm00008a003179,Zm00008a003188	17
Cluster_0130	Zm00008a003173,Zm00008a003180,Zm00008a003194	22
Cluster_0131	Zm00008a003220,Zm00008a003221,Zm00008a003222	3
Cluster_0132	Zm00008a003265,Zm00008a003266,Zm00008a003267	3
Cluster_0133	Zm00008a003303,Zm00008a003304,Zm00008a003305	3
Cluster_0134	Zm00008a003306,Zm00008a003307,Zm00008a003308	3
Cluster_0135	Zm00008a003336,Zm00008a003337	2
Cluster_0136	Zm00008a003366,Zm00008a003367	2
Cluster_0137	Zm00008a003374,Zm00008a003375	2
Cluster_0138	Zm00008a003480,Zm00008a003482	3
Cluster_0139	Zm00008a003488,Zm00008a003489,Zm00008a003490,Zm00008a003491	4
Cluster_0140	Zm00008a003544,Zm00008a003545	2
Cluster_0141	Zm00008a003574,Zm00008a003575	2
Cluster_0142	Zm00008a003592,Zm00008a003602	11
Cluster_0143	Zm00008a003595,Zm00008a003597	3
Cluster_0144	Zm00008a003618,Zm00008a003630	13
Cluster_0145	Zm00008a003645,Zm00008a003646	2
Cluster_0146	Zm00008a003650,Zm00008a003651	2
Cluster_0147	Zm00008a003678,Zm00008a003680,Zm00008a003682	5
Cluster_0148	Zm00008a003748,Zm00008a003753,Zm00008a003773	26
Cluster_0149	Zm00008a003843,Zm00008a003845	3
Cluster_0150	Zm00008a003940,Zm00008a003941	2
Cluster_0151	Zm00008a003986,Zm00008a003987,Zm00008a003994	9
Cluster_0152	Zm00008a004010,Zm00008a004011	2
Cluster_0153	Zm00008a004036,Zm00008a004038	3
Cluster_0154	Zm00008a004045,Zm00008a004046	2
Cluster_0155	Zm00008a004058,Zm00008a004063	6
Cluster_0156	Zm00008a004059,Zm00008a004064	6
Cluster_0157	Zm00008a004060,Zm00008a004065	6
Cluster_0158	Zm00008a004093,Zm00008a004094	2
Cluster_0159	Zm00008a004108,Zm00008a004110,Zm00008a004111,Zm00008a004112,Zm00008a004113,Zm00008a004114,Zm00008a004115	8
Cluster_0160	Zm00008a004167,Zm00008a004168,Zm00008a004169	3
Cluster_0161	Zm00008a004190,Zm00008a004192	3
Cluster_0162	Zm00008a004214,Zm00008a004215	2
Cluster_0163	Zm00008a004216,Zm00008a004217	2
Cluster_0164	Zm00008a004219,Zm00008a004220	2
Cluster_0165	Zm00008a004248,Zm00008a004250,Zm00008a004253	6
Cluster_0166	Zm00008a004280,Zm00008a004281	2
Cluster_0167	Zm00008a004294,Zm00008a004295,Zm00008a004296	3
Cluster_0168	Zm00008a004300,Zm00008a004301,Zm00008a004302,Zm00008a004304,Zm00008a004305,Zm00008a004307	8
Cluster_0169	Zm00008a004325,Zm00008a004326	2
Cluster_0170	Zm00008a004397,Zm00008a004411	15
Cluster_0171	Zm00008a004427,Zm00008a004428	2
Cluster_0172	Zm00008a004437,Zm00008a004438	2
Cluster_0173	Zm00008a004465,Zm00008a004466	2
Cluster_0174	Zm00008a004470,Zm00008a004472,Zm00008a004473,Zm00008a004474	5
Cluster_0175	Zm00008a004506,Zm00008a004510	5
Cluster_0176	Zm00008a004513,Zm00008a004514	2
Cluster_0177	Zm00008a004517,Zm00008a004527	11
Cluster_0178	Zm00008a004552,Zm00008a004553	2
Cluster_0179	Zm00008a004557,Zm00008a004558,Zm00008a004559,Zm00008a004560	4
Cluster_0180	Zm00008a004567,Zm00008a004568	2
Cluster_0181	Zm00008a004581,Zm00008a004582	2
Cluster_0182	Zm00008a004601,Zm00008a004603	3
Cluster_0183	Zm00008a004607,Zm00008a004608	2
Cluster_0184	Zm00008a004658,Zm00008a004659	2
Cluster_0185	Zm00008a004660,Zm00008a004664	5
Cluster_0186	Zm00008a004688,Zm00008a004690	3
Cluster_0187	Zm00008a004725,Zm00008a004726	2
Cluster_0188	Zm00008a004730,Zm00008a004732,Zm00008a004733	4
Cluster_0189	Zm00008a004745,Zm00008a004746,Zm00008a004748,Zm00008a004750,Zm00008a004751,Zm00008a004754,Zm00008a004757	13
Cluster_0190	Zm00008a004747,Zm00008a004753,Zm00008a004756	10
Cluster_0191	Zm00008a004749,Zm00008a004752,Zm00008a004755,Zm00008a004758	10
Cluster_0192	Zm00008a004767,Zm00008a004768,Zm00008a004769,Zm00008a004770,Zm00008a004771	5
Cluster_0193	Zm00008a004791,Zm00008a004792	2
Cluster_0194	Zm00008a004819,Zm00008a004820	2
Cluster_0195	Zm00008a004835,Zm00008a004836	2
Cluster_0196	Zm00008a004840,Zm00008a004841	2
Cluster_0197	Zm00008a004865,Zm00008a004869	5
Cluster_0198	Zm00008a004895,Zm00008a004897	3
Cluster_0199	Zm00008a004906,Zm00008a004907	2
Cluster_0200	Zm00008a004932,Zm00008a004933	2
Cluster_0201	Zm00008a004965,Zm00008a004966,Zm00008a004967	3
Cluster_0202	Zm00008a004996,Zm00008a004998	3
Cluster_0203	Zm00008a005038,Zm00008a005039	2
Cluster_0204	Zm00008a005059,Zm00008a005061	3
Cluster_0205	Zm00008a005080,Zm00008a005081	2
Cluster_0206	Zm00008a005086,Zm00008a005087,Zm00008a005088	3
Cluster_0207	Zm00008a005172,Zm00008a005173	2
Cluster_0208	Zm00008a005184,Zm00008a005185	2
Cluster_0209	Zm00008a005193,Zm00008a005194	2
Cluster_0210	Zm00008a005201,Zm00008a005210	10
Cluster_0211	Zm00008a005209,Zm00008a005211	3
Cluster_0212	Zm00008a005228,Zm00008a005229	2
Cluster_0213	Zm00008a005236,Zm00008a005237,Zm00008a005238	3
Cluster_0214	Zm00008a005253,Zm00008a005254,Zm00008a005257,Zm00008a005259,Zm00008a005272	20
Cluster_0215	Zm00008a005274,Zm00008a005283	10
Cluster_0216	Zm00008a005276,Zm00008a005278	3
Cluster_0217	Zm00008a005301,Zm00008a005303,Zm00008a005304	4
Cluster_0218	Zm00008a005302,Zm00008a005305	4
Cluster_0219	Zm00008a005422,Zm00008a005424	3
Cluster_0220	Zm00008a005431,Zm00008a005433,Zm00008a005434	4
Cluster_0221	Zm00008a005453,Zm00008a005454,Zm00008a005455	3
Cluster_0222	Zm00008a005456,Zm00008a005457,Zm00008a005458	3
Cluster_0223	Zm00008a005466,Zm00008a005467	2
Cluster_0224	Zm00008a005480,Zm00008a005482	3
Cluster_0225	Zm00008a005483,Zm00008a005484	2
Cluster_0226	Zm00008a005540,Zm00008a005541	2
Cluster_0227	Zm00008a005553,Zm00008a005555	3
Cluster_0228	Zm00008a005561,Zm00008a005562,Zm00008a005568	8
Cluster_0229	Zm00008a005637,Zm00008a005638	2
Cluster_0230	Zm00008a005645,Zm00008a005655	11
Cluster_0231	Zm00008a005666,Zm00008a005667	2
Cluster_0232	Zm00008a005688,Zm00008a005690	3
Cluster_0233	Zm00008a005719,Zm00008a005720	2
Cluster_0234	Zm00008a005742,Zm00008a005746	5
Cluster_0235	Zm00008a005837,Zm00008a005838	2
Cluster_0236	Zm00008a005847,Zm00008a005851	5
Cluster_0237	Zm00008a005883,Zm00008a005884	2
Cluster_0238	Zm00008a005957,Zm00008a005960	4
Cluster_0239	Zm00008a005990,Zm00008a005991	2
Cluster_0240	Zm00008a006002,Zm00008a006003	2
Cluster_0241	Zm00008a006005,Zm00008a006008	4
Cluster_0242	Zm00008a006081,Zm00008a006082,Zm00008a006083	3
Cluster_0243	Zm00008a006084,Zm00008a006085,Zm00008a006086,Zm00008a006090	7
Cluster_0244	Zm00008a006138,Zm00008a006139	2
Cluster_0245	Zm00008a006192,Zm00008a006193,Zm00008a006196,Zm00008a006199,Zm00008a006209,Zm00008a006210	19
Cluster_0246	Zm00008a006197,Zm00008a006200	4
Cluster_0247	Zm00008a006213,Zm00008a006220,Zm00008a006224	12
Cluster_0248	Zm00008a006214,Zm00008a006226	13
Cluster_0249	Zm00008a006215,Zm00008a006229	15
Cluster_0250	Zm00008a006216,Zm00008a006221,Zm00008a006227,Zm00008a006228	13
Cluster_0251	Zm00008a006218,Zm00008a006225	8
Cluster_0252	Zm00008a006280,Zm00008a006282	3
Cluster_0253	Zm00008a006308,Zm00008a006313,Zm00008a006315	8
Cluster_0254	Zm00008a006352,Zm00008a006353	2
Cluster_0255	Zm00008a006362,Zm00008a006363,Zm00008a006364	3
Cluster_0256	Zm00008a006383,Zm00008a006384,Zm00008a006385	3
Cluster_0257	Zm00008a006406,Zm00008a006419	14
Cluster_0258	Zm00008a006450,Zm00008a006451	2
Cluster_0259	Zm00008a006453,Zm00008a006454	2
Cluster_0260	Zm00008a006471,Zm00008a006474	4
Cluster_0261	Zm00008a006488,Zm00008a006489	2
Cluster_0262	Zm00008a006524,Zm00008a006525	2
Cluster_0263	Zm00008a006569,Zm00008a006571	3
Cluster_0264	Zm00008a006576,Zm00008a006581	6
Cluster_0265	Zm00008a006579,Zm00008a006583	5
Cluster_0266	Zm00008a006598,Zm00008a006599	2
Cluster_0267	Zm00008a006618,Zm00008a006619	2
Cluster_0268	Zm00008a006636,Zm00008a006637	2
Cluster_0269	Zm00008a006695,Zm00008a006696	2
Cluster_0270	Zm00008a006699,Zm00008a006701	3
Cluster_0271	Zm00008a006744,Zm00008a006745,Zm00008a006746	3
Cluster_0272	Zm00008a006777,Zm00008a006782,Zm00008a006786	10
Cluster_0273	Zm00008a006778,Zm00008a006794	17
Cluster_0274	Zm00008a006780,Zm00008a006783,Zm00008a006787	8
Cluster_0275	Zm00008a006781,Zm00008a006784	4
Cluster_0276	Zm00008a006809,Zm00008a006810	2
Cluster_0277	Zm00008a006824,Zm00008a006829	6
Cluster_0278	Zm00008a006853,Zm00008a006854	2
Cluster_0279	Zm00008a006866,Zm00008a006867	2
Cluster_0280	Zm00008a006895,Zm00008a006896	2
Cluster_0281	Zm00008a006904,Zm00008a006905	2
Cluster_0282	Zm00008a006908,Zm00008a006910	3
Cluster_0283	Zm00008a006963,Zm00008a006964	2
Cluster_0284	Zm00008a006993,Zm00008a006994,Zm00008a006995,Zm00008a006996,Zm00008a006997	5
Cluster_0285	Zm00008a007129,Zm00008a007132,Zm00008a007133,Zm00008a007134,Zm00008a007135	7
Cluster_0286	Zm00008a007188,Zm00008a007189,Zm00008a007191	4
Cluster_0287	Zm00008a007204,Zm00008a007205,Zm00008a007211	8
Cluster_0288	Zm00008a007224,Zm00008a007226	3
Cluster_0289	Zm00008a007233,Zm00008a007235	3
Cluster_0290	Zm00008a007252,Zm00008a007258	7
Cluster_0291	Zm00008a007253,Zm00008a007255	3
Cluster_0292	Zm00008a007281,Zm00008a007282	2
Cluster_0293	Zm00008a007302,Zm00008a007303	2
Cluster_0294	Zm00008a007314,Zm00008a007315	2
Cluster_0295	Zm00008a007374,Zm00008a007375	2
Cluster_0296	Zm00008a007380,Zm00008a007381,Zm00008a007382,Zm00008a007383	4
Cluster_0297	Zm00008a007400,Zm00008a007401	2
Cluster_0298	Zm00008a007402,Zm00008a007408	7
Cluster_0299	Zm00008a007404,Zm00008a007406	3
Cluster_0300	Zm00008a007422,Zm00008a007423	2
Cluster_0301	Zm00008a007444,Zm00008a007445	2
Cluster_0302	Zm00008a007460,Zm00008a007463	4
Cluster_0303	Zm00008a007524,Zm00008a007526	3
Cluster_0304	Zm00008a007535,Zm00008a007545	11
Cluster_0305	Zm00008a007596,Zm00008a007598	3
Cluster_0306	Zm00008a007602,Zm00008a007603,Zm00008a007609	8
Cluster_0307	Zm00008a007612,Zm00008a007613	2
Cluster_0308	Zm00008a007641,Zm00008a007642	2
Cluster_0309	Zm00008a007650,Zm00008a007657	8
Cluster_0310	Zm00008a007682,Zm00008a007684	3
Cluster_0311	Zm00008a007717,Zm00008a007719,Zm00008a007720	4
Cluster_0312	Zm00008a007746,Zm00008a007747	2
Cluster_0313	Zm00008a007791,Zm00008a007793	3
Cluster_0314	Zm00008a007803,Zm00008a007804	2
Cluster_0315	Zm00008a007832,Zm00008a007835,Zm00008a007836,Zm00008a007837	6
Cluster_0316	Zm00008a007853,Zm00008a007854	2
Cluster_0317	Zm00008a007860,Zm00008a007870,Zm00008a007875	16
Cluster_0318	Zm00008a007872,Zm00008a007873,Zm00008a007874	3
Cluster_0319	Zm00008a007885,Zm00008a007886	2
Cluster_0320	Zm00008a007900,Zm00008a007904	5
Cluster_0321	Zm00008a007906,Zm00008a007907	2
Cluster_0322	Zm00008a007913,Zm00008a007914	2
Cluster_0323	Zm00008a007977,Zm00008a007987	11
Cluster_0324	Zm00008a008035,Zm00008a008040	6
Cluster_0325	Zm00008a008080,Zm00008a008081	2
Cluster_0326	Zm00008a008100,Zm00008a008101	2
Cluster_0327	Zm00008a008133,Zm00008a008137,Zm00008a008138	6
Cluster_0328	Zm00008a008156,Zm00008a008160,Zm00008a008163	8
Cluster_0329	Zm00008a008170,Zm00008a008172	3
Cluster_0330	Zm00008a008176,Zm00008a008177	2
Cluster_0331	Zm00008a008218,Zm00008a008221	4
Cluster_0332	Zm00008a008258,Zm00008a008259,Zm00008a008260,Zm00008a008262,Zm00008a008264,Zm00008a008274,Zm00008a008277	20
Cluster_0333	Zm00008a008351,Zm00008a008352	2
Cluster_0334	Zm00008a008367,Zm00008a008368	2
Cluster_0335	Zm00008a008405,Zm00008a008407	3
Cluster_0336	Zm00008a008493,Zm00008a008494	2
Cluster_0337	Zm00008a008559,Zm00008a008560	2
Cluster_0338	Zm00008a008570,Zm00008a008571	2
Cluster_0339	Zm00008a008619,Zm00008a008628,Zm00008a008634	16
Cluster_0340	Zm00008a008620,Zm00008a008626,Zm00008a008629,Zm00008a008635	16
Cluster_0341	Zm00008a008621,Zm00008a008630	10
Cluster_0342	Zm00008a008624,Zm00008a008627,Zm00008a008631,Zm00008a008636	13
Cluster_0343	Zm00008a008651,Zm00008a008655	5
Cluster_0344	Zm00008a008666,Zm00008a008667	2
Cluster_0345	Zm00008a008772,Zm00008a008773	2
Cluster_0346	Zm00008a008808,Zm00008a008809	2
Cluster_0347	Zm00008a008825,Zm00008a008828	4
Cluster_0348	Zm00008a008835,Zm00008a008838	4
Cluster_0349	Zm00008a008851,Zm00008a008852	2
Cluster_0350	Zm00008a008855,Zm00008a008856	2
Cluster_0351	Zm00008a008880,Zm00008a008882	3
Cluster_0352	Zm00008a008926,Zm00008a008927	2
Cluster_0353	Zm00008a008933,Zm00008a008934	2
Cluster_0354	Zm00008a008935,Zm00008a008936,Zm00008a008938	4
Cluster_0355	Zm00008a008949,Zm00008a008950	2
Cluster_0356	Zm00008a008970,Zm00008a008971,Zm00008a008973	4
Cluster_0357	Zm00008a009001,Zm00008a009002	2
Cluster_0358	Zm00008a009038,Zm00008a009042,Zm00008a009043	6
Cluster_0359	Zm00008a009054,Zm00008a009055	2
Cluster_0360	Zm00008a009061,Zm00008a009062	2
Cluster_0361	Zm00008a009091,Zm00008a009092	2
Cluster_0362	Zm00008a009217,Zm00008a009218	2
Cluster_0363	Zm00008a009221,Zm00008a009222	2
Cluster_0364	Zm00008a009248,Zm00008a009253,Zm00008a009254	7
Cluster_0365	Zm00008a009298,Zm00008a009299,Zm00008a009300	3
Cluster_0366	Zm00008a009308,Zm00008a009311,Zm00008a009315,Zm00008a009316,Zm00008a009317	10
Cluster_0367	Zm00008a009322,Zm00008a009332	11
Cluster_0368	Zm00008a009323,Zm00008a009331	9
Cluster_0369	Zm00008a009367,Zm00008a009368,Zm00008a009369	3
Cluster_0370	Zm00008a009449,Zm00008a009453,Zm00008a009454	6
Cluster_0371	Zm00008a009481,Zm00008a009482	2
Cluster_0372	Zm00008a009499,Zm00008a009500	2
Cluster_0373	Zm00008a009506,Zm00008a009507	2
Cluster_0374	Zm00008a009508,Zm00008a009510	3
Cluster_0375	Zm00008a009522,Zm00008a009523	2
Cluster_0376	Zm00008a009557,Zm00008a009561	5
Cluster_0377	Zm00008a009558,Zm00008a009562	5
Cluster_0378	Zm00008a009605,Zm00008a009606	2
Cluster_0379	Zm00008a009640,Zm00008a009641	2
Cluster_0380	Zm00008a009644,Zm00008a009645	2
Cluster_0381	Zm00008a009672,Zm00008a009673,Zm00008a009674,Zm00008a009675,Zm00008a009677,Zm00008a009680	9
Cluster_0382	Zm00008a009676,Zm00008a009678	3
Cluster_0383	Zm00008a009713,Zm00008a009714	2
Cluster_0384	Zm00008a009822,Zm00008a009823,Zm00008a009824	3
Cluster_0385	Zm00008a009833,Zm00008a009834	2
Cluster_0386	Zm00008a009919,Zm00008a009921	3
Cluster_0387	Zm00008a009920,Zm00008a009922	3
Cluster_0388	Zm00008a009949,Zm00008a009951	3
Cluster_0389	Zm00008a010020,Zm00008a010022	3
Cluster_0390	Zm00008a010076,Zm00008a010077	2
Cluster_0391	Zm00008a010098,Zm00008a010099	2
Cluster_0392	Zm00008a010102,Zm00008a010103	2
Cluster_0393	Zm00008a010112,Zm00008a010113,Zm00008a010116	5
Cluster_0394	Zm00008a010142,Zm00008a010143	2
Cluster_0395	Zm00008a010150,Zm00008a010153	4
Cluster_0396	Zm00008a010168,Zm00008a010169	2
Cluster_0397	Zm00008a010175,Zm00008a010181,Zm00008a010197	23
Cluster_0398	Zm00008a010187,Zm00008a010189	3
Cluster_0399	Zm00008a010195,Zm00008a010198	4
Cluster_0400	Zm00008a010202,Zm00008a010206	5
Cluster_0401	Zm00008a010238,Zm00008a010240,Zm00008a010246,Zm00008a010252	15
Cluster_0402	Zm00008a010251,Zm00008a010255	5
Cluster_0403	Zm00008a010272,Zm00008a010273	2
Cluster_0404	Zm00008a010285,Zm00008a010286	2
Cluster_0405	Zm00008a010298,Zm00008a010303	6
Cluster_0406	Zm00008a010315,Zm00008a010320,Zm00008a010326,Zm00008a010336	22
Cluster_0407	Zm00008a010319,Zm00008a010321,Zm00008a010322,Zm00008a010324,Zm00008a010327,Zm00008a010328,Zm00008a010329,Zm00008a010331,Zm00008a010332,Zm00008a010335,Zm00008a010337	19
Cluster_0408	Zm00008a010323,Zm00008a010333	11
Cluster_0409	Zm00008a010325,Zm00008a010330,Zm00008a010334	10
Cluster_0410	Zm00008a010352,Zm00008a010353	2
Cluster_0411	Zm00008a010365,Zm00008a010366	2
Cluster_0412	Zm00008a010370,Zm00008a010371,Zm00008a010373	4
Cluster_0413	Zm00008a010380,Zm00008a010383	4
Cluster_0414	Zm00008a010381,Zm00008a010386,Zm00008a010395	15
Cluster_0415	Zm00008a010387,Zm00008a010389,Zm00008a010391,Zm00008a010394,Zm00008a010396,Zm00008a010399,Zm00008a010400	14
Cluster_0416	Zm00008a010404,Zm00008a010406	3
Cluster_0417	Zm00008a010410,Zm00008a010412	3
Cluster_0418	Zm00008a010425,Zm00008a010428	4
Cluster_0419	Zm00008a010445,Zm00008a010446	2
Cluster_0420	Zm00008a010448,Zm00008a010449,Zm00008a010450	3
Cluster_0421	Zm00008a010461,Zm00008a010462	2
Cluster_0422	Zm00008a010471,Zm00008a010473,Zm00008a010474	4
Cluster_0423	Zm00008a010479,Zm00008a010482	4
Cluster_0424	Zm00008a010480,Zm00008a010481	2
Cluster_0425	Zm00008a010490,Zm00008a010492	3
Cluster_0426	Zm00008a010518,Zm00008a010519	2
Cluster_0427	Zm00008a010522,Zm00008a010524	3
Cluster_0428	Zm00008a010710,Zm00008a010720	11
Cluster_0429	Zm00008a010726,Zm00008a010727	2
Cluster_0430	Zm00008a010771,Zm00008a010772	2
Cluster_0431	Zm00008a010840,Zm00008a010841	2
Cluster_0432	Zm00008a010868,Zm00008a010875	8
Cluster_0433	Zm00008a010876,Zm00008a010877	2
